Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Suncorp Group Ltd,SUNPJ.AX,6.5,0.001,,
2,Betashares Australian Cash Plus Active ETF,MMKT.AX,4.89,0.001,,
3,BETAMMKT TMF UNITS [MMKT],MMKT.XA,4.9,0.002,0.003,No
4,Dalrymple Bay Infrastructure Limited,DBI.AX,53.09,0.066,0.291,No
5,Centuria Capital Group,C2FHA.AX,8.32,0.014,0.003,Yes
6,Betashares Australian Hybrids Active ETF,HBRD.AX,5.97,0.01,0.005,No
7,BetaShares Active Australian Hybrids Fund,HBRD.XA,6.17,0.011,,
8,BetaShares Managed Risk Australian Share Fund,AUST.XA,27.39,0.049,,
9,Bayan Mining and Minerals Limited,BMM.XA,140.99,0.189,,
10,Plato Income Maximiser Limited,PL8.XA,13.66,0.03,0.12,Yes
11,Dalrymple Bay Infrastructure Limited,DBI.XA,52.3,0.101,0.495,No
12,Plato Income Maximiser Limited,PL8.AX,13.69,0.032,0.149,Yes
13,Clime Capital Ltd,CAMG.AX,6.57,0.017,0.078,Yes
14,London City Equities Limited,LCE.AX,82.98,0.168,0.593,Yes
15,Gryphon Capital Income Trust,GCI.XA,8.26,0.023,,
16,SHAPE Australia Corporation Limited,SHA.AX,78.11,0.177,0.415,No
17,Macquarie Income Opportunities Active ETF,MQIO.AX,8.08,0.024,,
18,Staude Capital Global Value Fund Limited,GVF.XA,45.27,0.116,,
19,Supply Network Limited,SNL.XA,94.86,0.211,0.791,Yes
20,Qantas Airways Limited,QAN.XA,66.47,0.162,0.834,Yes
21,Insurance Australia Group Limited,IAGPE.AX,8.56,0.026,0.074,Yes
22,Janus Henderson Sustainable Credit Active ETF,GOOD.AX,7.75,0.024,0.06,Yes
23,SelfWealth Limited,SWF.XA,30.06,0.084,,
24,Ramsay Health Care Limited,RHCPA.AX,7.31,0.023,0.142,No
25,Macquarie Bank Limited,MBLPC.AX,4.27,0.014,0.027,Yes
26,Aspen Group,APZ.AX,78.52,0.194,0.944,Yes
27,360 Capital Mortgage REIT,TCF.AX,33.48,0.096,0.053,Yes
28,Franklin Australian Absolute Return Bd A ETF,FRAR.AX,7.28,0.023,0.018,Yes
29,Supply Network Limited,SNL.AX,97.31,0.235,0.638,Yes
30,Schroder Real Return Active ETF,GROW.AX,9.25,0.03,0.209,Yes
31,BSP Financial Group Limited,BFL.XA,57.59,0.158,,
32,VanEck Bentham Global Capital Securities Active ETF (Managed Fund),GCAP.AX,8.33,0.028,0.043,Yes
33,Aspen Group,APZ.XA,103.69,0.252,,
34,Vaneck Bentham Global Capital Securities Active Etf (Managed Fund),GCAP.XA,7.72,0.026,0.113,Yes
35,SHAPE Australia Corporation Limited,SHA.XA,48.48,0.141,,
36,Qantas Airways Limited,QAN.AX,64.75,0.181,0.927,Yes
37,MQ IO ETF TMF UNITS [MQIO],MQIO.XA,6.63,0.023,,
