Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Allianz SE,ALZ.NE,94.32,0.018,,
2,NameSilo Technologies Corp.,URL.CN,247.94,0.496,0.376,No
3,RobertoResInc,RBTO.CN,235.23,0.52,,
4,YorkHarbMet,YORK.CN,79.59,0.245,,
5,"Cisco Systems, Inc.",CSCO.NE,33.67,0.126,0.715,Yes
6,"Netflix, Inc.",NFLX.NE,79.92,0.278,0.887,Yes
7,Happy Belly Food Group Inc.,HBFG.CN,336.12,0.808,2.272,Yes
8,ESGold Corp.,ESAU.CN,328.46,0.81,2.664,Yes
9,BuscandoRes,BRCO-X.CN,152.41,0.506,0.805,Yes
10,International Business Machines Corporation,IBM.NE,58.37,0.247,1.659,Yes
11,Visa Inc.,VISA.NE,33.43,0.155,0.757,Yes
12,Highlander Silver Corp.,HSLV.CN,252.67,0.71,,
13,Walmart Inc.,WMT.NE,56.91,0.251,1.433,Yes
14,Fox River Resources Corporation,FOX.CN,123.61,0.473,1.376,No
15,Berkshire Hathaway Inc.,BRK.NE,37.56,0.19,0.864,Yes
16,Mastercard Incorporated,MA.NE,23.1,0.128,0.933,Yes
17,Glow Lifetech Corp.,GLOW.CN,259.63,0.846,2.609,No
18,CanaryGoldCo,BRAZ.CN,156.61,0.678,,
19,S&P/TSX Composite Index,^GSPTSE,16.8,0.108,1.0,Yes
20,Cascade Copper Corp.,CASC.CN,144.59,0.651,,
21,RektronGrp,REK-U.CN,324.49,1.112,,
22,RTX Corporation,RTX.NE,38.85,0.245,1.444,Yes
23,AbbVie Inc.,ABBV.NE,33.75,0.217,0.38,No
24,GOAT Industries Ltd.,GOAT.CN,302.69,1.091,5.31,No
25,BLACKROCK CDR (CAD HEDGED),BLK.NE,26.96,0.183,1.099,Yes
26,"CrowdStrike Holdings, Inc.",CRWD.NE,62.0,0.373,,
27,Provenance Gold Corp.,PAU.CN,340.86,1.207,5.667,Yes
28,Alma Gold Inc.,ALMA.CN,259.91,1.056,3.794,No
29,Greenland Resources Inc.,MOLY.NE,89.99,0.521,2.281,Yes
30,EnviroGold Global Limited,NVRO.CN,295.08,1.164,2.711,Yes
31,Canadian Copper Inc.,CCI.CN,168.29,0.827,0.699,No
32,Costco Wholesale Corporation,COST.NE,35.78,0.253,1.017,Yes
33,JPMorgan Chase & Co.,JPM.NE,33.68,0.24,1.565,Yes
34,MTL Cannabis Corp.,MTLC.CN,160.57,0.83,,
35,Mount Logan Capital Inc.,MLC.NE,55.33,0.378,1.693,Yes
36,Class 1 Nickel and Technologies Limited,NICO.CN,214.3,1.052,4.715,Yes
37,"Meta Platforms, Inc.",META.NE,40.75,0.306,0.523,Yes
38,Sixty North Gold Mining Ltd.,SXTY.CN,360.0,1.473,3.013,No
39,,SEEM.CN,179.91,1.004,,
40,Verizon Communications Inc.,VZ.NE,23.01,0.197,0.639,Yes
41,McDonald's Corporation,MCDS.NE,17.95,0.159,0.237,Yes
42,Stock Trend Capital Inc.,PUMP.CN,363.67,1.567,9.501,Yes
43,City View Green Holdings Inc.,CVGR.CN,184.09,1.044,0.291,No
44,King Global Ventures Inc.,KING.CN,201.79,1.151,2.414,Yes
45,"The Goldman Sachs Group, Inc.",GS.NE,36.52,0.316,2.526,Yes
46,American Critical Minerals Corp.,KCLI.CN,139.38,0.908,2.293,Yes
47,Voyageur Mineral Explorers Corp.,VOY.CN,54.63,0.466,0.793,Yes
48,JOHNSON & JOHNSON CDR (CAD HEDG,JNJ.NE,17.53,0.174,0.549,Yes
49,The Coca-Cola Company,COLA.NE,19.91,0.198,0.057,Yes
50,Rottenstone Gold Inc.,SK.CN,317.17,1.674,0.083,No
51,Muzhu Mining Ltd.,MUZU.CN,174.96,1.166,1.155,Yes
52,Rocky Shore Gold Ltd.,RSG.CN,115.73,0.891,3.693,Yes
53,Global Li-Ion Graphite Corp.,LION.CN,141.95,1.07,0.168,Yes
54,Metalsource Mining Inc.,MSM.CN,295.32,1.724,3.519,Yes
55,"Tesla, Inc.",TSLA.NE,69.25,0.639,2.694,Yes
56,Canamera Energy Metals Corp.,EMET.CN,16.64,0.185,0.149,Yes
57,Star Copper Corp.,STCU.CN,202.16,1.397,5.371,Yes
58,Immutable Holdings Inc.,HOLD.NE,106.45,0.905,6.736,Yes
59,Citigroup Inc.,CITI.NE,21.05,0.236,1.239,Yes
60,Global Crossing Airlines Group Inc.,JET-B.NE,100.53,0.913,0.107,Yes
61,BioNxt Solutions Inc.,BNXT.CN,80.22,0.77,0.038,No
62,Generative AI Solutions Corp.,AICO.CN,214.34,1.537,,
63,Plaintree Systems Inc.,NPT.CN,206.9,1.522,3.517,Yes
64,,SIX.CN,124.6,1.088,5.438,Yes
65,DEERE CDR (CAD HEDGED),DEER.NE,22.74,0.269,1.591,Yes
66,Argo Living Soils Corp.,ARGO.CN,287.03,1.883,1.177,No
67,"Aether Catalyst Solutions, Inc.",ATHR.CN,157.57,1.298,0.319,Yes
68,TAAT Global Alternatives Inc.,TAAT.CN,260.94,1.812,0.433,No
69,Red Lake Gold Inc.,RGLD.CN,189.93,1.513,5.383,Yes
70,Predictmedix AI Inc.,PMED.CN,282.08,1.987,2.655,No
71,Affinor Growers Inc.,AFI.CN,170.8,1.483,1.721,No
72,High Tide Resources Corp.,HTRC.CN,186.1,1.572,3.588,No
73,,HERB.CN,26.01,0.341,0.977,No
74,BRSResou,BRS.CN,110.96,1.13,,
75,Lobe Sciences Ltd.,LOBE.CN,48.21,0.592,2.299,No
76,BOOKING CDR (CAD HEDGED),BKNG.NE,22.05,0.297,,
77,Norsemont Mining Inc.,NOM.CN,290.23,2.138,5.119,No
78,PALO ALTO NETWORKS CDR (CAD HED,PANW.NE,20.48,0.28,0.231,Yes
79,Mustang Energy Corp.,MEC.CN,102.23,1.087,3.151,Yes
80,Bank of America Corporation,BOFA.NE,16.86,0.236,1.63,Yes
81,Westward Gold Inc.,WG.CN,15.28,0.218,0.25,No
82,Four Nines Gold Inc.,FNAU.CN,44.27,0.576,1.437,No
83,McFarlane Lake Mining Limited,MLM.NE,194.76,1.753,0.249,Yes
84,CAT Strategic Metals Corporation,CAT.CN,184.09,1.7,4.019,Yes
85,Triple One Metals Inc.,TONE.CN,161.3,1.576,5.765,Yes
86,S2 Minerals Inc.,STWO.CN,76.2,0.919,3.485,Yes
87,Rockland Resources Ltd.,RKL.CN,265.24,2.169,0.482,No
88,Global Crossing Airlines Group Inc.,JET.NE,73.04,0.891,1.105,Yes
89,CordovaCann Corp.,CDVA.CN,167.36,1.655,6.217,No
90,AmmPower Corp.,AMMP.CN,201.24,1.883,5.806,Yes
91,Spark Energy Minerals Inc.,SPRK.CN,85.77,1.082,3.784,Yes
92,Rain City Resources Inc.,RAIN.CN,320.15,2.618,9.1,No
93,VSBLTY Groupe Technologies Corp.,VSBY.CN,102.41,1.274,0.698,No
94,"The Home Depot, Inc.",HD.NE,13.18,0.22,1.721,Yes
95,"ServiceNow, Inc.",NOWS.NE,19.98,0.338,0.665,Yes
96,CDN Maverick Capital Corp.,CDN.CN,74.29,1.059,0.938,Yes
97,"CLS Holdings USA, Inc.",CLSH.CN,160.49,1.88,10.991,Yes
98,Regenera Insights Inc.,RGEN.CN,168.6,1.947,8.976,Yes
99,St-Georges Eco-Mining Corp.,SX.CN,31.74,0.541,0.358,Yes
100,First Phosphate Corp.,PHOS.CN,44.17,0.723,0.948,No
101,Alerio Gold Corp.,ALE.CN,70.48,1.067,2.868,No
102,POWR Lithium Corp.,POWR.CN,165.8,1.994,4.591,No
103,Molten Metals Corp,MOLT.CN,74.74,1.142,0.807,Yes
104,Argo Gold Inc.,ARQ.CN,24.28,0.453,1.069,No
105,Royalties Inc.,RI.CN,44.35,0.776,4.629,No
106,One World Lithium Inc.,OWLI.CN,58.99,1.011,0.078,No
107,StrategX Elements Corp.,STGX.CN,83.74,1.339,3.59,No
108,Starbucks Corporation,SBUX.NE,18.89,0.383,1.442,Yes
109,Great Eagle Gold Corp.,GEGC.CN,83.57,1.371,8.635,Yes
110,Cloud3 Ventures Inc.,CLDV.CN,204.05,2.604,13.016,Yes
111,3M Company,MMMM.NE,14.92,0.325,,
112,Rush Rare Metals Corp.,RSH.CN,61.0,1.133,0.324,Yes
113,General Electric Company,GE.NE,18.82,0.406,,
114,Denarius Metals Corp.,DMET.NE,20.58,0.446,0.307,No
115,Britannia Life Sciences Inc.,BLAB.CN,40.07,0.831,4.502,No
116,UnitedHealth Group Incorporated,UNH.NE,14.0,0.327,1.883,Yes
117,"Uber Technologies, Inc.",UBER.NE,15.37,0.358,0.028,Yes
118,Abound Energy Inc.,ABND.CN,122.02,2.062,5.769,Yes
119,Vireo Growth Inc.,VREO.CN,43.1,0.91,,
120,American Pacific Mining Corp.,USGD.CN,56.56,1.172,6.778,Yes
121,Leef Brands Inc.,LEEF.CN,109.89,2.021,1.867,No
122,"Amazon.com, Inc.",AMZN.NE,10.6,0.268,0.657,Yes
123,Generic Gold Corp.,GGC.CN,64.91,1.372,4.834,Yes
124,Cascada Silver Corp.,CSS.CN,110.0,2.059,1.008,Yes
125,Cannibble Food-Tech Ltd.,PLCN.CN,68.51,1.465,2.705,No
126,Max Power Mining Corp.,MAXX.CN,52.38,1.186,1.011,No
127,,METL.CN,88.21,1.817,7.871,Yes
128,Tartisan Nickel Corp.,TN.CN,38.8,0.933,4.319,Yes
129,Maple Leaf Green World Inc.,MGW.CN,32.79,0.807,1.841,Yes
130,Spearmint Resources Inc.,SPMT.CN,38.11,0.925,2.149,Yes
131,Xebra Brands Ltd.,XBRA.CN,78.83,1.684,2.945,No
132,Beckett's Inc.,BKTS.CN,70.55,1.556,3.428,No
133,Myriad Uranium Corp.,M.CN,22.83,0.604,3.115,Yes
134,Leocor Mining Inc.,LECR.CN,59.6,1.429,0.443,No
135,Diagnamed Holdings Corp.,DMED.CN,59.58,1.449,1.317,Yes
136,Prudent Minerals Corp.,PRUD.CN,129.41,2.618,3.73,No
137,Quimbaya Gold Inc.,QIM.CN,18.03,0.516,2.069,No
138,The Procter & Gamble Company,PG.NE,5.32,0.162,0.564,Yes
139,CriticalOneEne,CRTL.CN,27.04,0.762,1.718,No
140,Windfall Geotek Inc.,WIN.CN,76.5,1.837,1.455,No
141,Blueberries Medical Corp.,BBM.CN,56.23,1.457,10.695,Yes
142,Regenx Tech Corp.,RGX.CN,48.21,1.292,1.569,No
143,Musk Metals Corp.,MUSK.CN,42.72,1.185,4.698,Yes
144,Chevron Corporation,CHEV.NE,6.9,0.224,1.169,Yes
145,Hardcore Discoveries Ltd.,HARD.CN,48.0,1.336,0.909,No
146,Trojan Gold Inc.,TGII.CN,105.6,2.506,1.8,Yes
147,Black Gold,BGX.CN,41.44,1.189,2.842,No
148,Pharmala Biotech Holdings Inc.,MDMA.CN,61.79,1.666,4.242,Yes
149,CameoResInc,MEO.CN,22.84,0.719,,
150,Eli Lilly and Company,LLY.NE,10.75,0.356,0.759,No
