Rank,Name,Ticker,Return (%),Risk
1,"ACS, Actividades de Construcción y Servicios, S.A.",ACS.MC,53.99,0.142
2,"Endesa, S.A.",ELE.MC,57.99,0.155
3,"Arteche Lantegi Elkartea, S.A.",ART.MC,82.26,0.225
4,"Iberdrola, S.A.",IBE.MC,38.06,0.121
5,"Renta 4 Banco, S.A.",R4.MC,40.31,0.145
6,"Mapfre, S.A.",MAP.MC,39.18,0.155
7,"Logista Integral, S.A.",LOG.MC,27.01,0.123
8,"Aena S.M.E., S.A.",AENA.MC,36.8,0.165
9,Ferrovial SE,FER.MC,28.04,0.135
10,"Libertas 7, S.A.",LIB.MC,81.46,0.332
11,"Neinor Homes, S.A.",HOME.MC,55.54,0.253
12,"Aedas Homes, S.A.",AEDAS.MC,65.46,0.29
13,"Grupo Empresarial San José, S.A.",GSJ.MC,50.33,0.235
14,"ARRIENDA Rental Properties SOCIMI, S.A.",YARP.MC,5.25,0.029
15,"Proeduca Altus, S.A.",PRO.MC,77.7,0.341
16,"Advero Properties SOCIMI, S.A.",YADV.MC,23.01,0.13
17,Coca-Cola Europacific Partners PLC,CCEP.MC,26.34,0.152
18,"Amadeus IT Group, S.A.",AMS.MC,23.56,0.144
19,"Vitruvio Real Estate SOCIMI, S.A.",YVIT.MC,39.96,0.239
20,"AM LOCALES PROPERTY SOCIMI, S.A",SCAML.MC,3.8,0.026
21,"Grenergy Renovables, S.A.",GRE.MC,63.66,0.361
22,"Elecnor, S.A.",ENO.MC,26.53,0.174
23,"Ecoener, S.A.",ENER.MC,23.09,0.159
24,Banco Bradesco S.A.,XBBDC.MC,73.45,0.441
25,Petróleo Brasileiro S.A. - Petrobras,XPBRA.MC,62.16,0.387
26,Companhia Paranaense de Energia - COPEL,XCOP.MC,38.69,0.265
27,International Consolidated Airlines Group S.A.,IAG.MC,77.72,0.476
28,"Minor Hotels Europe & Americas, S.A.",NHH.MC,72.6,0.46
29,"Tubacex, S.A.",TUB.MC,33.77,0.243
30,"Gop Properties Socimi, S.A.",YGOP.MC,5.51,0.046
31,"Clínica Baviera, S.A.",CBAV.MC,41.16,0.317
32,"Faes Farma, S.A.",FAE.MC,25.89,0.251
33,"Facephi Biometria, S.A.",FACE.MC,36.78,0.38
34,"Telefónica, S.A.",TEF.MC,13.63,0.16
35,Bradespar S.A.,XBRPP.MC,31.55,0.357
36,"Pangaea Oncology, S.A.",PANG.MC,19.75,0.234
