Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Euronext N.V.,ENX.PA,71.33,0.149,0.226,Yes
2,"VIEL & Cie, société anonyme",VIL.PA,41.33,0.132,0.285,Yes
3,Danone S.A.,BN.PA,28.29,0.096,0.41,Yes
4,ABC arbitrage SA,ABCA.PA,58.04,0.192,0.427,Yes
5,Covivio Hotels,COVH.PA,59.72,0.204,0.093,Yes
6,Nokia Oyj,NOKIA.PA,53.17,0.189,0.329,Yes
7,Malteries Franco-Belges Société Anonyme,MALT.PA,44.55,0.173,0.816,Yes
8,EssilorLuxottica Société anonyme,EL.PA,44.18,0.192,1.106,Yes
9,Klépierre SA,LI.PA,35.84,0.176,0.543,Yes
10,Technip Energies N.V.,TE.PA,46.38,0.228,0.718,Yes
11,Sidetrade SA,ALBFR.PA,67.67,0.32,1.512,Yes
12,Idsud S.A.,ALIDS.PA,40.51,0.215,0.146,Yes
13,Les Docks des Pétroles d'Ambès -SA,DPAM.PA,48.39,0.268,0.734,Yes
14,Caisse Regionale de Credit Agricole Mutuel Toulouse 31,CAT31.PA,40.25,0.231,0.325,Yes
15,EPC Groupe,EXPL.PA,77.18,0.398,1.151,Yes
16,Compagnie de Saint-Gobain S.A.,SGO.PA,30.81,0.185,0.862,Yes
17,Crosswood SA,CROS.PA,65.47,0.358,0.985,Yes
18,CFM Indosuez Wealth Management SA,MLCFM.PA,24.51,0.159,0.161,No
19,Caisse Régionale de Crédit Agricole Mutuel Alpes Provence Société coopérative,CRAP.PA,31.05,0.201,0.699,Yes
20,Caisse Régionale de Crédit Agricole Mutuel de Normandie-Seine Société coopérative,CCN.PA,37.24,0.238,0.603,Yes
21,Made SA,MLMAD.PA,51.48,0.322,0.058,Yes
22,Caisse régionale de Crédit Agricole Mutuel d'Ille-et-Vilaine Société coopérative,CIV.PA,37.28,0.249,0.473,Yes
23,SANOFI NV25,SANNV.PA,30.67,0.217,,
24,Caisse Régionale de Crédit Agricole Mutuel Loire Haute-Loire Société coopérative,CRLO.PA,24.78,0.18,0.542,Yes
25,CBo Territoria SA,CBOT.PA,5.66,0.045,0.188,Yes
26,Bastide Le Confort Médical SA,BLC.PA,70.94,0.456,1.116,Yes
27,AYVENS,AYV.PA,52.54,0.369,1.927,Yes
28,Alstom SA,ALO.PA,48.92,0.357,0.098,Yes
29,Streamwide S.A.,ALSTW.PA,59.3,0.43,1.065,Yes
30,Compagnie Du Mont-Blanc,MLCMB.PA,17.57,0.148,0.277,Yes
31,Coheris SA,COH.PA,34.24,0.28,0.942,Yes
32,Caisse Régionale de Crédit Agricole Mutuel Nord de France Société coopérative,CNDF.PA,29.3,0.249,0.981,Yes
33,Safran SA,SAF.PA,24.09,0.212,1.148,Yes
34,"Facephi Biometria, S.A.",ALPHI.PA,54.98,0.44,1.201,Yes
35,"Plásticos Compuestos, S.A.",ALKOM.PA,30.85,0.275,0.371,No
36,Caisse Régionale de Crédit Agricole Mutuel Sud Rhône Alpes,CRSU.PA,28.94,0.26,1.175,Yes
37,Vaziva Société anonyme,ALVAZ.PA,33.77,0.298,0.868,No
38,Derichebourg SA,DBG.PA,56.19,0.461,1.514,Yes
39,74SOFTWARE,74SW.PA,32.82,0.303,0.863,No
40,Caisse Régionale de Crédit Agricole Mutuel Brie Picardie Société coopérative,CRBP2.PA,24.64,0.235,0.893,Yes
41,Baikowski SA,ALBKK.PA,27.17,0.258,0.742,Yes
42,Caisse Régionale de Crédit Agricole Mutuel du Languedoc Société coopérative,CRLA.PA,18.48,0.182,0.492,Yes
43,Fonciere Inea S.A.,INEA.PA,19.83,0.196,0.695,Yes
44,Sanofi,SAN.PA,16.96,0.175,1.001,Yes
45,Bourrelier Group SA,ALBOU.PA,17.01,0.179,0.331,Yes
46,SMCP S.A.,SMCP.PA,61.96,0.565,1.451,Yes
47,Amundi S.A.,AMUN.PA,20.39,0.218,0.881,Yes
48,Unibel S.A.,UNBL.PA,32.91,0.341,0.208,Yes
49,Lombard & Medot SA,MLCAC.PA,41.67,0.421,1.649,Yes
50,VusionGroup,VU.PA,40.29,0.415,1.177,Yes
51,EuropaCorp,ALECP.PA,66.96,0.657,2.569,Yes
52,Hexaom S.A.,ALHEX.PA,25.83,0.293,0.482,Yes
53,ADUX,ALDUX.PA,27.49,0.31,,
54,Aubay Société Anonyme,AUB.PA,27.81,0.317,0.655,Yes
55,bioMérieux S.A.,BIM.PA,19.43,0.229,1.434,Yes
56,Veolia Environnement SA,VIE.PA,16.98,0.205,0.407,Yes
57,Société Foncière Lyonnaise,FLY.PA,17.85,0.215,0.628,Yes
58,Trilogiq S.A.,ALTRI.PA,16.41,0.202,0.747,Yes
