Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Alma Media Oyj,0DJN.L,58.4,0.025,,
2,Evolva Holding SA,0QQJ.L,67.17,0.051,,
3,Thurgauer Kantonalbank,0QS4.L,34.29,0.032,,
4,Unilever PLC,UNAA.XC,48.29,0.05,,
5,First Trust Indxx Global Aerospace & Defence UCITS ETF Class A USD Acc,MISL.L,89.41,0.084,,
6,Pareto Bank ASA,0RI3.L,59.79,0.063,,
7,Arnoldo Mondadori Editore S.p.A.,0KAV.L,85.94,0.089,,
8,Covivio Hotels,0IS8.L,91.59,0.117,,
9,GEA Group Aktiengesellschaft,0MPJ.IL,56.79,0.081,0.572,Yes
10,Aspo Oyj,0J8S.L,28.38,0.045,,
11,Helvetia Holding AG,0ACB.L,79.19,0.116,,
12,Orion Oyj,0M2N.L,23.46,0.044,,
13,Züblin Immobilien Holding AG,ZUBNZ.XC,52.66,0.089,0.042,No
14,Euronext N.V.,ENXP.XC,58.99,0.1,0.082,No
15,Deutsche Börse AG,DB1D.XC,56.72,0.1,0.089,No
16,Imperial Brands PLC,IMBL.XC,63.82,0.111,0.614,Yes
17,HOCHTIEF Aktiengesellschaft,0EPW.IL,65.98,0.115,0.529,Yes
18,Deutsche Börse AG,0H3T.IL,61.04,0.11,0.026,Yes
19,AT&T Inc.,SOBAD.XC,87.54,0.146,0.284,Yes
20,Imperial Brands PLC,IMB.L,64.24,0.116,0.683,Yes
21,Poste Italiane S.p.A.,PSTM.XC,56.71,0.106,0.167,Yes
22,Basler Kantonalbank,0QLU.L,39.57,0.079,,
23,Assicurazioni Generali S.p.A.,GM.XC,57.84,0.109,0.537,Yes
24,First Mining Gold Corp.,0P07.L,74.22,0.138,,
25,Plazza AG,PLANZ.XC,24.09,0.053,0.004,Yes
26,"BlackRock, Inc.",0QZZ.L,73.02,0.137,,
27,eGain Corporation,0IFM.L,85.83,0.16,,
28,Hexaom S.A.,0F8T.L,76.9,0.149,,
29,DMG MORI AKTIENGESELLSCHAFT,0OP0.IL,7.82,0.019,0.012,No
30,SYNLAB AG,0A9B.L,49.38,0.107,,
31,"Ramada Investimentos e Industria, S.A.",0JOP.L,29.02,0.068,0.034,Yes
32,Helvetia Holding AG,HELNZ.XC,67.36,0.14,0.575,Yes
33,Deutsche Telekom AG,DTED.XC,67.65,0.142,1.16,Yes
34,Knowles Corporation,0JRJ.L,90.42,0.182,,
35,Personal Assets Trust plc,PNLL.XC,2.73,0.008,0.031,No
36,TF Bank AB (publ),0RHM.L,66.07,0.145,,
37,VZ Holding AG,VZNZ.XC,68.48,0.154,0.203,Yes
38,GEA Group Aktiengesellschaft,G1AD.XC,67.95,0.154,0.514,No
39,Swiss Life Holding AG,SLHNZ.XC,41.16,0.102,0.62,Yes
40,BAWAG Group AG,BGV.XC,70.28,0.159,0.897,Yes
41,Orkla ASA,0FIN.IL,58.7,0.138,0.508,Yes
42,Willis Towers Watson Public Limited Company,0Y4Q.L,39.08,0.098,0.633,Yes
43,"ACS, Actividades de Construcción y Servicios, S.A.",ACSE.XC,58.46,0.139,0.102,Yes
44,Burkhalter Holding AG,0QO2.L,36.2,0.093,,
45,"Endesa, S.A.",ELEE.XC,45.96,0.114,0.044,No
46,"ACS, Actividades de Construcción y Servicios, S.A.",0HAC.IL,53.7,0.133,0.199,Yes
47,iShares Physical Gold ETC,EGLN.L,38.4,0.1,0.121,Yes
48,"Gilead Sciences, Inc.",0QYQ.IL,89.69,0.201,0.611,Yes
49,Deutsche Telekom AG,0MPH.IL,67.47,0.161,1.253,Yes
50,Banca Generali S.p.A.,0DQZ.IL,56.16,0.14,1.149,Yes
51,Zurich Insurance Group AG,0QP2.IL,43.46,0.113,0.364,Yes
52,High Co. SA,0O9Y.L,53.24,0.135,,
53,BAWAG Group AG,0RVE.IL,78.92,0.187,1.498,Yes
54,Assicurazioni Generali S.p.A.,0K78.IL,55.87,0.142,1.239,Yes
55,Beazley plc,BEZ.L,45.08,0.12,0.243,No
56,STS Global Income & Growth Trust plc,STSL.XC,9.78,0.03,0.015,No
57,Beazley plc,BEZL.XC,44.06,0.118,0.365,No
58,Schindler Holding AG,SCHNZ.XC,24.57,0.071,0.258,Yes
59,NiSource Inc.,0K87.L,54.18,0.142,0.746,Yes
60,MTU Aero Engines AG,0FC9.IL,49.35,0.132,0.497,Yes
61,Tanger Inc.,0LD4.L,76.01,0.188,,
62,Schindler Holding AG,0QOT.L,23.2,0.069,,
63,Anima Holding SpA,0QTI.IL,76.24,0.19,0.261,Yes
64,"Endesa, S.A.",0N9G.IL,57.85,0.153,0.013,No
65,Zurich Insurance Group AG,ZURNZ.XC,44.02,0.125,0.508,Yes
