Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Shriram Nifty 1D Rate Liquid ETF,LIQUIDSHRI.NS,6.17,0.001,,
2,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE.NS,6.33,0.001,0.003,No
3,DSP S&P BSE Liquid Rate ETF,LIQUIDADD.NS,6.3,0.001,0.003,No
4,Mirae Asset Nifty 1D Rate Liquid ETF-Growth,LIQUIDPLUS.NS,6.34,0.001,,
5,Parshwanath Corporation Limited,PARSHWANA.BO,50.65,0.01,,
6,Groww Nifty 1D Rate Liquid ETF,GROWWLIQID.NS,6.37,0.002,,
7,Aditya BSL CRISIL 10 Year Gilt ETF,GSEC10ABSL.NS,17.79,0.009,,
8,Rodium Realty Limited,RODIUM.BO,55.47,0.028,,
9,DSP NIFTY 1D Rate Liquid ETF,LIQUIDETF.NS,5.56,0.005,0.005,Yes
10,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,SDL26BEES.NS,7.63,0.01,0.017,Yes
11,Mirae Asset Nifty 1D Rate Liquid ETF-IDCW,LIQUID.NS,6.04,0.008,0.005,Yes
12,A-1 Ltd,A1L.BO,83.63,0.088,,
13,Univa Foods Limited,UNIVAFOODS.NS,59.78,0.069,0.226,Yes
14,BHARAT Bond ETF April 2030 Growth,EBBETF0430.NS,9.74,0.015,0.067,Yes
15,SBI Nifty 10 yr Benchmark G-Sec ETF,SETF10GILT.NS,10.82,0.016,0.073,Yes
16,Altius Telecom Infrastructure Trust,ALTIUSINVIT.BO,45.45,0.061,,
17,Kotak Mahindra Mutual Fund - Kotak Nifty 1d Rate Liquid Etf,LIQUID1.NS,4.7,0.008,0.027,No
18,BHARAT Bond ETF - April 2032,BBETF0432.NS,10.21,0.018,0.077,Yes
19,Aayush Art & Bullion Ltd,AAYUSHBULL.BO,64.48,0.092,,
20,Nippon India Mutual Fund - Nippon India ETF Nifty 8-13 yr G-Sec Long Term Gilt,LTGILTBEES.NS,11.68,0.021,0.072,Yes
21,"Edelweiss Amc Ltd - Edelweiss Mutual Fund - Edelweiss Bharat Bond Exchange Traded Fund, April 2031",EBBETF0431.NS,9.88,0.018,0.069,Yes
22,BHARAT Bond ETF - April 2033,EBBETF0433.NS,10.01,0.018,0.081,Yes
23,Nippon India ETF Nifty 5 yr Benchmark G-Sec,GILT5YBEES.NS,9.99,0.019,0.004,No
24,Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,AXISBPSETF.NS,7.14,0.017,0.075,No
25,SARTHAK GLOBAL LTD.,SARTHAKGL.BO,53.61,0.113,0.021,Yes
26,SM Auto Stamping Limited,SMAUTO.BO,88.82,0.17,,
27,LIC MF Nifty 8-13 yr G-SEC ETF,LICNETFGSC.NS,13.17,0.033,0.141,Yes
28,Meghna Infracon Infrastructure Limited,MIIL.BO,91.78,0.185,,
29,OSWAL LEASING LTD.,OSWALEA.BO,38.01,0.09,0.032,No
30,Bajaj Finserv Nifty 1D Rate Liquid ETF - Growth,LIQUIDBETF.NS,3.16,0.009,,
31,Mirae Asset Nifty 8-13 yr G-Sec ETF,GSEC10YEAR.NS,11.45,0.031,0.169,Yes
32,VTM Limited,VTMLTD.BO,116.44,0.233,,
33,UTI Nifty 5 Yr Benchmark G-Sec ETF,NIF5GETF.NS,11.15,0.032,0.119,No
34,Aviva Industries Limited,AVIVA.BO,42.91,0.111,0.351,No
35,Surbhi Industries Limited,SURBHIN.BO,102.86,0.254,0.023,Yes
36,ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF,GSEC10IETF.NS,9.15,0.032,,
37,ICICI Prudential Nifty 5 Yr Bench G-SEC ETF,GSEC5IETF.NS,9.86,0.035,0.097,Yes
38,Ami Organics Limited,AMIORG.BO,120.42,0.319,0.75,Yes
39,Ami Organics Limited,AMIORG.NS,120.31,0.322,0.759,Yes
40,Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS,64.01,0.2,0.751,Yes
41,Bajaj Holdings & Investment Limited,BAJAJHLDNG.BO,63.98,0.202,0.745,Yes
42,Deccan Bearings Limited,DECANBRG.BO,61.56,0.206,0.084,Yes
43,Times Guaranty Limited,TIMESGTY.BO,108.58,0.32,0.572,Yes
44,Divi's Laboratories Limited,DIVISLAB.NS,52.39,0.181,0.435,Yes
45,Divi's Laboratories Limited,DIVISLAB.BO,52.43,0.182,0.431,Yes
