Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,RHB Bank Berhad,1066.KL,37.14,0.123,0.127,Yes
2,KLCC Property Holdings Berhad,5235SS.KL,21.25,0.075,0.375,Yes
3,S P Setia Berhad,8664PA.KL,9.68,0.036,0.076,Yes
4,Solar District Cooling Group Berhad,0321.KL,48.0,0.159,,
5,IGB Real Estate Investment Trust,5227.KL,31.21,0.111,0.321,Yes
6,AMMB Holdings Berhad,1015.KL,47.55,0.174,0.998,Yes
7,Sunway Real Estate Investment Trust,5176.KL,23.61,0.095,0.013,Yes
8,Ecomate Holdings Berhad,0239.KL,30.11,0.121,0.606,No
9,Westports Holdings Berhad,5246.KL,32.32,0.129,0.547,Yes
10,Green Ocean Corporation Berhad,0074.KL,54.81,0.232,0.364,Yes
11,LPI Capital Bhd,8621.KL,31.62,0.15,0.243,No
12,Spritzer Bhd,7103.KL,35.97,0.17,0.072,Yes
13,United Plantations Berhad,2089.KL,39.0,0.192,0.594,Yes
14,Innoprise Plantations Berhad,6262.KL,38.27,0.201,0.15,No
15,Sentral REIT,5123.KL,6.21,0.037,0.078,Yes
16,Sunway Berhad,5211PA.KL,50.36,0.259,1.234,Yes
17,Xin Synergy Group Berhad,7043.KL,45.49,0.244,0.911,Yes
18,IGB Berhad,5606.KL,12.6,0.077,0.539,Yes
19,Maybulk Berhad,5077.KL,30.34,0.175,0.439,No
20,Hong Leong Industries Berhad,3301.KL,44.89,0.256,0.749,Yes
21,TradePlus Shariah Gold ETF,0828EA.KL,26.61,0.165,1.051,No
22,Gas Malaysia Berhad,5209.KL,28.14,0.177,0.23,Yes
23,MHC Plantations Bhd.,5026.KL,14.51,0.1,0.184,No
24,Alliance Bank Malaysia Berhad,2488.KL,32.51,0.215,0.584,Yes
25,IGB Commercial Real Estate Investment Trust,5299.KL,15.97,0.114,0.327,Yes
26,Malayan Banking Berhad,1155.KL,11.52,0.086,0.513,Yes
27,KPJ Healthcare Berhad,5878.KL,42.08,0.286,0.394,No
28,Sunway Berhad,5211.KL,37.91,0.262,0.829,Yes
29,Pavilion Real Estate Investment Trust,5212.KL,22.33,0.168,0.725,Yes
30,Kelington Group Berhad,0151.KL,36.64,0.269,0.288,Yes
31,OSK Holdings Berhad,5053.KL,29.49,0.223,1.419,Yes
32,JcbNext Berhad,0058.KL,9.39,0.077,0.237,Yes
33,Kumpulan Kitacon Berhad,5310.KL,14.39,0.116,0.454,Yes
34,Pecca Group Berhad,5271.KL,35.18,0.264,0.039,Yes
35,Eco World Development Group Berhad,8206.KL,53.88,0.389,1.577,Yes
36,Farm Fresh Berhad,5306.KL,24.64,0.197,0.123,Yes
37,Far East Holdings Berhad,5029.KL,12.52,0.107,0.276,Yes
38,Lim Seong Hai Capital Berhad,0351.KL,4.15,0.038,0.059,No
39,Kumpulan Fima Berhad,6491.KL,16.08,0.14,0.277,Yes
40,SDS Group Berhad,0212.KL,48.52,0.374,1.529,Yes
41,SD Guthrie Berhad,5285.KL,14.47,0.127,0.695,Yes
42,Ireka Corporation Berhad,8834.KL,64.29,0.476,0.738,No
43,Vestland Berhad,0273.KL,55.31,0.424,1.027,Yes
44,Concrete Engineering Products Berhad,8435.KL,16.1,0.143,0.188,No
45,Kerjaya Prospek Group Berhad,7161.KL,27.14,0.236,0.22,No
46,Shin Yang Group Berhad,5173.KL,39.79,0.337,1.395,Yes
47,Oriental Holdings Berhad,4006.KL,12.97,0.127,0.075,Yes
48,Sarawak Plantation Berhad,5135.KL,18.7,0.183,0.263,No
49,Insas Berhad,3379PB.KL,2.87,0.03,0.033,No
50,Scanwolf Corporation Berhad,7239.KL,26.88,0.256,0.688,Yes
51,Chin Teck Plantations Berhad,1929.KL,12.38,0.126,0.186,Yes
