Rank,Name,Ticker,Return (%),Risk
1,VISA,VISA.WA,60.68,0.146
2,Ailleron S.A.,ALL.WA,41.38,0.146
3,Voxel S.A.,VOX.WA,67.36,0.25
4,Rawlplug S.A.,RWL.WA,30.07,0.133
5,Quercus TFI S.A.,QRS.WA,59.63,0.278
6,Getin Holding S.A.,GTN.WA,39.54,0.201
7,Unimot S.A.,UNT.WA,28.93,0.17
8,Mennica Polska S.A.,MNC.WA,43.89,0.267
9,META,META.WA,47.08,0.285
10,Bioceltix S.A.,BCX.WA,59.86,0.356
11,Cyber_Folks S.A.,CBF.WA,46.66,0.291
12,Cyfrowy Polsat S.A.,CPS.WA,66.37,0.393
13,BEST S.A.,BST.WA,41.27,0.266
14,Apator S.A.,APT.WA,33.01,0.219
15,Torpol S.A.,TOR.WA,38.8,0.26
16,CPI FIM SA,OPG.WA,42.48,0.284
17,Dom Development S.A.,DOM.WA,36.75,0.251
18,PGE Polska Grupa Energetyczna S.A.,PGE.WA,37.54,0.26
19,Stalprodukt S.A.,STP.WA,25.19,0.193
20,Archicom S.A.,ARH.WA,44.78,0.33
21,Energa SA,ENG.WA,30.51,0.247
22,AB S.A.,ABE.WA,34.92,0.28
23,Orange Polska S.A.,OPL.WA,21.97,0.188
24,Digital Network SA,DIG.WA,47.24,0.375
25,Atlanta Poland S.A.,ATP.WA,11.36,0.103
26,Allianz SE,ALV.WA,13.48,0.125
27,FERRO S.A.,FRO.WA,17.09,0.161
28,Tire Company Debica S.A.,DBC.WA,15.4,0.147
29,Mirbud S.A.,MRB.WA,50.38,0.436
30,Wasko S.A.,WAS.WA,33.56,0.31
31,AC Spólka Akcyjna,ACG.WA,13.48,0.135
32,Sonel S.A.,SON.WA,31.03,0.295
33,KCI Spolka Akcyjna,KCI.WA,11.32,0.119
34,Dr. Miele Cosmed Group S.A.,DMG.WA,49.62,0.456
35,Dadelo S.A.,DAD.WA,31.62,0.314
36,Fabryki Mebli FORTE S.A.,FTE.WA,31.72,0.315
37,Mostostal Zabrze S.A.,MSZ.WA,29.3,0.3
