Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Chailease Holding Company Limited,5871A.TW,7.47,0.017,0.003,No
2,"Bank of Kaohsiung Co., Ltd.",2836A.TW,13.09,0.032,0.105,Yes
3,"Fubon Financial Holding Co., Ltd.",2881B.TW,9.32,0.023,0.051,No
4,"FuSheng Precision Co., Ltd.",6670.TW,33.5,0.086,0.195,No
5,"KGI Financial Holding Co., Ltd.",2883B.TW,11.0,0.034,0.014,Yes
6,"CTBC Financial Holding Co., Ltd.",2891B.TW,10.87,0.036,0.044,No
7,"Fubon Financial Holding Co., Ltd.",2881A.TW,7.91,0.026,0.06,No
8,"Hi-Yes International Co., Ltd.",2348A.TW,15.85,0.052,0.058,Yes
9,"Gseven Co., Ltd.",2937.TWO,33.98,0.105,0.177,No
10,QST International Corp.,8349A.TWO,16.12,0.054,0.137,Yes
11,"TYC Brother Industrial Co., Ltd.",1522A.TW,12.07,0.042,0.092,Yes
12,"Cathay Financial Holding Co., Ltd.",2882A.TW,6.74,0.024,0.059,No
13,WB,7744.TWO,44.28,0.151,,
14,DEXATEK,7455.TWO,20.66,0.077,,
15,"WT Microelectronics Co., Ltd.",3036A.TW,12.25,0.05,0.046,Yes
16,"Cathay Financial Holding Co., Ltd.",2882B.TW,9.16,0.038,0.07,No
17,"Taishin Financial Holding Co., Ltd.",2887F.TW,5.7,0.025,0.021,Yes
18,Union Bank of Taiwan,2838A.TW,5.92,0.026,0.046,No
19,"Far EasTone Telecommunications Co., Ltd.",4904.TW,20.56,0.091,0.197,No
20,"ChainSea Information Integration Co.,Ltd.",6898.TWO,45.21,0.186,0.408,No
21,"Supreme Electronics Co., Ltd.",8112A.TW,7.01,0.034,0.146,Yes
22,"Daiken Biomedical Co., Ltd.",7780.TWO,57.1,0.238,,
23,"Taiwan Mobile Co., Ltd.",3045.TW,18.35,0.088,0.11,No
24,News World Wu Company,2245.TWO,52.14,0.228,0.138,Yes
25,Yulon Finance Corporation,9941A.TW,5.5,0.029,0.018,Yes
26,"Taiwan Biomaterial Co., Ltd.",6649.TWO,38.43,0.177,0.114,Yes
27,Ubright Optronics Corporation,4933.TWO,50.29,0.224,0.152,No
28,Trade-Van Information Services Co.,6183.TW,25.62,0.128,0.411,Yes
29,Lian Hwa Foods Corporation,1231.TW,54.34,0.249,1.029,Yes
30,"O-Bank Co., Ltd.",2897B.TW,5.28,0.029,,
31,"De Licacy Industrial Co., Ltd.",1464.TW,43.14,0.217,0.602,Yes
32,RBC Bioscience Corporation,6848.TWO,32.74,0.174,0.425,Yes
33,"Shin Kong Financial Holding Co., Ltd.",2888.TW,49.94,0.257,0.198,Yes
34,Iscom Online International Information Inc.,6868.TWO,27.94,0.156,0.048,No
