Rank,Name,Ticker,Return (%),Risk
1,KBC Ancora SA,KBCA.BR,41.72,0.117
2,ageas SA/NV,AGS.BR,33.53,0.105
3,What's Cooking Group NV,WHATS.BR,51.24,0.289
4,D'Ieteren Group SA,DIE.BR,54.15,0.335
5,UCB SA,UCB.BR,32.05,0.223
6,EVS Broadcast Equipment SA,EVS.BR,28.85,0.207
7,Vastned,VASTB.BR,12.64,0.099
8,KBC Group NV,KBC.BR,27.61,0.204
9,Financière de Tubize SA,TUB.BR,36.38,0.274
10,Titan Cement International S.A.,TITC.BR,47.31,0.35
11,Wereldhave Belgium,WEHB.BR,17.85,0.149
12,Qrf Comm. VA,QRF.BR,6.86,0.093
13,Sofina Société Anonyme,SOF.BR,14.58,0.248
14,Greenyard NV,GREEN.BR,25.14,0.41
15,Home Invest Belgium S.A.,HOMI.BR,11.57,0.252
16,Xior Student Housing NV,XIOR.BR,9.51,0.211
17,Biotalys NV,BTLS.BR,14.36,0.332
18,Accentis N.V.,ACCB.BR,7.46,0.19
19,Groupe Bruxelles Lambert SA,GBLB.BR,4.18,0.113
20,Tessenderlo Group NV,TESB.BR,10.74,0.302
21,Jensen-Group NV,JEN.BR,5.76,0.207
22,Proximus PLC,PROX.BR,7.87,0.291
23,Elia Group SA/NV,ELI.BR,12.9,0.469
24,Fluxys Belgium SA,FLUX.BR,10.95,0.418
25,Smartphoto Group NV,SMAR.BR,11.57,0.458
26,"Iep Invest, NV",IEP.BR,5.23,0.219
27,Compagnie d'Entreprises CFE SA,CFEB.BR,5.31,0.227
28,Van de Velde NV,VAN.BR,2.19,0.171
29,Anheuser-Busch InBev SA/NV,ABI.BR,3.42,0.283
30,Belysse Group NV,BELYS.BR,2.77,0.672
31,Cenergy Holdings SA,CENER.BR,0.35,0.256
32,Retail Estates N.V.,RET.BR,0.06,0.141
33,Barco NV,BAR.BR,-0.88,0.374
34,Care Property Invest NV,CPINV.BR,-1.79,0.233
35,Brederode SA,BREB.BR,-1.8,0.15
36,ABO-Group Environment NV,ABO.BR,-6.18,0.367
37,Colruyt Group N.V.,COLR.BR,-4.84,0.25
38,Compagnie du Bois Sauvage S.A.,COMB.BR,-7.0,0.279
39,Shurgard Self Storage Ltd,SHUR.BR,-6.97,0.248
40,Floridienne S.A.,FLOB.BR,-10.94,0.306
41,Viohalco S.A.,VIO.BR,-9.49,0.24
42,Lotus Bakeries NV,LOTB.BR,-11.81,0.264
43,Nyxoah SA,NYXH.BR,-26.17,0.631
44,Newtree S.A.,NEWT.BR,-23.74,0.542
45,Agfa-Gevaert NV,AGFB.BR,-20.64,0.379
46,Kinepolis Group NV,KIN.BR,-17.71,0.248
47,Ontex Group NV,ONTEX.BR,-19.41,0.274
48,Deceuninck NV,DECB.BR,-16.12,0.22
49,Banimmo SA,BANI.BR,-9.61,0.121
50,Warehouses De Pauw SA,WDP.BR,-15.83,0.196
51,VGP NV,VGP.BR,-22.26,0.279
52,Texaf S.A.,TEXF.BR,-10.12,0.117
53,Payton Planar Magnetics Ltd.,PAY.BR,-11.49,0.132
54,TINC NV,TINC.BR,-8.44,0.094
55,Ion Beam Applications SA,IBAB.BR,-25.58,0.287
56,Recticel SA/NV,RECT.BR,-22.86,0.211
57,Quest for Growth NV,QFG.BR,-14.78,0.13
58,Brouwerij Handelsmaatschappij NV,COBH.BR,-25.73,0.235
59,Immobel SA,IMMO.BR,-34.26,0.276
60,Banque nationale de Belgique SA,BNB.BR,-25.75,0.193
61,Syensqo SA/NV,SYENS.BR,-32.03,0.237
62,DEME Group NV,DEME.BR,-20.03,0.134
63,NV Bekaert SA,BEKB.BR,-22.49,0.149
64,Econocom Group SE,ECONB.BR,-19.09,0.123
65,Cmb.Tech NV,CMBT.BR,-43.3,0.311
66,Montea Comm. VA,MONT.BR,-24.64,0.157
67,Melexis NV,MELE.BR,-36.06,0.219
68,Crescent NV,OPTI.BR,-49.6,0.332
69,bpost NV/SA,BPOST.BR,-59.51,0.264
70,Atenor SA,ATEB.BR,-54.9,0.176
