Rank,Name,Ticker,Return (%),Risk
1,iShares Trust - iShares 10-20 Year Treasury Bond ETF,TLH.SN,4.01,0.0
2,MBI ADMINISTRADORA GENERAL DE F,CFIMBD3A-E.SN,11.38,0.002
3,Frontal Trust Adm. Gen De Fondos SA - Cordada Rendimiento Con Liquidez FI Fund,CFIFTCLPP.SN,8.91,0.002
4,FRONTAL TRUST ADM GEN DE FONDOS,CFIFTRLPP.SN,7.45,0.002
5,Fondo De Inversion ETF Singular Chile Corta Duracion,CFIETFCD.SN,5.36,0.002
6,"iShares, Inc. - iShares MSCI Japan ETF",EWJCL.SN,20.68,0.008
7,AMERIS CAPITAL ADM GEN DE FDOS ,CFIADI6FID.SN,14.15,0.006
8,Frontal Trust Adm. Gen De Fondos SA - Cordada Rendimiento Con Liquidez FI Fund,CFIFTUFP.SN,9.09,0.006
9,Toesca SA Administrative General De Fondos- Toesca Deuda Privada Fondo De Inversion,CFITODPA-E.SN,10.12,0.007
10,Ameris Capital Administradora General de Fondos S.A.- Fundo de Inversion Ameris Deuda Directa Fund,CFIAMDDA-E.SN,8.28,0.006
11,TOESCA SA ADM GENERAL DE FONDOS,CFITODPX-E.SN,9.41,0.008
12,Toesca SA Administrative General De Fondos- Toesca Deuda Privada Fondo De Inversion,CFITODPF-E.SN,10.26,0.009
13,Ameris Capital Administradora General de Fondos S.A.- Fundo de Inversion Ameris Deuda Directa Fund,CFIAMDDC-E.SN,7.26,0.008
14,Moneda Renta CLP Fondo de Inversion,CFIMRCLP.SN,11.15,0.015
15,MBI ADMINISTRADORA GENERAL DE F,CFI-MBPDUS.SN,9.07,0.013
16,SINGULAR ASSET MANAGM ADM GEN F,CFILBKI3-E.SN,8.61,0.014
17,SINGULAR ASSET MANAGM ADM GEN F,CFILBKA3-E.SN,7.05,0.013
18,ISHARES US ETF TRUST BLACKROCK ,NEAR.SN,6.65,0.013
19,Fondo de Inversión ETF Singular Chile Corporativo,CFIETFCC.SN,9.36,0.02
20,Empresa Constructora Moller y Pérez Cotapos S.A.,MOLLER.SN,39.15,0.075
21,Falabella S.A.,FALABELLA.SN,65.13,0.129
22,Btg Pactual Chile Sa Administradora General De Fon - Cuota Fondos De Inversion,CFIBTGRE.SN,18.41,0.043
23,Euroamerica Administradora General De Fondos SA - FI Renta Fija Chile Index Fund,CFIEARFCHA.SN,10.61,0.026
24,BTG Pactual Chile S.A. Administradora General De Fondos - Liquidez Alternativa Fund,CFIBTGPLAA.SN,6.31,0.017
25,Moneda Renta CLP Fondo de Inversion,CFIMRCLPR.SN,16.17,0.044
26,Enel Generación Chile S.A.,ENELGXCH.SN,57.9,0.147
27,iShares Trust - iShares iBoxx $ High Yield Corporate Bond ETF,HYGCL.SN,21.78,0.074
28,Blumar S.A.,BLUMAR.SN,26.2,0.098
29,MBI Arbitrage Fondo de Inversion,CFIMBIAR-A.SN,37.57,0.136
30,Aguas Andinas S.A.,AGUAS-A.SN,39.67,0.162
31,Administradora de Fondos de Pensiones Cuprum S.A.,CUPRUM.SN,67.29,0.254
32,Embotelladora Andina S.A.,ANDINA-A.SN,51.93,0.207
33,Cristalerías de Chile S.A.,CRISTALES.SN,28.52,0.127
34,Fondo Mutuo ETF IT NOW S&P IPSA UNICA,CFMITNIPSA.SN,18.74,0.089
35,NVIDIA Corporation,NVDA.SN,50.02,0.216
36,Banchile Administradora General - Fondo de Inversion MarketPlus Fund,CFIBMPEU-E.SN,11.18,0.056
37,SalfaCorp S.A.,SALFACORP.SN,27.51,0.133
38,Engie Energia Chile S.A.,ECL.SN,37.01,0.177
39,Enel Chile S.A.,ENELCHILE.SN,34.07,0.166
40,Enaex S.A.,ENAEX.SN,10.95,0.061
41,Inversiones Aguas Metropolitanas S.A.,IAM.SN,26.1,0.142
42,Colbún S.A.,COLBUN.SN,26.86,0.147
43,Compañía Cervecerías Unidas S.A.,CCU.SN,35.51,0.189
44,Empresas Lipigas S.A.,LIPIGAS.SN,34.36,0.185
45,Empresas Tricot S.A.,TRICOT.SN,55.18,0.279
46,Quiñenco SA,QUINENCO.SN,29.56,0.169
47,Fondo Mutuo ETF It Now S&P/CLX Chile Dividend Index UNICA,CFMDIVO.SN,17.0,0.102
48,Besalco S.A.,BESALCO.SN,34.52,0.201
49,Administradora de Fondos de Pensiones Provida S.A.,PROVIDA.SN,43.85,0.278
50,Empresa Eléctrica Pehuenche S.A.,PEHUENCHE.SN,24.18,0.168
51,Inversiones La Construcción S.A.,ILC.SN,36.09,0.245
52,ISHARES TRUST CORE MSCI TOTAL I,IXUS.SN,7.83,0.062
53,Compañía General de Electricidad S.A.,CGE.SN,57.38,0.38
54,Administradora de Fondos de Pensiones Habitat S.A.,HABITAT.SN,26.58,0.196
55,Walmart Inc.,WALMARTCL.SN,68.09,0.446
56,LATAM Airlines Group S.A.,LTM.SN,25.24,0.193
57,Zona Franca de Iquique S.A.,ZOFRI.SN,19.57,0.156
58,Fondo Mutuo ETF It Now S&P IPSA ESG UNICA,CFMESGIPSA.SN,11.24,0.093
59,"Amazon.com, Inc.",AMZNCL.SN,48.54,0.366
60,MONEDA SA ADMIN GENERAL DE FOND,CFIMRVCHR.SN,13.11,0.123
61,Instituto de Diagnóstico S.A.,INDISA.SN,21.33,0.203
62,Empresas Gasco S.A.,GASCO.SN,15.63,0.163
63,Larrainvial Asset Management Administradora General - Fondo De Inversion Larrainvial Deuda Privada F,CFILVDPU-E.SN,4.11,0.045
64,TESLA INC,TSLACL.SN,77.23,0.677
65,Fondo de Inversión ETF Singular Global Equities Unica,CFIETFGE.SN,11.59,0.127
66,Microsoft Corporation,MSFTCL.SN,21.04,0.24
67,ISHARES BITCOIN TRUST ETF NPV C,IBITCL.SN,82.5,0.77
68,Banchile Administradora General - Fondo de Inversion MarketPlus Fund,CFIBCHMPUS.SN,12.76,0.166
69,Administradora Americana de Inversiones S.A.,AAISA.SN,18.51,0.24
70,iShares Trust - iShares Core S&P 500 ETF,IVVCL.SN,12.38,0.167
71,abc S.A.,ABC.SN,32.27,0.406
72,Fondo de Inversion ETF Singular S&P 500 Fund,CFISP500.SN,12.39,0.17
73,Bice Alternativos Fondo De Inversion,CFIBALT1.SN,7.76,0.121
74,Multiexport Foods S.A.,MULTI-X.SN,16.45,0.25
75,Fondo de Inversión ETF Singular NASDAQ 100,CFINASDAQ.SN,12.5,0.208
76,Fondo De Inversion Fynsa Renta Fija Privada II,CFIFYNRF2A.SN,5.36,0.1
77,iShares Trust - iShares U.S. Technology ETF,IYWCL.SN,12.35,0.263
