Rank,Name,Ticker,Return (%),Risk
1,"MONETA Money Bank, a.s.",MONET.PR,56.26,0.135
2,Kofola CeskoSlovensko a.s.,KOFOL.PR,67.3,0.166
3,Deutsche Bank Aktiengesellschaft,DBK.PR,58.04,0.159
4,Philip Morris CR a.s.,TABAK.PR,21.37,0.08
5,Deutsche Telekom AG,DTE.PR,55.97,0.204
6,Skanska AB (publ),SKAB.PR,29.75,0.135
7,"Komercní banka, a.s.",KOMB.PR,43.46,0.209
8,Erste Group Bank AG,ERBAG.PR,38.73,0.216
9,Nokia Oyj,NOKIA.PR,36.07,0.22
10,"CEZ, a. s.",CEZ.PR,29.25,0.194
11,Raiffeisen Bank International AG,RBI.PR,48.28,0.314
12,"RMS Mezzanine, a.s.",PVT.PR,104.95,1.015
13,Andritz AG,ANDR.PR,24.36,0.337
14,"ENERGOAQUA, a.s.",ENRGA.PR,10.03,0.188
15,Pilulka Lékárny a.s.,PINK.PR,47.06,0.853
16,Colt CZ Group SE,CZG.PR,6.58,0.158
17,Orlen S.A.,PKN.PR,12.17,0.326
18,FACC AG,FACC.PR,11.24,0.362
19,HARDWARIO a.s.,HWIO.PR,11.33,0.43
20,Primoco UAV SE,PRIUA.PR,3.51,0.221
21,RWE Aktiengesellschaft,RWE.PR,1.2,0.231
22,Gen Digital Inc.,GEN.PR,0.76,0.279
23,OMV Aktiengesellschaft,OMV.PR,-0.41,0.22
24,eMan a.s.,EMAN.PR,-6.02,0.252
25,KGHM Polska Miedz S.A.,KGH.PR,-11.29,0.389
26,Wienerberger AG,WIE.PR,-11.16,0.254
27,Volkswagen AG,VOW.PR,-15.91,0.295
28,KARO INVEST a.s.,KARIN.PR,-9.17,0.162
29,Voestalpine AG,VOE.PR,-13.9,0.245
30,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,ATS.PR,-29.71,0.423
31,FIXED.zone a.s.,FIXED.PR,-15.38,0.147
32,COLOSEUM HOLDING a.s.,COLOS.PR,-40.06,0.189
33,DOOSAN SKODA POWER,DSPW.PR,-26.32,0.093
34,Photon Energy N.V.,PEN.PR,-57.94,0.256
35,mmcité a.s.,MMCTE.PR,-27.2,0.068
36,Shell plc,SHELL.PR,-73.76,0.166
