Rank,Name,Ticker,Return (%),Risk
1,CICC Fund Series - CICC HKD Money Market ETF,3071.HK,3.49,0.004
2,Premia ETF Series - US Treasury Floating Rate ETF,3077.HK,3.78,0.007
3,Chinaamc Global Etf Series - Chinaamc Rmb Money Market Etf,83161.HK,2.02,0.004
4,GLORIOUS SUN,0393.HK,54.14,0.115
5,HK SH ALLIANCE,1001.HK,88.39,0.189
6,"Chongqing Rural Commercial Bank Co., Ltd.",3618.HK,85.52,0.197
7,"Bank of Qingdao Co., Ltd.",3866.HK,73.86,0.18
8,iShares Asia Trust - iShares China Government Bond ETF,82829.HK,6.05,0.021
9,China Everbright Bank Company Limited,6818.HK,59.24,0.175
10,CHANJET,1588.HK,105.87,0.28
11,Premia China USD Property Bond ETF,83001.HK,28.02,0.095
12,ABC,1288.HK,51.68,0.167
13,CITIC BANK,0998.HK,43.56,0.146
14,SMARTONE TELE,0315.HK,28.76,0.102
15,LEON INSPECTION,1586.HK,118.38,0.331
16,TechStar Acquisition Corporation,7855.HK,19.22,0.073
17,ABLE ENG HLDGS,1627.HK,85.58,0.273
18,PICC GROUP,1339.HK,97.09,0.309
19,JIANGSU EXPRESS,0177.HK,30.05,0.118
20,CSOP ETF Series II - CSOP China 5-Year Treasury Bond ETF,83199.HK,5.25,0.023
21,PICC Property and Casualty Company Limited,2328.HK,60.68,0.217
22,WONDERFUL SKY,1260.HK,99.74,0.331
23,HSBC HOLDINGS,0005.HK,32.76,0.134
24,CANVEST ENV,1381.HK,25.23,0.107
25,"Qifu Technology, Inc.",3660.HK,133.51,0.42
26,Q TECH,1478.HK,110.56,0.369
27,China Youran Dairy Group Limited,9858.HK,128.69,0.412
28,Green International Holdings Limited,2700.HK,94.45,0.33
29,Premia China USD Property Bond ETF,3001.HK,28.14,0.121
30,SHOUGANG CENT,0103.HK,86.97,0.316
31,MAJOR HLDGS,1389.HK,115.15,0.392
32,ICBC,1398.HK,38.75,0.166
33,Simcere Pharmaceutical Group Limited,2096.HK,64.59,0.256
34,"Weihai Bank Co., Ltd.",9677.HK,12.87,0.061
35,FIRST PACIFIC,0142.HK,57.45,0.24
36,HKBN,1310.HK,131.73,0.454
37,Premia China Treasury And Policy Bank Bond Long Duration ETF,2817.HK,15.78,0.078
38,"Bank of Communications Co., Ltd.",3328.HK,36.72,0.169
39,"China Minsheng Banking Corp., Ltd.",1988.HK,47.46,0.216
40,Ten Pao Group Holdings Limited,1979.HK,57.3,0.253
41,U-PRESID CHINA,0220.HK,54.47,0.245
42,CCB,0939.HK,33.39,0.165
43,Changhong Jiahua Holdings Limited,3991.HK,87.65,0.367
44,Bank of China Limited,3988.HK,34.17,0.171
45,The United Laboratories International Holdings Limited,3933.HK,70.58,0.317
46,MANULIFE-S,0945.HK,22.03,0.117
47,DYNAMIC HOLD,0029.HK,109.42,0.444
48,Standard Chartered PLC,2888.HK,56.76,0.269
49,China Tobacco International (HK) Company Limited,6055.HK,111.97,0.456
50,Xuan Wu Cloud Technology Holdings Limited,2392.HK,67.48,0.314
51,Clifford Modern Living Holdings Limited,3686.HK,54.94,0.267
52,Dah Sing Banking Group Limited,2356.HK,45.96,0.231
53,TINGYI,0322.HK,64.04,0.305
54,INFINITY DEV,0640.HK,43.07,0.221
55,NCI,1336.HK,118.49,0.496
56,DPC DASH,1405.HK,97.28,0.435
57,NISSIN FOODS,1475.HK,52.09,0.266
58,Kangji Medical Holdings Limited,9997.HK,28.56,0.16
59,BYD Company Limited,81211.HK,95.03,0.434
60,SUN HUNG KAI CO,0086.HK,36.01,0.198
61,DAH SING,0440.HK,45.86,0.244
62,BYD COMPANY,1211.HK,92.83,0.433
63,HUNGFOOKTONG,1446.HK,87.54,0.418
64,CALC,1848.HK,59.59,0.314
65,Geely Automobile Holdings Limited,80175.HK,104.6,0.487
66,Ocean One Holding Ltd.,8476.HK,37.67,0.214
67,HANG LUNG GROUP,0010.HK,37.46,0.215
68,Meilleure Health International Industry Group Limited,2327.HK,90.94,0.442
69,GEELY AUTO,0175.HK,103.87,0.492
70,XD Inc.,2400.HK,118.52,0.543
71,HERALD HOLD,0114.HK,35.05,0.205
72,CHINA RE,1508.HK,96.0,0.466
73,PLOVER BAY-1K,1523.HK,135.67,0.599
74,ORIENTAL EXPL,0430.HK,53.27,0.293
75,Genertec Universal Medical Group Company Limited,2666.HK,29.39,0.177
76,"BeiGene, Ltd.",6160.HK,110.82,0.525
77,FOUNDER HOLD,0418.HK,115.82,0.548
78,PSBC,1658.HK,26.6,0.164
79,"Mokingran Jewellery Group Co., Ltd.",2585.HK,134.31,0.615
80,"China CITIC Financial Asset Management Co., Ltd.",2799.HK,136.11,0.624
81,Genor Biopharma Holdings Limited,6998.HK,93.74,0.477
82,TOMSON GROUP,0258.HK,63.76,0.36
83,Yangtze Optical Fibre And Cable Joint Stock Limited Company,6869.HK,100.78,0.519
84,DATANG ENVIRO,1272.HK,70.33,0.397
85,SH PIONEER HLDG,1345.HK,31.6,0.202
86,ENVISION GREEN,1783.HK,78.63,0.441
87,Shanghai HeartCare Medical Technology Corporation Limited,6609.HK,88.27,0.483
88,Zai Lab Limited,9688.HK,94.78,0.512
89,KERRY PPT,0683.HK,40.15,0.258
90,CONSUN PHARMA,1681.HK,71.36,0.415
91,Hang Seng China Enterprises Index ETF,82828.HK,38.73,0.252
92,AEON CREDIT,0900.HK,13.05,0.094
93,"Fast Retailing Co., Ltd.",6288.HK,32.67,0.219
94,FingerTango Inc.,6860.HK,84.51,0.481
95,AAC Technologies Holdings Inc.,2018.HK,75.37,0.449
96,OSL GROUP,0863.HK,79.89,0.475
97,"MicroTech Medical (Hangzhou) Co., Ltd.",2235.HK,79.84,0.476
98,iShares Asia Trust - iShares Core Hang Seng Index ETF,83115.HK,33.95,0.236
99,Hang Seng China Enterprises Index ETF,2828.HK,38.38,0.262
100,"Medlive Technology Co., Ltd.",2192.HK,86.43,0.511
101,Win Hanverky Holdings Limited,3322.HK,51.43,0.337
102,Tianjin Binhai Teda Logistics (Group) Corporation Limited,8348.HK,81.15,0.49
103,Cheerwin Group Limited,6601.HK,44.44,0.301
104,Jiangsu Innovative Ecological New Materials Limited,2116.HK,73.83,0.457
105,Far East Horizon Limited,3360.HK,25.64,0.186
106,ASIA FINANCIAL,0662.HK,16.55,0.126
107,ANHUIEXPRESSWAY,0995.HK,33.82,0.241
108,Lonking Holdings Limited,3339.HK,43.62,0.3
109,Zhejiang United Investment Holdings Group Limited,8366.HK,74.37,0.465
110,"Shanghai Electric Group Co., Ltd.",2727.HK,88.43,0.534
111,"WuXi AppTec Co., Ltd.",2359.HK,130.18,0.713
112,ZHEJIANG SHIBAO,1057.HK,75.92,0.481
113,Tencent Holdings Limited,80700.HK,41.26,0.293
114,CHINNEY KW,1556.HK,24.35,0.185
115,CHINA UNICOM,0762.HK,63.86,0.425
116,YUNFENG FIN,0376.HK,60.5,0.407
117,INNOVENT BIO,1801.HK,78.58,0.502
118,Kingsoft Corporation Limited,3888.HK,76.08,0.49
119,SINO BIOPHARM,1177.HK,53.63,0.37
120,CHINA TOWER,0788.HK,26.68,0.204
121,GOLIK HOLDINGS,1118.HK,23.08,0.179
122,TENCENT,0700.HK,41.29,0.3
123,GUANGDONG INV,0270.HK,73.66,0.485
124,China Feihe Limited,6186.HK,81.78,0.526
125,CITIC,0267.HK,36.7,0.275
126,KINGDEE INT'L,0268.HK,98.39,0.613
127,Medialink Group Limited,2230.HK,65.87,0.451
128,GUANGNAN (HOLD),1203.HK,26.87,0.21
129,GoFintech Quantum Innovation Limited,0290.HK,129.06,0.751
130,SHIFANG HLDG,1831.HK,95.0,0.604
131,CHINA MOBILE,0941.HK,18.04,0.147
132,CTF Services Limited,0659.HK,23.27,0.186
133,Sunny Optical Technology (Group) Company Limited,2382.HK,77.66,0.52
134,Sunshine Insurance Group Company Limited,6963.HK,48.84,0.357
135,PEGASUS INT'L,0676.HK,38.02,0.289
136,CMC REIT,1503.HK,20.21,0.164
137,SF HOLDING,6936.HK,38.59,0.293
138,GOLDLION HOLD,0533.HK,64.7,0.453
139,"China Merchants Bank Co., Ltd.",3968.HK,37.45,0.287
140,Premia China STAR50 ETF,83151.HK,45.24,0.339
141,Guangdong Yueyun Transportation Company Limited,3399.HK,36.12,0.279
142,VSTECS,0856.HK,47.94,0.357
143,"Goldwind Science&Technology Co., Ltd.",2208.HK,78.83,0.536
144,CMA LOGISTICS,1292.HK,33.41,0.264
145,DATANG RENEW,1798.HK,25.43,0.207
146,JUJIANG CONS,1459.HK,51.18,0.382
147,DONGFENG GROUP,0489.HK,117.65,0.731
148,Hang Seng Investment Index Funds Series III - Hang Seng FTSE China 50 Index ETF,2838.HK,37.21,0.294
149,KASEN,0496.HK,44.83,0.345
150,Smoore International Holdings Limited,6969.HK,85.66,0.584
151,ZTE,0763.HK,71.93,0.512
152,"Yancheng Port International Co., Limited",8310.HK,50.38,0.384
153,Tracker Fund Of Hong Kong,82800.HK,29.18,0.24
154,Chia Tai Enterprises International Limited,3839.HK,136.52,0.833
155,"China Galaxy Securities Co., Ltd.",6881.HK,130.57,0.808
156,CanSino Biologics Inc.,6185.HK,108.25,0.71
157,Alibaba Group Holding Limited,89988.HK,94.44,0.643
158,SHENZHEN INT'L,0152.HK,27.43,0.231
159,Swire Properties Limited,1972.HK,36.06,0.295
160,CHINA MER PORT,0144.HK,25.28,0.217
161,Chuanglian Holdings Limited,2371.HK,72.18,0.529
162,World Index Shares ETFs - CSI HK 100 Tracker,2825.HK,34.41,0.287
163,A & S GROUP,1737.HK,50.64,0.4
164,JINMAO SERVICES,0816.HK,30.55,0.259
165,Alibaba Group Holding Limited,9988.HK,91.02,0.644
166,CHINA JINMAO,0817.HK,130.93,0.841
167,TG SMART ENERGY,1083.HK,28.42,0.246
168,CSOP ETF Series - CSOP Hang Seng TECH Index ETF,3033.HK,52.06,0.416
