Rank,Name,Ticker,Return (%),Risk
1,OTP Bank Nyrt.,OTP.BD,59.75,0.177
2,Zwack Unicum Nyrt.,ZWACK.BD,41.85,0.14
3,OPUS GLOBAL Nyrt.,OPUS.BD,57.89,0.247
4,ViVeTech Nyilvanosan Mukodo Reszvenytarsasag,VVT.BD,90.34,0.382
5,ALTEO Energy Services Public Limited Company,ALTEO.BD,70.65,0.449
6,AKKO Invest Nyrt.,AKKO.BD,20.88,0.183
7,NUTEX Investments Public Limited Company,NUTEX.BD,45.09,0.422
8,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság,MOL.BD,9.33,0.104
9,RÁBA Jármuipari Holding Nyrt.,RABA.BD,21.13,0.298
10,ENEFI Vagyonkezelo Nyrt.,ENEFI.BD,10.76,0.295
11,STRT Holding Nyrt.,STRT.BD,9.98,0.281
12,BASF SE,BASF.BD,-3.61,0.232
13,DM-KER Nyilvánosan Muködo Részvénytársaság,DMKER.BD,-4.8,0.198
14,Bayer Aktiengesellschaft,BAYER.BD,-9.77,0.37
15,Bayerische Motoren Werke Aktiengesellschaft,BMW.BD,-11.93,0.219
16,Ubm Holding Zrt,UBM.BD,-18.43,0.23
17,Amixa Holding Nyilvánosan Muködo Részvénytársaság,AMIXA.BD,-21.8,0.275
18,NAP Nyilvánosan Muködo Részvénytársaság,NAP.BD,-17.3,0.205
