Rank,Name,Ticker,Return (%),Risk
1,Asuransi Digital Bersama Tbk.,YOII.JK,75.69,0.04
2,PT Sampoerna Agro Tbk,SGRO.JK,26.45,0.088
3,PT Triputra Agro Persada Tbk,TAPG.JK,106.92,0.282
4,PT Panorama Sentrawisata Tbk,PANR.JK,138.87,0.344
5,PT Cardig Aero Services Tbk,CASS.JK,114.23,0.321
6,PT Royalindo Investa Wijaya Tbk,INDO.JK,64.1,0.21
7,PT Surya Pertiwi Tbk,SPTO.JK,57.79,0.206
8,PT Capital Financial Indonesia Tbk,CASA.JK,76.81,0.293
9,PT Indofood Sukses Makmur Tbk,INDF.JK,49.82,0.212
10,PT Dewi Shri Farmindo Tbk.,DEWI.JK,44.29,0.197
11,PT Nusantara Sawit Sejahtera Tbk,NSSS.JK,65.19,0.29
12,PT Yelooo Integra Datanet Tbk,YELO.JK,120.54,0.463
13,PT Garuda Metalindo Tbk,BOLT.JK,55.61,0.266
14,PT Megapower Makmur Tbk,MPOW.JK,125.1,0.516
15,PT Sinar Mas Multiartha Tbk,SMMA.JK,8.37,0.051
16,PT Inter Delta Tbk,INTD.JK,77.48,0.374
17,PT Kawasan Industri Jababeka Tbk,KIJA.JK,57.41,0.296
18,PT Nanotech Indonesia Global Tbk,NANO.JK,135.79,0.573
19,PT Mega Manunggal Property Tbk,MMLP.JK,75.94,0.379
20,PT Destinasi Tirta Nusantara Tbk,PDES.JK,94.28,0.456
21,PT Superkrane Mitra Utama Tbk,SKRN.JK,67.37,0.354
22,PT J Resources Asia Pasifik Tbk,PSAB.JK,125.1,0.566
23,PT Perusahaan Perkebunan London Sumatra Indonesia Tbk,LSIP.JK,68.9,0.37
24,PT Cita Mineral Investindo Tbk,CITA.JK,77.85,0.414
25,PT Bumi Benowo Sukses Sejahtera Tbk,BBSS.JK,112.71,0.548
26,PT Trimegah Sekuritas Indonesia Tbk,TRIM.JK,55.32,0.316
27,PT Astra Graphia Tbk,ASGR.JK,22.33,0.144
28,PT Sumber Tani Agung Resources Tbk,STAA.JK,30.83,0.193
29,PT Paramita Bangun Sarana Tbk,PBSA.JK,38.73,0.237
30,PT Bank OCBC NISP Tbk,NISP.JK,19.26,0.128
31,PT Bhakti Multi Artha Tbk,BHAT.JK,44.88,0.275
32,PT Intanwijaya Internasional Tbk,INCI.JK,24.51,0.162
33,PT Surya Toto Indonesia Tbk,TOTO.JK,25.74,0.17
34,PT Tempo Scan Pacific Tbk,TSPC.JK,49.27,0.306
35,PT Diamond Citra Propertindo Tbk,DADA.JK,127.38,0.645
36,PT Surya Citra Media Tbk,SCMA.JK,60.15,0.365
37,PT Surya Fajar Capital Tbk,SFAN.JK,5.54,0.042
38,PT Vastland Indonesia Tbk,VAST.JK,77.55,0.461
39,PT Teladan Prima Agro Tbk,TLDN.JK,48.68,0.323
40,PT Pelayaran Nasional Ekalya Purnamasari Tbk,ELPI.JK,33.9,0.237
41,PT Idea Indonesia Akademi Tbk,IDEA.JK,64.65,0.41
42,PT Dharma Polimetal Tbk,DRMA.JK,33.84,0.243
43,PT Star Pacific Tbk,LPLI.JK,34.43,0.248
44,PT Astrindo Nusantara Infrastruktur Tbk,BIPI.JK,47.82,0.329
45,PT Sejahteraraya Anugrahjaya Tbk,SRAJ.JK,83.76,0.53
46,PT Yulie Sekuritas Indonesia Tbk,YULE.JK,18.43,0.145
47,PT Total Bangun Persada Tbk,TOTL.JK,66.6,0.446
48,PT Era Graharealty Tbk,IPAC.JK,62.62,0.427
49,Master Print Tbk.,PTMR.JK,8.11,0.068
50,PT Graha Andrasentra Propertindo Tbk,JGLE.JK,95.21,0.602
51,PT M Cash Integrasi Tbk,MCAS.JK,111.18,0.681
52,Janu Putra Sejahtera Tbk.,AYAM.JK,46.74,0.349
53,PT Japfa Comfeed Indonesia Tbk,JPFA.JK,60.96,0.441
54,PT Ancora Indonesia Resources Tbk,OKAS.JK,49.05,0.373
55,PT Integra Indocabinet Tbk,WOOD.JK,68.0,0.488
56,PT Graha Mitra Asia Tbk,RELF.JK,33.36,0.27
57,PT Ever Shine Tex Tbk,ESTI.JK,58.58,0.436
58,PT Golden Energy Mines Tbk,GEMS.JK,109.26,0.717
59,PT Buana Finance Tbk,BBLD.JK,21.92,0.189
60,PT Bukit Uluwatu Villa Tbk,BUVA.JK,36.86,0.31
61,PT Segar Kumala Indonesia Tbk,BUAH.JK,42.57,0.352
62,PT Kirana Megatara Tbk,KMTR.JK,62.29,0.483
63,PT Victoria Investama Tbk,VICO.JK,100.61,0.716
64,PT Sawit Sumbermas Sarana Tbk.,SSMS.JK,85.23,0.638
65,PT Indonesia Pondasi Raya Tbk,IDPR.JK,39.93,0.344
66,PT Tower Bersama Infrastructure Tbk,TBIG.JK,18.9,0.177
67,PT Elang Mahkota Teknologi Tbk,EMTK.JK,35.66,0.313
68,PT Perusahaan Gas Negara Tbk,PGAS.JK,21.49,0.199
69,PT Maharaksa Biru Energi Tbk,OASA.JK,26.24,0.239
70,PT Asuransi Dayin Mitra Tbk,ASDM.JK,16.18,0.154
71,PT PINAGO UTAMA Tbk,PNGO.JK,39.94,0.351
72,PT Sunindo Pratama Tbk,SUNI.JK,59.94,0.496
73,PT Rig Tenders Indonesia Tbk,RIGS.JK,74.28,0.591
74,PT Modern Internasional Tbk,MDRN.JK,107.37,0.784
75,PT Indofood CBP Sukses Makmur Tbk,ICBP.JK,23.15,0.219
76,PT Damai Sejahtera Abadi Tbk,UFOE.JK,44.88,0.394
77,PT Champion Pacific Indonesia Tbk,IGAR.JK,8.87,0.09
78,PT Kota Satu Properti Tbk,SATU.JK,33.89,0.311
79,PT Nusantara Pelabuhan Handal Tbk,PORT.JK,31.88,0.296
80,PT Panca Budi Idaman Tbk,PBID.JK,19.31,0.189
81,Ancara Logistics Indonesia Tbk.,ALII.JK,55.54,0.48
82,PT TIMAH Tbk,TINS.JK,47.06,0.418
83,PT Astra International Tbk,ASII.JK,16.92,0.169
84,PT Guna Timur Raya Tbk,TRUK.JK,101.16,0.784
85,PT AirAsia Indonesia Tbk,CMPP.JK,61.0,0.533
86,PT Astra Otoparts Tbk,AUTO.JK,32.48,0.313
87,PT Kobexindo Tractors Tbk,KOBX.JK,61.53,0.542
88,PT Hensel Davest Indonesia Tbk,HDIT.JK,105.4,0.822
89,PT Eagle High Plantations Tbk,BWPT.JK,22.03,0.223
90,PT Palma Serasih Tbk,PSGO.JK,27.03,0.268
91,PT Bank Syariah Indonesia Tbk,BRIS.JK,41.66,0.394
92,PT Bakrie Sumatera Plantations Tbk,UNSP.JK,59.79,0.534
93,PT Bank Pan Indonesia Tbk,PNBN.JK,60.39,0.539
94,PT Erajaya Swasembada Tbk,ERAA.JK,27.52,0.277
95,PT Perdana Bangun Pusaka Tbk,KONI.JK,74.19,0.645
96,PT Chitose Internasional Tbk,CINT.JK,51.88,0.485
97,PT GoTo Gojek Tokopedia Tbk,GOTO.JK,46.21,0.443
98,PT Lippo Karawaci Tbk,LPKR.JK,60.58,0.555
99,PT Bank Ganesha Tbk,BGTG.JK,39.6,0.389
100,PT Menteng Heritage Realty Tbk,HRME.JK,75.71,0.674
101,PT Mitra Pinasthika Mustika Tbk,MPMX.JK,10.55,0.119
102,PT Adhi Karya (Persero) Tbk,ADHI.JK,77.95,0.712
103,PT Perdana Gapuraprima Tbk,GPRA.JK,24.55,0.271
104,PT Maha Properti Indonesia Tbk,MPRO.JK,49.18,0.506
105,PT Widiant Jaya Krenindo Tbk,WIDI.JK,94.2,0.851
106,PT Lotte Chemical Titan Tbk,FPNI.JK,17.73,0.207
107,PT Pool Advista Finance Tbk,POLA.JK,48.35,0.506
108,PT Hoffmen Cleanindo Tbk,KING.JK,49.36,0.517
109,PT Sekar Bumi Tbk,SKBM.JK,56.04,0.577
110,PT Isra Presisi Indonesia Tbk.,ISAP.JK,31.34,0.353
111,"PT Jaya Real Property, Tbk.",JRPT.JK,11.86,0.146
112,PT Duta Anggada Realty Tbk.,DART.JK,124.15,1.087
113,PT Bank CIMB Niaga Tbk,BNGA.JK,15.36,0.189
114,PT. Penta Valent Tbk,PEVE.JK,17.92,0.219
115,PT Panca Global Kapital Tbk,PEGE.JK,62.72,0.663
116,PT Fuji Finance Indonesia Tbk,FUJI.JK,65.79,0.69
117,PT Salim Ivomas Pratama Tbk,SIMP.JK,17.63,0.218
118,PT Langgeng Makmur Industri Tbk,LMPI.JK,51.37,0.569
119,PT Grand House Mulia Tbk,HOMI.JK,111.23,1.054
120,PT Kabelindo Murni Tbk,KBLM.JK,20.92,0.263
121,PT Blue Bird Tbk,BIRD.JK,26.59,0.331
122,PT Malacca Trust Wuwungan Insurance Tbk,MTWI.JK,20.62,0.267
123,PT Darya-Varia Laboratoria Tbk,DVLA.JK,21.14,0.274
124,PT Dharma Satya Nusantara Tbk,DSNG.JK,40.71,0.494
125,PT Indo Oil Perkasa Tbk,OILS.JK,27.59,0.356
126,PT Multi Bintang Indonesia Tbk,MLBI.JK,11.08,0.154
127,PT Harapan Duta Pertiwi Tbk,HOPE.JK,114.69,1.161
128,PT Puri Sentul Permai Tbk,KDTN.JK,14.91,0.206
129,PT Bank Bumi Arta Tbk,BNBA.JK,43.9,0.548
130,PT Bank Mestika Dharma Tbk,BBMD.JK,18.6,0.258
131,PT Wijaya Karya Beton Tbk,WTON.JK,56.01,0.683
132,PT Paninvest Tbk,PNIN.JK,28.49,0.382
133,PT Wijaya Cahaya Timber Tbk,FWCT.JK,34.76,0.456
134,PT KMI Wire and Cable Tbk,KBLI.JK,10.88,0.157
135,PT Koka Indonesia Tbk,KOKA.JK,31.38,0.42
136,PT Malindo Feedmill Tbk,MAIN.JK,39.08,0.513
137,PT Sarana Meditama Metropolitan Tbk,SAME.JK,26.04,0.361
138,PT Keramika Indonesia Assosiasi Tbk,KIAS.JK,99.12,1.113
139,PT NFC Indonesia Tbk,NFCX.JK,87.28,1.017
140,PT Bank Ina Perdana Tbk,BINA.JK,3.81,0.059
141,Ikapharmindo Putramas Tbk.,IKPM.JK,17.93,0.268
142,"PT Kurniamitra Duta Sentosa, Tbk",KMDS.JK,46.96,0.632
143,PT PP (Persero) Tbk,PTPP.JK,56.88,0.765
144,PT Habco Trans Maritima Tbk,HATM.JK,17.13,0.266
145,PT Elnusa Tbk,ELSA.JK,20.23,0.31
146,PT Cakra Buana Resources Energi Tbk,CBRE.JK,52.05,0.713
147,Daaz Bara Lestari Tbk.,DAAZ.JK,77.91,0.994
148,PT Bukalapak.com Tbk.,BUKA.JK,16.35,0.265
149,PT Bayan Resources Tbk.,BYAN.JK,15.01,0.247
150,PT Bali Towerindo Sentra Tbk,BALI.JK,47.01,0.688
151,PT Mahaka Media Tbk,ABBA.JK,104.87,1.309
152,PT Metropolitan Land Tbk,MTLA.JK,26.91,0.428
153,PT Bumi Resources Tbk,BUMI.JK,39.92,0.611
154,PT Wahana Pronatural Tbk,WAPO.JK,44.04,0.666
155,PT Radana Bhaskara Finance Tbk,HDFA.JK,37.26,0.578
156,PT Bank Oke Indonesia Tbk,DNAR.JK,46.33,0.697
157,PT Bank IBK Indonesia Tbk,AGRS.JK,26.79,0.44
158,PT Krakatau Steel (Persero) Tbk,KRAS.JK,33.72,0.541
159,PT Jaya Trishindo Tbk,HELI.JK,53.94,0.819
160,PT Haloni Jane Tbk,HALO.JK,21.78,0.371
161,PT Aviana Sinar Abadi Tbk,IRSX.JK,121.79,1.538
162,PT Alamtri Resources Indonesia Tbk,ADRO.JK,22.45,0.382
163,PT Sentral Mitra Informatika Tbk,LUCK.JK,26.1,0.442
164,PT Jhonlin Agro Raya Tbk,JARR.JK,24.88,0.424
165,PT Carsurin Tbk,CRSN.JK,19.41,0.339
166,PT Siantar Top Tbk,STTP.JK,16.3,0.29
167,PT Supreme Cable Manufacturing & Commerce Tbk,SCCO.JK,8.6,0.159
168,PT Berkah Prima Perkasa Tbk,BLUE.JK,5.15,0.097
169,PT Triniti Dinamik Tbk,TRUE.JK,47.16,0.778
170,PT Jaya Agra Wattie Tbk,JAWA.JK,40.45,0.685
171,PT Indo Straits Tbk,PTIS.JK,37.13,0.641
172,PT FKS Food Sejahtera Tbk,AISA.JK,19.5,0.36
173,PT Nusantara Almazia Tbk,NZIA.JK,54.99,0.909
174,PT Panin Financial Tbk,PNLF.JK,27.27,0.5
175,PT Minahasa Membangun Hebat Tbk,HBAT.JK,34.84,0.625
176,PT Estika Tata Tiara Tbk,BEEF.JK,55.37,0.931
177,PT Bank Victoria International Tbk,BVIC.JK,16.78,0.326
178,PT Bank KB Bukopin Tbk,BBKP.JK,17.91,0.351
179,PT Quantum Clovera Investama Tbk,KREN.JK,78.8,1.264
180,PT PP Presisi Tbk,PPRE.JK,28.75,0.545
181,PT Archi Indonesia Tbk,ARCI.JK,21.88,0.429
182,PT Semen Baturaja (Persero) Tbk,SMBR.JK,24.46,0.486
183,PT Sumber Energi Andalan Tbk,ITMA.JK,51.34,0.934
184,Esta Indonesia Tbk.,NEST.JK,34.41,0.665
185,PT. Gajah Tunggal Tbk,GJTL.JK,14.57,0.306
186,PT Sinar Mas Agro Resources and Technology Tbk,SMAR.JK,9.22,0.2
187,PT Lima Dua Lima Tiga Tbk,LUCY.JK,29.08,0.591
188,PT Waskita Beton Precast Tbk,WSBP.JK,44.18,0.854
189,PT Pembangunan Graha Lestari Indah Tbk,PGLI.JK,28.84,0.591
190,PT Metrodata Electronics Tbk,MTDL.JK,7.83,0.18
191,PT Red Planet Indonesia Tbk,PSKT.JK,30.78,0.671
192,PT Siloam International Hospitals Tbk,SILO.JK,15.93,0.369
193,PT Galva Technologies Tbk,GLVA.JK,15.16,0.36
194,PT Net Visi Media Tbk,NETV.JK,29.01,0.662
195,PT Bekasi Asri Pemula Tbk,BAPA.JK,8.78,0.218
196,PT MNC Digital Entertainment Tbk,MSIN.JK,109.54,1.98
197,PT Bayu Buana Tbk,BAYU.JK,10.66,0.268
198,PT Diamond Food Indonesia Tbk,DMND.JK,6.75,0.179
199,PT Kedawung Setia Industrial Tbk,KDSI.JK,13.79,0.365
200,PT Ace Oldfields Tbk,KUAS.JK,3.67,0.103
201,PT Puradelta Lestari Tbk,DMAS.JK,12.93,0.352
202,PT Selamat Sempurna Tbk,SMSM.JK,6.83,0.191
203,Intra Golflink Resorts Tbk.,GOLF.JK,9.62,0.267
204,PT United Tractors Tbk,UNTR.JK,8.94,0.254
205,Mitra Pedagang Indonesia Tbk.,MPIX.JK,17.1,0.485
206,PT Steel Pipe Industry of Indonesia Tbk,ISSP.JK,7.25,0.217
207,PT Sigma Energy Compressindo Tbk,SICO.JK,8.52,0.255
208,PT Bank China Construction Bank Indonesia Tbk,MCOR.JK,8.46,0.267
209,PT Indal Aluminium Industry Tbk,INAI.JK,47.66,1.311
210,Satu Visi Putra Tbk.,VISI.JK,57.11,1.534
211,PT Bank BTPN Syariah Tbk,BTPS.JK,14.65,0.459
212,PT Bank Pembangunan Daerah Jawa Timur Tbk,BJTM.JK,8.63,0.284
213,PT Dharma Samudera Fishing Industries Tbk,DSFI.JK,7.32,0.242
214,PT Rohartindo Nusantara Luas Tbk,TOOL.JK,2.53,0.085
215,PT Trans Power Marine Tbk,TPMA.JK,10.33,0.337
216,PT Sariguna Primatirta Tbk,CLEO.JK,13.41,0.44
217,PT Intikeramik Alamasri Industri Tbk,IKAI.JK,34.02,1.042
218,PT Meta Epsi Tbk.,MTPS.JK,20.07,0.681
219,PT Bank Negara Indonesia (Persero) Tbk,BBNI.JK,8.28,0.298
220,PT Logindo Samudramakmur Tbk.,LEAD.JK,13.03,0.467
221,PT Pacific Strategic Financial Tbk,APIC.JK,5.8,0.215
222,PT Saratoga Investama Sedaya Tbk,SRTG.JK,13.58,0.486
223,PT Sumber Mas Konstruksi Tbk,SMKM.JK,15.02,0.543
224,PT Indospring Tbk,INDS.JK,18.99,0.677
225,PT Alakasa Industrindo Tbk,ALKA.JK,12.99,0.478
226,PT Gozco Plantations Tbk,GZCO.JK,8.45,0.319
227,PT Bank Panin Dubai Syariah Tbk,PNBS.JK,2.73,0.109
228,PT WEHA Transportasi Indonesia Tbk,WEHA.JK,9.77,0.378
229,PT Armada Berjaya Trans Tbk,JAYA.JK,7.9,0.309
230,PT MNC Sky Vision Tbk,MSKY.JK,24.09,0.894
231,PT Mayora Indah Tbk,MYOR.JK,7.67,0.308
232,PT Mahkota Group Tbk,MGRO.JK,4.89,0.203
233,PT MSIG Life Insurance Indonesia Tbk,LIFE.JK,13.53,0.556
234,PT Astra Agro Lestari Tbk,AALI.JK,5.7,0.248
235,PT RMK Energy Tbk,RMKE.JK,4.99,0.225
236,PT Inocycle Technology Group Tbk,INOV.JK,6.32,0.293
237,PT Enseval Putera Megatrading Tbk.,EPMT.JK,4.32,0.207
238,PT Alam Sutera Realty Tbk,ASRI.JK,14.01,0.667
239,PT GTS Internasional Tbk,GTSI.JK,14.68,0.7
240,PT Bank Neo Commerce Tbk,BBYB.JK,11.22,0.553
241,PT Dyandra Media International Tbk,DYAN.JK,9.13,0.475
242,PT FAP Agri Tbk,FAPA.JK,0.56,0.03
243,PT Citra Borneo Utama Tbk,CBUT.JK,10.18,0.54
244,Bersama Mencapai Puncak Tbk.,BAIK.JK,9.04,0.496
245,PT WIR ASIA Tbk,WIRG.JK,13.04,0.715
246,PT Surya Permata Andalan Tbk,NATO.JK,2.18,0.127
247,Mastersystem Infotama Tbk.,MSTI.JK,3.64,0.212
248,PT Sunter Lakeside Hotel Tbk,SNLK.JK,10.81,0.617
249,PT Samindo Resources Tbk,MYOH.JK,6.42,0.389
250,PT Andalan Sakti Primaindo Tbk,ASPI.JK,17.72,1.028
251,PT Batavia Prosperindo Internasional Tbk,BPII.JK,3.4,0.225
252,PT Communication Cable Systems Indonesia Tbk,CCSI.JK,8.13,0.534
253,PT Soechi Lines Tbk,SOCI.JK,3.7,0.259
254,PT Asiaplast Industries Tbk,APLI.JK,2.57,0.183
255,PT Wilton Makmur indonesia Tbk.,SQMI.JK,15.88,1.092
256,PT Pakuwon Jati Tbk,PWON.JK,4.63,0.345
257,PT Super Energy Tbk,SURE.JK,3.84,0.302
258,PT Indomobil Multi Jasa Tbk,IMJS.JK,4.72,0.423
259,PT Pratama Widya Tbk,PTPW.JK,1.45,0.135
260,PT Arwana Citramulia Tbk,ARNA.JK,3.5,0.372
