Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Bank Leumi le-Israel B.M.,LUMI.TA,76.79,0.067,0.276,Yes
2,Bank Hapoalim B.M.,POLI.TA,63.79,0.081,0.585,Yes
3,Neto Malinda Trading Ltd.,NTML.TA,110.29,0.161,0.363,Yes
4,Phoenix Financial Ltd,PHOE.TA,118.85,0.186,0.868,Yes
5,Menora Mivtachim Holdings Ltd,MMHD.TA,118.82,0.198,0.734,Yes
6,Shagrir Group Vehicle Services Ltd,SHGR.TA,89.28,0.18,0.798,Yes
7,"Navitas Petroleum, Limited Partnership",NVPT.TA,150.97,0.265,0.613,Yes
8,Nawi Group Ltd,NAWI.TA,103.78,0.205,1.268,Yes
9,Harel Insurance Investments & Financial Services Ltd,HARL.TA,106.99,0.25,1.779,Yes
10,I.B.I. Investment House Ltd,IBI.TA,128.61,0.291,1.837,Yes
11,Michlol Finance Ltd,MCLL.TA,134.72,0.302,0.995,Yes
12,Rotshtein Realestate Ltd,ROTS.TA,140.62,0.318,2.501,Yes
13,Ralco Agencies Ltd,RLCO.TA,111.77,0.278,0.829,Yes
14,TA-125,^TA125.TA,31.8,0.1,1.0,Yes
15,Polygon Real Estate Ltd,POLY.TA,44.38,0.134,0.846,Yes
16,Israel Shipyards Industries Ltd,ISHI.TA,143.09,0.335,2.353,Yes
17,Israel Discount Bank Limited,DSCT.TA,49.18,0.149,1.198,Yes
18,Mehadrin Ltd,MEDN.TA,63.73,0.185,0.586,Yes
19,Dor Alon Energy In Israel (1988) Ltd,DRAL.TA,63.93,0.202,0.835,Yes
20,Orbit Technologies Ltd,ORBI.TA,61.46,0.197,1.246,Yes
21,El Al Israel Airlines Ltd.,ELAL.TA,154.49,0.407,1.752,Yes
22,Mizrahi Tefahot Bank Ltd.,MZTF.TA,41.95,0.149,0.83,Yes
23,Menif - Financial Services Ltd,MNIF.TA,81.82,0.258,1.681,Yes
24,BIG Shopping Centers Ltd,BIG.TA,53.61,0.186,1.653,Yes
25,Top Ramdor Systems & Computers Co. (1990) Ltd,TOPS.TA,89.95,0.281,1.012,Yes
26,Elbit Systems Ltd.,ESLT.TA,121.7,0.352,0.845,No
27,Michman Finance Ltd,MCMN.TA,88.55,0.281,1.574,Yes
28,Dorsel Holdings Ltd,DRSH.TA,46.94,0.17,0.751,Yes
29,Mivtach Shamir Holdings Ltd,MISH.TA,103.95,0.319,1.472,Yes
30,The Tel-Aviv Stock Exchange Ltd.,TASE.TA,91.3,0.299,0.4,Yes
31,First International Bank of Israel Ltd,FIBI.TA,37.46,0.145,1.011,Yes
32,P.C.B. Technologies Ltd,PCBT.TA,157.54,0.443,2.149,Yes
33,Willy-Food Investments Ltd,WLFD.TA,74.47,0.257,0.999,Yes
