Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,UOB-Kay Hian Holdings Limited,U10.SI,40.62,0.077,0.426,Yes
2,BRC Asia Limited,BEC.SI,69.31,0.182,0.719,Yes
3,Sing Investments & Finance Limited,S35.SI,14.96,0.047,0.239,Yes
4,QAF Limited,Q01.SI,10.34,0.035,0.061,No
5,Pacific Century Regional Developments Limited,P15.SI,57.72,0.176,0.121,No
6,Singapore Exchange Limited,S68.SI,62.13,0.191,0.284,Yes
7,Haw Par Corporation Limited,H02.SI,40.17,0.136,1.078,Yes
8,Sheng Siong Group Ltd,OV8.SI,23.09,0.087,0.292,No
9,HSBC Holdings plc,HSHD.SI,53.81,0.183,,
10,Pan-United Corporation Ltd,P52.SI,58.73,0.201,0.035,Yes
11,Tiong Seng Holdings Limited,BFI.SI,58.52,0.21,0.807,Yes
12,iShares MSCI Asia ex Japan Climate Action ETF,ICU.SI,29.5,0.117,,
13,Lion-OCBC Securities APAC Financials Dividend Plus ETF,YLU.SI,21.19,0.09,,
14,ValueMax Group Limited,T6I.SI,45.7,0.178,0.936,No
15,Lion-Nomura Japan Active ETF,JUS.SI,19.08,0.083,,
16,Stoneweg European Real Estate Investment Trust,CWCU.SI,39.78,0.164,,
17,Lion-OCBC Securities Singapore Low Carbon ETF,ESG.SI,23.4,0.105,0.953,Yes
18,Multi-Chem Limited,AWZ.SI,32.99,0.146,0.202,Yes
19,Tai Sin Electric Limited,500.SI,11.25,0.055,0.286,Yes
20,Global Investments Limited,B73.SI,18.47,0.088,0.248,Yes
21,Bank of China Limited,HBND.SI,53.0,0.225,,
22,Taka Jewellery Holdings Limited,42L.SI,50.57,0.226,1.184,Yes
23,MoneyMax Financial Services Ltd.,5WJ.SI,74.42,0.309,0.512,Yes
24,STI Index,^STI,16.7,0.086,1.0,Yes
25,Intraco Limited,I06.SI,50.05,0.232,1.043,Yes
26,Sin Heng Heavy Machinery Limited,BKA.SI,22.73,0.117,0.122,No
27,Hongkong Land Holdings Limited,H78.SI,63.92,0.288,1.804,No
28,NetLink NBN Trust,CJLU.SI,14.52,0.08,0.001,Yes
29,Credit Bureau Asia Limited,TCU.SI,45.7,0.225,0.721,Yes
30,DBS Group Holdings Ltd,D05.SI,26.65,0.151,1.529,Yes
31,Datapulse Technology Limited,BKW.SI,52.34,0.272,0.959,Yes
32,Phillip MSCI Singapore Daily (2X) Leveraged Product,LSS.SI,45.75,0.245,2.355,Yes
33,PEC Ltd.,IX2.SI,66.57,0.34,2.118,Yes
34,DFI Retail Group Holdings Limited,D01.SI,54.85,0.291,0.012,No
35,Paragon REIT,SK6U.SI,23.7,0.143,0.059,Yes
36,Oversea-Chinese Banking Corporation Limited,O39.SI,18.26,0.117,1.196,Yes
37,Elite UK REIT,MXNU.SI,47.74,0.277,0.607,Yes
38,Nam Lee Pressed Metal Industries Limited,G0I.SI,39.45,0.237,0.481,Yes
39,iShares MSCI Asia ex Japan Climate Action ETF,ICM.SI,16.64,0.11,,
40,LHN Limited,41O.SI,62.69,0.358,1.904,Yes
41,Lion-OCBC Securities APAC Financials Dividend Plus ETF,YLD.SI,12.92,0.09,,
42,Jardine Matheson Holdings Limited,J36.SI,33.1,0.217,0.941,Yes
43,China Sunsine Chemical Holdings Ltd.,QES.SI,44.92,0.286,1.417,Yes
44,Combine Will International Holdings Limited,N0Z.SI,11.69,0.085,0.257,No
45,Hutchison Port Holdings Trust,NS8U.SI,34.73,0.233,1.421,Yes
46,Hai Leck Holdings Limited,BLH.SI,66.71,0.413,0.428,No
47,Audience Analytics Limited,1AZ.SI,32.93,0.232,0.436,No
48,Frasers Hospitality Trust,ACV.SI,77.33,0.473,0.109,Yes
49,Parkway Life Real Estate Investment Trust,C2PU.SI,27.52,0.2,0.919,Yes
50,CapitaLand Integrated Commercial Trust,C38U.SI,14.59,0.114,0.026,Yes
51,First Real Estate Investment Trust,AW9U.SI,18.7,0.145,0.65,Yes
52,LMS Compliance Ltd.,LMS.SI,28.15,0.212,0.856,Yes
53,Singapore Land Group Limited,U06.SI,13.44,0.109,0.228,Yes
54,Tiong Woon Corporation Holding Ltd,BQM.SI,21.27,0.167,1.084,Yes
55,Sing Holdings Limited,5IC.SI,10.69,0.092,0.105,No
56,Malaysia Smelting Corporation Berhad,NPW.SI,64.5,0.459,3.713,Yes
57,Zheneng Jinjiang Environment Holding Company Limited,BWM.SI,30.27,0.245,0.727,Yes
58,TalkMed Group Limited,5G3.SI,16.25,0.139,0.574,Yes
59,IHH Healthcare Berhad,Q0F.SI,26.56,0.219,0.851,Yes
60,PropNex Limited,OYY.SI,30.92,0.253,1.724,Yes
61,Bumitama Agri Ltd.,P8Z.SI,21.19,0.181,1.418,Yes
62,United Overseas Bank Limited,U11.SI,19.93,0.173,1.695,Yes
63,Tencent Holdings Limited,HTCD.SI,35.34,0.292,,
64,Zixin Group Holdings Limited,42W.SI,82.33,0.589,1.61,Yes
65,ComfortDelGro Corporation Limited,C52.SI,15.08,0.137,0.134,Yes
66,Asian Pay Television Trust,S7OU.SI,14.14,0.13,0.279,Yes
67,Avarga Limited,U09.SI,32.08,0.29,1.039,Yes
68,BYD Company Limited,HYDD.SI,76.2,0.601,,
69,BBR Holdings (S) Ltd,KJ5.SI,19.68,0.19,0.66,Yes
70,Azeus Systems Holdings Ltd.,BBW.SI,24.53,0.235,0.818,No
71,Hosen Group Ltd.,5EV.SI,25.79,0.248,0.886,No
72,CSOP FTSE Asia Pacific Low Carbon Index ETF,LCU.SI,7.33,0.078,0.092,Yes
73,Vibrant Group Limited,BIP.SI,53.65,0.487,0.202,No
74,Lion-Nomura Japan Active ETF,JJJ.SI,7.01,0.079,,
75,Alibaba Group Holding Limited,HBBD.SI,66.07,0.609,,
76,Stoneweg European Real Estate Investment Trust,CWBU.SI,15.84,0.175,0.175,Yes
77,Jumbo Group Limited,42R.SI,6.77,0.079,0.405,Yes
78,Grand Venture Technology Limited,JLB.SI,41.36,0.426,1.011,Yes
79,Huationg Global Limited,41B.SI,69.96,0.661,0.584,No
80,Indofood Agri Resources Ltd.,5JS.SI,7.83,0.093,0.018,Yes
81,Frasers Property Limited,TQ5.SI,8.95,0.107,0.789,Yes
82,Mandarin Oriental International Limited,M04.SI,9.84,0.117,0.287,No
83,Santak Holdings Limited,580.SI,66.5,0.654,1.993,Yes
84,Koh Brothers Group Limited,K75.SI,16.72,0.198,1.336,Yes
85,Sabana Industrial Real Estate Investment Trust,M1GU.SI,11.93,0.148,0.783,Yes
86,Singapore Post Limited,S08.SI,25.61,0.308,1.459,Yes
87,Eneco Energy Limited,R14.SI,38.74,0.449,2.568,Yes
88,Hutchison Port Holdings Trust,P7VU.SI,20.23,0.254,1.49,Yes
89,HGH Holdings Ltd.,5GZ.SI,18.57,0.238,0.189,No
90,Global Testing Corporation Limited,AYN.SI,10.72,0.145,0.577,No
91,ICP Ltd.,5I4.SI,19.01,0.255,0.721,Yes
92,Procurri Corporation Limited,BVQ.SI,65.19,0.753,6.336,No
93,Medinex Limited,OTX.SI,18.13,0.247,0.095,No
94,Anchun International Holdings Ltd.,BTX.SI,24.94,0.34,1.61,No
95,HG Metal Manufacturing Limited,BTG.SI,25.45,0.349,0.296,Yes
96,CapitaLand Ascendas REIT,A17U.SI,9.81,0.148,0.12,Yes
97,King Wan Corporation Limited,554.SI,12.22,0.183,0.831,Yes
98,Phillip-China Unvsl MSCI CHN A50CnnctETF,MCN.SI,13.45,0.203,,
99,AF Global Limited,L38.SI,32.74,0.459,1.832,Yes
100,Hyphens Pharma International Limited,1J5.SI,4.18,0.066,0.004,Yes
101,VICOM Ltd,WJP.SI,5.14,0.084,0.215,Yes
102,Grand Banks Yachts Limited,G50.SI,24.72,0.38,1.664,Yes
103,TIH Limited,T55.SI,26.53,0.408,1.207,Yes
104,Hong Lai Huat Group Limited,CTO.SI,47.52,0.679,3.001,Yes
105,Don Agro International Limited,GRQ.SI,43.98,0.65,0.557,No
106,AnAn International Limited,Y35.SI,57.41,0.812,0.842,Yes
107,Prime US REIT,OXMU.SI,48.64,0.73,2.6,Yes
108,$ BeverlyJCG,9QX.SI,15.9,0.271,0.409,No
109,Lippo Malls Indonesia Retail Trust,D5IU.SI,33.6,0.539,0.691,Yes
110,Singapore Airlines Limited,C6L.SI,8.11,0.144,0.679,Yes
111,Wong Fong Industries Limited,1A1.SI,21.15,0.365,1.121,No
112,SHS Holdings Ltd.,566.SI,4.96,0.093,0.626,No
113,Fuji Offset Plates Manufacturing Ltd,508.SI,16.25,0.297,0.548,No
114,Singapore Shipping Corporation Limited,S19.SI,8.15,0.156,0.971,Yes
115,Stamford Tyres Corporation Limited,S29.SI,8.6,0.165,0.85,No
116,HL Global Enterprises Limited,AVX.SI,11.86,0.227,1.83,Yes
117,Micro-Mechanics (Holdings) Ltd.,5DD.SI,5.94,0.118,0.097,Yes
118,China Shenshan Orchard Holdings Co. Ltd.,BKV.SI,47.53,0.813,4.694,Yes
119,The Hour Glass Limited,AGS.SI,4.03,0.082,0.267,Yes
120,APAC Realty Limited,CLN.SI,11.36,0.225,0.384,Yes
121,Ley Choon Group Holdings Limited,Q0X.SI,13.76,0.273,0.497,Yes
122,CSOP iEdge Southeast Asia+ TECH Index ETF,SQU.SI,8.51,0.175,,
123,Miyoshi Limited,M03.SI,61.79,1.076,2.354,No
124,Livingstone Health Holdings Limited,PRH.SI,42.6,0.824,3.832,Yes
125,CSOP CSI STAR and CHINEXT 50 Index ETF,SCY.SI,22.45,0.471,,
126,Sinostar PEC Holdings Limited,C9Q.SI,12.02,0.266,1.047,No
127,CSE Global Limited,544.SI,13.2,0.3,1.183,Yes
128,Beng Kuang Marine Limited,BEZ.SI,29.35,0.627,1.986,Yes
129,Wilmar International Limited,F34.SI,5.52,0.131,0.792,Yes
130,New Wave Holdings Ltd.,5FX.SI,50.84,1.028,6.033,Yes
131,Seatrium Ltd,5E2.SI,20.15,0.458,3.334,Yes
132,The Straits Trading Company Limited,S20.SI,4.52,0.111,0.656,Yes
133,Alpina Holdings Limited,ZXY.SI,14.27,0.343,1.159,Yes
134,CGS Fullgoal CSI 1000 ETF,GRU.SI,14.74,0.369,,
135,TOTM Technologies Limited,42F.SI,45.98,1.036,1.7,Yes
136,Far East Group Limited,5TJ.SI,16.5,0.433,0.674,No
137,Low Keng Huat (Singapore) Limited,F1E.SI,8.66,0.239,0.712,No
138,Shanaya Limited,SES.SI,73.6,1.653,6.882,Yes
139,Mooreast Holdings Ltd.,1V3.SI,21.75,0.584,1.217,No
140,OTS Holdings Limited,OTS.SI,17.54,0.482,1.871,No
141,Trans-China Automotive Holdings Limited,VI2.SI,76.91,1.739,5.695,Yes
142,MYP Ltd.,F86.SI,9.13,0.264,1.404,Yes
143,Keppel Ltd.,BN4.SI,4.19,0.132,1.262,Yes
144,Lum Chang Holdings Limited,L19.SI,4.29,0.136,0.266,No
145,Tuan Sing Holdings Limited,T24.SI,6.69,0.212,1.251,Yes
146,Quantum Healthcare Limited,V8Y.SI,70.48,1.809,6.462,Yes
147,Sapphire Corporation Limited,BRD.SI,20.61,0.679,3.234,Yes
148,YKGI Limited,YK9.SI,5.13,0.182,0.159,No
149,Cordlife Group Limited,P8A.SI,10.37,0.361,1.564,Yes
150,CSOP FTSE Asia Pacific Low Carbon Index ETF,LCS.SI,2.32,0.087,0.052,No
151,Yanlord Land Group Limited,Z25.SI,15.86,0.57,1.726,Yes
152,Metech International Limited,V3M.SI,25.41,0.955,8.022,No
153,Jardine Cycle & Carriage Limited,C07.SI,2.42,0.104,0.099,No
154,Sasseur Real Estate Investment Trust,CRPU.SI,3.14,0.137,0.995,Yes
155,Japan Foods Holding Ltd.,5OI.SI,6.6,0.283,1.291,Yes
156,Far East Orchard Limited,O10.SI,1.21,0.054,0.082,Yes
157,UOBAM Ping An ChiNext ETF,CXS.SI,9.66,0.418,2.415,Yes
158,Raffles Education Limited,NR7.SI,6.26,0.28,0.925,No
159,AIMS APAC REIT,O5RU.SI,2.24,0.104,0.853,Yes
160,Bacui Technologies International Ltd.,YYB.SI,43.08,1.762,3.069,Yes
161,SATS Ltd.,S58.SI,6.1,0.294,0.327,Yes
162,The Place Holdings Limited,E27.SI,19.78,0.92,3.792,Yes
163,GSH Corporation Limited,BDX.SI,5.42,0.274,0.165,Yes
164,$ Attika Group,53W.SI,12.59,0.626,,
165,Sanli Environmental Limited,1E3.SI,4.05,0.216,0.798,No
166,Adventus Holdings Limited,5EF.SI,19.78,1.18,1.243,No
167,Bukit Sembawang Estates Limited,B61.SI,2.11,0.14,0.718,Yes
168,Riverstone Holdings Limited,AP4.SI,3.29,0.243,0.914,Yes
169,A-Sonic Aerospace Limited,BTJ.SI,3.89,0.295,1.169,Yes
170,Manulife US Real Estate Investment Trust,BTOU.SI,7.4,0.595,2.702,Yes
171,Spindex Industries Limited,564.SI,1.52,0.191,0.064,No
172,UOBAM Ping An ChiNext ETF,CXU.SI,2.12,0.276,1.431,Yes
173,Tianjin Pharmaceutical Da Ren Tang Group Corporation Limited,T14.SI,1.52,0.215,0.892,Yes
174,Overseas Education Limited,RQ1.SI,0.57,0.09,0.054,Yes
175,Qian Hu Corporation Limited,BCV.SI,1.93,0.345,1.072,Yes
176,Koda Ltd,BJZ.SI,1.39,0.301,1.161,Yes
177,Yamada Green Resources Limited,BJV.SI,0.57,0.238,0.503,Yes
178,Dasin Retail Trust,CEDU.SI,1.86,0.934,2.845,No
179,LHT Holdings Limited,BEI.SI,0.64,0.343,0.544,No
