Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Investo Teva Tesouro Selic Etf - Fundo De Investimento De Indice,LFTS11.SA,11.2,0.003,,
2,FII RZLC    CI,RZLC11.SA,12.77,0.004,,
3,FII GCDL    CI,GCDL11.SA,11.16,0.005,,
4,FII EGDB    CI,EGDB11.SA,8.88,0.005,,
5,Galapagos Feeder Logistico Fundo De Investimento ImobiliãRio Responsabilidade Limitada,GLPF11.SA,16.67,0.014,,
6,Capitania Office Properties FII - Fundo De Investimento Imobiliario,CPOF11.SA,15.78,0.014,,
7,INFRA PRIF  CI,PRIF11.SA,12.49,0.012,,
8,FIAGRO NEXG CI,NEXG11.SA,19.87,0.026,,
9,BTG Pactual Ima-B Fundo De Indice,PACG11.SA,14.82,0.022,,
10,BTG Pactual Teva Debentures Di Fundo De Indice,DEBB11.SA,13.26,0.024,,
11,"Darden Restaurants, Inc.",D1RI34.SA,20.37,0.041,,
12,Investo Teva Tesouro Ipca+ 0 A 4 Anos Etf - Fundo De Investimento De Indice,NTNS11.SA,6.82,0.019,,
13,It Now Ima-B5 P2 Fundo De Indice,B5P211.SA,8.35,0.023,0.04,Yes
14,Faria Lima Capital Recebiveis Imobiliarios I FII,FLCR11.SA,14.99,0.043,0.107,No
15,Capitania Logistica Fundo De Investimento Imobiliario - FII,CPLG11.SA,15.68,0.049,,
16,Btg Pactual Ima-B 5 P2 Fundo De Indice,PACC11.SA,8.81,0.03,,
17,Usinas Siderúrgicas de Minas Gerais S.A.,USIM6.SA,27.61,0.088,,
18,It Now IRF - M P2 Fundo De Indice,IRFM11.SA,10.22,0.036,0.116,Yes
19,Bardella S.A. Indústrias Mecânicas,BDLL4.SA,38.72,0.123,,
20,BlackRock Institutional Trust Company NA,BIXC39.SA,58.8,0.183,,
21,FOF JHSF Capital Fundo De Investimento Imobiliario,JCCJ11.SA,30.93,0.111,,
22,Fundo De Investimento Imobiliario Hbc Renda Urbana,HBCR11.SA,7.16,0.028,,
23,Tellus Multiestrategia Fundo De Investimento Imobiliario,TELM11.SA,0.6,0.002,,
24,Rio Paranapanema Energia S.A.,GEPA3.SA,56.31,0.196,,
25,"Cencora, Inc.",C1CO34.SA,54.95,0.205,,
26,FII KINEA UNCI,KNUQ11.SA,15.46,0.069,,
27,Elektro Redes S.A.,EKTR4.SA,40.93,0.168,,
28,Boston Scientific Corporation,B1SX34.SA,44.17,0.188,0.135,No
29,"Copart, Inc.",C1PR34.SA,58.28,0.247,,
30,Sparta Infra Cdi Fd De Invest Em Cotas De Fd Incentivados De Inv Em Infraestrutura Renda Fixa Cr Pri,CDII11.SA,15.32,0.077,,
31,Fundo de Investimento Imobiliário Rio Bravo Renda Corporativa,BMLC11.SA,19.55,0.098,0.034,No
32,"Corteva, Inc.",C1TV34.SA,40.27,0.189,,
