Rank,Name,Ticker,Return (%),Risk
1,SWISS LIFE HOLDING N 2. LINIE,SLHNE.SW,41.29,0.128
2,Compagnie Financière Tradition SA,CFTE.SW,42.74,0.175
3,Compagnie Financière Tradition SA,CFT.SW,31.31,0.148
4,VZ Holding AG,VZN.SW,38.15,0.206
5,Liechtensteinische Landesbank Aktiengesellschaft,LLBN.SW,19.46,0.114
6,Eli Lilly and Company,LLY.SW,45.37,0.27
7,Holcim AG,HOLN.SW,34.35,0.214
8,UBS (Irl) ETF plc - MSCI World ex USA Climate Paris Aligned UCITS ETF,WXUPAB.SW,17.67,0.121
9,Banque Cantonale de Genève SA,BCGE.SW,20.81,0.144
10,Swiss Re AG,SREN.SW,32.77,0.223
11,EFG International AG,EFGN.SW,32.9,0.225
12,ARYZTA AG,ARYN.SW,33.56,0.242
13,Sandoz Group AG,SDZ.SW,44.71,0.311
14,Zuger Kantonalbank,ZUGER.SW,9.53,0.076
15,Mikron Holding AG,MIKN.SW,40.85,0.304
16,Ypsomed Holding AG,YPSN.SW,43.09,0.324
17,Sulzer Ltd,SUN.SW,36.18,0.286
18,Swissquote Group Holding Ltd,SQN.SW,44.21,0.35
19,Berner Kantonalbank AG,BEKN.SW,7.55,0.07
20,EPIC Suisse AG,EPIC.SW,11.06,0.108
21,BVZ Holding AG,BVZN.SW,12.49,0.126
22,ABB Ltd,ABBN.SW,22.98,0.226
23,Burkhalter Holding AG,BRKN.SW,18.29,0.187
24,Implenia AG,IMPN.SW,30.04,0.298
25,Swiss Life Holding AG,SLHN.SW,18.7,0.201
26,Accelleron Industries AG,ACLN.SW,31.92,0.33
27,LINDT PS 2.LINIE,LISPE.SW,15.21,0.17
28,IVF Hartmann Holding AG,VBSN.SW,17.17,0.192
29,APG|SGA SA,APGN.SW,16.01,0.181
30,Schindler Holding AG,SCHP.SW,17.79,0.2
31,Schindler Holding AG,SCHN.SW,16.25,0.186
32,Jungfraubahn Holding AG,JFN.SW,15.41,0.183
33,LINDT N 2.LINIE,LISNE.SW,12.69,0.154
34,ABB Ltd,ABBNE.SW,18.33,0.224
35,Novartis AG,NOVN.SW,11.72,0.148
36,UBS Group AG,UBSG.SW,25.29,0.304
37,Banque Cantonale Vaudoise,BCVN.SW,11.68,0.166
38,BKW AG,BKW.SW,13.3,0.188
39,Graubündner Kantonalbank,GRKP.SW,5.51,0.082
40,Walliser Kantonalbank,WKBN.SW,4.89,0.075
41,Meier Tobler Group AG,MTG.SW,21.5,0.321
42,St. Galler Kantonalbank AG,SGKN.SW,5.23,0.084
43,GEBERIT N 2. LINIE,GEBNE.SW,6.77,0.111
44,Julius Bär Gruppe AG,BAER.SW,16.27,0.26
45,Flughafen Zürich AG,FHZN.SW,12.26,0.204
46,Baloise Holding AG,BALN.SW,9.79,0.168
47,Galenica AG,GALE.SW,7.61,0.139
48,Basilea Pharmaceutica AG,BSLN.SW,16.79,0.303
49,Banque Cantonale du Jura SA,BCJ.SW,7.37,0.147
50,Siegfried Holding AG,SFZN.SW,12.43,0.249
51,Partners Group Holding AG,PGHN.SW,15.15,0.307
52,Burckhardt Compression Holding AG,BCHN.SW,11.8,0.248
53,Logitech International S.A.,LOGNE.SW,17.0,0.357
54,Kardex Holding AG,KARN.SW,15.35,0.338
55,ALPINE SELECT N 2. LINIE,ALPNE.SW,2.04,0.049
56,INFICON Holding AG,IFCN.SW,13.62,0.329
57,Alcon Inc.,ALC.SW,8.94,0.222
58,Georg Fischer AG,GF.SW,13.28,0.324
59,Investis Holding SA,IREN.SW,4.84,0.123
60,Phoenix Mecano AG,PMN.SW,8.19,0.206
61,Novartis AG,NOVNEE.SW,5.69,0.154
62,Logitech International S.A.,LOGN.SW,12.49,0.333
63,BNP Paribas Easy MSCI Pacific ex Japan Min TE Min TE UCITS ETF Cap,EPEJ.SW,5.55,0.153
64,CPH Group AG,CPHN.SW,8.51,0.232
65,Cham Swiss Properties AG,CHAM.SW,4.98,0.143
66,Montana Aerospace AG,AERO.SW,17.79,0.497
67,Medacta Group SA,MOVE.SW,8.85,0.278
68,Zug Estates Holding AG,ZUGN.SW,4.88,0.163
69,Valartis Group AG,VLRT.SW,7.41,0.248
70,ALSO Holding AG,ALSN.SW,7.75,0.26
71,Autoneum Holding AG,AUTN.SW,13.12,0.446
72,Bucher Industries AG,BUCN.SW,6.06,0.213
73,Phoenix Mecano AG,PMNE.SW,3.84,0.144
74,Castle Private Equity AG,CPEN.SW,8.64,0.332
75,VAT Group AG,VACN.SW,9.73,0.375
76,Comet Holding AG,COTN.SW,11.01,0.433
77,SKAN Group AG,SKAN.SW,6.27,0.259
78,Cosmo Pharmaceuticals N.V.,COPN.SW,8.95,0.372
79,SF Urban Properties AG,SFPN.SW,2.82,0.122
80,Hypothekarbank Lenzburg AG,HBLN.SW,1.73,0.082
81,Landis+Gyr Group AG,LAND.SW,6.24,0.299
82,HBM Healthcare Investments AG,HBMNE.SW,8.2,0.412
83,u-blox Holding AG,UBXN.SW,7.68,0.41
84,Chocoladefabriken Lindt & Sprüngli AG,LISN.SW,2.74,0.167
85,Geberit AG,GEBN.SW,3.95,0.241
86,Givaudan SA,GIVN.SW,2.84,0.185
87,Avolta AG,AVOL.SW,4.64,0.309
88,Straumann Holding AG,STMN.SW,2.45,0.326
89,VP Bank AG,VPBN.SW,1.12,0.172
90,Swisscom AG,SCMN.SW,0.99,0.151
91,SFS Group AG,SFSN.SW,1.41,0.261
92,Romande Energie Holding SA,REHN.SW,0.73,0.159
93,StarragTornos Group AG,STGN.SW,0.41,0.252
94,Zwahlen & Mayr SA,ZWM.SW,0.24,0.386
95,Klingelnberg AG,KLIN.SW,-0.13,0.329
96,Adecco Group AG,ADEN.SW,-0.65,0.316
97,Meyer Burger Technology AG,MBTN.SW,-4.93,2.406
98,SGS SA,SGSN.SW,-0.46,0.19
99,Private Equity Holding AG,PEHN.SW,-0.57,0.149
100,Hocn AG,HOCN.SW,-7.54,1.854
101,Huber+Suhner AG,HUBN.SW,-1.07,0.228
102,Xlife Sciences AG,XLS.SW,-4.18,0.562
103,SIG Group AG,SIGN.SW,-2.36,0.264
104,Kuehne + Nagel International AG,KNIN.SW,-2.66,0.255
105,Roche Holding AG,ROG.SW,-2.13,0.187
106,Bergbahnen Engelberg-Trübsee-Titlis AG,TIBN.SW,-1.86,0.159
107,Sonova Holding AG,SOON.SW,-4.27,0.317
108,Molecular Partners AG,MOLN.SW,-9.08,0.684
109,Roche Holding AG,RO.SW,-2.87,0.206
110,DKSH Holding AG,DKSH.SW,-2.67,0.181
111,"PepsiCo, Inc.",PEP.SW,-1.94,0.123
112,Interroll Holding AG,INRN.SW,-5.53,0.326
113,Emmi AG,EMMN.SW,-3.41,0.18
114,Glarner Kantonalbank,GLKBN.SW,-1.86,0.093
115,Sensirion Holding AG,SENS.SW,-9.41,0.416
116,Sika AG,SIKA.SW,-6.73,0.285
117,Zehnder Group AG,ZEHN.SW,-7.77,0.32
118,Bachem Holding AG,BANB.SW,-9.34,0.38
119,Relief Therapeutics Holding SA,RLF.SW,-25.72,1.142
120,PIERER Mobility AG,PKTM.SW,-20.62,0.843
121,Warteck Invest AG,WARN.SW,-3.37,0.123
122,Luzerner Kantonalbank AG,LUKN.SW,-2.6,0.094
123,Vetropack Holding AG,VETN.SW,-7.22,0.251
124,COLTENE Holding AG,CLTN.SW,-7.22,0.247
125,Carlo Gavazzi Holding AG,GAV.SW,-6.84,0.233
126,naturenergie holding AG,NEAG.SW,-5.7,0.173
127,Orascom Development Holding AG,ODHN.SW,-11.09,0.34
128,SoftwareOne Holding AG,SWON.SW,-15.02,0.452
129,Dottikon ES Holding AG,DESN.SW,-10.83,0.303
130,NIBE Industrier AB (publ),NIBEB.SW,-15.3,0.437
131,DocMorris AG,DOCM.SW,-27.84,0.847
132,Aevis Victoria SA,AEVS.SW,-6.56,0.168
133,Novavest Real Estate AG,NREN.SW,-4.64,0.112
134,OC Oerlikon Corporation AG,OERL.SW,-10.98,0.271
135,The Swatch Group AG,UHRN.SW,-9.97,0.244
136,Highlight Event and Entertainment AG,HLEE.SW,-20.54,0.507
137,EMS-CHEMIE HOLDING AG,EMSN.SW,-8.94,0.204
138,V-ZUG Holding AG,VZUG.SW,-12.91,0.299
139,The Swatch Group AG,UHR.SW,-11.26,0.256
140,Idorsia Ltd,IDIA.SW,-39.85,0.988
141,Edisun Power Europe AG,ESUN.SW,-19.93,0.435
142,Nestlé S.A.,NESN.SW,-8.23,0.159
143,Ascom Holding AG,ASCN.SW,-19.95,0.401
144,BB Biotech AG Ord,BION.SW,-13.16,0.254
145,Asmallworld AG,ASWN.SW,-16.74,0.325
146,Stadler Rail AG,SRAIL.SW,-12.25,0.231
147,Villars Holding S.A.,VILN.SW,-9.49,0.164
148,Forbo Holding AG,FORN.SW,-14.25,0.251
149,Evolva Holding SA,EVE.SW,-40.46,0.822
150,Clariant AG,CLN.SW,-13.11,0.226
151,Perrot Duval Holding S.A.,PEDU.SW,-14.86,0.254
152,Schweiter Technologies AG,SWTQ.SW,-20.62,0.332
153,ams-OSRAM AG,AMS.SW,-38.96,0.682
154,Bystronic AG,BYS.SW,-22.18,0.338
155,Barry Callebaut AG,BARN.SW,-16.24,0.23
156,Komax Holding AG,KOMN.SW,-22.73,0.316
157,LEM Holding SA,LEHN.SW,-25.61,0.36
158,nebag ag,NBEN.SW,-7.23,0.088
159,Kudelski SA,KUD.SW,-24.18,0.302
160,Gurit Holding AG,GURN.SW,-42.04,0.566
161,Leonteq AG,LEON.SW,-26.7,0.314
162,Metall Zug AG,METN.SW,-16.49,0.176
163,Bellevue Group AG,BBN.SW,-31.52,0.338
164,CALIDA Holding AG,CALN.SW,-25.37,0.26
165,Adval Tech Holding AG,ADVN.SW,-20.84,0.196
