Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Leonteq USD Overnight Return ETN,ONUU.DE,4.28,0.0,,
2,Integrated Wind Solutions ASA,9UG1.F,49.61,0.001,,
3,United States Cellular Corp,US7.DU,21.55,0.001,,
4,Kinden Corp,109.DU,29.87,0.001,,
5,Soiltech ASA,6YA.F,58.36,0.004,,
6,RTX AS,RTE.BE,56.76,0.008,,
7,Leonteq CHF Overnight Return ETN,ONCC.DE,0.39,0.0,,
8,Kofola CeskoSlovensko AS,48K.DU,77.48,0.021,,
9,Better Home & Finance Holding Company,V6L.F,27.91,0.011,,
10,ETP on Leonteq EUR Overnight Return Index,EONR.DE,2.82,0.001,,
11,ISDN Holdings Ltd,I8D.DU,47.84,0.021,,
12,MedNation AG,EIF.DE,48.57,0.021,,
13,SEMAPA-Soc.Inv.e Gest.SGPS SA A,SQQ1.BE,17.92,0.01,,
14,ABG Sundal Collier Holding ASA,DAB.DU,40.77,0.023,,
15,Zhou Hei Ya International Holdings Co Ltd,ZHY.DU,73.82,0.043,,
16,Uni-President China Holdings Ltd,58U.DU,72.22,0.047,,
17,Bank of China Limited,W8VS.F,71.55,0.065,,
18,About You Holding SE,YOU0.F,11.5,0.015,,
19,Alta Copper Corp.             R,8BF.DU,68.29,0.077,,
20,Ocumension Therapeutics,5DG.DU,74.69,0.09,,
21,Pacific Basin Shipping Ltd,OYD.DU,20.22,0.03,,
22,Worley Ltd,WF9.SG,49.2,0.071,,
23,Duni AB,2DU.DU,30.05,0.047,,
24,DSM Firmenich AG,ZX61.DU,87.08,0.117,,
25,CoSciens Biopharma Corp.      R,ET8.DU,44.12,0.072,,
26,Asia Cement (China) Holdings Corp,4OJ.DU,18.59,0.035,,
27,dormakaba Holding AG,KAB.F,44.08,0.078,,
28,Klea Holding,7V91.DU,27.84,0.054,,
29,Ferro SA,0MN.MU,24.92,0.051,,
30,Imperial Brands PLC,ITBA.DU,69.83,0.123,,
31,Telkom SA SOC Ltd,TZL1.DU,56.79,0.105,,
32,Giftee Inc,84I.DU,59.34,0.108,,
33,TPG Telecom Ltd,YST1.MU,82.88,0.141,,
34,Afya Ltd,1AY.DU,41.13,0.081,,
35,Oil-Dri Corp of America,O4D.DU,15.76,0.036,,
36,Cyfrowy Polsat SA,CP9.MU,68.14,0.139,,
37,Grupo Empresarial San Jose SA,80E.MU,67.39,0.143,,
38,Assicurazioni Generali,ASG0.DU,59.3,0.13,,
39,Bank Of China Ltd,W8VS.DU,70.66,0.159,,
40,DFV Deutsche Familienversicherung AG,DFV.HM,22.49,0.06,,
41,IncomeShares Gold + Yield ETP,YGLD.DE,51.8,0.128,,
42,Optima bank SA,C59.MU,68.36,0.162,,
43,Novotek AB,Z9D.F,84.17,0.191,,
44,COFCO Joycome Foods Ltd,0M7.DU,33.56,0.09,,
45,Ramada Investimentos e Industria SA,Y4E.DU,34.23,0.092,,
46,Orkla ASA,OKL0.DU,61.1,0.151,,
47,DMG Mori Aktiengesellschaft,GIL.SG,7.18,0.022,0.014,Yes
48,DMG MORI AKTIENGESELLSCHAFT,GIL.DE,7.0,0.022,0.006,Yes
49,Goldshore Resources Inc,8X00.DU,37.51,0.105,,
50,Yamaha Corporation,YHAA.F,14.55,0.045,,
51,Apontis Pharma AG,APPH.HM,40.25,0.113,,
52,Ble Kedros REIC,N67.F,30.89,0.089,,
53,DMG Mori Aktiengesellschaft,GIL.DU,7.13,0.023,0.026,Yes
54,NatWest Group PLC,RYS.DU,73.43,0.19,,
55,BOC Hong Kong (Holdings) Limited,BOFA.F,73.85,0.191,,
56,Holcim Ltd,HLB.MU,33.85,0.1,,
57,Compagnie de Saint-Gobain SA,GOBU.MU,42.07,0.121,,
58,Per Aarsleff Holding A/S,PE9.DU,77.82,0.202,,
59,MTU Aero Engines AG,MTX1.DU,52.02,0.147,,
60,Intercorp Financial Services Inc,9IFA.DU,64.97,0.176,,
61,Iberdrola SA,IBE5.DU,41.43,0.122,,
62,Covestro AG,1CO.F,12.39,0.042,,
63,DMG Mori Aktiengesellschaft,GIL.BE,7.01,0.024,0.061,Yes
64,Dom Development SA,6WV.DU,80.68,0.217,,
65,Credito Emiliano,EAO.DU,48.38,0.146,,
66,REVO Insurance SpA,H0O.DU,55.67,0.166,,
67,"Mizuho Leasing Company, Limited",LFB.F,25.44,0.084,,
68,Beazley PLC,2D7.BE,45.38,0.141,,
69,Kri-Kri Milk Industry S.A.,AO2.F,62.86,0.186,,
70,TMX Group Ltd,9TX.DU,43.58,0.138,,
71,ACS Actividades de Construccion y Servicios SA,OCI.MU,43.26,0.137,0.413,Yes
72,Chesnara PLC,6DE.DU,21.35,0.073,,
73,Endesa SA,ENAA.DU,57.12,0.173,,
74,Haugesund Sparebank,Y7I.SG,58.23,0.177,,
75,Netgem SA,NGP.DU,40.57,0.131,,
76,ABC arbitrage SA,9BA.DU,62.06,0.188,,
77,Allianz SE,ALVE.DU,39.68,0.131,,
78,DMG MORI AKTIENGESELLSCHAFT,GIL.F,6.93,0.026,0.07,Yes
79,Holcim Ltd,HLB.DU,30.15,0.106,,
80,Kri-Kri Milk Industry SA,AO2.DU,58.93,0.188,,
81,Caltagirone SpA,QCG.DU,78.26,0.238,,
82,Quilter PLC,2FQ0.DU,60.27,0.195,,
83,DMG Mori Aktiengesellschaft,GIL.MU,6.94,0.027,0.098,Yes
84,EcoUp Oyj,62H.DU,63.81,0.206,,
85,Teqnion AB,M45.DU,63.87,0.206,,
86,Groupe SFPI SA,EKN.DU,8.25,0.032,,
87,Coegin Pharma AB,7Z6.F,28.34,0.103,,
88,CompuGroup Medical SE &Co.KGaAz,COP0.DE,9.95,0.039,,
89,Elysee Development Corp,QLDN.DU,20.22,0.076,,
90,New Work SE,NWO.HM,66.46,0.213,,
91,iA Financial Corp Inc,1OD.MU,86.1,0.261,,
92,Kri-Kri Milk Industry SA,AO2.SG,57.46,0.19,,
93,National Fuel Gas Co,NFG.DU,56.88,0.189,,
94,Mapfre SA,CMA.DU,64.54,0.211,,
95,Datatec Ltd,DTT0.DU,86.67,0.266,,
96,DMG Mori Aktiengesellschaft,GIL.HA,6.94,0.028,0.087,Yes
97,Munchener Ruckversicherungs-Gesellschaft AG,MUV2.MU,43.25,0.152,0.383,Yes
98,Kri-Kri Milk Industry SA,AO2.MU,57.1,0.193,,
99,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,MUV2.F,43.35,0.155,0.389,Yes
100,Munchener Ruckversicherungs-Gesellschaft AG,MUV2.HM,43.02,0.154,0.385,Yes
101,DMG Mori Aktiengesellschaft,GIL.HM,6.94,0.029,0.09,Yes
102,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,MUV2.DE,43.03,0.155,0.364,Yes
103,Splendid Medien AG,SPM.HM,44.59,0.161,,
104,Munchener Ruckversicherungs-Gesellschaft AG,MUV2.DU,43.09,0.156,0.381,Yes
105,Munchener Ruckversicherungs-Gesellschaft AG,MUVB.MU,40.24,0.148,0.448,Yes
106,Munchener Ruckversicherungs-Gesellschaft AG,MUV2.HA,41.74,0.152,0.392,Yes
107,UIE Plc,I55.F,43.9,0.159,,
108,Munchener Ruckversicherungs-Gesellschaft AG,MUV2.BE,43.46,0.158,0.398,Yes
109,USU Software AG,OSP2.HM,64.71,0.222,,
110,Pharmaron Beijing Co Ltd,17Q1.DU,51.47,0.184,,
111,Munchener Ruckversicherungs-Gesellschaft AG,MUV2.SG,43.63,0.16,0.406,Yes
112,Medical Facilities Corp,31F.SG,64.33,0.222,,
113,Zurich Insurance Group AG,ZFI1.DU,40.83,0.152,,
114,Global Dividend Growth Split Corp.,W9W.F,52.53,0.188,,
115,Dino Polska S.A. (ADRs),5Y20.SG,69.03,0.238,,
116,TMX Group Ltd,9TX.SG,42.86,0.162,,
117,Erste Group Bank AG.,EBOR.DU,59.76,0.215,,
118,Medical Facilities Corp,31F.MU,57.88,0.209,,
119,Covivio Hotels,9FM.DU,58.13,0.211,,
120,Terveystalo PLC,4TS.DU,64.08,0.229,,
121,Aedas Homes SA,1QK.MU,70.92,0.249,,
122,Rua Gold Inc,X9R.DU,70.97,0.249,,
123,Standard Chartered PLC,STD0.DU,80.39,0.275,,
124,LightOn SAS,I63.SG,75.64,0.264,,
125,Sega Sammy Holdings Inc,RYU0.DU,58.2,0.215,,
126,ACS Actividades de Construccion y Servicios SA,OCI.DU,45.39,0.175,,
127,Fireweed Metals Corp,M0G.DU,21.31,0.09,,
128,iA Financial Corp Inc,1OD.DU,57.08,0.213,,
129,Koninklijke KPN NV,KPNB.DU,19.66,0.085,,
130,Voxel SA,0NX.DU,77.45,0.276,,
131,"China Merchants Bank Co., Ltd.",M4BB.F,74.54,0.268,,
132,Medical Facilities Corp,31F.DU,57.03,0.216,,
133,Halyk Bank Of Kazakhstan JSC  R,H4L1.DU,67.21,0.247,,
134,Cranswick PLC,0U6.DU,30.39,0.127,,
135,Vitalhub Corp,6OVA.MU,73.22,0.266,,
136,UL Solutions Inc,72R.SG,70.75,0.26,,
137,Horace Mann Educators Corp,HM9.DU,51.23,0.201,,
138,Kaspi.kz JSC,KKS.BE,20.99,0.092,,
139,Magyar Telekom PLC,MGYA.F,79.33,0.287,0.865,Yes
140,Munchener Ruckversicherungs-Gesellschaft AG,MUVB.SG,41.45,0.169,0.399,Yes
141,Evergy Inc,3E7.DU,39.07,0.161,,
142,United States Cellular Corp,US7.MU,49.5,0.197,,
143,Orion Oyj,OFK0.DU,56.37,0.22,,
144,ACS Actividades de Construccion y Servicios SA,OCI1.MU,42.08,0.173,0.677,Yes
145,"Elecnor, S.A.",EK5.F,55.63,0.219,,
146,Qantas Airways Limited,QAN0.F,55.93,0.22,,
147,Reway Group SpA,IR0.DU,53.64,0.214,,
148,Fair Isaac Corporation,FRI.F,76.87,0.286,0.683,Yes
149,ACS Actividades de Construccion y Servicios SA,OCI1.BE,41.91,0.174,0.68,Yes
150,Fair Isaac Corp,FRI.MU,76.31,0.285,0.646,Yes
151,Magyar Telekom Távközlési Nyilvánosan Müködö Részvénytársaság,MGYA.DU,84.36,0.31,1.018,Yes
152,Redeia Corporacion SA,RE2.DU,34.64,0.149,,
153,Ibersol SGPS SA,L34.SG,22.5,0.102,,
154,Fair Isaac Corp,FRI.BE,75.36,0.286,0.681,Yes
155,Vitalhub Corp,6OVA.DU,64.74,0.254,,
156,"ACS, Actividades de Construcción y Servicios, S.A.",OCI.F,43.44,0.183,0.677,Yes
157,Baoye Group Co Ltd,BKG.DU,25.96,0.117,,
158,Aedas Homes SA,1QK.DU,69.26,0.27,,
159,AXA SA,AXAA.DU,36.86,0.16,,
160,iA Financial Corp Inc,1OD.SG,59.36,0.238,,
161,UL Solutions Inc,72R.MU,71.96,0.278,,
162,PKO Bank Polski SA,P9O.DU,71.77,0.278,,
163,Grupo Empresarial San Jose SA,80E.DU,55.37,0.226,,
164,ACS Actividades de Construccion y Servicios SA,OCI1.HA,40.93,0.176,0.711,Yes
165,ACS Actividades de Construccion y Servicios SA,OCI1.DU,41.39,0.178,0.662,Yes
166,NEPI Rockcastle NV,0A3.SG,47.57,0.202,,
167,Compass Group PLC,XGR.DU,36.72,0.162,,
168,"ACS, Actividades de Construcción y Servicios, S.A.",OCI1.F,41.58,0.181,0.695,Yes
169,ACS Actividades de Construccion y Servicios SA,OCI1.SG,42.42,0.185,0.761,Yes
170,Banco Santander SA,BSDK.SG,74.52,0.294,,
171,Blackstone Secured Lending Fund,GM8.SG,32.29,0.146,,
172,Banco Santander SA,BSD2.HA,61.89,0.254,,
173,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,MUVB.F,39.73,0.176,0.363,Yes
174,Benefit Systems SA,3ZV.SG,83.69,0.323,,
175,H World Group Ltd,CL4.DU,30.09,0.138,,
