Rank,Name,Ticker,Return (%),Risk
1,BankInvest Optima Rente Akk. A,BIVOPRAA.CO,9.56,0.001
2,Fairrente KL n,PMIFRKLN.CO,2.91,0.002
3,Sparinvest SICAV Gl Conv Bonds EUR R,SSIGCBEURR.CO,18.11,0.027
4,Coop Opsparing Forsigtig,COIFOR.CO,9.44,0.014
5,Sydinvest Formue Balanceret Udb A,SYVFBUA.CO,12.85,0.025
6,Wealth Invest Strategi Alternativer,WEISA.CO,10.86,0.022
7,Formuepleje - Obligationer,FPIOBL.CO,4.52,0.012
8,BankInvest Emerging Markets Korte Obli A,BAIKOA.CO,8.09,0.024
9,Sparinvest SICAV - Procedo,SSIPEURR.CO,20.6,0.064
10,Nordea Invest - Korte obligationer Lagerbeskattet,NDIKOLKL1.CO,5.11,0.019
11,Sydinvest Formue Konservativ Udb A,SYVFKUDA.CO,5.1,0.019
12,Sparinvest SICAV - Balance,SSIBDKKR.CO,15.38,0.06
13,BankInvest Korte HY Obli Royal London A,BAIKHYORLA.CO,3.47,0.015
14,BankInvest - Korte Danske Obligationer Akk. KL,BAIKDKOAKA.CO,4.05,0.017
15,Sydinvest Formue Vækstorienteret Udb A,SYVFVOUA.CO,14.99,0.064
16,Sydinvest Formue Offensiv Udb A,SYVFOUA.CO,17.94,0.077
17,BankInvest Optima Rente A,BIVORA.CO,6.26,0.029
18,Sparinvest - Value Virksomhedsobligationer Global Højrente Udb. KL,SPIVHYKLA.CO,13.44,0.063
19,Sydinvest Virksomhedsobligationer HY KL,SYIVOHYADKK.CO,9.99,0.05
20,Sydinvest Korte Obligationer KL,SYIKOADKK.CO,4.0,0.021
21,IA Invest Advice Capital Global,IAIACG.CO,11.69,0.064
22,Wealth Invest Optimal Stabil,WEIOS.CO,9.24,0.051
23,BankInvest Mellemlange Danske Obligationaer,BAIMDOA.CO,5.63,0.035
24,Formuepleje - Global High Yield,FPIGHY.CO,7.25,0.045
25,Sparinvest INDEX Glb Akt Min Risk Akk KL,SPVIGAMRAKL.CO,14.45,0.093
26,PortfolioMan ClimateTransitionB,PMICTBKLN.CO,4.26,0.029
27,Sparinvest Value Emerging Markets KL,SPIVEMKLA.CO,17.44,0.115
28,Investeringsforeningen Jutlanderinvest - Konservativ,SDIKON.CO,6.8,0.049
29,Sydinvest HøjrenteLande A DKK,SYIHRLADKK.CO,8.15,0.061
30,Wealth Invest Optimal VerdensIndex Mod,WEIOVM.CO,9.35,0.074
31,Nordea Invest - Korte obligationer Fund,NDIKOKL1.CO,2.43,0.02
32,BankInvest Korte Danske Obligationer,BAIKDOBA.CO,2.59,0.021
33,BankInvest Globale Obligationer,BAIGOAA.CO,8.36,0.068
34,Sparinvest INDEX Em Mkt Bonds Akk KL A,SPVIEMMBAKKKLA.CO,6.11,0.052
35,Great Dane INDEX+,GDIIND.CO,13.59,0.116
36,Investeringsforeningen Spardanmark Invest Balance Fund,SDIBAL.CO,7.13,0.064
37,Danske Andelskassers Bank A/S,DAB.CO,15.02,0.133
38,IA Invest Peruma Invest Globale Aktier,IAIPGA.CO,13.74,0.125
39,BIX USA Aktier Indeks A,BXIUSAAIA.CO,16.24,0.149
40,Investeringsforeningen Nordea Invest - Global Small Cap Enhanced,NDIGSEKL1.CO,6.65,0.065
41,Sparinvest INDEX Europa Value KL,SPIEUVKL.CO,14.9,0.141
42,BankInvest Optima 75 Akk. KL,BIV75A.CO,11.61,0.113
43,,NDIVOBKL1.CO,4.43,0.046
44,Vestjysk Bank A/S,VJBA.CO,17.99,0.177
45,Sydinvest Verden Ligevægt & Value KL,SYIMEGADKKAKK.CO,13.81,0.138
46,Maj Invest Big Picture,MAJBPI.CO,7.79,0.081
47,Maj Invest Grønne Obligationer,MAJGRO.CO,3.36,0.036
48,Storebrand Indeks - Alle Markeder,STIIAM.CO,12.27,0.125
49,BankInvest Virksomobl HY Jyske Capital A,BAIVOHYJYCAPA.CO,4.37,0.047
50,,NDISTABKL1.CO,6.15,0.066
51,Afdeling MW Compounders Akkumulerende,IAIMCA.CO,11.04,0.116
52,Investeringsforeningen Danske Invest - Globale Obligationsmarkeder KL,DKIGOM.CO,4.73,0.052
53,Sparinvest Mix Lav Risiko KL,SPIMLRKLA.CO,4.79,0.053
54,BankInvest Glb Akt Sel ColumThr,BAIGASCTAA.CO,15.67,0.167
55,Danske Invest Danske Korte Obl KL DKK d,DKIKO.CO,2.44,0.028
56,Danske Invest Japan KL DKK d,DKIJAP.CO,10.71,0.119
57,Maj Invest - Investeringsforeningsbevis,MAJEMV.CO,11.7,0.129
58,Sparinvest INDEX Glb Akt KL,SPVIGAKL.CO,11.86,0.131
59,Maj Invest High Income Obligationer,MAJHIO.CO,4.07,0.047
60,PP Capital - StockPick KL,PMIPCSPKLNO.CO,9.92,0.111
61,BankInvest Højt Udbytte Aktier Akk. A,BAIHU.CO,8.29,0.094
62,Sparinvest INDEX Mellem Risiko KL,SPVIMRKL.CO,6.17,0.071
63,Investeringsforeningen Jutlanderinvest - Offensiv,SDIOFF.CO,8.17,0.093
64,Sparinvest INDEX Høj Risiko KL,SPVIHRKL.CO,7.79,0.089
65,Wealth Invest - Linde & Partners Global Value Fond,WEILPGVF.CO,6.45,0.075
66,Danske Inv Europa Indeks BNP KL DKK d,DKIEUIXBNP.CO,13.14,0.149
67,Investeringsforeningen Danske Invest - Europa Højt Udbytte KL,DKIEAUHU.CO,9.77,0.116
68,Danske Invest Euro HY-Obl - Akk,DKIEUHYOAKKDKKH.CO,5.76,0.07
69,Danske Inv Europa Højt Udbyt Akk KL DKK,DKIEUHUAKLDKK.CO,9.98,0.12
70,Danske Invest Nordiske Virks obl DKK h,DKINVO.CO,2.64,0.033
71,Investeringsforeningen Wealth Invest - Secure Select Aktier,WEISSA.CO,16.6,0.201
72,,JYIFJASRIKL.CO,9.72,0.124
73,Fynske Bank A/S,FYNBK.CO,10.0,0.128
74,Coop Opsparing Modig,COIMOD.CO,7.58,0.099
75,Nordfyns Bank A/S,NRDF.CO,14.65,0.185
76,Investeringsforeningen Jutlanderinvest - Varkst,SDIVKS.CO,8.76,0.114
77,Investeringsforeningen Nordea Invest - Emerging Markets Enhanced,NDIEMMAENKL1.CO,13.28,0.171
78,Ringkjøbing Landbobank A/S,RILBA.CO,15.55,0.199
79,Sydinvest Indeks Globale Akt Lav Ris KL,SYIIGALRKL.CO,8.88,0.118
80,Storebrand Global ESG Plus,STIGP.CO,9.43,0.126
81,BankInvest Glb Akt Sel ColumThr,BAIGASCTA.CO,13.1,0.177
82,Investeringsforeningen BIL Danmark - Selection Aktier KL,BIVOPA.CO,8.67,0.12
83,BankInvest Lange Danske Obl Akk. A,BAILDKOAA.CO,2.51,0.036
84,Sydinvest Europa Value A DKK,SYIEUVADKK.CO,11.69,0.164
85,Investeringsforeningen Danske Invest - USA KL,DKIUSAIKLDKKD.CO,11.32,0.161
86,Investeringsforeningen Nordea Invest - Global Enhanced,NDIGLENHKL1.CO,10.06,0.145
87,Sydinvest Kvalitetsaktier A DKK,SYIKVAADKK.CO,10.38,0.15
88,Jyske Bank A/S,JYSK.CO,17.87,0.252
