Rank,Name,Ticker,Return (%),Risk
1,Isramco Negev 2 Limited Partnership,ISRA.TA,33.51,0.24
2,STG International Ltd.,STG.TA,39.94,0.346
3,AMRAM AVRAHAM CONS,AMRM.TA,40.01,0.413
4,Golden House Ltd,GOHO.TA,38.6,0.405
5,Nayax Ltd.,NYAX.TA,41.92,0.436
6,Nova Ltd.,NVMI.TA,40.76,0.429
7,Zanlakol Ltd,ZNKL.TA,31.01,0.347
8,FMS Enterprises Migun Ltd,FBRT.TA,18.17,0.225
9,Aviation Links Ltd,AVIA.TA,37.18,0.436
10,LUZON RONSON N.V,LURO.TA,23.18,0.289
11,Teva Pharmaceutical Industries Limited,TEVA.TA,34.01,0.411
12,Gan Shmuel Foods Ltd.,GSFI.TA,26.53,0.352
13,Lachish Industries Ltd,LHIS.TA,31.27,0.41
14,Orbit Technologies Ltd,ORBI.TA,18.69,0.268
15,Israir Group Ltd,ISRG.TA,30.23,0.43
16,Elspec Engineering Ltd,ELSPC.TA,31.4,0.449
17,Priortech Ltd,PRTC.TA,27.24,0.397
18,Baran Group Ltd,BRAN.TA,13.7,0.218
19,Quicklizard Ltd,QLRD.TA,39.24,0.589
20,Yacobi Brothers Group (YSB) Ltd,YACO.TA,32.58,0.563
21,Baladi Ltd,BLDI.TA,18.43,0.339
22,Kamada Ltd.,KMDA.TA,17.46,0.341
23,Gilat Telecom Global Ltd,GLTL.TA,26.88,0.508
24,BrainsWay Ltd.,BWAY.TA,37.04,0.675
25,Castro Model Ltd.,CAST.TA,21.66,0.419
26,Photomyne Ltd,PHTM.TA,17.71,0.366
27,Sapiens International Corporation N.V.,SPNS.TA,15.7,0.347
28,B Communications Ltd.,BCOM.TA,14.57,0.328
29,Orad Ltd,ORAD.TA,18.41,0.44
30,Payton Industries Ltd,PAYT.TA,13.12,0.321
31,Michlol Finance Ltd,MCLL.TA,13.2,0.325
32,Hiper Global Ltd.,HIPR.TA,17.35,0.43
33,M.Yochananof and Sons (1988) Ltd,YHNF.TA,8.29,0.218
34,Econergy Renewable Energy Ltd,ECNR.TA,21.15,0.551
35,Tefron Ltd.,TFRLF.TA,25.48,0.665
36,Tigbur - Temporary Professional Personnel Ltd.,TIGBUR.TA,11.77,0.346
37,Cellcom Israel Ltd.,CEL.TA,12.72,0.382
38,Naphtha Israel Petroleum Corp. Ltd.,NFTA.TA,12.22,0.372
39,More Provident Funds Ltd,MPP.TA,13.11,0.407
40,Israel Shipyards Industries Ltd,ISHI.TA,11.05,0.364
41,Turpaz Industries Ltd,TRPZ.TA,17.28,0.556
42,Themis G.R.E.N. Ltd,TMIS.TA,19.94,0.643
43,Jacob Finance and Investments Ltd,JCFN.TA,15.31,0.504
44,Fire & Gas Detection Technologies Ltd,FGAS.TA,17.1,0.566
45,Rapac Communication & Infrastructure Ltd,RPAC.TA,8.89,0.31
46,Epitomee Medical Ltd,EPIT.TA,41.63,1.283
47,Isras Holdings Ltd,ISHO.TA,7.86,0.277
48,"Unitronics (1989) (R""G) Ltd",UNIT.TA,10.1,0.362
49,Israel Petrochemical Enterprises Ltd.,PTCH.TA,15.43,0.548
50,Mediterranean Towers Ltd.,MDTR.TA,7.43,0.304
51,Arad Ltd.,ARD.TA,5.43,0.227
52,Z.M.H Hammerman Ltd,ZMH.TA,7.88,0.327
53,Mendelson Infrastructures & Industries Ltd.,MNIN.TA,7.46,0.322
54,Top Ramdor Systems & Computers Co. (1990) Ltd,TOPS.TA,7.47,0.328
55,Delek Group Ltd.,DLEKG.TA,7.63,0.341
56,Hamashbir 365 Ltd,MSBI.TA,6.42,0.29
57,Kafrit Industries (1993) Ltd,KAFR.TA,6.92,0.32
58,Multi Retail Group Ltd,MRG.TA,19.44,0.86
59,Inrom Construction Industries Ltd,INRM.TA,5.66,0.274
60,Turbogen Ltd,TURB.TA,17.81,0.827
61,Bait Vegag Real Estate Development Ltd,BVGG.TA,8.7,0.43
62,Kadimastem Ltd,KDST.TA,10.33,0.518
63,Delta Israel Brands Ltd,DLTI.TA,7.71,0.397
64,Rami Levi Chain Stores Hashikma Marketing 2006 Ltd,RMLI.TA,3.07,0.162
65,Doral Group Renewable Energy Resources Ltd,DORL.TA,11.03,0.564
66,Telsys Ltd.,TLSY.TA,6.06,0.347
67,Amos Luzon Development and Energy Group Ltd,LUZN.TA,5.96,0.354
68,Afcon Holdings Ltd,AFHL.TA,7.77,0.48
69,Blue Square Real Estate Ltd,BLSR.TA,5.19,0.33
70,E.N. Shoham Business Ltd,SHOM.TA,5.72,0.369
71,Fattal Holdings (1998) Ltd,FTAL.TA,4.69,0.307
72,BIG Shopping Centers Ltd,BIG.TA,3.75,0.26
73,Bezeq The Israel Telecommunication Corp. Ltd,BEZQ.TA,2.76,0.194
74,Matrix IT Ltd.,MTRX.TA,2.98,0.213
75,Isracard Ltd.,ISCD.TA,4.51,0.322
76,SofWave Medical Ltd.,SOFW.TA,7.0,0.516
77,Parkomat International Ltd,PRKM.TA,8.49,0.627
78,Partner Communications Company Ltd.,PTNR.TA,4.66,0.365
79,Y.H. Dimri Construction & Development Ltd,DIMRI.TA,3.4,0.271
80,ARGO Properties N.V.,ARGO.TA,4.85,0.391
81,TechnoPlus Ventures Ltd.,TNPV.TA,5.32,0.447
82,Kardan Israel Ltd,KRDI.TA,2.8,0.241
83,Oron Group Investments & Holdings Ltd,ORON.TA,5.17,0.444
84,Gilat Satellite Networks Ltd.,GILT.TA,3.87,0.335
85,Formula Systems (1985) Ltd.,FORTY.TA,2.91,0.254
86,HomeBiogas Ltd,HMGS.TA,27.45,2.181
87,Michman Finance Ltd,MCMN.TA,3.53,0.311
88,G1 Secure Solutions Ltd,GOSS.TA,3.2,0.298
89,Africa Israel Residences Ltd,AFRE.TA,3.45,0.33
90,"Ormat Technologies, Inc.",ORA.TA,2.27,0.24
91,"Azorim-Investment, Development & Construction Co. Ltd",AZRM.TA,3.37,0.365
92,Bareket Capital Ltd,BRKT.TA,3.6,0.405
93,Isras Investment Company Ltd,ISRS.TA,2.25,0.27
94,ETGA Group Ltd,ETGA.TA,3.19,0.404
95,Golf & Co Group Ltd,GOLF.TA,4.71,0.632
96,Ybox Real Estate Ltd.,YBOX.TA,3.42,0.49
97,Plasson Industries Ltd,PLSN.TA,1.9,0.284
98,Mordechai Aviv Taasiot Beniyah (1973) Ltd.,AVIV.TA,2.97,0.461
99,Global Knafaim Leasing Ltd,GKL.TA,2.37,0.378
100,AFI Properties Ltd.,AFPR.TA,2.49,0.404
101,G. Willi-Food International Ltd.,WILC.TA,1.57,0.278
102,Energix - Renewable Energies Ltd.,ENRG.TA,1.98,0.366
103,Lapidoth Capital Ltd,LAPD.TA,1.5,0.285
104,Seach Medical Group Ltd,SEMG.TA,2.6,0.505
105,Overseas Commerce Ltd.,OVRS.TA,1.01,0.213
106,Peninsula Group Ltd,PEN.TA,0.89,0.349
107,Maslavi Construction Company Ltd,MSLA.TA,0.52,0.389
108,Tondo Smart Ltd,TNDO.TA,0.85,0.718
109,Carasso Real Estate Ltd,CRSR.TA,0.26,0.397
110,Scodix Ltd.,SCDX.TA,0.02,0.44
111,E & M Computing Ltd.,EMCO.TA,-0.18,0.372
112,Energean plc,ENOG.TA,-0.25,0.331
113,Azrieli Group Ltd.,AZRG.TA,-0.25,0.284
114,Hiron-Trade Investments & Industrial Buildings Ltd,HRON.TA,-0.23,0.196
115,Shagrir Group Vehicle Services Ltd,SHGR.TA,-0.82,0.4
116,Mega Or Holdings Ltd,MGOR.TA,-0.74,0.337
117,Meshek Energy - Renewable Energies Ltd.,MSKE.TA,-1.04,0.469
118,MirLand Development Corporation Plc,MLD-M.TA,-2.27,0.973
119,Allmed Solutions Ltd,ALMD.TA,-1.05,0.427
120,Generation Capital Ltd,GNRS.TA,-1.25,0.49
121,Alrov Properties and Lodgings Ltd.,ALRPR.TA,-0.84,0.321
122,Ravad Ltd,RAVD.TA,-0.98,0.339
123,Salomon A. Angel Ltd.,ANGL.TA,-0.78,0.216
124,Albaad Massuot Yitzhak Ltd,ALBA.TA,-1.77,0.464
125,OPC Energy Ltd.,OPCE.TA,-1.02,0.263
126,Tgi Infrastructures Ltd,TGI.TA,-1.2,0.307
127,S.R. Accord Ltd.,SRAC.TA,-1.62,0.378
128,Zur Shamir Holdings Ltd,ZUR.TA,-2.27,0.461
129,Enlight Renewable Energy Ltd,ENLT.TA,-1.93,0.32
130,Medipower (Overseas) Public Co. Limited,MDPR.TA,-2.39,0.346
131,Lahav LR Real Estate Ltd,LAHAV.TA,-2.73,0.358
132,Opal Balance Investments Ltd,OPAL.TA,-2.53,0.317
133,Shemen Yielding Real Estate Ltd,SMNR.TA,-2.85,0.332
134,Teuza - A Fairchild Technology Venture Ltd.,TUZA.TA,-3.41,0.385
135,Sano Bruno's Enterprises Ltd,SANO1.TA,-2.64,0.276
136,Utron Ltd,UTRN.TA,-4.49,0.465
137,Kvutzat Acro Ltd,ACRO.TA,-4.17,0.418
138,Dor Alon Energy In Israel (1988) Ltd,DRAL.TA,-2.59,0.254
139,Willy-Food Investments Ltd,WLFD.TA,-3.2,0.303
140,Israel Canada (T.R) Ltd,ISCN.TA,-4.53,0.402
141,Malam-Team Holdings Ltd,MLTH.TA,-7.33,0.654
142,Hagag Group Real Estate Entrepreneurship Ltd,HGG.TA,-5.35,0.467
143,Skyline Investments Inc.,SKLN.TA,-5.36,0.461
144,Tower Semiconductor Ltd.,TSEM.TA,-3.34,0.28
145,Magic Software Enterprises Ltd.,MGIC.TA,-3.31,0.256
146,Diplomat Holdings Ltd,DIPL.TA,-4.03,0.31
147,Primotec Group Ltd,PRMG.TA,-5.14,0.398
148,Victory Supermarket Chain Ltd,VCTR.TA,-3.92,0.298
149,"Taya Investment Co., Ltd.",TAYA.TA,-2.61,0.192
150,Malam - Team Ltd,MLTM.TA,-4.63,0.343
