Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,TOBISHIMA HOLDINGS Inc.,256A.T,36.59,0.058,,
2,"Kandenko Co.,Ltd.",1942.T,56.09,0.19,0.09,Yes
3,"ZERO Co., Ltd.",9028.T,50.68,0.187,0.008,Yes
4,Wacoal Holdings Corp.,3591.T,47.74,0.178,0.326,Yes
5,Happinet Corporation,7552.T,60.26,0.238,0.063,No
6,"The 77 Bank, Ltd.",8341.T,51.88,0.212,0.027,No
7,"PS Construction Co., Ltd.",1871.T,48.93,0.203,0.326,Yes
8,Japan Tobacco Inc.,2914.T,32.36,0.144,0.257,Yes
9,"Sumitomo Mitsui Financial Group, Inc.",8316.T,51.08,0.215,0.295,Yes
10,"Keifuku Electric Railroad Co.,Ltd.",9049.T,32.17,0.147,0.049,Yes
11,Suruga Bank Ltd.,8358.T,57.59,0.242,0.307,Yes
12,SOMAR Corporation,8152.T,61.79,0.257,0.298,Yes
13,TOKYO METRO CO LTD,9023.T,31.44,0.146,,
14,"Sompo Holdings, Inc.",8630.T,46.58,0.205,0.489,Yes
15,KOZO KEIKAKU ENGINEERING HOLDINGS Inc.,208A.T,32.94,0.152,,
16,Fuji Soft Incorporated,9749.T,47.55,0.21,0.265,Yes
17,"The Gunma Bank, Ltd.",8334.T,61.27,0.262,0.245,No
18,Yamatane Corporation,9305.T,40.37,0.185,0.098,Yes
19,ID Holdings Corporation,4709.T,37.82,0.175,0.266,Yes
20,"Nippon Care Supply Co., Ltd.",2393.T,18.62,0.093,0.083,Yes
21,Kurabo Industries Ltd.,3106.T,60.93,0.263,0.208,Yes
22,"Mizuho Financial Group, Inc.",8411.T,46.03,0.212,0.251,Yes
23,"IwaiCosmo Holdings, Inc.",8707.T,33.93,0.163,0.243,Yes
24,"Tokyo Kiraboshi Financial Group, Inc.",7173.T,60.95,0.268,0.017,No
25,"NIKKON Holdings Co.,Ltd.",9072.T,46.26,0.214,0.133,Yes
26,Riken Technos Corporation,4220.T,41.6,0.196,0.352,Yes
27,"Yodogawa Steel Works, Ltd.",5451.T,41.52,0.196,0.591,Yes
28,"MS&AD Insurance Group Holdings, Inc.",8725.T,44.9,0.21,0.613,Yes
29,"Bunka Shutter Co., Ltd.",5930.T,31.5,0.155,0.27,Yes
30,"Max Co., Ltd.",6454.T,47.74,0.222,0.356,Yes
31,S&B Foods Inc.,2805.T,15.24,0.08,0.04,Yes
32,"Nishikawa Keisoku Co., Ltd.",7500.T,26.3,0.132,0.112,Yes
33,Eslead Corporation,8877.T,45.21,0.216,0.524,Yes
34,"Hitachi, Ltd.",6501.T,48.92,0.231,1.107,Yes
35,"Mebuki Financial Group,Inc.",7167.T,49.94,0.237,0.466,No
36,"Koryojyuhan Co., Ltd.",3495.T,29.54,0.151,0.138,Yes
37,CEL Corporation,5078.T,41.28,0.203,0.319,No
38,"Yuasa Funashoku Co., Ltd.",8006.T,20.95,0.111,0.249,Yes
39,JBCC Holdings Inc.,9889.T,51.22,0.245,0.402,Yes
40,EDION Corporation,2730.T,22.02,0.117,0.171,No
41,Kinden Corporation,1944.T,34.84,0.176,0.156,No
42,"Fujitec Co., Ltd.",6406.T,34.01,0.173,0.075,Yes
43,"Nichirin Co., Ltd.",5184.T,42.97,0.212,0.727,Yes
44,Kanematsu Corporation,8020.T,30.03,0.155,0.54,Yes
45,"Ricoh Leasing Company, Ltd.",8566.T,22.77,0.122,0.105,Yes
46,"Japan Process Development Co., Ltd.",9651.T,31.15,0.161,0.025,Yes
47,SKY Perfect JSAT Holdings Inc.,9412.T,49.91,0.244,0.288,Yes
48,Yurtec Corporation,1934.T,44.54,0.223,0.285,Yes
49,Toa Road Corporation,1882.T,50.45,0.248,0.231,Yes
50,"Chugai Ro Co., Ltd.",1964.T,44.77,0.226,0.556,Yes
51,"Tokio Marine Holdings, Inc.",8766.T,43.15,0.219,0.518,Yes
52,"Takachiho Koheki Co.,Ltd.",2676.T,48.67,0.245,0.795,Yes
53,"Mitsubishi UFJ Financial Group, Inc.",8306.T,48.28,0.244,0.475,Yes
54,"Juroku Financial Group,Inc.",7380.T,38.63,0.202,0.107,Yes
55,"F.C.C. Co., Ltd.",7296.T,42.48,0.22,0.672,Yes
56,"Iyogin Holdings,Inc.",5830.T,55.6,0.276,,
57,NEC Corporation,6701.T,53.21,0.266,0.898,Yes
58,"Yamaguchi Financial Group, Inc.",8418.T,44.67,0.231,0.045,Yes
59,EXEDY Corporation,7278.T,53.8,0.27,0.83,Yes
60,O'will Corporation,3143.T,26.04,0.145,0.38,Yes
61,"Hikari Tsushin, Inc.",9435.T,43.7,0.23,0.509,Yes
62,Mitsubishi HC Capital Inc.,8593.T,27.02,0.151,0.478,Yes
63,"Mitsui DM Sugar Co.,Ltd.",2109.T,28.43,0.159,0.247,Yes
64,Tanabe Engineering Corporation,1828.T,41.94,0.224,0.137,Yes
65,"Shinagawa Refractories Co., Ltd.",5351.T,42.98,0.229,0.706,Yes
66,"B&P Co.,Ltd.",7804.T,41.42,0.222,0.117,Yes
67,"Credit Saison Co., Ltd.",8253.T,42.07,0.225,0.574,Yes
68,"Inaba Denki Sangyo Co.,Ltd.",9934.T,18.95,0.11,0.214,Yes
69,"San-Ai Obbli Co., Ltd.",8097.T,30.27,0.169,0.568,Yes
70,"Nippon Television Holdings, Inc.",9404.T,42.19,0.226,0.558,Yes
71,Yasuda Logistics Corporation,9324.T,24.57,0.141,0.044,Yes
72,"Asahi Intelligence Service Co., Ltd.",9799.T,20.6,0.12,0.194,Yes
73,"Sata Construction Co., Ltd.",1826.T,43.82,0.235,0.305,Yes
74,Okinawa Cellular Telephone Company,9436.T,25.32,0.145,0.214,Yes
75,"Kurimoto,Ltd.",5602.T,56.49,0.291,0.261,Yes
76,Chudenko Corporation,1941.T,22.95,0.134,0.002,Yes
77,"Yutaka Trusty Securities Co., Ltd.",8747.T,34.76,0.194,0.396,Yes
78,"Togami Electric Mfg. Co., Ltd.",6643.T,32.6,0.183,0.338,Yes
79,"Takasago Thermal Engineering Co., Ltd.",1969.T,60.78,0.311,0.36,Yes
80,"Konoike Transport Co.,Ltd.",9025.T,41.18,0.225,0.084,No
81,"Sumitomo Mitsui Trust Group, Inc.",8309.T,30.49,0.173,0.169,Yes
82,Canon Marketing Japan Inc.,8060.T,27.75,0.16,0.363,Yes
83,"SRA Holdings, Inc.",3817.T,22.04,0.13,0.476,Yes
84,Hochiki Corporation,6745.T,35.42,0.199,0.529,Yes
85,"Sankyo Co., Ltd.",6417.T,56.2,0.294,0.075,No
86,"Seino Holdings Co., Ltd.",9076.T,39.2,0.218,0.216,Yes
87,NEC Capital Solutions Limited,8793.T,32.19,0.184,0.684,Yes
88,Tsubakimoto Chain Co.,6371.T,28.12,0.164,0.592,Yes
89,"Yamato Kogyo Co., Ltd.",5444.T,31.49,0.181,0.412,Yes
90,Tohokushinsha Film Corporation,2329.T,54.6,0.292,0.386,Yes
91,Nissin Corporation,9066.T,59.7,0.315,0.518,Yes
92,"Daiwa House Industry Co., Ltd.",1925.T,21.4,0.129,0.267,Yes
93,"MIRARTH HOLDINGS,Inc.",8897.T,28.44,0.167,0.483,Yes
94,Sumitomo Riko Company Limited,5191.T,58.01,0.309,0.758,Yes
95,"Hirogin Holdings, Inc.",7337.T,30.47,0.178,0.225,Yes
96,Tosei Corporation,8923.T,36.92,0.211,0.393,Yes
97,"Marufuji Sheet Piling Co.,Ltd.",8046.T,19.37,0.119,0.37,Yes
98,"Maruzen Showa Unyu Co., Ltd.",9068.T,29.54,0.174,0.454,Yes
99,"NCS&A Co., Ltd.",9709.T,32.31,0.189,0.228,Yes
100,TOLI Corporation,7971.T,39.78,0.227,0.466,Yes
101,Yellow Hat Ltd.,9882.T,22.89,0.139,0.093,No
102,"Asia Air Survey Co., Ltd.",9233.T,24.12,0.146,0.336,Yes
103,"Aeon Delight Co., Ltd.",9787.T,30.75,0.182,0.338,No
104,"Daishi Hokuetsu Financial Group, Inc.",7327.T,42.95,0.243,0.093,No
105,"Kanda Tsushinki Co., Ltd.",1992.T,46.36,0.26,0.47,Yes
106,"Jp-Holdings,Inc.",2749.T,57.27,0.311,0.309,Yes
107,"Fuji Media Holdings, Inc.",4676.T,39.84,0.23,0.267,Yes
108,"Inabata & Co.,Ltd.",8098.T,20.39,0.126,0.405,Yes
109,"The San-in Godo Bank,Ltd.",8381.T,34.9,0.205,0.049,Yes
110,"Koike Sanso Kogyo Co.,Ltd.",6137.T,58.7,0.319,1.103,Yes
111,"Ichiken Co., Ltd.",1847.T,22.2,0.137,0.279,Yes
112,"Senshu Ikeda Holdings, Inc.",8714.T,44.62,0.255,0.123,No
113,"Hokuhoku Financial Group, Inc.",8377.T,54.19,0.301,0.179,No
114,"Tamron Co.,Ltd.",7740.T,57.06,0.314,1.168,Yes
115,"Sohgo Security Services Co.,Ltd.",2331.T,20.08,0.126,0.129,No
116,"Sato Foods Industries Co., Ltd.",2814.T,20.59,0.129,0.084,Yes
117,Kyoritsu Electric Corporation,6874.T,40.44,0.235,0.36,Yes
118,"The Hachijuni Bank, Ltd.",8359.T,45.39,0.26,0.167,No
119,"Financial Partners Group Co.,Ltd.",7148.T,60.26,0.329,0.697,Yes
120,"TBS Holdings,Inc.",9401.T,43.42,0.251,0.927,Yes
121,Seika Corporation,8061.T,53.21,0.299,0.272,Yes
122,Sapporo Holdings Limited,2501.T,49.4,0.282,0.262,No
123,SCSK Corporation,9719.T,26.28,0.163,0.226,Yes
124,"Nishi-Nippon Financial Holdings, Inc.",7189.T,50.41,0.287,0.048,No
125,"Waseda Academy Co., Ltd.",4718.T,30.37,0.186,0.25,Yes
126,"EXEO Group, Inc.",1951.T,22.24,0.141,0.025,Yes
127,"Kokuyo Co., Ltd.",7984.T,24.7,0.155,0.215,No
