Rank,Name,Ticker,Return (%),Risk
1,"Glintt Global, S.A.",GLINT.LS,39.22,0.262
2,"Ramada Investimentos e Industria, S.A.",RAM.LS,11.79,0.108
3,"Novabase S.G.P.S., S.A.",NBA.LS,29.29,0.266
4,"Altri, SGPS, S.A.",ALTR.LS,25.79,0.289
5,"Semapa - Sociedade de Investimento e Gestão, SGPS, S.A.",SEM.LS,17.42,0.236
6,"Galp Energia, SGPS, S.A.",GALP.LS,18.15,0.298
7,"Martifer SGPS, S.A.",MAR.LS,21.22,0.371
8,"MERLIN Properties SOCIMI, S.A.",MRL.LS,10.9,0.259
9,"Sporting Clube de Portugal - Futebol, SAD",SCP.LS,6.45,0.158
10,"Sonae, SGPS, S.A.",SON.LS,10.2,0.249
11,"Farminveste, S.G.P.S., S.A.",MLFMV.LS,44.13,0.993
12,"Vista Alegre Atlantis, SGPS, S.A.",VAF.LS,5.86,0.198
13,"The Navigator Company, S.A.",NVG.LS,4.68,0.172
14,"Jerónimo Martins, SGPS, S.A.",JMT.LS,6.51,0.257
15,"Futebol Clube do Porto - Futebol, S.A.D.",FCP.LS,4.81,0.249
16,"Sport Lisboa e Benfica - Futebol, SAD",SLBEN.LS,2.38,0.164
17,,CDU.LS,4.23,0.435
18,"Corticeira Amorim, S.G.P.S., S.A.",COR.LS,-3.24,0.153
19,"Raize - Instituição de Pagamentos, S.A.",MLRZE.LS,-7.41,0.277
20,"EDP, S.A.",EDP.LS,-6.46,0.22
