Rank,Name,Ticker,Return (%),Risk
1,Doha Insurance Group Q.P.S.C.,DOHI.QA,17.16,0.154
2,Ooredoo Q.P.S.C.,ORDS.QA,25.88,0.225
3,Vodafone Qatar P.Q.S.C.,VFQS.QA,14.15,0.151
4,Qatar Gas Transport Company Limited (Nakilat) (QPSC),QGTS.QA,18.22,0.234
5,Qatar Navigation Q.P.S.C.,QNNS.QA,16.38,0.237
6,Qatar Islamic Insurance Group Q.P.S.C.,QISI.QA,7.69,0.127
7,Al Mahhar Holding Company Q.P.S.C.,MHAR.QA,21.13,0.358
8,MEEZA QSTP LLC (Public),MEZA.QA,12.91,0.267
9,"Damaan Islamic Insurance Company ""Beema"" (Q.P.S.C.)",BEMA.QA,2.58,0.147
10,Qatar International Islamic Bank (Q.P.S.C),QIIK.QA,1.54,0.167
11,Qatari German Company for Medical Devices (Q.P.S.C.),QGMD.QA,6.59,0.811
12,Qatar Islamic Bank (Q.P.S.C.),QIBK.QA,1.57,0.283
13,Al Faleh Educational Holding,FALH.QA,1.27,0.289
14,"Qatar Fuel Company Q.P.S.C. (""WOQOD"")",QFLS.QA,0.1,0.16
15,Alijarah Holding (Q.P.S.C.),NLCS.QA,-0.37,0.244
16,Barwa Real Estate Company Q.P.S.C.,BRES.QA,-0.91,0.151
17,Baladna Q.P.S.C.,BLDN.QA,-2.22,0.28
18,Ezdan Holding Group Q.P.S.C.,ERES.QA,-3.19,0.395
19,Zad Holding Company Q.P.S.C.,ZHCD.QA,-1.58,0.147
20,Al Meera Consumer Goods Company Q.P.S.C.,MERS.QA,-1.76,0.131
21,Doha Bank Q.P.S.C.,DHBK.QA,-2.99,0.222
22,Qatar Oman Investment Company Q.S.C.,QOIS.QA,-5.05,0.293
23,Al Khaleej Takaful Insurance Company Q.P.S.C.,AKHI.QA,-6.03,0.311
24,Qatar National Cement Company (Q.P.S.C.),QNCD.QA,-4.09,0.166
25,Qatar General Insurance & Reinsurance Company Q.P.S.C.,QGRI.QA,-10.76,0.417
26,Mannai Corporation Q.P.S.C.,MCCS.QA,-9.46,0.336
27,Qatar National Bank (Q.P.S.C.),QNBK.QA,-6.6,0.171
28,The Commercial Bank (P.S.Q.C.),CBQK.QA,-11.05,0.271
29,Mazaya Real Estate Development Q.P.S.C.,MRDS.QA,-13.42,0.327
30,Medicare Group Q.P.S.C.,MCGS.QA,-8.9,0.192
31,Qatar Cinema and Film Distribution Co. (Q.P.S.C),QCFS.QA,-8.15,0.157
32,QLM Life & Medical Insurance Company Q.P.S.C.,QLMI.QA,-25.36,0.203
