Rank,Name,Ticker,Return (%),Risk
1,Sphera Franchise Group S.A.,SFG.RO,54.14,0.263
2,OMV Petrom S.A.,SNP.RO,40.61,0.218
3,Transilvania Leasing IFN SA,TSLA.RO,75.29,0.393
4,Dn Agrar Group S.A.,DN.RO,37.93,0.238
5,Turbomecanica SA,TBM.RO,33.08,0.22
6,Societatea Comerciala Unisem S.A.,UNISEM.RO,49.93,0.314
7,Comelf S.A.,CMF.RO,59.7,0.368
8,Banca Transilvania S.A.,TLV.RO,29.68,0.206
9,Antibiotice S.A.,ATB.RO,79.47,0.476
10,S.C. Moara Cibin S.A.,MOIB.RO,73.54,0.457
11,,COKJ.RO,45.73,0.322
12,Alumil Rom Industry S.A.,ALU.RO,26.7,0.205
13,Purcari Wineries Public Company Limited,WINE.RO,24.03,0.188
14,Erste Group Bank AG,EBS.RO,35.94,0.273
15,CNTEE Transelectrica SA,TEL.RO,40.93,0.314
16,"Turism, Hoteluri, Restaurante Marea Neagra S.A.",EFO.RO,45.8,0.346
17,S.N.T.G.N. Transgaz S.A.,TGN.RO,37.19,0.301
18,,CACU.RO,51.42,0.406
19,S.C. Iproeb S.A.,IPRU.RO,59.23,0.457
20,Evergent Investments SA,EVER.RO,14.45,0.134
21,Air Claim S.A.,CLAIM.RO,46.1,0.383
22,S.P.E.E.H. Hidroelectrica S.A.,H2O.RO,13.75,0.129
23,Digi Communications N.V.,DIGI.RO,22.45,0.205
24,S.C. Foraj Sonde S.A.,FOJE.RO,44.39,0.379
25,Electromagnetica S.A.,ELMA.RO,25.56,0.234
26,Aquila Part Prod Com S.A.,AQ.RO,33.0,0.297
27,Simtel Team S.A.,SMTL.RO,34.5,0.311
28,SC Aages SA,AAG.RO,41.24,0.368
29,Germina Agribusiness S.A.,SEOM.RO,29.57,0.28
30,Conpet S.A.,COTE.RO,12.48,0.133
31,Casa de Bucovina - Club de Munte S.A.,BCM.RO,33.15,0.334
32,SNGN Romgaz SA,SNG.RO,18.76,0.201
33,S.C. Romnav S.A.,BRNA.RO,59.28,0.552
34,Comvex S.A.,CMVX.RO,87.78,0.753
35,S.C. Aro-Palace S.A.,ARO.RO,54.76,0.519
36,S.C. Mecanica Codlea S.A.,MEOY.RO,74.47,0.671
37,S.C. Semrom Oltenia S.A.,SEOL.RO,51.98,0.528
38,Longshield Investment Group SA,LONG.RO,18.23,0.217
39,SC Bricomat SA,COBL.RO,88.21,0.849
