Rank,Name,Ticker,Return (%),Risk
1,MFC-Strategic Storage Fund Ord,M-STOR.BK,37.06,0.129
2,Hang Seng Investment Management - Japan Topix 100 IDX ETF,JAPAN10001.BK,2.81,0.011
3,Premier Technology Public Company Limited,PT.BK,38.88,0.175
4,Yuanta Securities (Thailand) Company Limited,GOLD19.BK,33.63,0.173
5,Krung Thai Bank Public Company Limited,KTB-R.BK,22.57,0.124
6,Toray Textiles (Thailand) Public Company Limited,TTT-R.BK,5.15,0.034
7,Luxury Real Estate Investment Ord,LUXF.BK,21.74,0.135
8,I.C.C. International Public Company Limited,ICC-R.BK,15.78,0.101
9,Tracker Fund Of Hong Kong,HK01.BK,29.41,0.179
10,United Overseas Bank Limited,UOB19.BK,31.76,0.193
11,Hang Seng China Enterprises Index ETF,HKCE01.BK,36.23,0.218
12,Siam City Cement Public Company Limited,SCCC-R.BK,8.32,0.061
13,Thanachart Capital Public Company Limited,TCAP-R.BK,15.84,0.114
14,HEMARAJ INDUSTRIAL PRP & LEASEHOLD FUND,HPF.BK,10.8,0.081
15,Thaitheparos Public Company Limited,SAUCE-R.BK,13.9,0.106
16,Thai Stanley Electric Public Company Limited,STANLY-R.BK,16.18,0.126
17,TMBThanachart Bank Public Company Limited,TTB.BK,22.92,0.179
18,TISCO Financial Group Public Company Limited,TISCO.BK,10.01,0.087
19,Trinity Freehold & Leasehold PRP Fund,TNPF.BK,12.39,0.114
20,Siam Pan Group Public Company Limited,SPG-R.BK,4.07,0.04
21,City Sports and Recreation Public Company Limited,CSR-R.BK,1.52,0.015
22,Centara Hotels & Resorts Lease Ord,CTARAF.BK,9.55,0.093
23,Bangkok Commercial Asset Management Public Company Limited,BAM-R.BK,2.88,0.03
24,Khonburi Sugar Public Company Limited,KBS-R.BK,23.92,0.236
25,MFC-Nichada Thani Prop Fun Ord,MNIT.BK,14.77,0.153
26,SCB X Public Company Limited,SCB-R.BK,11.11,0.117
27,Thaitheparos Public Company Limited,SAUCE.BK,11.58,0.123
28,Jack Chia Industries (Thailand) Public Company Limited,JCT-R.BK,4.58,0.05
29,ChinaAMC NASDAQ 100 ETF,NDX01.BK,17.89,0.189
30,Quality Houses Hotel and Resid REIT Ord,QHHRREIT.BK,18.5,0.195
31,Pinthong Industrial Park Public Company Limited,PIN.BK,32.56,0.33
32,Bangkok Airways Public Company Limited,BA.BK,29.31,0.301
33,Thai Stanley Electric Public Company Limited,STANLY.BK,15.65,0.174
34,D.T.C. Industries Public Company Limited,DTCI-R.BK,0.77,0.009
35,Thanachart Capital Public Company Limited,TCAP.BK,15.29,0.175
36,"NBPP BLOCK 1 INF FD, ELECT GEN AU OF THA",EGATIF.BK,9.86,0.115
37,Thai Mitsuwa Public Company Limited,TMW.BK,26.58,0.297
38,Thai Metal Drum Manufacturing Public Company Limited,TMD.BK,6.52,0.08
39,Jack Chia Industries (Thailand) Public Company Limited,JCT.BK,6.02,0.075
40,Karmarts Public Company Limited,KAMART.BK,41.11,0.463
41,Quality Hospitality Leasehold Ord,QHOP.BK,18.28,0.224
42,MC Group Public Company Limited,MC-R.BK,13.73,0.172
43,NSL Foods Public Company Limited,NSL.BK,27.81,0.336
44,TISCO Financial Group Public Company Limited,TISCO-R.BK,7.0,0.092
45,"Sumitomo Mitsui Financial Group, Inc.",SMFG19.BK,19.17,0.246
46,Southern Concrete Pile Public Company Limited,SCP.BK,14.97,0.196
47,Asian Phytoceuticals Public Company Limited,APCO-R.BK,12.04,0.162
48,Quality Houses Public Company Limited,QH-R.BK,5.65,0.08
49,Khonburi Sugar Public Company Limited,KBS.BK,27.53,0.371
50,Amarin Corporations Public Company Limited,AMARIN-R.BK,7.9,0.121
51,Univanich Palm Oil Public Company Limited,UVAN-R.BK,11.55,0.176
52,SCB X Public Company Limited,SCB.BK,9.94,0.153
