Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Unilever PLC,ULD.BA,26.14,0.005,,
2,SPDR GOLD TRUST GDR EACH REPR 5,GLDD.BA,96.53,0.135,,
3,S&P Global Inc.,SPGID.BA,69.06,0.115,,
4,"Cardinal Health, Inc.",CAH.BA,164.45,0.402,0.508,Yes
5,SPDR GOLD TRUST GDR EACH REPR 5,GLD.BA,111.24,0.308,,
6,Embraer S.A.,ERJ.BA,229.28,0.505,0.498,Yes
7,"Banco Bilbao Vizcaya Argentaria, S.A.",BBV.BA,176.81,0.43,0.443,Yes
8,SAP SE,SAP.BA,180.87,0.44,0.487,Yes
9,A3 Mercados S.A.,A3.BA,29.0,0.105,,
10,"Banco Santander, S.A.",SAN.BA,152.8,0.406,0.309,Yes
11,MERVAL,^MERV,228.75,0.545,1.0,Yes
12,Itaú Unibanco Holding S.A.,ITUB3.BA,57.16,0.203,,
13,Garmin Ltd.,GRMN.BA,137.61,0.399,0.44,Yes
14,ICICI Bank Limited,IBN.BA,136.73,0.401,0.421,Yes
15,Itaú Unibanco Holding S.A.,ITUBD.BA,99.26,0.32,,
16,Banco Bradesco S.A.,BBDC3.BA,245.27,0.589,,
17,Sociedad Anónima Importadora y Exportadora de la Patagonia,PATA.BA,305.6,0.681,0.796,Yes
18,Transportadora de Gas del Sur S.A.,TGSU2.BA,228.09,0.575,0.949,Yes
19,Barclays PLC,BCS.BA,140.45,0.422,0.467,Yes
20,"The Goldman Sachs Group, Inc.",GS.BA,131.69,0.404,0.486,Yes
21,BANCO BBVA ARGENTINA S A,BBARD.BA,212.36,0.557,,
22,"Uber Technologies, Inc.",UBER.BA,195.43,0.529,,
23,Berkshire Hathaway Inc.,BRKB.BA,131.75,0.408,0.467,Yes
24,The Bank of New York Mellon Corporation,BK.BA,133.51,0.412,0.527,Yes
25,"Gilead Sciences, Inc.",GILDD.BA,78.35,0.28,,
26,Wells Fargo & Company,WFC.BA,124.66,0.396,0.475,Yes
27,SELECT SECTOR SPDR TRUST CEDEAR,XLF.BA,114.16,0.372,0.499,Yes
28,Lloyds Banking Group plc,LYG.BA,138.28,0.427,0.332,Yes
29,HSBC Holdings plc,HSBC.BA,131.14,0.412,0.359,Yes
30,Pampa Energía S.A.,PAMP.BA,197.32,0.542,0.919,Yes
31,Loma Negra Compañía Industrial Argentina Sociedad Anónima,LOMA.BA,155.75,0.466,0.729,Yes
32,"Gilead Sciences, Inc.",GILD.BA,131.5,0.415,0.237,Yes
33,Kinross Gold Corporation,KGC.BA,206.37,0.561,0.453,Yes
34,NVIDIA Corporation,NVDA.BA,296.61,0.704,0.723,Yes
35,Unilever PLC,UL.BA,115.25,0.386,0.377,Yes
36,SPDR S&P 500 ETF Trust,SPY.BA,112.67,0.381,0.48,Yes
37,"Invesco QQQ Trust, Series 1",QQQ.BA,125.11,0.413,0.497,Yes
38,"Urban Outfitters, Inc.",URBN.BA,177.86,0.53,0.478,Yes
39,"Mizuho Financial Group, Inc.",MFG.BA,159.26,0.495,0.558,Yes
40,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,SBS.BA,150.13,0.475,0.482,Yes
41,SPDR Dow Jones Industrial Average ETF Trust,DIA.BA,106.21,0.372,0.447,Yes
42,"American International Group, Inc.",AIG.BA,116.19,0.398,0.402,Yes
43,"Ross Stores, Inc.",ROST.BA,130.43,0.436,0.491,Yes
44,Harmony Gold Mining Company Limited,HMY.BA,270.92,0.7,0.495,Yes
45,Bank of America Corp,BA-C.BA,0.17,0.001,0.0,Yes
46,"The Travelers Companies, Inc.",TRVV.BA,115.17,0.406,,
47,IRSA Inversiones y Representaciones Sociedad Anónima,IRSA.BA,216.77,0.621,0.938,Yes
48,Snap-on Incorporated,SNA.BA,122.27,0.424,0.596,Yes
49,"iShares, Inc. - iShares MSCI Emerging Markets ETF",EEM.BA,92.39,0.346,0.338,Yes
50,Abbott Laboratories,ABT.BA,97.96,0.363,0.371,Yes
51,Ambev S.A.,ABEV3.BA,235.82,0.661,,
52,"Altria Group, Inc.",MO.BA,97.64,0.363,0.427,Yes
53,ING Groep N.V.,ING.BA,140.63,0.473,0.533,Yes
54,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,EDN.BA,291.0,0.756,1.183,Yes
55,The Coca-Cola Company,KO.BA,101.69,0.379,0.324,Yes
56,Distribuidora de Gas Cuyana S.A.,DGCU2.BA,269.04,0.724,1.041,Yes
57,"VeriSign, Inc.",VRSN.BA,131.5,0.458,0.507,Yes
58,Oracle Corporation,ORCL.BA,152.32,0.51,0.564,Yes
59,Itaú Unibanco Holding S.A.,ITUB.BA,111.79,0.41,0.408,Yes
60,Fiplasto S.A.,FIPL.BA,213.63,0.646,0.725,Yes
61,Grimoldi S.A.,GRIM.BA,171.68,0.562,0.692,Yes
62,Aegon Ltd.,AEG.BA,104.61,0.399,0.503,Yes
63,Novartis AG,NVS.BA,111.33,0.419,0.401,Yes
64,Sociedad Comercial del Plata S.A.,COME.BA,192.26,0.61,0.693,Yes
65,Wells Fargo & Company,WFCD.BA,90.07,0.361,,
66,eBay Inc.,EBAY.BA,119.81,0.447,0.508,Yes
67,Colgate-Palmolive Company,CL.BA,103.89,0.404,0.356,Yes
68,Bolsas y Mercados Argentinos S.A.,BYMAD.BA,119.56,0.448,,
69,Citigroup Inc.,C.BA,113.0,0.433,0.546,Yes
70,S&P Global Inc.,SPGI.BA,119.0,0.449,,
71,AT&T Inc.,T.BA,115.34,0.44,0.331,Yes
72,iShares Trust - iShares Russell 2000 ETF,IWM.BA,96.0,0.388,0.494,Yes
73,Lockheed Martin Corporation,LMT.BA,99.16,0.398,0.26,Yes
