Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,DMG MORI AKTIENGESELLSCHAFT,GIL.VI,5.74,0.017,0.043,Yes
2,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,MUV.VI,44.27,0.155,0.26,Yes
3,Oberbank AG,OBS.VI,13.88,0.061,0.072,No
4,Allianz SE,ALV.VI,32.2,0.137,,
5,"ACS, Actividades de Construcción y Servicios, S.A.",ACS.VI,39.25,0.181,0.547,Yes
6,Tryg A/S,TRYG.VI,45.71,0.214,0.217,Yes
7,Unipol Assicurazioni S.p.A.,UNI.VI,58.98,0.27,0.579,Yes
8,Boston Scientific Corporation,BSXC.VI,36.29,0.181,0.185,Yes
9,Talanx AG,TLX.VI,45.66,0.223,0.293,Yes
10,Hannover Rück SE,HNR1.VI,29.63,0.157,0.142,Yes
11,Assicurazioni Generali S.p.A.,AGEN.VI,32.12,0.173,0.637,Yes
12,HOCHTIEF Aktiengesellschaft,HOT.VI,51.38,0.259,0.552,Yes
13,SAP SE,SAP.VI,45.83,0.236,0.493,Yes
14,Banco BPM S.p.A.,BAMI.VI,63.13,0.308,0.999,Yes
15,Hera S.p.A.,HERS.VI,30.14,0.165,,
16,Intesa Sanpaolo S.p.A.,ISP.VI,46.78,0.244,1.093,Yes
17,Bank für Tirol und Vorarlberg AG,BTS.VI,24.07,0.136,0.273,Yes
18,Howmet Aerospace Inc.,HWM.VI,63.53,0.315,0.764,Yes
19,Walmart Inc.,WMT.VI,33.5,0.194,0.136,Yes
20,Safran SA,SAF.VI,37.96,0.226,0.757,Yes
21,AXA SA,CS.VI,27.29,0.17,0.693,Yes
22,Mediobanca Banca di Credito Finanziario S.p.A.,MB.VI,39.12,0.236,0.942,Yes
23,Flughafen Wien Aktiengesellschaft,FLU.VI,31.8,0.197,0.595,No
24,"CaixaBank, S.A.",CABK.VI,40.02,0.243,0.32,Yes
25,"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA.VI,49.91,0.302,1.209,Yes
26,"The TJX Companies, Inc.",TJXC.VI,28.71,0.192,0.349,Yes
27,BAWAG Group AG,BG.VI,43.94,0.28,1.173,Yes
28,"Industria de Diseño Textil, S.A.",ITX.VI,35.62,0.234,0.595,Yes
29,"Palo Alto Networks, Inc.",PANW.VI,55.52,0.342,,
30,Eli Lilly and Company,LLYC.VI,48.11,0.303,0.31,No
31,Commerzbank AG,CBK.VI,58.2,0.357,,
32,Telekom Austria AG,TKA.VI,28.65,0.197,0.489,Yes
33,Banca Mediolanum S.p.A.,BMED.VI,34.54,0.233,0.957,Yes
34,Addiko Bank AG,ADKO.VI,35.52,0.243,0.031,No
35,TechnipFMC plc,FTI.VI,59.83,0.379,0.091,Yes
36,"Motorola Solutions, Inc.",MOSI.VI,28.15,0.2,0.135,Yes
37,"O'Reilly Automotive, Inc.",ORLY.VI,31.66,0.222,0.073,Yes
38,Cintas Corporation,CTAS.VI,30.93,0.219,0.168,Yes
39,Costco Wholesale Corporation,COST.VI,31.92,0.227,0.269,Yes
40,Buzzi S.p.A.,BZU.VI,45.26,0.31,1.081,Yes
41,"Cencora, Inc.",ABC.VI,29.11,0.212,,
42,Solvay SA,SOLB.VI,56.52,0.375,0.9,Yes
43,Publicis Groupe S.A.,PUB.VI,31.2,0.226,0.712,Yes
44,ABN AMRO Bank N.V.,ABN.VI,33.4,0.246,0.752,Yes
45,Amphenol Corporation,APH.VI,32.42,0.241,0.303,Yes
46,Ferrari N.V.,RACE.VI,36.75,0.27,0.475,Yes
47,Erste Group Bank AG,EBS.VI,38.68,0.287,1.25,Yes
48,Aflac Incorporated,AFL.VI,24.77,0.195,0.436,Yes
49,Broadcom Inc.,BROA.VI,63.42,0.439,0.136,Yes
50,"Uber Technologies, Inc.",UBER.VI,62.18,0.432,0.411,Yes
51,General Electric Company,GE.VI,41.87,0.315,0.758,Yes
52,"Banco Santander, S.A.",SAN.VI,37.61,0.288,1.109,Yes
53,Deutsche Bank Aktiengesellschaft,DBK.VI,39.74,0.303,1.286,Yes
54,"Bankinter, S.A.",BKT.VI,32.5,0.259,0.354,Yes
55,Danone S.A.,BN.VI,15.52,0.133,0.261,Yes
56,"MercadoLibre, Inc.",MELI.VI,51.46,0.392,0.788,Yes
57,ING Groep N.V.,INGA.VI,30.42,0.25,1.041,Yes
58,Engie SA,ENGI.VI,26.02,0.218,0.668,Yes
59,Raiffeisen Bank International AG,RBI.VI,37.46,0.301,1.139,Yes
60,UCB SA,UCB.VI,31.8,0.268,0.195,Yes
61,EssilorLuxottica Société anonyme,EI.VI,23.73,0.207,0.809,Yes
62,Booking Holdings Inc.,BOOK.VI,34.21,0.288,0.816,Yes
63,Unilever PLC,ULVR.VI,13.2,0.121,0.228,Yes
64,Parker-Hannifin Corporation,PH.VI,36.06,0.305,0.638,Yes
65,"W.W. Grainger, Inc.",GWW.VI,30.93,0.267,,
66,Banca Generali S.p.A.,BGN.VI,25.99,0.23,1.004,Yes
67,Crédit Agricole S.A.,ACA.VI,27.2,0.24,0.946,Yes
68,"Meta Platforms, Inc.",META.VI,52.71,0.427,0.118,Yes
69,Berkshire Hathaway Inc.,BRKA.VI,18.79,0.172,0.435,Yes
70,"AutoZone, Inc.",AZO.VI,22.99,0.209,0.116,Yes
71,Wolters Kluwer N.V.,WKL.VI,23.44,0.213,0.129,Yes
72,JPMorgan Chase & Co.,JPM.VI,28.37,0.254,0.809,Yes
73,E.ON SE,EOAN.VI,23.88,0.217,0.625,Yes
74,International Business Machines Corporation,IBM.VI,26.64,0.24,0.125,Yes
75,"Intercontinental Exchange, Inc.",ICEI.VI,19.07,0.177,0.36,Yes
76,Berkshire Hathaway Inc.,BRKB.VI,18.9,0.176,0.434,Yes
77,IONOS Group SE,IOS.VI,40.26,0.347,,
78,The Bank of New York Mellon Corporation,BONY.VI,25.38,0.231,0.671,Yes
79,United States Steel Corporation,XUSS.VI,58.77,0.478,,
80,Westinghouse Air Brake Technologies Corporation,WAB.VI,27.38,0.25,0.564,Yes
81,Vertex Pharmaceuticals Incorporated,VRTX.VI,24.89,0.23,0.035,Yes
82,"Intuitive Surgical, Inc.",ISRG.VI,35.6,0.319,0.496,Yes
83,Hermès International Société en commandite par actions,RMS.VI,36.38,0.337,0.823,Yes
84,Check Point Software Technologies Ltd.,CHKP.VI,20.82,0.207,0.275,Yes
85,Sixt SE,SIXT.VI,20.9,0.209,,
86,ageas SA/NV,AGS.VI,16.31,0.167,0.455,Yes
87,EchoStar Corporation,ECHO.VI,59.63,0.525,,
88,"Aena S.M.E., S.A.",AENA.VI,24.25,0.242,0.726,Yes
89,SAF-Holland SE,SFQ2.VI,42.76,0.402,1.565,Yes
90,Carlsberg A/S,CARL.VI,34.72,0.338,0.025,Yes
91,Compagnie de Saint-Gobain S.A.,SGO.VI,29.36,0.296,1.233,Yes
92,Saipem SpA,SPM3.VI,53.85,0.503,,
93,"Verisk Analytics, Inc.",VRSK.VI,20.35,0.216,0.191,No
94,"Viscofan, S.A.",VIS.VI,13.38,0.149,0.065,No
95,Koninklijke KPN N.V.,KPN.VI,12.56,0.14,0.212,Yes
96,Fuchs SE,FPE4.VI,21.48,0.233,0.79,Yes
97,KBC Group NV,KBC.VI,21.96,0.239,0.681,Yes
98,KLA Corporation,KLAC.VI,29.28,0.31,0.492,Yes
99,"Kyndryl Holdings, Inc.",KD.VI,51.94,0.51,1.273,Yes
100,"Cadence Design Systems, Inc.",CDNS.VI,28.36,0.303,0.109,No
101,"ServiceNow, Inc.",SNOW.VI,30.76,0.327,0.298,No
102,Siemens Aktiengesellschaft,SIE.VI,26.44,0.29,1.023,Yes
103,Ackermans & Van Haaren NV,ACKB.VI,14.98,0.173,0.545,Yes
104,Dell Technologies Inc.,DELL.VI,31.45,0.342,0.323,Yes
105,"Fiserv, Inc.",FISV.VI,25.24,0.281,0.599,Yes
106,Fastenal Company,FAST.VI,18.96,0.217,0.109,Yes
107,The Kroger Co.,KR.VI,21.78,0.247,0.308,Yes
108,Renault SA,RNO.VI,32.45,0.356,1.196,Yes
109,Enel SpA,ENEL.VI,18.11,0.21,0.759,Yes
110,Oracle Corporation,ORCL.VI,32.29,0.356,0.312,Yes
111,MTU Aero Engines AG,MTX.VI,23.11,0.267,0.747,Yes
112,Schneider Electric S.E.,SU.VI,20.43,0.239,0.74,Yes
113,Stryker Corporation,SYK.VI,19.15,0.225,0.306,Yes
114,"Ameriprise Financial, Inc.",AMPF.VI,23.68,0.275,0.753,Yes
115,Ecolab Inc.,ECL.VI,17.15,0.206,0.24,Yes
116,"Chipotle Mexican Grill, Inc.",CHMG.VI,24.95,0.292,0.016,Yes
117,"Waste Management, Inc.",WM.VI,15.44,0.187,0.076,No
