Rank,Name,Ticker,Return (%),Risk
1,AS Tallink Grupp,TAL1T.TL,8.42,0.16
2,TKM Grupp AS,TKM1T.TL,4.57,0.09
3,EfTEN Real Estate Fund AS,EFT1T.TL,2.01,0.103
4,AS Pro Kapital Grupp,PKG1T.TL,5.2,0.366
5,Nordecon AS,NCN1T.TL,0.22,0.26
6,Coop Pank AS,CPA1T.TL,-0.91,0.181
7,Enefit Green AS,EGR1T.TL,-2.1,0.198
8,AS Tallinna Sadam,TSM1T.TL,-2.63,0.125
9,AS Trigon Property Development,TPD1T.TL,-5.87,0.257
10,Hepsor AS,HPR1T.TL,-15.25,0.367
11,AS Tallinna Vesi,TVE1T.TL,-4.29,0.083
12,Arco Vara AS,ARC1T.TL,-6.08,0.113
13,Nordic Fibreboard AS,SKN1T.TL,-18.14,0.251
14,AS Ekspress Grupp,EEG1T.TL,-12.54,0.152
15,Baltic Horizon Fund,NHCBHFFT.TL,-31.31,0.297
