Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Ble Kedros REIC,BLEKEDROS.AT,28.65,0.065,,
2,Optima bank S.A.,OPTIMA.AT,80.98,0.264,,
3,Organization of Football Prognostics S.A.,OPAP.AT,28.2,0.142,0.427,Yes
4,Piraeus Port Authority S.A.,PPA.AT,45.36,0.231,0.594,Yes
5,Bank of Cyprus Holdings Plc,BOCHGR.AT,45.51,0.232,,
6,Titan Cement International S.A.,TITC.AT,59.92,0.293,1.1,Yes
7,Coca-Cola HBC AG,EEE.AT,38.26,0.212,0.402,Yes
8,Kri-Kri Milk Industry S.A.,KRI.AT,43.17,0.241,0.697,Yes
9,Alpha Trust Holdings S.A.,ATRUST.AT,29.36,0.173,0.296,Yes
10,Metlen Energy & Metals S.A.,MYTIL.AT,47.65,0.282,1.209,Yes
11,Jumbo S.A.,BELA.AT,36.87,0.234,0.625,Yes
12,Piraeus Financial Holdings S.A.,TPEIR.AT,79.49,0.441,2.125,Yes
13,Ideal Holdings S.A.,INTEK.AT,28.62,0.19,0.485,Yes
14,ASE Composite Index,GD.AT,26.74,0.182,1.0,Yes
15,Lampsa Hellenic Hotels S.A.,LAMPS.AT,24.59,0.174,0.07,Yes
16,Ekter SA,EKTER.AT,77.47,0.464,0.723,Yes
17,Cenergy Holdings SA,CENER.AT,49.37,0.332,1.156,Yes
18,As Commercial Industrial Company of Computers and Toys S.A.,ASCO.AT,28.5,0.211,0.565,Yes
19,National Bank of Greece S.A.,ETE.AT,49.38,0.346,1.754,Yes
20,Galaxy Cosmos Mezz Plc,GCMEZZ.AT,79.26,0.508,,
21,Eurobank Ergasias Services and Holdings S.A.,EUROB.AT,42.98,0.308,1.489,Yes
22,Euroconsultants S.A.,EUROC.AT,32.52,0.248,0.281,Yes
23,Mevaco S.A.,MEVA.AT,32.29,0.256,0.699,Yes
24,Philippos Nakas S.A.,NAKAS.AT,25.82,0.21,0.432,Yes
25,Aegean Airlines S.A.,AEGN.AT,43.36,0.337,1.535,Yes
26,Public Power Corporation S.A.,PPC.AT,35.98,0.288,1.282,Yes
27,Gek Terna S.A.,GEKTERNA.AT,27.19,0.227,0.635,Yes
28,Gr. Sarantis S.A.,SAR.AT,30.11,0.261,0.5,Yes
29,Intracom Holdings S.A.,INTRK.AT,40.87,0.345,0.913,Yes
30,Unibios Holdings S.A.,BIOSK.AT,43.2,0.364,1.056,Yes
31,Avax S.A.,AVAX.AT,52.47,0.43,1.338,Yes
32,Aktor Societe Anonyme Holding Company Technical and Energy Projects,AKTR.AT,52.2,0.436,0.687,Yes
33,SunriseMezz PLC,SUNMEZZ.AT,65.02,0.528,,
34,Intralot S.A. Integrated Lottery Systems and Services,INLOT.AT,36.48,0.343,0.653,Yes
35,Evrofarma SA,EVROF.AT,40.98,0.382,1.172,Yes
36,Alpha Services and Holdings S.A.,ALPHA.AT,41.34,0.393,1.976,Yes
37,Quality & Reliability A.B.E.E.,QUAL.AT,58.26,0.531,1.162,Yes
38,Petros Petropoulos AEBE,PETRO.AT,18.26,0.196,0.629,Yes
39,Autohellas S.A.,OTOEL.AT,22.93,0.249,0.754,Yes
40,HELLENiQ ENERGY Holdings S.A.,ELPE.AT,19.71,0.225,0.954,Yes
41,Cairo Mezz Plc,CAIROMEZ.AT,78.54,0.744,1.086,Yes
42,Profile Systems & Software SA,PROF.AT,24.08,0.279,0.856,Yes
43,Real Consulting S.A.,REALCONS.AT,32.73,0.369,1.075,Yes
44,Karelia Tobacco Company Inc.,KARE.AT,11.48,0.146,0.119,Yes
45,Hellenic Exchanges - Athens Stock Exchange S.A.,EXAE.AT,22.82,0.288,1.308,Yes
46,Logismos Information Systems S.A.,LOGISMOS.AT,20.59,0.274,0.537,Yes
47,Interwood-Xylemporia A.T.E.N.E.,XYLEP.AT,29.53,0.435,0.687,Yes
48,Quest Holdings S.A.,QUEST.AT,15.5,0.241,0.78,Yes
49,Alpha Real Estate Services S.A.,ASTAK.AT,21.54,0.34,0.791,Yes
50,Revoil S.A.,REVOIL.AT,17.02,0.274,0.874,Yes
51,Ellaktor S.A.,ELLAKTOR.AT,21.48,0.342,1.132,Yes
52,Phoenix Vega Mezz Plc,PVMEZZ.AT,41.69,0.622,0.326,Yes
53,Viohalco S.A.,VIO.AT,21.23,0.349,1.34,Yes
54,Vogiatzoglou Systems S.A.,VOSYS.AT,14.57,0.247,0.018,Yes
55,Onyx Touristiki Societe Anonyme,ONYX.AT,19.83,0.33,,
56,Intertech S.A. Inter. Technologies,INTET.AT,19.18,0.327,0.62,Yes
57,Domain Costa Lazaridi S.A.,KTILA.AT,9.12,0.177,0.246,No
58,Technical Olympic S.A.,OLYMP.AT,13.18,0.257,1.018,Yes
59,Athens Medical C.S.A.,IATR.AT,14.56,0.283,0.799,Yes
60,Elve S.A.,ELBE.AT,10.48,0.208,0.364,Yes
61,Interlife General Insurance Company S.A.,INLIF.AT,11.48,0.238,0.758,Yes
62,General Commercial & Industrial S.A.,GEBKA.AT,11.76,0.254,0.36,Yes
63,Haidemenos Integrated Printing Services S.A.,HAIDE.AT,17.65,0.387,0.92,Yes
64,Elvalhalcor Hellenic Copper and Aluminium Industry S.A.,ELHA.AT,14.26,0.325,1.216,Yes
65,Performance Technologies S.A.,PERF.AT,12.03,0.309,1.001,Yes
66,Bitros Holding S.A.,MPITR.AT,18.54,0.565,1.107,Yes
67,Centric Holdings S.A.,CENTR.AT,8.22,0.263,0.725,Yes
68,Foodlink A.E.,FOODL.AT,11.0,0.408,0.589,Yes
69,Doppler S.A.,DOPPLER.AT,16.92,0.654,1.006,Yes
70,Hellenic Telecommunications Organization S.A.,HTO.AT,4.52,0.207,0.527,Yes
71,Mathios Refractories S.A.,MATHIO.AT,11.44,0.526,1.022,Yes
72,Trastor Real Estate Investment Company SA,TRASTOR.AT,5.01,0.238,0.291,Yes
