Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Rogaland Sparebank,ROGS.OL,48.49,0.127,,
2,Kongsberg Gruppen ASA,KOG.OL,82.86,0.297,0.569,Yes
3,Protector Forsikring ASA,PROT.OL,64.18,0.244,0.611,Yes
4,Jæren Sparebank,JAREN.OL,21.78,0.116,0.373,Yes
5,Public Property Invest AS,PUBLI.OL,39.12,0.217,,
6,Elopak ASA,ELO.OL,45.09,0.249,0.378,Yes
7,DOF Group ASA,DOFG.OL,66.08,0.346,,
8,Haugesund Sparebank,HGSB.OL,38.43,0.221,,
9,Pioneer Property Group ASA,PPG.OL,9.63,0.065,0.008,Yes
10,Aurskog Sparebank,AURG.OL,11.14,0.077,0.107,Yes
11,Sparebanken Sør,SOR.OL,25.21,0.171,0.395,Yes
12,SpareBank 1 SMN,MING.OL,25.07,0.175,0.753,Yes
13,Orkla ASA,ORK.OL,23.09,0.166,0.029,No
14,Olav Thon Eiendomsselskap ASA,OLT.OL,17.29,0.13,0.2,Yes
15,Sparebanken Møre,MORG.OL,17.55,0.132,0.271,Yes
16,Sparebanken Øst,SPOG.OL,20.93,0.159,0.461,Yes
17,Sogn Sparebank,SOGN.OL,40.45,0.29,0.587,Yes
18,Odfjell SE,ODF.OL,54.62,0.385,0.36,Yes
19,Okeanis Eco Tankers Corp.,OET.OL,57.93,0.409,0.904,Yes
20,Cambi ASA,CAMBI.OL,71.07,0.484,0.426,Yes
21,Odfjell SE,ODFB.OL,53.26,0.393,0.956,Yes
22,DNB Bank ASA,DNB.OL,21.69,0.181,0.922,Yes
23,Schibsted ASA,SCHB.OL,45.5,0.362,1.115,Yes
24,SeaBird Exploration Plc,SBX.OL,37.74,0.309,1.144,Yes
25,SpareBank 1 Østfold Akershus,SOAG.OL,13.87,0.125,0.334,Yes
26,Pareto Bank ASA,PARB.OL,21.99,0.193,0.932,Yes
27,Sparebanken Vest,SVEG.OL,23.66,0.207,0.918,Yes
28,Endúr ASA,ENDUR.OL,59.54,0.467,1.492,Yes
29,Multiconsult ASA,MULTI.OL,21.34,0.197,0.016,Yes
30,Schibsted ASA,SCHA.OL,41.0,0.371,1.111,Yes
31,Storebrand ASA,STB.OL,22.69,0.221,1.212,Yes
32,Envipco Holding N.V.,ENVIP.OL,40.71,0.371,0.623,Yes
33,Odfjell Drilling Ltd.,ODL.OL,34.37,0.321,1.203,Yes
34,Treasure ASA,TRE.OL,24.85,0.242,0.5,Yes
35,SpareBank 1 Sør-Norge ASA,SB1NO.OL,21.16,0.209,1.066,Yes
36,Veidekke ASA,VEI.OL,26.73,0.265,1.214,Yes
37,Zalaris ASA,ZAL.OL,40.65,0.384,0.96,Yes
38,SmartCraft ASA,SMCRT.OL,22.43,0.231,0.214,Yes
39,Rana Gruber ASA,RANA.OL,31.33,0.313,0.686,Yes
40,Nordhealth AS,NORDH.OL,22.37,0.237,0.259,Yes
41,SpareBank 1 Østlandet,SPOL.OL,18.05,0.196,0.794,Yes
42,Europris ASA,EPR.OL,26.52,0.286,0.91,Yes
43,Kid ASA,KID.OL,29.19,0.324,1.169,Yes
44,Aker BioMarine ASA,AKBM.OL,34.01,0.371,0.551,Yes
45,Reach Subsea ASA,REACH.OL,33.43,0.367,0.952,Yes
46,Tysnes Sparebank,TYSB.OL,8.01,0.099,0.107,Yes
47,Pexip Holding ASA,PEXIP.OL,52.45,0.551,0.627,Yes
48,Wilh. Wilhelmsen Holding ASA,WWIB.OL,21.2,0.25,1.042,Yes
49,Stainless Tankers ASA,STST.OL,17.9,0.215,,
50,Telenor ASA,TEL.OL,16.34,0.198,0.363,Yes
51,Subsea 7 S.A.,SUBC.OL,23.96,0.283,1.489,Yes
52,Wilh. Wilhelmsen Holding ASA,WWI.OL,21.09,0.27,1.091,Yes
53,Elmera Group ASA,ELMRA.OL,32.94,0.406,0.896,Yes
54,Frontline plc,FRO.OL,38.29,0.477,1.05,Yes
55,LINK Mobility Group Holding ASA,LINK.OL,39.33,0.503,1.268,Yes
56,Cadeler A/S,CADLR.OL,25.7,0.353,0.461,Yes
57,Hafnia Limited,HAFNI.OL,24.06,0.346,0.557,Yes
58,Vistin Pharma ASA,VISTN.OL,22.45,0.331,0.86,Yes
59,Odfjell Technology Ltd.,OTL.OL,33.99,0.485,1.835,Yes
60,BlueNord ASA,BNOR.OL,25.1,0.375,0.97,Yes
61,Atea ASA,ATEA.OL,18.17,0.281,0.949,Yes
62,Eqva ASA,EQVA.OL,34.56,0.506,0.711,Yes
63,Napatech A/S,NAPA.OL,29.88,0.461,0.88,Yes
64,Philly Shipyard ASA,PHLY.OL,40.44,0.663,0.356,Yes
65,MPC Container Ships ASA,MPCC.OL,24.59,0.464,1.076,Yes
66,BW LPG Limited,BWLPG.OL,24.44,0.467,0.912,Yes
67,Nekkar ASA,NKR.OL,16.18,0.321,0.853,Yes
68,Integrated Wind Solutions ASA,IWS.OL,9.72,0.2,0.116,No
69,Stolt-Nielsen Limited,SNI.OL,19.71,0.39,0.074,No
70,Wallenius Wilhelmsen ASA,WAWI.OL,24.68,0.495,1.459,Yes
71,Akastor ASA,AKAST.OL,15.82,0.338,1.296,Yes
72,Polaris Media ASA,POL.OL,10.19,0.224,0.215,Yes
73,Oslo Bors All-Share Index,^OSEAX,5.93,0.134,1.0,Yes
74,Deep Value Driller AS,DVD.OL,13.92,0.316,1.182,Yes
75,Scana ASA,SCANA.OL,19.53,0.436,0.834,Yes
76,ABG Sundal Collier Holding ASA,ABG.OL,9.62,0.239,0.569,Yes
77,Gentoo Media Inc.,G2MNO.OL,10.97,0.309,0.355,Yes
78,Magnora ASA,MGN.OL,13.79,0.395,1.394,Yes
79,Solstad Offshore ASA,SOFF.OL,23.41,0.659,2.461,Yes
80,RomReal Limited,ROM.OL,14.62,0.438,0.272,Yes
81,North Energy ASA,NORTH.OL,7.95,0.251,0.857,Yes
82,Klaveness Combination Carriers ASA,KCC.OL,9.42,0.325,0.637,Yes
83,M Vest Water AS,MVW.OL,10.2,0.356,0.268,Yes
84,Aasen Sparebank,AASB.OL,4.76,0.171,0.209,No
85,Sunndal Sparebank,SUNSB.OL,4.2,0.151,0.47,Yes
86,NEXT Biometrics Group ASA,NEXT.OL,9.43,0.349,0.855,Yes
87,Inin Group AS,ININ.OL,9.32,0.384,0.107,Yes
88,Goodtech ASA,GOD.OL,5.07,0.239,0.179,Yes
89,Ayfie International AS,AIX.OL,22.11,0.984,1.451,Yes
90,Aker Solutions ASA,AKSO.OL,9.39,0.475,1.418,Yes
91,Crayon Group Holding ASA,CRAYN.OL,10.2,0.568,0.816,Yes
92,Borregaard ASA,BRG.OL,4.56,0.265,0.975,Yes
93,Vår Energi AS,VAR.OL,4.43,0.31,1.361,Yes
