Rank,Name,Ticker,Return (%),Risk
1,Smart NZ Cash ETF,NZC.NZ,3.83,0.007
2,Henderson Far East Income Limited,HFL.NZ,20.39,0.106
3,,KWBHB.NZ,6.58,0.044
4,Smart NZ Bond ETF,NZB.NZ,3.51,0.027
5,Australian Foundation Investment Company Limited,AFI.NZ,2.78,0.023
6,Smart Europe ESG ETF,EUG.NZ,14.91,0.116
7,Smart Global ESG ETF,ESG.NZ,15.39,0.126
8,Smart Japan ESG ETF,JPN.NZ,12.69,0.106
9,Smart US ESG ETF,USA.NZ,16.84,0.141
10,Smart Australian ESG ET,AUE.NZ,12.03,0.103
11,Contact Energy Limited,CEN.NZ,11.98,0.104
12,Turners Automotive Group Limited,TRA.NZ,25.5,0.209
13,Smart Europe ETF,EUF.NZ,13.7,0.119
14,Smart US Large Growth ETF,USG.NZ,20.7,0.176
15,Smart US 500 ETF,USF.NZ,15.5,0.136
16,Smart Total World ETF,TWF.NZ,13.42,0.12
17,Smart US 500 (NZD Hedged) ETF,USH.NZ,13.79,0.127
18,F&C Investment Trust PLC,FCT.NZ,14.32,0.138
19,Smart Global Government Bond ETF,GGB.NZ,2.75,0.028
20,Ventia Services Group Limited,VNT.NZ,28.04,0.285
21,Fisher & Paykel Healthcare Corporation Limited,FPH.NZ,23.52,0.246
22,Infratil Limited,IFT.NZ,14.25,0.155
23,Smart Asia Pacific ETF,APA.NZ,8.2,0.095
24,Vista Group International Limited,VGL.NZ,37.71,0.39
25,Westpac Banking Corporation,WBC.NZ,17.9,0.201
26,Smart Australian Financials ETF,ASF.NZ,14.54,0.166
27,Smart Emerging Markets ETF,EMF.NZ,8.03,0.099
28,Smart Total World (NZD Hedged) ETF,TWH.NZ,9.05,0.118
29,Chorus Limited,CNU.NZ,10.93,0.143
30,Smart US Large Value ETF,USV.NZ,10.18,0.136
31,Smart Emerging Markets ESG ETF,EMG.NZ,8.1,0.111
32,ANZ Group Holdings Limited,ANZ.NZ,12.54,0.17
33,Smart Automation and Robotics ETF,BOT.NZ,12.99,0.178
34,Meridian Energy Limited,MEL.NZ,10.66,0.153
35,The a2 Milk Company Limited,ATM.NZ,29.28,0.408
36,Smart Australian Dividend ETF,ASD.NZ,7.61,0.118
37,Smart US Mid Cap ETF,USM.NZ,10.1,0.157
38,Smart Australian Top 20 ETF,OZY.NZ,8.24,0.13
39,Bankers Ord,BIT.NZ,8.99,0.146
40,Smart Australian Top 200 ETF,AUS.NZ,6.7,0.129
41,Smart S&P/NZX NZ Government Bond ETF,NGB.NZ,2.05,0.042
42,Templeton Emerging Markets Investment Trust plc,TEM.NZ,5.59,0.119
43,Smart Global Bond ETF,GBF.NZ,1.92,0.043
44,Smart US Small Cap ETF,USS.NZ,8.33,0.195
45,Smart Australian Mid Cap ETF,MZY.NZ,6.51,0.159
46,Bremworth Limited,BRW.NZ,19.2,0.454
47,NZME Limited,NZM.NZ,9.68,0.267
48,General Capital Limited,GEN.NZ,20.28,0.553
49,Smartpay Holdings Limited,SPY.NZ,19.47,0.54
50,Mercury NZ Limited,MCY.NZ,5.76,0.172
51,SKY Network Television Limited,SKT.NZ,7.06,0.229
52,Smart Global Aggregate Bond ETF,AGG.NZ,1.49,0.056
53,Summerset Group Holdings Limited,SUM.NZ,6.0,0.247
54,New Zealand King Salmon Investments Limited,NZK.NZ,6.24,0.302
55,Air New Zealand Limited,AIR.NZ,3.84,0.189
56,Smart Australian Property ETF,ASP.NZ,4.13,0.21
57,ikeGPS Group Limited,IKE.NZ,9.34,0.485
58,Serko Limited,SKO.NZ,7.39,0.41
59,Port of Tauranga Limited,POT.NZ,3.19,0.195
60,Marsden Maritime Holdings Limited,MMH.NZ,6.09,0.386
61,Auckland International Airport Limited,AIA.NZ,2.78,0.179
62,Scales Corporation Limited,SCL.NZ,3.37,0.222
63,Freightways Group Limited,FRW.NZ,2.96,0.237
64,Smart NZ Mid Cap ETF,MDZ.NZ,1.3,0.113
65,Genesis Energy Limited,GNE.NZ,1.33,0.154
66,CDL Investments New Zealand Limited,CDI.NZ,1.45,0.214
67,Napier Port Holdings Limited,NPH.NZ,1.04,0.172
68,Enprise Group Limited,ENS.NZ,2.52,0.597
69,Radius Residential Care Limited,RAD.NZ,1.38,0.445
70,Kiwi Property Group Limited,KPG.NZ,0.38,0.15
71,Pacific Edge Limited,PEB.NZ,1.15,1.143
