Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Nofoth Food Products Company,9556.SR,77.22,0.262,,
2,Elm Company,7203.SR,71.87,0.367,1.21,Yes
3,The Company for Cooperative Insurance,8010.SR,48.98,0.312,0.89,Yes
4,Astra Industrial Group Company,1212.SR,56.64,0.352,1.249,Yes
5,Horizon Educational Co.,9603.SR,65.24,0.413,,
6,Al-Babtain Power and Telecommunications Company,2320.SR,53.42,0.354,1.562,Yes
7,Saudi Azm for Communication and Information Technology Company,9534.SR,58.6,0.383,0.928,Yes
8,Academy of Learning Company,9541.SR,67.1,0.433,,
9,Retal Urban Development Company,4322.SR,44.64,0.313,,
10,United Mining Industries Company,9583.SR,45.8,0.321,,
11,National Company for Learning and Education,4291.SR,51.67,0.359,0.211,Yes
12,Arabian Pipes Company,2200.SR,64.06,0.453,1.611,Yes
13,Balady Poultry Company,9559.SR,64.65,0.466,,
14,East Pipes Integrated Company for Industry,1321.SR,53.35,0.401,1.428,Yes
15,Saudi Chemical Holding Company,2230.SR,48.37,0.371,0.615,Yes
16,Sure Global Tech Co.,9550.SR,75.03,0.532,,
17,Al Maather Reit Fund,4334.SR,9.58,0.088,0.191,Yes
18,Etihad Etisalat Company,7020.SR,23.78,0.206,0.655,Yes
19,Aldrees Petroleum and Transport Services Company,4200.SR,45.75,0.372,1.389,Yes
20,Saudi Paper Manufacturing Company,2300.SR,44.85,0.374,0.83,Yes
21,Saudia Dairy & Foodstuff Company,2270.SR,31.12,0.275,0.691,Yes
22,Professional Medical Expertise Company,9574.SR,34.96,0.306,,
23,Jamjoom Pharmaceuticals Factory Company,4015.SR,34.92,0.308,,
24,Miral Dental Clinics Co.,9604.SR,67.29,0.547,,
25,Middle East Specialized Cables Company,2370.SR,43.33,0.392,1.553,Yes
26,National Medical Care Company,4005.SR,38.41,0.358,1.042,Yes
27,National Gas and Industrialization Company,2080.SR,33.39,0.321,1.165,Yes
28,Naba Al Saha Medical Services Company,9546.SR,39.18,0.381,,
29,Alkhorayef Water and Power Technologies Company,2081.SR,29.63,0.299,0.906,Yes
30,The National Shipping Company of Saudi Arabia,4030.SR,32.06,0.322,1.27,Yes
31,Rasan Information Technology Company,8313.SR,40.91,0.404,,
32,Gas Arabian Services Company,9528.SR,40.99,0.408,0.405,Yes
33,United International Transportation Company,4260.SR,22.51,0.242,0.84,Yes
34,ASG Plastic Factory Co.,9607.SR,30.73,0.321,,
35,Saudi Steel Pipes Company,1320.SR,49.39,0.484,1.532,Yes
36,ACWA Power Company,2082.SR,39.5,0.408,1.001,Yes
37,Lana Medical Co.,9587.SR,35.49,0.377,,
38,Ladun Investment Company,9535.SR,65.6,0.693,,
39,Al Hassan Ghazi Ibrahim Shaker Company,1214.SR,27.87,0.336,1.344,Yes
40,Perfect Presentation for Commercial Services Company,7204.SR,23.94,0.297,,
41,International Human Resources Company,9545.SR,35.93,0.426,,
42,Makkah Construction and Development Company,4100.SR,22.51,0.286,1.237,Yes
43,Saudi Automotive Services Company,4050.SR,36.53,0.447,1.471,Yes
44,Bawan Company,1302.SR,27.38,0.347,1.516,Yes
45,Itmam Consultancy Co.,9625.SR,6.11,0.087,,
46,Tam Development LLC,9570.SR,22.75,0.306,,
47,Saudi Ground Services Company,4031.SR,24.94,0.337,1.079,Yes
48,MOBI Industry Co.,9517.SR,32.25,0.435,0.822,Yes
49,Al Khaleej Training and Education Company,4290.SR,28.0,0.389,1.301,Yes
50,Quara Finance Company,9596.SR,17.34,0.258,,
51,Middle East Healthcare Company,4009.SR,40.25,0.551,1.354,Yes
52,CATRION Catering Holding Company,6004.SR,21.39,0.317,1.256,Yes
53,National Environmental Recycling Company,9540.SR,31.04,0.444,0.783,Yes
54,"AlMuneef Company for Trade, Industry, Agriculture and Contracting",9569.SR,39.82,0.554,,
55,Bupa Arabia for Cooperative Insurance Company,8210.SR,17.25,0.263,0.465,Yes
56,"Al Rashid Industrial Co.,",9580.SR,26.34,0.396,,
57,Saudi Networkers Services Company,9543.SR,14.16,0.226,,
58,Alwaha REIT Fund,9300.SR,14.96,0.241,,
59,Chubb Arabia Cooperative Insurance Company,8240.SR,34.81,0.521,0.821,Yes
60,Taiba Investment Company,4090.SR,17.73,0.288,1.046,Yes
61,Leejam Sports Company,1830.SR,22.16,0.357,1.185,Yes
62,The Mediterranean and Gulf Cooperative Insurance and Reinsurance Company,8030.SR,30.81,0.481,1.254,Yes
63,The National Agricultural Development Company,6010.SR,22.85,0.374,1.327,Yes
64,Dr. Sulaiman Al Habib Medical Services Group Company,4013.SR,16.13,0.272,1.01,Yes
65,Alandalus Property Company,4320.SR,15.13,0.264,0.776,Yes
66,Tanmiah Food Company,2281.SR,23.77,0.409,1.035,Yes
67,Saudi Real Estate Company,4020.SR,17.98,0.317,1.463,Yes
68,Saudi Aramco Base Oil Company - Luberef,2223.SR,13.63,0.247,,
69,Arabian Internet and Communication Services Company,7202.SR,17.82,0.321,1.349,Yes
70,Arabian Contracting Services Company,4071.SR,18.16,0.333,0.928,Yes
71,Al Moammar Information Systems Company,7200.SR,18.25,0.335,1.385,Yes
72,YAMAMA Cement Company,3020.SR,15.02,0.285,1.304,Yes
73,United Electronics Company,4003.SR,10.4,0.202,0.525,Yes
74,Almunajem Foods Company,4162.SR,16.37,0.313,1.301,Yes
75,Alqemam for Computer Systems Co.,9558.SR,34.46,0.616,,
76,Savola Group Company,2050.SR,21.82,0.411,1.299,Yes
77,Wataniya Insurance Company,8300.SR,15.59,0.328,1.149,Yes
78,Gulf Union Alahlia Cooperative Insurance Company,8120.SR,18.62,0.398,0.871,Yes
79,Riyadh Cement Company,3092.SR,11.19,0.248,0.336,Yes
80,Ataa Educational Company,4292.SR,13.02,0.289,0.636,Yes
81,Sustained Infrastructure Holding Company,2190.SR,14.72,0.327,0.943,Yes
82,Paper Home Company,9576.SR,17.39,0.392,,
83,Arabian Centres Company,4321.SR,10.24,0.239,0.844,Yes
84,Bonyan REIT Fund,4347.SR,4.43,0.11,0.501,Yes
85,Al-Dawaa Medical Services Company,4163.SR,10.53,0.268,0.872,Yes
86,Clean Life Co.,9581.SR,8.82,0.227,,
87,The National Company for Glass Industries,2150.SR,10.4,0.269,1.278,Yes
88,First Avenue for Real Estate De,9610.SR,11.92,0.316,,
89,Al Mohafaza Company for Educati,9598.SR,11.74,0.317,,
90,Walaa Cooperative Insurance Company,8060.SR,14.09,0.377,1.114,Yes
91,Theeb Rent A Car Company,4261.SR,8.63,0.242,0.461,Yes
92,Saudi Arabian Mining Company (Ma'aden),1211.SR,14.84,0.42,1.722,Yes
93,Marble Design Factory Company,9575.SR,13.08,0.376,,
94,Group Five Pipe Saudi Company,9523.SR,14.93,0.455,1.282,Yes
95,Osool and Bakheet Investment Co,9586.SR,14.32,0.452,,
96,Fitaihi Holding Group,4180.SR,9.81,0.316,1.321,Yes
97,Maharah for Human Resources Company,1831.SR,8.47,0.29,1.044,Yes
98,Thob Al Aseel Company,4012.SR,8.82,0.314,1.138,Yes
99,Mobile Telecommunications Company Saudi Arabia,7030.SR,8.12,0.294,1.077,Yes
100,Al Hammadi Holding Company,4007.SR,7.92,0.29,1.13,Yes
101,Balsm Alofoq Medical Co.,9620.SR,6.55,0.248,,
