Rank,Name,Ticker,Return (%),Risk
1,Satrix TRACI 3 Month ETF,STXTRA.JO,7.61,0.012
2,Coronation Global Optimum Growth Prescient Actively Managed Exchange Traded Fund A,COOPTI.JO,26.1,0.108
3,CDI Actively Managed ETF,COUSDI.JO,13.8,0.068
4,Coronation Global Managed Prescient Actively Managed Exchange Traded Fund A,COGMAN.JO,30.61,0.142
5,Satrix S&P Namibia Bond ETF,STXNAM.JO,12.51,0.063
6,Schroder European Real Estate Inv Trust,SCD.JO,0.0,0.0
7,Prescient Income Provider Feeder Actively Managed ETF (A),PIPETF.JO,2.54,0.015
8,AQU ACTIVELY MANAGED ETF,AQUA.JO,8.68,0.051
9,ETFSA Balanced Foundation Prescient AMETF A,ETFSAB.JO,8.82,0.053
10,Coronation Global Equity Select Prescient Actively Managed Exchange Traded Fund A,COGES.JO,37.44,0.208
11,Southern Sun Limited,SSU.JO,34.85,0.217
12,Momentum Group Limited,MTM.JO,32.97,0.219
13,Sygnia Itrix FANG.AI Actively Managed ETF,SYFANG.JO,33.18,0.222
14,Wilson Bayly Holmes-Ovcon Limited,WBO.JO,38.4,0.259
15,"UBS AG, London Branch",SAALG.JO,11.78,0.088
16,Satrix JSE Global Equity ETF,STXJGE.JO,11.48,0.09
17,1nvest MSCI World Feeder ETF,ETFWLD.JO,19.26,0.149
18,Satrix Indi ETF,STXIND.JO,19.67,0.161
19,1nvest S&P500 Feeder ETF,ETF500.JO,19.81,0.163
20,Satrix MSCI World ETF,STXWDM.JO,19.21,0.159
21,Attacq Limited,ATT.JO,33.19,0.261
22,1nvest S&P500 Info Tech Feeder ETF,ETF5IT.JO,29.98,0.239
23,Sygnia Itrix Euro Stoxx 50 ETF,SYGEU.JO,22.25,0.183
24,FNB Global 1200 Fund of Fund ETF,FNBEQF.JO,17.4,0.149
25,Satrix S&P 500 ETF,STX500.JO,20.14,0.172
26,Satrix Nasdaq 100 ETF,STXNDQ.JO,26.06,0.219
27,Sygnia Itrix MSCI World ETF,SYGWD.JO,17.82,0.155
28,Altron Limited,AEL.JO,37.2,0.303
29,10X S&P 500 ETF,CSP500.JO,18.91,0.165
30,Tiger Brands Limited,TBS.JO,32.04,0.267
31,Argent Industrial Limited,ART.JO,26.47,0.226
32,Satrix MSCI World ESG Enhanced Feeder Portfolio,STXESG.JO,18.24,0.162
33,Satrix MSCI India Feeder ETF,STXNDA.JO,19.21,0.17
34,Sygnia Itrix S&P 500 ETF,SYG500.JO,19.2,0.173
35,Sygnia Itrix S&P Global 1200 ESG ETF,SYGESG.JO,16.61,0.152
36,FirstRand Bank Limited,BKETNC.JO,33.82,0.293
37,Sygnia Itrix MSCI USA ETF,SYGUS.JO,18.53,0.171
38,Sygnia Itrix MSCI Japan ETF,SYGJP.JO,15.76,0.149
39,Alexander Forbes Group Holdings Limited,AFH.JO,26.32,0.242
40,10X Total World Stock ETF,GLOBAL.JO,15.88,0.153
41,Fairvest Limited,FTB.JO,16.93,0.164
42,Collins Property Group Limited,CPP.JO,37.78,0.337
43,NewWave Silver Exchange Traded Note,NEWSLV.JO,24.98,0.235
44,ADvTECH Limited,ADH.JO,19.97,0.195
45,Satrix Multi Asset Passive Portfolios Solutions Protect ETF,STXMAP.JO,8.99,0.094
46,Sygnia Itrix FTSE 100 ETF,SYGUK.JO,12.88,0.133
47,Spur Corporation Ltd,SUR.JO,20.31,0.206
48,PSG Financial Services Limited,KST.JO,20.15,0.204
49,Karooooo Ltd.,KRO.JO,32.61,0.317
50,NewWave GBP Currency Exchange Traded Note,NEWGBP.JO,9.02,0.097
51,Satrix Multi Asset Passive Portfolio Solutions Growth ETF,STXMAG.JO,10.63,0.122
52,Reinet Investments S.C.A.,RNI.JO,18.19,0.203
53,1nvest MSCI World Socially Responsible Investment Index Feeder ETF,ETFSRI.JO,13.25,0.152
54,Satrix MSCI Emerging Markets ETF,STXEMG.JO,10.94,0.127
55,Sygnia Limited,SYG.JO,11.43,0.133
56,Satrix Smart City Infrastructure Feeder ETF,STXCTY.JO,14.89,0.171
57,ISA Holdings Limited,ISA.JO,22.53,0.264
58,Fortress Real Estate Investments Limited,FFB.JO,20.86,0.247
59,Primeserv Group Limited,PMV.JO,28.76,0.331
60,10X S&P Global Dividend Aristocrats ETF,GLODIV.JO,9.95,0.125
61,EFPC Global Equity Note,UEFPCA.JO,11.11,0.14
62,Satrix Value Equity ETF,STXVEQ.JO,9.96,0.127
63,Satrix Low Volatility ETF,STXLVL.JO,10.12,0.13
64,Satrix MSCI EM ESG Enhanced Feeder Portfolio,STXEME.JO,9.92,0.132
65,Sabvest Capital Limited,SBP.JO,20.93,0.267
66,Vukile Property Fund Limited,VKE.JO,13.25,0.175
67,NEPI Rockcastle N.V.,NRP.JO,16.39,0.219
68,1nvest MSCI EM Asia Index Feeder ETF,ETFEMA.JO,10.78,0.151
69,AVI Limited,AVI.JO,13.38,0.189
70,Sygnia Itrix Top 40 ETF,SYGT40.JO,10.23,0.147
71,Boxer Retail Ltd,BOX.JO,9.19,0.133
72,Santam Ltd,SNT.JO,13.89,0.199
73,Satrix Capped All Share ETF,STXCAP.JO,9.54,0.141
74,1nvest Top 40 ETF,ETFT40.JO,10.39,0.155
75,Satrix 40 ETF,STX40.JO,10.39,0.156
76,FNB Top40 ETF,FNBT40.JO,10.43,0.157
77,10X Income AMETF,INCOME.JO,2.86,0.045
78,Satrix MSCI ACWI Feeder ETF,STXACW.JO,6.08,0.095
79,RFG Holdings Limited,RFG.JO,21.05,0.31
80,SB Baobab Equity AMC,AMC009.JO,8.46,0.131
81,Sygnia Itrix MSCI Emerging Markets 50 ETF,SYGEMF.JO,11.46,0.182
82,Anheuser-Busch InBev SA/NV,ANH.JO,14.17,0.222
83,SA Corporate Real Estate Limited,SAC.JO,14.03,0.222
84,FNB MSCI EM Feeder ETF,FNBEMG.JO,4.06,0.067
85,Satrix ILBI ETF,STXILB.JO,3.53,0.058
86,Coreshares Index Tracker Managers - All Asia Actively Managed ETF,APACXJ.JO,6.76,0.111
87,PortfolioMetrix Active Income Prescient AMETF,PMXINC.JO,4.54,0.076
88,Satrix Global Infrastructure Feeder ETF,STXIFR.JO,7.29,0.121
89,Capitec Bank Holdings Limited,CPI.JO,22.91,0.357
90,Sygnia Itrix Solactive Healthcare 150 ETF,SYGH.JO,8.31,0.14
91,CA Sales Holdings Limited,CAA.JO,22.99,0.365
92,Quilter plc,QLT.JO,17.14,0.283
93,Satrix Swix Top 40 ETF,STXSWX.JO,8.72,0.15
94,10X S&P SA Top 50 ETF,CTOP50.JO,8.43,0.146
95,Spear Reit Limited,SEA.JO,6.95,0.123
96,Satrix Momentum ETF,STXMMT.JO,7.99,0.144
97,Grindrod Limited,GND.JO,16.54,0.291
98,Satrix Global Aggregate Bond Feeder Portfolio,STXGBD.JO,5.36,0.099
99,African Rainbow Capital Investments Limited,AIL.JO,19.07,0.336
100,1nvest SA Property ETF,ETFSAP.JO,9.26,0.171
101,Frontier Transport Holdings Limited,FTH.JO,13.62,0.25
102,Shoprite Holdings Ltd,SHP.JO,13.42,0.249
103,10X South African Property Income ETF,CSPROP.JO,8.8,0.168
104,Finbond Group Limited,FGL.JO,39.59,0.679
105,Octodec Investments Limited,OCT.JO,8.96,0.173
106,Caxton and CTP Publishers and Printers Limited,CAT.JO,9.03,0.177
107,FNB MSCI World Feeder ETF,FNBWDM.JO,5.17,0.103
108,SBSA ITF Reitway Global Property Prescient Actively Managed Exchange Traded Fund A,RWAGP.JO,8.12,0.161
109,Clicks Group Limited,CLS.JO,12.6,0.247
110,SBSA ITF Reitway Global Property ESG Prescient Exchange Traded A,RWESG.JO,8.45,0.169
111,Satrix Quality South Africa ETF,STXQUA.JO,7.52,0.153
112,FNB World Government Bond ETF,FNBWGB.JO,4.88,0.101
113,CoreShares Index Tracker Collective Investment Scheme - CoreShares Yield Selected Bond ETF,CSYSB.JO,5.35,0.112
114,Fairvest Limited,FTA.JO,7.39,0.153
115,Sygnia Itrix 4th Industrial Revolution Global Equity ETF,SYG4IR.JO,11.29,0.231
116,Standard Bank Group Limited,SBK.JO,13.05,0.266
117,FirstRand Bank Limited,PAETNQ.JO,12.77,0.264
118,Bytes Technology Group plc,BYI.JO,17.83,0.362
119,Shaftesbury Capital PLC,SHC.JO,15.67,0.322
120,Hudaco Industries Limited,HDC.JO,7.87,0.172
121,Satrix Fini ETF,STXFIN.JO,9.48,0.208
122,Satrix RAFI 40 ETF,STXRAF.JO,6.78,0.153
123,Sanlam Limited,SLM.JO,11.75,0.26
124,Ascendis Health Limited,ASC.JO,19.4,0.422
125,Satrix Property ETF,STXPRO.JO,7.43,0.171
126,Sun International Limited,SUI.JO,13.86,0.313
127,Calgro M3 Holdings Limited,CGR.JO,16.63,0.377
128,EasyETFs AI World Actively Managed ETF,EASYAI.JO,21.7,0.484
129,SBSA ITF Reitway Global Property Diversified Prescient ETF A,RWDVF.JO,7.44,0.176
130,Sygnia Itrix Global Property ETF,SYGP.JO,6.78,0.162
131,1nvest Global Governement Bond Feeder ETF,ETFGGB.JO,4.07,0.101
132,"Lesaka Technologies, Inc.",LSK.JO,20.55,0.491
133,Bowler Metcalf Limited,BCF.JO,13.36,0.329
134,PPC Ltd,PPC.JO,19.48,0.472
135,Grindrod Limited,GNDP.JO,4.35,0.113
136,Investec Group,INP.JO,11.05,0.288
137,10X S&P Global Property ETF,GLPROP.JO,6.39,0.171
138,10X Wealth Next40 Equal Weighted ETF,WNXT40.JO,5.04,0.138
139,Investec Group,INL.JO,10.52,0.284
140,PowerFleet Inc,PWR.JO,25.14,0.642
141,British American Tobacco p.l.c.,BTI.JO,7.88,0.218
142,FNB MidCap ETF,FNBMID.JO,4.57,0.139
143,Absa Bank Limited,ABSP.JO,4.34,0.133
144,FNB Government Inflation Linked Bond ETF,FNBINF.JO,1.89,0.059
145,JSE Limited,JSE.JO,6.74,0.214
146,FNB S&P 500 Feeder ETF,FNB500.JO,3.82,0.124
147,Mr Price Group Limited,MRP.JO,9.91,0.314
148,Raubex Group Limited,RBX.JO,9.83,0.338
149,Sygnia Itrix New China Sectors ETF,SYGCN.JO,7.72,0.273
150,Resilient REIT Limited,RES.JO,6.16,0.22
151,Lighthouse Properties p.l.c.,LTE.JO,6.17,0.252
152,Remgro Limited,REM.JO,5.73,0.239
153,1nvest Global REIT Feeder ETF,ETFGRE.JO,4.06,0.178
154,The Bidvest Group Limited,BVT.JO,4.71,0.206
155,Nedbank Group Limited,NED.JO,4.28,0.196
156,Redefine Properties Limited,RDF.JO,5.82,0.275
157,Standard Bank Group Ltd,SBPP.JO,2.54,0.123
158,Master Drilling Group Limited,MDI.JO,4.65,0.232
159,African Media Entertainment Limited,AME.JO,7.56,0.379
160,Invicta Holdings Limited,IVT.JO,3.47,0.178
161,Satrix MSCI World Islamic Feeder ETF,STXWIS.JO,2.56,0.135
162,Nampak Limited,NPK.JO,12.41,0.648
163,Woolworths Holdings Limited,WHL.JO,5.29,0.287
164,Oceana Group Limited,OCE.JO,4.17,0.229
165,Sirius Real Estate Limited,SRE.JO,5.34,0.329
166,10X Wealth Govi Bond ETF,CSGOVI.JO,1.39,0.089
167,Delta Property Fund Limited,DLT.JO,19.41,1.188
168,Coronation Fund Managers Limited,CML.JO,2.97,0.216
169,1nvest SA Bond ETF,ETFBND.JO,1.15,0.085
170,Texton Property Fund Limited,TEX.JO,5.27,0.398
171,1nvest ICE US Treasury Short Bond Index Feeder ETF,ETFUSD.JO,1.48,0.114
172,FirstRand Limited,FSR.JO,3.19,0.249
173,FirstRand Bank Limited,LLETNC.JO,4.32,0.336
174,Stor-Age Property REIT Limited,SSS.JO,1.51,0.132
175,GMF ACTIVELY MANAGED ETF,27FGMF.JO,2.26,0.197
176,Alphamin Resources Corp.,APH.JO,5.83,0.51
177,Super Group Limited,SPG.JO,3.17,0.299
178,Clientèle Limited,CLI.JO,2.37,0.232
179,AECI Ltd,AFE.JO,1.93,0.22
180,Combined Motor Holdings Limited,CMH.JO,1.58,0.193
181,Emira Property Fund Limited,EMI.JO,1.6,0.207
182,FirstRand Bank Limited,LLETNQ.JO,2.59,0.346
183,Telkom SA SOC Ltd,TKG.JO,3.12,0.426
184,Satrix Resi ETF,STXRES.JO,1.98,0.293
185,iOCO Limited,IOC.JO,2.62,0.417
186,The Foschini Group Limited,TFG.JO,1.95,0.332
187,RCL Foods Limited,RCL.JO,1.08,0.249
188,Satrix Inclusion & Diversity ETF,STXID.JO,0.47,0.148
189,MAS P.L.C.,MSP.JO,0.86,0.309
190,City Lodge Hotels Limited,CLH.JO,0.68,0.288
191,Trellidor Holdings Limited,TRL.JO,0.9,0.499
192,Trematon Capital Investments Limited,TMT.JO,0.66,0.392
193,York Timber Holdings Limited,YRK.JO,0.43,0.305
194,Absa Group Limited,ABG.JO,0.31,0.236
195,Curro Holdings Limited,COH.JO,-0.1,0.305
196,Vodacom Group Limited,VOD.JO,-0.1,0.216
197,Investec Ltd,INPR.JO,-0.13,0.089
198,Growthpoint Properties Limited,GRT.JO,-0.4,0.242
199,EPE Capital Partners Ltd,EPE.JO,-0.46,0.256
200,Northam Platinum Holdings Limited,NPH.JO,-1.13,0.521
201,Famous Brands Limited,FBR.JO,-0.54,0.215
202,Dis-Chem Pharmacies Limited,DCP.JO,-0.73,0.253
203,Satrix SA Bond ETF,STXGOV.JO,-0.31,0.1
204,Nu-World Holdings Limited,NWL.JO,-0.72,0.206
205,Old Mutual Limited,OMU.JO,-1.01,0.25
206,Wealth Global Equity CoreSolutions Actively Managed ETF,PCWGE.JO,-0.91,0.134
207,KAL Group Limited,KAL.JO,-1.85,0.21
208,MTN Group Limited,MTN.JO,-3.48,0.387
209,BHP Group Limited,BHG.JO,-2.04,0.22
210,Satrix GOVI ETF,STXGVI.JO,-0.89,0.093
211,Europa Metals Limited,EUZ.JO,-7.12,0.725
212,Aspen Pharmacare Holdings Limited,APN.JO,-3.62,0.349
213,Adcorp Holdings Limited,ADR.JO,-5.01,0.445
214,The SPAR Group Ltd,SPP.JO,-4.0,0.344
215,Impala Platinum Holdings Limited,IMP.JO,-8.37,0.539
216,Afrimat Limited,AFT.JO,-4.07,0.25
217,Merafe Resources Limited,MRF.JO,-6.08,0.356
218,Crookes Brothers Limited,CKS.JO,-6.6,0.375
219,Hosken Consolidated Investments Limited,HCI.JO,-5.04,0.261
220,Equites Property Fund Limited,EQU.JO,-5.0,0.248
221,Capital Appreciation Limited,CTA.JO,-5.41,0.268
222,Zeda Limited,ZZD.JO,-6.29,0.312
223,Motus Holdings Limited,MTH.JO,-5.83,0.261
224,enX Group Limited,ENX.JO,-9.53,0.411
225,Kumba Iron Ore Limited,KIO.JO,-11.14,0.43
226,Aveng Limited,AEG.JO,-13.27,0.5
227,Vunani Limited,VUN.JO,-8.7,0.286
228,Sibanye Stillwater Limited,SSW.JO,-15.57,0.519
229,KAP Limited,KAP.JO,-11.1,0.352
230,African Rainbow Minerals Limited,ARI.JO,-11.08,0.346
231,Brait PLC,BAT.JO,-12.97,0.402
232,Pick n Pay Stores Limited,PIK.JO,-13.59,0.404
233,Burstone Group Limited,BTN.JO,-8.33,0.241
234,Sappi Limited,SAP.JO,-11.11,0.323
235,Exxaro Resources Limited,EXX.JO,-9.02,0.256
236,Anglo American Platinum Limited,AMS.JO,-18.51,0.518
237,South32 Limited,S32.JO,-12.72,0.325
238,"Montauk Renewables, Inc.",MKR.JO,-26.07,0.695
239,Wesizwe Platinum Limited,WEZ.JO,-21.93,0.55
240,Accelerate Property Fund Limited,APF.JO,-15.94,0.384
241,Insimbi Industrial Holdings Limited,ISB.JO,-13.37,0.311
242,Balwin Properties Limited,BWN.JO,-10.15,0.232
243,FirstRand Bank Limited,NVETNC.JO,-13.96,0.318
244,Libstar Holdings Limited,LBR.JO,-11.53,0.258
245,EasyETFs Balanced Actively Managed ETF,EASYBF.JO,-7.35,0.159
246,PBT Group Limited,PBG.JO,-11.67,0.254
247,AfroCentric Investment Corporation Limited,ACT.JO,-19.97,0.429
248,Mahube Infrastructure Limited,MHB.JO,-16.92,0.336
249,Italtile Limited,ITE.JO,-12.8,0.243
250,Thungela Resources Limited,TGA.JO,-22.15,0.424
251,NewGold Palladium ETF,NGPLD.JO,-15.72,0.279
252,Tharisa plc,THA.JO,-18.43,0.323
253,Satrix Divi Plus ETF,STXDIV.JO,-8.86,0.145
254,AfricaRhodium ETF,ETFRHO.JO,-21.69,0.378
255,YeboYethu (RF) Limited,YYLBEE.JO,-17.75,0.286
256,AfricaPalladium ETF,ETFPLD.JO,-17.37,0.259
257,FirstRand Bank Limited,NVETNQ.JO,-16.86,0.246
258,EasyETFs Global Equity Actively Managed ETF,EASYGE.JO,-26.37,0.35
259,Sea Harvest Group Limited,SHG.JO,-19.13,0.168
260,FirstRand Bank Limited,ASETNC.JO,8.36,
261,FirstRand Bank Limited,BBETNQ.JO,20.91,
262,FirstRand Bank Limited,BRETNC.JO,-8.33,
263,FirstRand Bank Limited,NNETNC.JO,13.48,
264,SBSA ITF Reitway Glb Prpty PrescientETFA,RWINC.JO,-3.54,
