Date,AAISA.SN,ABBVCL.SN,ABC.SN,ACWXCL.SN,ADBECL.SN,AGG-CL.SN,AGUAS-A.SN,AMDCL.SN,AMZNCL.SN,ANTARCHILE.SN,AZUL-AZUL.SN,BICECORP.SN,BLUMAR.SN,CAMANCHACA.SN,CAP.SN,CAROZZI.SN,CATCL.SN,CENCOSUD.SN,CFI-CGGCUF.SN,CFI-ETFUSD.SN,CFI-FTXDFE.SN,CFI-MAGSIE.SN,CFIACESA-E.SN,CFIACESC-E.SN,CFIADI6A.SN,CFIADI6FID.SN,CFIAFIIA-E.SN,CFIAMDDA-E.SN,CFIAMDDC-E.SN,CFIAMDVADA.SN,CFIAMDVAMA.SN,CFIAMDVASC.SN,CFIAMDVATA.SN,CFIAMSLPA.SN,CFIANM7A-E.SN,CFIARRAA-E.SN,CFIBALT1.SN,CFIBCCHIGA.SN,CFIBCCHIGI.SN,CFIBCHDCPA.SN,CFIBCHDLPA.SN,CFIBCHMPGB.SN,CFIBCHMPUS.SN,CFIBMPEM-E.SN,CFIBMPEU-E.SN,CFIBPDCCHA.SN,CFIBPDCCHF.SN,CFIBRGLO.SN,CFIBTGDAPA.SN,CFIBTGDAPF.SN,CFIBTGDAPG.SN,CFIBTGDEA.SN,CFIBTGFGIA.SN,CFIBTGGBDA.SN,CFIBTGGBDI.SN,CFIBTGPLAA.SN,CFIBTGPLAT.SN,CFIBTGRCA.SN,CFIBVCAP.SN,CFIC2VGLOB.SN,CFICGGCPA.SN,CFICOMDPA.SN,CFICOMDPB.SN,CFIDHS2-A.SN,CFIEARFCHA.SN,CFIETFCC.SN,CFIETFCD.SN,CFIETFGE.SN,CFIETFLP.SN,CFIFALCDCG.SN,CFIFALCDCW.SN,CFIFALCFIA.SN,CFIFALCFIG.SN,CFIFALCFIW.SN,CFIFALCGLA.SN,CFIFALCTAC.SN,CFIFTCLPP.SN,CFIFTRLPP.SN,CFIFTRLPPI.SN,CFIFTUFP.SN,CFIFYNDE3A.SN,CFIFYNDETA.SN,CFIFYNDI2A.SN,CFIFYNGIIS.SN,CFIFYNRF2A.SN,CFIFYNSADA.SN,CFIFYNSADB.SN,CFIGC.SN,CFIHMCRGPB.SN,CFIHMCRGPC.SN,CFIHMCUSBP.SN,CFIHYUF-A.SN,CFIIMDLAT.SN,CFIIMSCLB.SN,CFIIMSCLI.SN,CFILTLIQ-A.SN,CFILVCOR-A.SN,CFILVCOR-I.SN,CFILVCOR-M.SN,CFILVCOR-O.SN,CFILVDPU-E.SN,CFILVFA-L.SN,CFILVPARI1.SN,CFIMBD3A-E.SN,CFIMBD4C-E.SN,CFIMBIAR-A.SN,CFIMBIDA-A.SN,CFIMBIDA-B.SN,CFIMBIDA-D.SN,CFIMBIDC-A.SN,CFIMBIDT-A.SN,CFIMBIDT-B.SN,CFIMBILA-A.SN,CFIMBIRF-A.SN,CFIMBIRFUS.SN,CFIMCUMI.SN,CFIMCUMR.SN,CFIMDCHA.SN,CFIMDCHD.SN,CFIMDCHI.SN,CFIMDLIG-I.SN,CFIMERPA.SN,CFIMRCLP.SN,CFIMRCLPR.SN,CFINASDAQ.SN,CFINHRFLA.SN,CFINHRFLB.SN,CFINRENTAS.SN,CFINVCHXA.SN,CFINVRFLI.SN,CFINVSDPR.SN,CFIPADIA.SN,CFIPADIF-E.SN,CFIPCP7C-E.SN,CFIPIONR.SN,CFIPK13C-E.SN,CFIQAC.SN,CFIQDIA.SN,CFIQEAA.SN,CFIQGD-A.SN,CFIQGE-A.SN,CFIQRGA-E.SN,CFIQRGH.SN,CFIQRL-A.SN,CFISAHRA-E.SN,CFISP500.SN,CFISUDPCAA.SN,CFISURI3.SN,CFITDPFI-E.SN,CFITOABA-E.SN,CFITODPA-E.SN,CFITODPF-E.SN,CFITODPX-E.SN,CFITTTAA-E.SN,CFIVNTDP-E.SN,CFIWEG-1.SN,CFMCCDCIGB.SN,CFMCCMPLZB.SN,CFMCGACHA.SN,CFMCGACHB.SN,CFMCGACHD.SN,CFMCGDCHA.SN,CFMCHAB.SN,CFMDIVO.SN,CFMIMTDEUB.SN,CFMITADPF2.SN,CFMITAFDF4.SN,CFMSECGLDK.SN,CFMTOEEQUB.SN,CGET.SN,CINTAC.SN,CNECCL.SN,CNECUS.SN,CONCHATORO.SN,COPEC.SN,CRISTALES.SN,CRMCL.SN,CTC.SN,DAVIVIENUS.SN,DISCL.SN,ECH.SN,ECL.SN,EEMCL.SN,EMB-CL.SN,EMBONOR-A.SN,EMBONOR-B.SN,ENELCHILE.SN,ENELGXCH.SN,ENJOY.SN,ENLASA.SN,ENTEL.SN,EWGCL.SN,EWJCL.SN,EXITOCL.SN,EXITOUS.SN,EZUCL.SN,FALABELLA.SN,FORUS.SN,FOSFOROS.SN,FROWARD.SN,FXICL.SN,GASCO.SN,GDX.SN,GILDCL.SN,GOOG.SN,GOOGLCL.SN,HDCL.SN,HEWJ-CL.SN,HIPERMARC.SN,HIPICO.SN,HITES.SN,HODL.SN,HWM.SN,HYGCL.SN,IAU.SN,IAUCL.SN,IBITCL.SN,ICLNCL.SN,IDUCL.SN,IEVCL.SN,IGSB.SN,IGSBCL.SN,ILFCL.SN,INDA.SN,INDISA.SN,INDYCL.SN,INGEVEC.SN,INTCCL.SN,INVERCAP.SN,IUSG-CL.SN,IVV.SN,IVVCL.SN,IVW.SN,IVWCL.SN,IXUS.SN,IYH-CL.SN,IYW.SN,IYWCL.SN,JPM.SN,KWEB.SN,LIPIGAS.SN,LLYCL.SN,LQD.SN,LTM.SN,MACL.SN,MANQUEHUE.SN,MASISA.SN,MDLZCL.SN,META.SN,METACL.SN,MINERA.SN,MO.SN,MOLLER.SN,MOLYMET.SN,MRK.SN,MRKCL.SN,MSFT.SN,MSFTCL.SN,MULTI-X.SN,NEAR.SN,NFLXCL.SN,NITRATOS.SN,NORTEGRAN.SN,NTGCLGAS.SN,NUAM.SN,NVDA.SN,NVDACL.SN,OXIQUIM.SN,PASUR.SN,PAZ.SN,PEHUENCHE.SN,PLANVITAL.SN,QCOM.SN,QUINENCO.SN,RTX.SN,RTXCL.SN,SBUXCL.SN,SCOTIABKCL.SN,SGOV.SN,SGOVCL.SN,SHV.SN,SHY.SN,SHYCL.SN,SHYG.SN,SK.SN,SLV.SN,SMH.SN,SMU.SN,SOCOVESA.SN,SONDA.SN,SOQUICOM.SN,SPCLXIGPA.SN,SUSBCL.SN,TECBCL.SN,TLH.SN,TSLA.SN,TSLACL.SN,TXNCL.SN,USB.SN,USMV-CL.SN,USXFCL.SN,V.SN,VOLCAN.SN,WALMARTCL.SN,WFCCL.SN
2024-04-30,183.11117553710932,,,,,,248.80552673339844,,163679.0,7499.5029296875,583.0,,207.8999938964844,40.37931823730469,6864.5,,320349.28125,1625.0540771484375,,,,,,,,,,,,,,,,,,,1933.6920166015625,,,,,,2779.833740234375,1449.4508056640625,,,,,,,,,11962.2041015625,,,13020.9404296875,,25163.47265625,,,,,,34358.1171875,,1330.65087890625,1191.7176513671875,2252.953857421875,,,,,,,,,109.16000366210938,134.57960510253906,,,,,,,10254.900390625,,,1228.785400390625,,,,,181.39439392089844,,,,,,,,1592.469970703125,,,,,42274.3984375,,,,,,,,,,,,,,,,680.890869140625,,15906.580078125,1343.5897216796875,,,1545.2864990234375,,,1272.56005859375,,,,,,,,,,,,,,,1221.715576171875,,,,,91.9951171875,,,,1275.6500244140625,,,,,,,,,1427.199951171875,,,,,,,89.80000305175781,,,1250.61572265625,6850.84716796875,2841.555419921875,,,,104776.203125,,788.0,38205.30078125,,,1263.356201171875,52.26661682128906,298.0253601074219,0.5239999890327454,,3244.59375,,67853.6484375,,,,2553.776123046875,1580.2286376953125,,,,1082.3341064453125,34.39126968383789,,,147549.09375,,,4.932000160217285,,87.0,,,69953.71875,,,,,,,,,24784.732421875,,,,54.14616775512695,42451.42578125,2090.800048828125,,507.5554809570313,481933.40625,,78190.3984375,,54919.9921875,129.52728271484375,123673.984375,189.41766357421875,,3336.23681640625,,,12.989571571350098,,112.5,19.450000762939453,,,412256.0625,15882.8818359375,,,3753.0,,,,381658.09375,231.805892944336,,,3.288745403289795,9.299545288085938,214.88682556152344,4034.943359375,,,,5900.68505859375,587.7680053710938,2247.247802734375,151.91555786132812,,3070.793701171875,,,,,,83287.8671875,,,,,1181.2860107421875,,214.4310913085937,168.90487670898438,88.88999938964844,422.9093017578125,341.0645751953125,,,,,,,,,,,,,,
2024-05-31,199.2700042724609,,,,,,260.2933044433594,,160596.0,8345.427734375,,170.4967498779297,206.33999633789065,,6180.0,,320349.28125,1723.9000244140625,,,,,,,,,,1365.54345703125,1348.3260498046875,,,,,,,,1829.317138671875,,,,,,2755.1201171875,1455.4000244140625,1713.02001953125,,,,,,,,11585.44140625,,,13395.4697265625,,24272.41796875,,,,,,34443.94140625,,1341.8055419921875,1199.4483642578125,2220.4287109375,,,,,,,,,110.05999755859376,135.53469848632812,,109.7699966430664,,,,,,,,,,,,,,,,,,,,,1635.0,,,37091.26953125,,43191.71875,,,,,,,,,,,1067.4063720703125,,,,,685.4662475585938,,16075.302734375,1342.3939208984375,,,1534.53662109375,,,,,,,,,,,,,,,,,,1203.0306396484375,,,,,,93.4629364013672,,,,,,,,,,,,1419.300048828125,,,,,,,80.0,,,1141.4918212890625,7619.330078125,2773.31982421875,,250.0,,94486.34375,,850.0,38092.01171875,,,1372.4158935546875,51.78755187988281,308.93280029296875,0.4779999852180481,900.0,2905.38623046875,,61869.3828125,,,,2763.444091796875,1695.354736328125,,487.3585510253906,,1166.0426025390625,,,,,,38469.3046875,4.932000160217285,,100.91999816894533,,,66089.015625,44.22999954223633,44.22999954223633,,,,,,,24784.732421875,,1450.0,,54.959999084472656,42568.16015625,2100.0,,,475564.0,,79026.3203125,,53622.09375,135.9058380126953,125712.5234375,,28.08917617797852,3498.869873046875,,103.25041961669922,12.34959316253662,,109.3000030517578,20.25,,,,15500.0,,174.0,3969.800048828125,,117675.2109375,415.5337524414063,373293.78125,227.0,,,3.249000072479248,9.288999557495115,253.5518341064453,4024.4345703125,,,,5980.0,595.0,2248.55859375,199.7366180419922,,3174.388916015625,,,89182.0546875,,,,,,,,1199.9857177734375,28.309999465942383,245.90182495117188,178.13592529296875,82.58999633789062,422.6608276367188,294.6400146484375,,,43164.234375,,,,,,,,,,,
2024-06-28,182.5800018310547,,,,493200.0,,245.9388885498047,151750.0,187263.0,8097.73583984375,,,,38.119998931884766,5910.39990234375,,,1775.0,,,,,530.8958740234375,530.5596313476562,,,,1376.8800048828125,1355.9493408203125,,,,,,,,1928.769775390625,,,,,,2985.25,,1706.969970703125,,,,,,,,,,,13435.259765625,,22771.783203125,,,,,,34515.0625,,1352.5,1205.0999755859375,2344.60009765625,,,,,,,,,110.8499984741211,136.36000061035156,128.1699981689453,110.54000091552734,,,,,,,,,,,,,,,,,,,,,1621.9200439453125,,,,,41903.3203125,,,,,,,,,,,1072.5,,,,,689.3592529296875,,16649.5234375,1487.0,,,1529.7235107421875,,,1289.550048828125,970.7534790039062,987.7835693359376,,,,,,,,,,,,,1301.0999755859375,,,,,93.47161102294922,94.07893371582033,,,,,,,,,,,,1370.0,,,,,,70.0,,,,1086.8385009765625,7249.83837890625,,,,,93587.375,,841.5,39731.57421875,,,1345.3922119140625,52.26988983154297,315.7760009765625,0.4900000095367431,900.0,2740.206787109375,,62745.63671875,,,,2882.6865234375,1849.0272216796875,,,,1157.6580810546875,,,184.701416015625,,,,,,102.0,,,66402.234375,,,,,,,,,,,1439.4000244140625,,55.0,42568.16015625,1983.5,,546.3114624023438,513792.84375,93.2039031982422,86845.0625,66.63029479980469,55489.6171875,151.68130493164062,144947.890625,,,3556.486572265625,861365.5625,104.74126434326172,12.839576721191406,420578.46875,103.68000030517578,18.549999237060547,,510.7556762695313,467511.3125,15100.0,,175.0,3629.10009765625,126.42474365234376,121828.6484375,450.3372192382813,428213.5,219.97999572753903,,,2.990000009536743,8.800000190734863,240.471923828125,3748.956298828125,,118516.9609375,7308.115234375,,,2256.611328125,183.15164184570312,,2967.57275390625,,,,,,,106.12445068359376,,,,1195.4857177734375,,264.2506408691406,163.01052856445312,73.12000274658203,412.891845703125,288.0,,,44970.83203125,109.74577331542967,,188505.0,,39.13838958740234,,,,2445.32373046875,61185.93359375,
2024-07-31,180.0,,9.543999671936035,,,,267.8533020019531,136430.0,,7599.75244140625,,165.804931640625,,,5310.0,,,1741.0,,,,,,,,36336.57421875,,1385.2264404296875,1364.1072998046875,,,,,,,,1927.5196533203125,,,,,,3019.5,,1753.219970703125,,,,,,,,,,,13317.3798828125,,22585.34375,,,,,,35031.6875,,1367.4000244140625,1211.0999755859375,2378.199951171875,,,,,,,,,111.76000213623048,137.30999755859375,,,,,,,10240.505859375,,,1240.00146484375,,,,,184.58279418945312,,,,,,,,1630.1700439453125,,,37684.0703125,,,,,,,,,,,,,1078.0,,,,,693.8917846679688,,17009.55078125,1453.699951171875,,,1476.07421875,,,1295.010009765625,977.3438110351562,,,8606.9697265625,,,,,,,,,,,1310.0999755859375,,,,,94.2632293701172,94.84003448486328,100.45999908447266,,,,,,,,,,,1379.4000244140625,,,,,,,77.9800033569336,,,1167.187744140625,6559.85400390625,2743.99072265625,,,,,,856.0,39791.56640625,,,1309.9720458984375,52.958946228027344,317.7242431640625,0.4550000131130218,,2604.130615234375,,63837.9453125,,,,3100.30419921875,1943.213623046875,,,,1167.8182373046875,,,,,,,,,,,,70655.6640625,,,,,,,,,,,1492.4000244140625,,,,1887.300048828125,,549.747314453125,515307.875,,85481.5625,66.63029479980469,,145.11947631835938,137102.671875,,,3313.31884765625,,,11.659615516662598,412828.1875,102.0999984741211,18.40999984741211,,,467511.3125,13978.0,,,3629.10009765625,,,,,206.9600067138672,,,2.821000099182129,8.125,242.76220703125,3716.300048828125,114.72117614746094,108642.9609375,7451.41162109375,,,2294.0654296875,183.15164184570312,,3157.07421875,,,,,,,,,,,1160.086181640625,,231.3462371826172,154.11904907226562,66.76000213623047,395.5302734375,295.989990234375,,,,,,213260.0,,,,,,,,
2024-08-30,171.8000030517578,,9.05799961090088,,,,265.0780944824219,,159100.0,6990.77197265625,,,195.0800018310547,37.84000015258789,5600.0,,,1850.0,,,,,,,,36710.51171875,,1393.9986572265625,1371.265380859375,,,,,,,,1882.854248046875,,,,,,2949.360107421875,1492.75,,,,,,,,,10225.4794921875,,,13400.0,,20917.923828125,,,,,,34454.53125,,1384.4000244140625,1216.5,2351.0,,,,,,,,,,138.11000061035156,,111.83999633789062,,,,,10510.4541015625,,,,,,,,,,,,,,,,1621.0,,,,,,,,,,,,,,,,1061.0,,,,,695.02392578125,,16787.345703125,1419.0,,,1462.0635986328125,,,1300.6199951171875,981.915771484375,,,,974.7159423828124,,,,,,,,,,1291.0999755859375,,,,,,95.55015563964844,,,,,,,,,,,,1349.800048828125,,,,,,,72.9000015258789,,,1121.7257080078125,5987.16650390625,2694.21044921875,,,,,,874.0,38609.453125,,1160.626708984375,1178.328125,48.73601150512695,316.1969909667969,0.3970000147819519,,2752.988525390625,,,,,,3209.609619140625,1910.5953369140625,,,,1279.3819580078125,,,,148458.421875,,,,,98.0,,,71026.5234375,47.66999816894531,47.66999816894531,,,,,,,,,1360.5,,52.0,,1789.800048828125,,558.9426879882812,510630.28125,90.31185150146484,84189.7890625,66.63029479980469,,,135757.859375,,,3296.107421875,857497.0625,,11.809611320495604,,98.0500030517578,18.26000022888184,,,,13544.0,50.5980110168457,160.0,,,,,379326.0,191.0,,636477.0,2.500999927520752,7.599999904632568,269.4967956542969,3611.199951171875,118.28028106689452,109039.9609375,,,473.8599853515625,2238.820556640625,157.8774871826172,,3078.1953125,,,,,,84877.546875,,,,,1059.9873046875,,,143.49867248535156,54.88999938964844,391.4457702636719,293.3800048828125,,,,110.42630767822266,,186450.0,,,,26945.0625,,,67240.0,
2024-09-30,161.77000427246094,,8.821000099182129,,,,266.0350646972656,151277.0,159100.0,6989.77197265625,,159.18614196777344,,,6030.0,,321673.59375,1815.0,,,,,,,,37064.015625,,1401.9200439453125,,,,,,,,,1902.579833984375,,,,,,2989.969970703125,1565.300048828125,1750.3199462890625,,,,,,,,,,,13500.0,,19584.146484375,,,,,,34835.77734375,,1400.300048828125,1222.9000244140625,2363.5,,,,,,,,,113.41999816894533,139.02999877929688,,112.73999786376952,,,,,10370.5478515625,,,1211.24560546875,,,,,190.89810180664065,,,,,,,,1635.6600341796875,,13096.8720703125,38391.3515625,,,,,,,,,,,,,,,,,,685.2163696289062,17420.677734375,17039.193359375,1435.199951171875,,,1469.0433349609375,,,1280.8800048828125,,,,8268.9599609375,,,,,,,,,,,1295.699951171875,,,,,95.2378921508789,96.30250549316406,,,1310.25,,,,,,,,,1356.0,,,,,,,70.04000091552734,,,1098.3985595703125,6019.86572265625,,,,,,,870.510009765625,40593.08203125,,,1153.2347412109375,48.72616958618164,327.96453857421875,0.4819999933242798,,3096.12890625,,,,,,3308.978515625,1822.060302734375,,,,1233.8095703125,,,,147677.671875,,,4.099999904632568,,98.0,,,71362.96875,,,,,,,,,,,1475.5999755859375,,53.5,21600.0,1905.300048828125,,572.3578491210938,513503.71875,,85588.4140625,66.63029479980469,,,135386.25,,,3494.20751953125,857497.0625,111.00692749023438,11.569618225097656,,90.05000305175781,16.84000015258789,,,,12919.0,,,3450.0,,,,385000.0,198.009994506836,49.446388244628906,631300.0,2.5999999046325684,7.298999786376953,276.3502502441406,3618.60009765625,120.81027221679688,108631.9765625,7499.17724609375,,,2294.0654296875,156.7686309814453,,3009.89794921875,,,,,98.06048583984376,,,,55898.6875,,1050.08740234375,,246.8874664306641,145.0988311767578,65.16000366210938,346.6199951171875,280.0,,,,110.78423309326172,,232170.0,,39.62615585327149,,,,,67240.0,
2024-10-30,176.39999389648438,,8.26200008392334,,,,262.8196716308594,151277.0,180792.0,6751.27978515625,,155.39918518066406,193.0,35.2599983215332,5770.0,2130.0,,1994.0,,,,,,,,,,1411.6800537109375,1388.5400390625,,,,,,,,2024.865478515625,,,,,,3213.340087890625,1610.800048828125,,,,,,,,,10679.826171875,,,13597.0,,19084.599609375,1424.5899658203125,,,,,35218.25,1375.030029296875,1389.0999755859375,1228.0,2520.0,,,,,,,,,114.23999786376952,139.86000061035156,,113.20999908447266,,,,,,,,,,,,,181699.53125,,,,,,,,1619.9000244140625,,12570.0390625,,,,,,,,,,,,,,,,,,,,17538.447265625,17162.572265625,1570.0999755859375,,,1466.59326171875,,,1291.0999755859375,,,,,,,1207.1500244140625,,,,,,,,1411.800048828125,,,,,96.42406463623048,97.05144500732422,102.75,,,1343.8653564453125,,,,,,,,1361.5999755859375,,,,,,,,,,1099.986328125,6069.86474609375,2843.151611328125,,250.0,,,26.36562156677246,895.0,42701.609375,,,1144.9346923828125,50.22240829467773,347.3193359375,0.3389999866485595,,3076.46484375,,,,,,3429.214599609375,1790.0,,,,1235.0701904296875,40.646026611328125,,166.8039093017578,156677.75,,,4.099999904632568,,82.38999938964844,,,72966.328125,52.54999923706055,52.54999923706055,37068.0,,,42248.44140625,,,23354.27734375,,1526.800048828125,,54.58000183105469,,1792.800048828125,,582.8152465820312,553928.8125,,,69.08824920654297,,,149877.015625,,25.044408798217773,3475.78955078125,773577.375,,12.859576225280762,492998.53125,91.41999816894533,16.59000015258789,,,543726.375,13299.0,,,3350.0,,97728.1953125,,420026.0,,,,2.5390000343322754,6.699999809265137,339.3985900878906,3900.0,139.54721069335938,135110.96875,8100.10009765625,,478.0,2495.514892578125,156.7686309814453,,2996.430908203125,,,,212.3260498046875,,,,,,,,,249.8344268798828,147.75234985351562,78.51000213623047,356.2699890136719,287.1000061035156,,,47138.06640625,111.13501739501952,258.6000061035156,252051.0,,,,,,,67240.0,
2024-11-29,190.38999938964844,,8.305000305175781,,,,281.8249206542969,143452.0,201820.0,6889.67529296875,,,,,5335.0,,,2050.0,,,,,,,,,,1420.0,1396.6800537109375,,,,,,,,,,,,,,3380.1201171875,1572.469970703125,1707.300048828125,,,,,,,,,,,13685.0,,16637.412109375,,,,,,35361.6875,1393.9000244140625,1403.4000244140625,1232.199951171875,2618.39990234375,,,,,,,,,115.0500030517578,140.67999267578125,,,,,,,10725.8515625,,,,,,,,190100.0,,,,,,,,1648.800048828125,,12448.482421875,39085.3203125,,,,,,,,,,,,,,,,,,703.4461059570312,17759.994140625,17362.916015625,1628.4000244140625,,,1456.5670166015625,,,1299.3699951171875,,,,,,,,,,,,,,,1482.9000244140625,,,,,97.2265853881836,,103.4499969482422,,,,,,,,,,,1367.4000244140625,,,,,,85.0,62.81999969482422,,,1070.8094482421875,6050.865234375,,324519.625,,,115000.0,,880.0,41430.0,,1160.626708984375,1147.1544189453125,52.7620735168457,366.830810546875,0.2610000073909759,,2859.568359375,,,,,,3279.167724609375,1749.800048828125,,444.811279296875,20252.626953125,1293.2552490234375,,,,164717.046875,,,6.0,,70.05000305175781,,,73336.765625,,,53199.0,,,,,,,,1595.0,,,,1611.5999755859375,,602.8030395507812,586256.5,,,69.08824920654297,,159.59925842285156,155505.875,,31.481914520263672,3639.5673828125,727463.6875,,13.499554634094238,,88.94999694824219,15.460000038146973,,,560985.875,13501.0,53.90877914428711,175.0,3350.0,,,,413907.0,204.0,49.83705139160156,,2.365999937057495,6.0,416.2060852050781,3935.0,138.97731018066406,135233.96875,8100.10009765625,,,2346.46337890625,156.36715698242188,,3029.13671875,,,,,,,108.60177612304688,,,,1044.78759765625,,238.21585083007807,157.85000610351562,72.0,350.0199890136719,283.0599975585937,,,,,,335222.0,,,,,,,67240.0,
2024-12-30,214.94000244140625,,9.097999572753906,,519800.0,,286.6097106933594,143452.0,221628.0,6956.7998046875,,158.34832763671875,185.0,32.790000915527344,5260.0,,,2200.0,,,,,,,,,,1429.0,1400.0,,,,,,,,2132.68994140625,,,,,,3377.340087890625,,,,,,,,,,,,,13770.0,,16878.412109375,1521.77001953125,,,,,34536.40234375,,1409.9000244140625,1237.5999755859375,2590.5,,,,,,,,,115.79000091552734,141.3800048828125,,,,,,,11083.3701171875,,,1315.86767578125,,,,,192995.125,,,,,,,,1666.219970703125,,12350.0810546875,39423.90625,,43240.1484375,,,,,,,,,,,1102.0,,,,,701.4271850585938,17823.25,17423.869140625,1682.199951171875,,,1410.3560791015625,,,,,,,,,,1223.6300048828125,,,,,,,,1477.4000244140625,,,,,97.85698699951172,,,,,,,,,,,,,1395.0999755859375,,,,,,85.0,53.5,,,1086.1331787109375,6079.0,2707.977294921875,,,,,,907.0,42000.0,85472.0625,1219.0999755859375,1198.5,56.60110855102539,374.094970703125,0.2360000014305114,,2952.800048828125,,,,,,3492.810546875,1715.9000244140625,450.0,,,1324.3604736328125,,,,188781.03125,,,9.0,,62.209999084472656,,,74081.234375,,,51505.0,,,,,,,,,,,,1565.5999755859375,,598.3767700195312,587969.6875,,102077.3359375,70.2699966430664,,161.52828979492188,158818.328125,,,4165.57080078125,784925.625,,13.729546546936035,531337.4375,,13.350000381469728,,,588324.3125,13907.0,,,3400.0,,98520.59375,,426081.0,204.0500030517578,50.3206901550293,,2.25,5.693999767303467,414.7300109863281,4000.0,135.9573974609375,134904.984375,,,445.0,2446.679443359375,164.17999267578125,,3277.0,,,,,,,,,,,1045.0,,,159.89999389648438,82.13999938964844,366.7699890136719,283.0599975585937,,,,,,420969.0,,,,,,2472.0,90258.0,
2025-01-31,205.66000366210932,,11.470000267028809,,,,306.4424743652344,,231372.0,7599.2998046875,,261.4776611328125,185.0,35.5099983215332,5439.0,,,2500.0,,,,,,,,38275.46875,,1437.3499755859375,1414.0,,,,,,,,2131.60009765625,,,,,,3458.239990234375,1608.6199951171875,1870.5400390625,,,1056.5400390625,,,,,,,,13886.2099609375,,16972.310546875,1533.8900146484375,,,,,34591.7265625,1378.25,1423.4000244140625,1242.5999755859375,2662.5,,,,,,,,,116.72000122070312,142.38999938964844,,115.4800033569336,,,,8380.3203125,10681.599609375,,,,,,,,194620.78125,,,,,,,,1659.5,,12177.73046875,,38429.0390625,46547.4609375,,,,,,,,,,,1113.550048828125,,,,,,18009.19140625,17601.982421875,1709.199951171875,,,1443.926025390625,,,,,,,,,,,,,,,,,,1506.0,,,,,98.70911407470705,,104.88999938964844,,,,,,,,,,,1496.0,,,,,,,55.02000045776367,,,1118.019775390625,6562.0,,,,,,,979.989990234375,42718.0,,,1275.5,58.29999923706055,385.2900085449219,0.2380000054836273,,3098.89990234375,,,,,,3720.0,1802.0,410.1499938964844,,31650.0,1320.27783203125,,,201.4232177734375,188781.03125,,,12.6899995803833,,75.0,,,77928.328125,,,59212.0,,,,,,,,1941.0999755859373,,72.87999725341797,21000.0,1644.0,,610.8978271484375,599473.875,,103819.4296875,69.05999755859375,,161.9180908203125,158968.25,,32.2400016784668,4237.74462890625,813158.5625,,14.859509468078612,555159.125,92.98999786376952,14.75,,,687978.875,14512.0,,183.0,3800.0,,,,411578.0,233.0,,,2.1480000019073486,6.0,425.8500061035156,3920.699951171875,,122605.984375,8563.400390625,6117.10009765625,510.0,2600.0,182.63999938964844,,3510.0,,,,,,,,,,,1089.699951171875,,,177.89999389648438,88.0199966430664,379.0,320.04998779296875,,,,100.7081527709961,,385600.0,,,,,320.9800109863281,,90258.0,
