Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
SWKS.BA,0.05356459671663098,0.0015585622700243116,87.04,0.005,34.367954201660126,,,,SKYWORKS SOLUTIONS INC CEDEAR E
ULD.BA,0.019542015509264953,0.0014474712980548261,26.14,0.005,13.500796551562956,,,,Unilever PLC
IEUR.BA,0.08001384721901685,0.008061637431482914,151.86,0.028,9.925259961027365,,,,iShares Trust - iShares Core MSCI Europe ETF
IVE.BA,0.04229278203569756,0.006075795596135907,64.39,0.021,6.960863209847774,,,,iShares Trust - iShares S&P 500 Value ETF
FXI.BA,0.09336062839292754,0.04489343950898802,191.85,0.156,2.0796051586610114,,,,Banco Comafi S.A.
GLD.BA,0.10024467381610626,0.06385133354663813,214.68,0.221,1.569969932466419,,,,SPDR GOLD TRUST GDR EACH REPR 5
IBB.BA,0.01558341318002768,0.010633326183604795,20.39,0.037,1.4655257358751277,,,,iShares Trust - iShares Biotechnology ETF
SPGID.BA,0.044729206963249515,0.0331670008583632,69.06,0.115,1.3486057166959928,,,,S&P Global Inc.
TD.BA,0.04743123856715876,0.04936595578771148,74.38,0.171,0.9608086749323239,-0.12587804286462587,0.126,No,AT&T Inc.
PLTR.BA,0.14883247480546935,0.15633373118009966,428.54,0.542,0.9520176719508555,0.556340335983792,0.556,Yes,Palantir Technologies Inc.
SH.BA,0.05767489900165516,0.07051060450032397,95.99,0.244,0.8179606374157544,,,,PROSHARES TRUST GDR EACH REPR 8
FXID.BA,0.045938151803589934,0.05702743952976564,71.42,0.198,0.8055447023816031,,,,Banco Comafi S.A.
IBM.BA,0.058043121160814067,0.07514399897511095,96.81,0.26,0.7724252362459308,0.04228498788894522,0.042,Yes,International Business Machines Corporation
SNA.BA,0.03939769565631249,0.053116372848215014,58.99,0.184,0.7417241340799959,0.25464211916005614,0.255,Yes,Snap-on Incorporated
BA-C.BA,8.917452104916751e-05,0.00012383753177509416,0.11,0.0,0.7200928488394019,-0.0001429730238305234,0.0,No,Bank of America Corp
IEURD.BA,0.010968954935922934,0.015512444835441518,13.99,0.054,0.7071067811865475,,,,iShares Trust - iShares Core MSCI Europe ETF
NFLX.BA,0.0719403486981755,0.11343660939355117,130.17,0.393,0.6341898711780898,0.6278569554268896,0.628,Yes,"Netflix, Inc."
