Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
SUNPJ.AX,0.0052584795322257296,0.00043086014855911356,6.5,0.001,12.204608733973622,,,,Suncorp Group Ltd
MMKT.AX,0.003985468564321482,0.0003469592444540351,4.89,0.001,11.486849328925931,,,,Betashares Australian Cash Plus Active ETF
MMKT.XA,0.0039976643538997625,0.0004891606951656683,4.9,0.002,8.17249708205979,-0.003332688273470951,0.003,No,BETAMMKT TMF UNITS [MMKT]
ALM.XA,0.22499997497070853,0.03535525097898934,1041.91,0.122,6.36397617724224,,,,Alma Metals Limited
DYM.XA,0.10201990956850429,0.01800884210752481,220.83,0.062,5.664989951012804,,,,Dynamic Metals Limited
IPB.XA,0.1987179781853446,0.0453273628557448,780.25,0.157,4.384062201407312,,,,IPB Petroleum Limited
AS1.XA,0.1250000232830663,0.03535534564476978,310.99,0.122,3.5355339059330597,,,,Asara Resources Limited
RLF.XA,0.3081231968471073,0.10299599003228244,2410.64,0.357,2.9916038163284906,,,,RLF AgTech Ltd
SRR.XA,0.10043990005797655,0.05080386774967734,215.35,0.176,1.9770128635258182,,,,Sarama Resources Ltd
NXM.XA,0.15217262082640298,0.07758332865476564,447.28,0.269,1.9614087648075618,,,,Nexus Minerals Limited
NMR.XA,0.5261939432838758,0.27588322921933717,15870.43,0.956,1.9073067426854444,,,,Native Mineral Resources Holdings Limited
DBI.AX,0.03612244733296809,0.019047042552285395,53.09,0.066,1.8964858840321053,-0.2909443051615127,0.291,No,Dalrymple Bay Infrastructure Limited
C2FHA.AX,0.0066806783004850455,0.003941264796030258,8.32,0.014,1.6950594913627712,0.0027850564372114417,0.003,Yes,Centuria Capital Group
AII.XA,0.3119657902238402,0.1873531233992199,2500.58,0.649,1.6651219075707129,,,,Almonty Industries Inc.
HBRD.AX,0.0048417671897190585,0.00292804031125552,5.97,0.01,1.65358624712477,-0.0051472770875629036,0.005,No,Betashares Australian Hybrids Active ETF
ORD.XA,0.44852939330398667,0.28076299817131484,8433.51,0.973,1.597537411358974,,,,Ordell Minerals Limited
HBRD.XA,0.005002570104490237,0.003177490950872151,6.17,0.011,1.5743774512141862,,,,BetaShares Active Australian Hybrids Fund
AUST.XA,0.02037786617053213,0.014227194051496044,27.39,0.049,1.432318002887528,,,,BetaShares Managed Risk Australian Share Fund
ERM.XA,0.13066216795669566,0.09297721446352698,336.51,0.322,1.405313857923241,,,,Emmerson Resources Limited
BMM.XA,0.0760534104430526,0.054609991293781905,140.99,0.189,1.3926647604448954,,,,Bayan Mining and Minerals Limited
PL8.XA,0.010729681884523442,0.008717651087042812,13.66,0.03,1.23079964744989,0.11977407295528608,0.12,Yes,Plato Income Maximiser Limited
DBI.XA,0.0356795993799821,0.02929003386288368,52.3,0.101,1.2181481095928426,-0.49497882889712747,0.495,No,Dalrymple Bay Infrastructure Limited
M2M.XA,0.2570635287598326,0.222730182182717,1456.99,0.772,1.1541477057157445,,,,Mt Malcolm Mines NL
KPO.XA,0.8729682724377293,0.7563897834759599,186265.3,2.62,1.1541248857514146,,,,Kalina Power Limited
