Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
P2NB34.SA,0.06270373938019622,0.003531324459300811,107.47,0.012,17.75643674289032,,,,"Penumbra, Inc."
LFTS11.SA,0.00894973347569874,0.0010290629779950158,11.28,0.004,8.69697352550379,0.012187487805583362,0.012,Yes,Investo Teva Tesouro Selic Etf - Fundo De Investimento De Indice
RZLC11.SA,0.010067009890232789,0.0011793644850032065,12.77,0.004,8.535961543903383,,,,FII RZLC    CI
GCDL11.SA,0.008855378582753762,0.0013428020767544864,11.16,0.005,6.5947012862513255,,,,FII GCDL    CI
BFAV39.SA,0.04290725602921258,0.006844150038241694,65.56,0.024,6.269186939133165,,,,iShares Trust - iShares MSCI EAFE Min Vol Factor ETF
N1IC34.SA,0.0756578618269621,0.01599730490015239,139.93,0.055,4.729413004201813,,,,NICE Ltd.
EGDB11.SA,0.007115308653454072,0.0015200775036712764,8.88,0.005,4.680885439241912,,,,FII EGDB    CI
BCNY39.SA,0.006473133648543562,0.0015016367488892637,8.05,0.005,4.310718722974537,,,,BlackRock Institutional Trust Company NA
G1LL34.SA,0.06853174776830614,0.017859924990745853,121.54,0.062,3.837180044362783,,,,Globe Life Inc.
GLPF11.SA,0.012930725314967764,0.00395967823379362,16.67,0.014,3.2656000188629766,,,,Galapagos Feeder Logistico Fundo De Investimento ImobiliãRio Responsabilidade Limitada
CPOF11.SA,0.012281775020676788,0.004087770355864697,15.78,0.014,3.0045168763103844,,,,Capitania Office Properties FII - Fundo De Investimento Imobiliario
DEBB11.SA,0.009588639104336487,0.0033063602913804176,12.13,0.011,2.9000587532259514,,,,BTG Pactual Teva Debentures Di Fundo De Indice
PRIF11.SA,0.009855600474472875,0.003564719242346669,12.49,0.012,2.7647620484088655,,,,INFRA PRIF  CI
BEWQ39.SA,0.03682214562803823,0.013796831955808846,54.33,0.048,2.668884113829849,,,,"iShares, Inc. - iShares MSCI France ETF"
BEZU39.SA,0.03316182114826825,0.013709090438548625,47.92,0.047,2.4189658166540684,,,,Ishares Msci Eurozone ETF
Q1UA34.SA,0.03750204943403233,0.018683407172907618,55.55,0.065,2.0072382455172946,,,,"Quanta Services, Inc."
BXTC39.SA,0.056292256776583144,0.03116338306550045,92.93,0.108,1.8063589777228555,,,,Ishares Exponential Technologies ETF
PACG11.SA,0.011585531951526376,0.006470936797294664,14.82,0.022,1.7903948554048612,,,,BTG Pactual Ima-B Fundo De Indice
NEXG11.SA,0.015052268769285998,0.009006860215159429,19.64,0.031,1.6712004416313195,,,,FIAGRO NEXG CI
FLCR11.SA,0.010299315123736007,0.0066497298617512485,13.08,0.023,1.5488321086510448,-0.021111578524872048,0.021,No,Faria Lima Capital Recebiveis Imobiliarios I FII
DBAG34.SA,0.048628256241576844,0.03149867326644077,76.79,0.109,1.5438191897874705,0.037141349427545725,0.037,Yes,Deutsche Bank Aktiengesellschaft
C1RR34.SA,0.05833352568011762,0.03810220539662048,97.46,0.132,1.530975046533437,,,,Carrier Global Corporation
BEGE39.SA,0.01659169372592409,0.011050941328923964,21.83,0.038,1.5013828444187054,,,,"iShares, Inc. - iShares ESG Aware MSCI EM ETF"
AHEB3.SA,0.10623308168405861,0.07646244101271124,235.86,0.265,1.3893498595787472,,,,São Paulo Turismo S.A.
I1VZ34.SA,0.05849054720798492,0.04788479593823982,97.81,0.166,1.2214847335555954,,,,Invesco Ltd.
BIAU39.SA,0.03795330885227606,0.031270628369403204,56.36,0.108,1.2137047073032767,0.2366109893588842,0.237,Yes,Ishares Gold Trust
GEPA4.SA,0.03951144234420551,0.03255524667289103,59.2,0.113,1.2136735666975287,,,,Rio Paranapanema Energia S.A.
A1SN34.SA,0.08468073789395267,0.07162966320836528,165.23,0.248,1.1822020947888976,,,,Ascendis Pharma A/S
GOLD11.SA,0.03751886791368517,0.03230341791435814,55.58,0.112,1.1614519557389895,0.1596971203012366,0.16,Yes,Trend Etf Lbma Ouro Fundo Investimento Cotas De Fundo De Andice Investimento Exterior
CTKA4.SA,0.13934081093232115,0.12068593512082768,378.46,0.418,1.1545737354797532,,,,Karsten S.A.
ATTB34.SA,0.061391756530819894,0.05326297007256319,104.41,0.185,1.1526160942054562,-0.7282736473125837,0.728,No,AT&T Inc.
B5P211.SA,0.00630800109948165,0.005600278105035012,7.84,0.019,1.1263728302725446,0.046053459626277174,0.046,Yes,It Now Ima-B5 P2 Fundo De Indice
NTNS11.SA,0.005862489662382997,0.005434896548133085,7.27,0.019,1.078675483601761,0.0598316630893886,0.06,Yes,Investo Teva Tesouro Ipca+ 0 A 4 Anos Etf - Fundo De Investimento De Indice
O1TI34.SA,0.040437342963949734,0.03802105207079494,60.91,0.132,1.0635513948602915,,,,Otis Worldwide Corporation
MNPR3.SA,0.11119201827188234,0.10712279325896938,254.38,0.371,1.0379865469254113,,,,Minupar Participações S.A.
BEWG39.SA,0.026308130500018883,0.025706787364507266,36.56,0.089,1.0233923876595283,,,,Ishares Msci Germany ETF
BDVD39.SA,0.04058132092166813,0.041731347817136465,61.18,0.145,0.9724421338963777,,,,Global X Funds
S1YF34.SA,0.11539502777787186,0.12026243096740748,270.8,0.417,0.9595268185552084,,,,Synchrony Financial
BBYY34.SA,0.08933482336243927,0.09621879527312688,179.21,0.333,0.9284550186775177,,,,"Best Buy Co., Inc."
PLRI11.SA,0.2739658395793153,0.3015574380072145,1727.65,1.045,0.9085030082155059,,,,Polo Fundo de Investimento Imobiliario – FII Recebiveis Imobiliarios IMO - Cotas Fund
VRSN34.SA,0.04285702025693087,0.04746867029615095,65.46,0.164,0.902848552309374,,,,"VeriSign, Inc."
B1CS34.SA,0.05912272275451098,0.06582714453600756,99.23,0.228,0.8981511072863072,,,,Barclays PLC
PATI4.SA,0.30923582405554284,0.347534159057439,2436.38,1.204,0.889799796642245,,,,Panatlântica S.A.
CPLG11.SA,0.012212897507264654,0.014050356629586678,15.68,0.049,0.8692233107839572,,,,Capitania Logistica Fundo De Investimento Imobiliario - FII
W1EL34.SA,0.05593095709507962,0.06460737116939895,92.14,0.224,0.865705508252766,-0.10193554830301688,0.102,No,Welltower Inc.
D1OC34.SA,0.08006441650586747,0.09263294534210596,152.0,0.321,0.8643190196552509,,,,"DocuSign, Inc."
GILD34.SA,0.07246785546701277,0.08389567510989401,131.53,0.291,0.8637853545142575,,,,"Gilead Sciences, Inc."
TRVC34.SA,0.05522162096226851,0.06427182305611555,90.6,0.223,0.8591886512080833,,,,"The Travelers Companies, Inc."
BEWU39.SA,0.03300638934291703,0.038725511441527485,47.65,0.134,0.852316421766414,,,,Ishares Msci United Kingdom Etf
PLAG11.SA,0.0913063885912022,0.10959145237044149,185.34,0.38,0.8331524641407978,,,,Vbi Agro - Fundo De Investimento Imobiliario
IBMB34.SA,0.05039699139747447,0.06058832599764398,80.4,0.21,0.8317937584120445,0.12634669726376663,0.126,Yes,International Business Machines Corporation
PACC11.SA,0.007063250585558649,0.008535212337876408,8.81,0.03,0.8275424565847429,,,,Btg Pactual Ima-B 5 P2 Fundo De Indice
BMTU39.SA,0.04888578708882386,0.05938686986240672,77.31,0.206,0.8231750082482409,,,,iShares Trust - iShares MSCI USA Momentum Factor ETF
S2EA34.SA,0.0813182572732048,0.0988465803779573,155.53,0.342,0.8226714263889569,-0.12232595181776251,0.122,No,Sea Limited
TJXC34.SA,0.062089751682204465,0.07552461639742446,106.03,0.262,0.822112771225169,,,,"The TJX Companies, Inc."
H1SB34.SA,0.0399090510858833,0.049282345011500715,59.94,0.171,0.8098042225176171,-0.6874994443727385,0.687,No,HSBC Holdings plc
BEFV39.SA,0.018458635948854343,0.022885880946160356,24.54,0.079,0.80655125281298,0.1200062136013022,0.12,Yes,iShares Trust - iShares MSCI EAFE Value ETF
G1AR34.SA,0.07865367454402546,0.09874900378338076,148.08,0.342,0.7965009420911514,,,,"Gartner, Inc."
BIXC39.SA,0.02049551106446925,0.025985658467005696,27.57,0.09,0.7887239451904845,,,,BlackRock Institutional Trust Company NA
VFCO34.SA,0.08986859139195472,0.1139940047908028,180.86,0.395,0.7883624367516339,,,,V.F. Corporation
