Ticker,mean,std,Return,Risk,sharpe,Name
BLEKEDROS.AT,0.013410694167956667,0.00768524895078485,17.33,0.027,1.7449915095576847,Ble Kedros REIC
KRI.AT,0.04089053737288799,0.03696112597860111,61.76,0.128,1.106312004579131,Kri-Kri Milk Industry S.A.
BRIQ.AT,0.0279190967204111,0.03182261188403639,39.16,0.11,0.8773351735599219,BriQ Properties Real Estate Investment Company
PPA.AT,0.03817876941440676,0.054245944373551805,56.77,0.188,0.7038087336354168,Piraeus Port Authority S.A.
BOCHGR.AT,0.040476423571056595,0.06872079079229977,60.99,0.238,0.5889982217083569,Bank of Cyprus Holdings Plc
ADMIE.AT,0.025272406895246916,0.04736394345981358,34.92,0.164,0.5335790276138968,Admie Holding S.A.
PPC.AT,0.02166335920700048,0.04064991724655897,29.33,0.141,0.5329250506367093,Public Power Corporation S.A.
ALMY.AT,0.05537309794964371,0.10460608492016668,90.93,0.362,0.5293487275802682,Alumil Aluminium Industry S.A.
KYLO.AT,0.02123113592995662,0.04595036669956201,28.67,0.159,0.4620449727588135,Loulis Food Ingredients S.A.
EUROB.AT,0.024446399721471165,0.05934000526744382,33.62,0.206,0.41197164731098174,Eurobank Ergasias Services and Holdings S.A.
TITC.AT,0.039784338595359355,0.09696768288950973,59.71,0.336,0.410284513456837,Titan Cement International S.A.
EVR.AT,0.03376003214974694,0.08726708488798988,48.95,0.302,0.38685871303113917,Evropi Holdings Societe Anonyme
GEKTERNA.AT,0.014236438019926816,0.03709738041050669,18.49,0.129,0.3837585797808727,Gek Terna S.A.
ILYDA.AT,0.04144134921254458,0.11441477975880573,62.79,0.396,0.3622027617402735,Ilyda SA
NAKAS.AT,0.018483415675652596,0.05481838453186807,24.58,0.19,0.33717549018445564,Philippos Nakas S.A.
CENER.AT,0.017548292768537744,0.07057412820692995,23.21,0.244,0.24865050712471443,Cenergy Holdings SA
PREMIA.AT,0.01244840553914716,0.050277607172397945,16.0,0.174,0.24759343650668497,Premia Real Estate Investment Company Societe Anonyme
QUEST.AT,0.011013909137365286,0.0463962041680541,14.05,0.161,0.23738815135546937,Quest Holdings S.A.
FOODL.AT,0.02596606558180423,0.11054699634906595,36.02,0.383,0.23488711986179284,Foodlink A.E.
ELBE.AT,0.013189005810128385,0.061076278631811344,17.03,0.212,0.2159431796694133,Elve S.A.
HAIDE.AT,0.010559132649593635,0.06253586882482357,13.43,0.217,0.1688492196242134,Haidemenos Integrated Printing Services S.A.
XYLEP.AT,0.019429958539325182,0.12231884814891436,25.98,0.424,0.15884680761276146,Interwood-Xylemporia A.T.E.N.E.
PROF.AT,0.011759809238979686,0.07546745638700414,15.06,0.261,0.15582623029818696,Profile Systems & Software SA
