Ticker,mean,std,Return,Risk,sharpe,Name
256A.T,0.02632380504943005,0.0167224432206022,36.59,0.058,1.574160228990874,TOBISHIMA HOLDINGS Inc.
9799.T,0.036431812389289255,0.028396933154364052,53.63,0.098,1.2829488378638663,"Asahi Intelligence Service Co., Ltd."
278A.T,0.44507368433212974,0.37587746647204523,8192.39,1.302,1.1840924876650747,TERRA DRONE CORPORATION
276A.T,0.30413570891208713,0.27483102503341267,2320.32,0.952,1.1066280048808599,CCREB ADVISORS INC
8136.T,0.09284041739371092,0.08468159829614914,190.19,0.293,1.0963470135392188,"Sanrio Company, Ltd."
7013.T,0.10052824437860285,0.10131869202577543,215.66,0.351,0.9921984025714476,IHI Corporation
6406.T,0.04227506444750651,0.0437219672605209,64.36,0.151,0.9669067312458084,"Fujitec Co., Ltd."
9028.T,0.056320226169612984,0.059821321983475256,93.0,0.207,0.9414741149513647,"ZERO Co., Ltd."
3930.T,0.05891550886720827,0.06326740582461979,98.76,0.219,0.9312142342381607,"Hatena Co., Ltd."
3046.T,0.07336811270410853,0.07909040883279643,133.88,0.274,0.9276486717778221,JINS HOLDINGS Inc.
261A.T,0.10351423850037089,0.11404959460071908,226.09,0.395,0.9076247825585716,NIHON SUIDO CONSULTANTS CO LTD
4718.T,0.030137701369533185,0.0334983256379715,42.8,0.116,0.8996778434612586,"Waseda Academy Co., Ltd."
5929.T,0.060247867098680824,0.06855050236106233,101.79,0.237,0.8788829406581049,Sanwa Holdings Corporation
9345.T,0.04775114278186883,0.054434366817117004,75.02,0.189,0.8772241797594196,"Bizmates, Inc."
300A.T,0.24045688347036645,0.2844320499512828,1227.33,0.985,0.8453930684377926,MIC CO LTD
3350.T,0.33136925089044306,0.39363291818200224,3001.57,1.364,0.8418230172945784,Metaplanet Inc.
1826.T,0.038812077267580736,0.04708137929245632,57.92,0.163,0.8243615172463619,"Sata Construction Co., Ltd."
4685.T,0.06584797013830732,0.08136567610025396,114.95,0.282,0.8092843726533208,"Ryoyu Systems Co., Ltd."
264A.T,0.18310905520616846,0.23530092454460588,652.14,0.815,0.7781909720947848,SCHOO INC
3529.T,0.05256872161217906,0.06955523736784595,84.93,0.241,0.7557838000633518,"Atsugi Co., Ltd."
3593.T,0.02547392213207077,0.03386326220326996,35.24,0.117,0.7522583612635795,"Hogy Medical Co.,Ltd."
9302.T,0.054391057933061,0.07333220278258891,88.81,0.254,0.7417076791531338,"MITSUI-SOKO HOLDINGS Co., Ltd."
2222.T,0.03942189150388269,0.05365149887025805,59.04,0.186,0.7347770767637658,"Kotobuki Spirits Co., Ltd."
6772.T,0.045005106350327555,0.06148793779710728,69.6,0.213,0.7319339038305629,"Tokyo Cosmos Electric Co., Ltd."
2991.T,0.06762701610506627,0.09520597928421408,119.3,0.33,0.7103232025289338,LANDNET Inc.
9307.T,0.02893765688381961,0.041627945686532664,40.82,0.144,0.6951497703424127,"Sugimura Warehouse Co., Ltd."
