Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
484870.KS,0.22922593854452103,0.12294288028265662,1090.09,0.426,1.8644913639367338,,,,MNC Solution
487720.KQ,0.018471786717625383,0.011851093127817848,24.56,0.041,1.5586567853615887,,,,Kiwoom No.10 SPAC
487360.KQ,0.012696500326530276,0.010570840264515156,16.35,0.037,1.2010871424432235,,,,Shinhan 14th SPAC
138040.KS,0.04158483062220411,0.04038386746379171,63.06,0.14,1.0297386861099718,0.37889678964205775,0.379,Yes,Meritz Financial Group Inc.
466100.KQ,0.18380100942925276,0.1863977049707149,657.43,0.646,0.986069058404608,,,,CLOBOT
492220.KQ,0.011682932923919571,0.012314325919127225,14.96,0.043,0.9487269543331688,,,,KB No.31 SPAC
489480.KQ,0.012019338514952621,0.012846276132085346,15.42,0.045,0.9356282234143065,,,,Kiwoom No.11 SPAC
204610.KQ,0.03938070124885833,0.04593913740767379,58.96,0.159,0.8572364104137505,-0.42567853084783774,0.426,No,T3 Entertainment Inc.
482690.KQ,0.0064596673960391265,0.00771466546349099,8.03,0.027,0.8373230733865211,,,,Daishin Balance No.19 Special Purpose Acquisition Co Ltd
382150.KQ,0.18229233972074657,0.23999518969883443,645.93,0.831,0.7595666394376566,,,,Oncocross
439250.KQ,0.005062883779995788,0.006739253135749628,6.25,0.023,0.751252947175819,0.023537492707267762,0.024,Yes,Samsung Special Purpose Acquisition 7 Company
493790.KQ,0.012151256062426822,0.01646986093519005,15.6,0.057,0.7377874112139008,,,,Yuanta SPAC 17
001530.KS,0.06442736514107845,0.0877274316811287,111.54,0.304,0.7344038678261865,-0.23301512945493963,0.233,No,Di Dong Il Corporation
127120.KQ,0.10810119541348162,0.15037701199184605,242.73,0.521,0.7188678241548199,-1.3709968333795828,1.371,No,"JS Link, Inc."
100840.KS,0.11524775922601779,0.16644002640110023,270.22,0.577,0.692428147952132,1.2335161246262039,1.234,Yes,"SNT Energy Co., Ltd."
214450.KQ,0.10092015802517404,0.15458133038624441,217.01,0.535,0.6528612334556188,-1.596692982202961,1.597,No,"PharmaResearch Co., Ltd."
012630.KS,0.05468984581487335,0.08486632494282867,89.45,0.294,0.6444234017640789,-0.054922734862894895,0.055,No,"HDC HOLDINGS CO.,Ltd"
