Ticker,mean,std,Return,Risk,sharpe,Name
VLP1L.VS,0.05712977092182989,0.0476997520384016,94.78,0.165,1.197695343905278,AB Vilkyskiu pienine
RSU1L.VS,0.03701728648168341,0.046311785678678136,54.68,0.16,0.7993059636809925,Rokiskio Suris AB
IVL1L.VS,0.044174012407850044,0.05554880252772205,67.99,0.192,0.7952288869918424,"Invalda INVL, AB"
LGD1L.VS,0.023858133818178136,0.03122115390603175,32.7,0.108,0.7641656644077104,Litgrid AB
INR1L.VS,0.03403387181506353,0.04794498321897694,49.42,0.166,0.7098526171053638,Special Closed-Ended Type Real Estate Investment Company INVL BALTIC REAL ESTATE
SAB1L.VS,0.03196866128489882,0.052428949668859075,45.88,0.182,0.6097520832824745,AB Siauliu Bankas
ZMP1L.VS,0.06438191818041111,0.1141174000794086,111.43,0.395,0.5641726689848433,AB Zemaitijos pienas
IGN1L.VS,0.0166306371614599,0.029960169664238596,21.89,0.104,0.5550915548155508,AB Ignitis grupe
PZV1L.VS,0.022342392096263222,0.04228351674294886,30.36,0.146,0.5283948407623641,AB Pieno Zvaigzdes
INC1L.VS,0.04022327740653359,0.07803791381839136,60.52,0.27,0.5154325050274997,INVL Technology UTIB
APG1L.VS,0.00836121424644466,0.016366279885710856,10.51,0.057,0.5108805608136218,APB Apranga
TEL1L.VS,0.0023969611840506566,0.019909944435343507,2.91,0.069,0.12039014934645657,"Telia Lietuva, AB"
GRG1L.VS,0.003349141329081949,0.028691515723928994,4.09,0.099,0.11672932727944846,Grigeo Group AB
AUG1L.VS,-0.047964001862613494,0.35856586996943524,-44.56,1.242,-0.13376622227514856,Auga Group AB
UTR1L.VS,-0.03905759746445415,0.12950305586941468,-38.0,0.449,-0.30159595232901804,Utenos Trikotazas AB
