Rank,ISO Code,Country,Market Index Name,Market Index Ticker,mean,std,sharpe,Return (%),Risk
1.0,il,Israel,TA-125,^TA125.TA,0.03375974263499147,0.01580246007379558,2.1363599387271064,48.95,0.055
2.0,sg,Singapore,STI Index,^STI,0.015365060207667874,0.014720190607302291,1.0438085088412972,20.08,0.051
3.0,tw,Taiwan,TWSE Capitalization Weighted Stock Index,^TWII,0.018492466626866252,0.020844020618386878,0.8871832822192529,24.59,0.072
4.0,de,Germany,DAX P,^GDAXI,0.01594994435131882,0.021892515082024153,0.728556965317121,20.91,0.076
5.0,es,Spain,IBEX 35,^IBEX,0.024588691114510033,0.035992757658761726,0.6831566324433717,33.84,0.125
6.0,ar,Argentina,MERVAL,^MERV,0.08943625317551875,0.1360343860610592,0.6574532790214908,179.53,0.471
7.0,be,Belgium,BEL 20,^BFX,0.006521156878841938,0.016466042452495184,0.396036685661147,8.11,0.057
8.0,ca,Canada,S&P/TSX Composite Index,^GSPTSE,0.011607794257902157,0.029389016849626748,0.3949704856509884,14.85,0.102
9.0,gr,Greece,ASE Composite Index,GD.AT,0.014013095561452471,0.03806057627999077,0.36817875426703517,18.17,0.132
10.0,cn,China,SSE Composite Index,000001.SS,0.020652669320682215,0.0694495152772878,0.29737672377155233,27.8,0.241
11.0,it,Italy,FTSE MIB Index,FTSEMIB.MI,0.00806603652504882,0.028560556300187626,0.2824187470394557,10.12,0.099
12.0,no,Norway,Oslo Bors All-Share Index,^OSEAX,0.006785010683422796,0.02459939735745096,0.27582019936629343,8.45,0.085
13.0,pt,Portugal,PSI 20,PSI20.LS,0.0070996772726801705,0.02584427125041734,0.2747099039430459,8.86,0.09
14.0,sa,Saudi Arabia,Tadawul All Shares Index,^TASI.SR,0.010066789854963338,0.03783237224218824,0.26608931077648623,12.77,0.131
15.0,us,United States,S&P 500,^GSPC,0.007632967796459734,0.037015223164113986,0.2062115838831372,9.55,0.128
16.0,at,Austria,Austrian Traded Index,^ATX,0.0068918659853837655,0.03732224231507653,0.18465841165710875,8.59,0.129
17.0,gb,United Kingdom,FTSE 100,^FTSE,0.004924837272740144,0.027136496850304236,0.18148389970553366,6.07,0.094
18.0,ie,Ireland,ISEQ All Share Index,^ISEQ,0.006809592581507896,0.04173786362534544,0.16315144068305285,8.48,0.145
19.0,fr,France,CAC 40,^FCHI,0.004422142328601464,0.035315664472716515,0.12521758813338585,5.44,0.122
20.0,tr,Turkey,BIST 100,XU100.IS,0.007149304874065719,0.05929199115418817,0.12057791844895258,8.92,0.205
21.0,my,Malaysia,FTSE Bursa Malaysia KLCI,^KLSE,0.002938225034134279,0.03241324121589996,0.09064891149154701,3.58,0.112
22.0,ch,Switzerland,SMI,^SSMI,0.00308837962866684,0.036033913100921605,0.08570758385349637,3.77,0.125
23.0,nl,Netherlands,AEX-Index,^AEX,0.000732866047321675,0.02642488276130485,0.027733937514184317,0.88,0.092
24.0,br,Brazil,BOVESPA,^BVSP,-0.001225293210519623,0.04427125070086517,-0.027676950416394668,-1.46,0.153
25.0,fi,Finland,OMX Helsinki 25,^OMXH25,-0.002502631461205936,0.040235041274861334,-0.062200295610721004,-2.96,0.139
26.0,au,Australia,S&P/ASX 200,^AXJO,-0.002459133249520796,0.03229922308728523,-0.07613598763274426,-2.91,0.112
27.0,nz,New Zealand,S&P/NZX 50,^NZ50,-0.00209676922320207,0.020259343061946874,-0.10349640740031853,-2.49,0.07
28.0,mx,Mexico,IPC Mexico,^MXX,-0.00422517001872656,0.02191662305228021,-0.19278380654938407,-4.95,0.076
29.0,se,Sweden,OMX Stockholm 30 Index,^OMX,-0.011759725658316412,0.0371272301055235,-0.3167412603873967,-13.23,0.129
30.0,id,Indonesia,IDX Composite Index,^JKSE,-0.028397024307325228,0.05956862343708775,-0.47671110508901043,-29.23,0.206
31.0,in,India,S&P BSE SENSEX,^BSESN,-0.014182194978320357,0.029407457192801606,-0.4822652596359774,-15.75,0.102
32.0,jp,Japan,Nikkei 225,^N225,-0.0174986373273889,0.029531328065690327,-0.5925448827924175,-19.09,0.102
33.0,kr,South Korea,KOSPI Composite Index,^KS11,-0.021932009336786275,0.01518265386669349,-1.4445438544113154,-23.36,0.053
,cz,Czechia,PX Index,FPXAA.PR,,,,,
,ve,Venezuela,Indice IBC,IBC.CR,,,,,
,za,South Africa,FTSE/JSE SA All Share Index,J203.L,,,,,
,cl,Chile,S&P/CLX IGPA,SPCLXIGPA.SN,,,,,
,pl,Poland,WIG Total Return Index,WIG.WA,,,,,
,ro,Romania,BET 10,^BET.RO,,,,,
,kw,Kuwait,Kuwait All-Share Index,^BKA.KW,,,,,
,hu,Hungary,Budapest Stock Index,^BUX.BD,,,,,
,eg,Egypt,EGX 30,^CASE30,,,,,
,qa,Qatar,QE Index,^GNRI.QA,,,,,
,hk,Hong Kong,Hang Seng Index,^HIS,,,,,
,dk,Denmark,OMX Copenhagen 20,^OMXC20,,,,,
,lv,Latvia,OMX Riga,^OMXR,,,,,
,ee,Estonia,OMX Tallinn,^OMXT,,,,,
,lt,Lithuania,OMX Vilnius,^OMXV,,,,,
,th,Thailand,SET50 Index,^SET50.BK,,,,,
,is,Iceland,OMX Iceland All-Share Price Index,^XIPI,,,,,
