Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
8999.TWO,0.06419902226864617,0.02980069591497666,111.0,0.103,2.1542792977657363,,,,TLI
5871A.TW,0.00602538918514467,0.004956760548986687,7.47,0.017,1.2155901269784848,-0.003124960949495013,0.003,No,Chailease Holding Company Limited
2836A.TW,0.010304360666816136,0.00924907137226289,13.09,0.032,1.114096783566614,0.10482911110390358,0.105,Yes,"Bank of Kaohsiung Co., Ltd."
2881B.TW,0.007450595491108942,0.006740899496794863,9.32,0.023,1.1052820910104835,-0.05086838488150234,0.051,No,"Fubon Financial Holding Co., Ltd."
6670.TW,0.024369886850032472,0.024685649007746363,33.5,0.086,0.9872086750640097,-0.19493385257363427,0.195,No,"FuSheng Precision Co., Ltd."
2883B.TW,0.008735979740192098,0.009933982948756505,11.0,0.034,0.8794035368548355,0.014203869956796806,0.014,Yes,"KGI Financial Holding Co., Ltd."
8937.TWO,0.24203666069413107,0.28327433540410096,1247.76,0.981,0.854424952930724,-1.271578449851634,1.272,No,"Her Chee Industrial Co., Ltd."
2891B.TW,0.008635233283648002,0.010319070653310801,10.87,0.036,0.8368227695851126,-0.044207595106636084,0.044,No,"CTBC Financial Holding Co., Ltd."
2881A.TW,0.006366372531850486,0.007620059648601778,7.91,0.026,0.8354754195419803,-0.06006627396703621,0.06,No,"Fubon Financial Holding Co., Ltd."
2348A.TW,0.012336610871152882,0.014957775681303558,15.85,0.052,0.8247623934200995,0.05846528739702434,0.058,Yes,"Hi-Yes International Co., Ltd."
2937.TWO,0.024676928055218917,0.03027653551763962,33.98,0.105,0.8150512478827613,-0.1765574782951282,0.177,No,"Gseven Co., Ltd."
8349A.TWO,0.012535545156846422,0.015636596473470692,16.12,0.054,0.80167990381503,0.13719129881352402,0.137,Yes,QST International Corp.
6028.TWO,0.057928984960498094,0.07349433916388855,96.55,0.255,0.7882101617557167,0.17769354417555694,0.178,Yes,"Golden Insurance Brokers Co.,Ltd."
1522A.TW,0.009537614335436791,0.012250723393917994,12.07,0.042,0.7785347876005302,0.09164913859908301,0.092,Yes,"TYC Brother Industrial Co., Ltd."
2882A.TW,0.005448535494865541,0.007004417612268019,6.74,0.024,0.777871308718458,-0.058842450451041195,0.059,No,"Cathay Financial Holding Co., Ltd."
6757.TW,0.09379163736470618,0.1257276564559382,193.23,0.436,0.7459905004876621,0.9698732368644036,0.97,Yes,"Tigerair Taiwan Co., Ltd."
