Ticker,mean,std,Return,Risk,sharpe,Name
KBCA.BR,0.029482699261180297,0.03379420006026132,41.72,0.117,0.8724189123757089,KBC Ancora SA
AGS.BR,0.024388354161175043,0.03035830040451921,33.53,0.105,0.8033504457168008,ageas SA/NV
CAMB.BR,0.0733065124042633,0.12008199952824353,133.71,0.416,0.6104704509606492,Campine NV
ARGX.BR,0.050986573287222975,0.08854278012784973,81.62,0.307,0.5758411156008637,argenx SE
WHATS.BR,0.03507655044130823,0.0833098275022847,51.24,0.289,0.42103736729434815,What's Cooking Group NV
DIE.BR,0.03672384735660189,0.09680342474952094,54.15,0.335,0.3793651665901792,D'Ieteren Group SA
EXM.BR,0.04617436707762476,0.1259356732101208,71.89,0.436,0.36665041684085714,Exmar NV
UCB.BR,0.023438542993564734,0.06424317660289153,32.05,0.223,0.36484097195949966,UCB SA
EVS.BR,0.02135043952222497,0.05989407204327529,28.85,0.207,0.3564699943393167,EVS Broadcast Equipment SA
VASTB.BR,0.009971178283785104,0.02860164919947042,12.64,0.099,0.34862249425706987,Vastned
KBC.BR,0.020523900800333176,0.05900821651159185,27.61,0.204,0.3478142878000959,KBC Group NV
TUB.BR,0.026190548732866973,0.07899638029399979,36.38,0.274,0.3315411242311857,Financière de Tubize SA
TITC.BR,0.03280916753070759,0.1010179176060856,47.31,0.35,0.32478562524566507,Titan Cement International S.A.
WEHB.BR,0.013781074252283037,0.042888984426718214,17.85,0.149,0.3213196683598306,Wereldhave Belgium
CYAD.BR,0.11103585335457124,0.52191193803426,253.78,1.808,0.21274825360917973,Celyad Oncology SA
CLEX.BR,0.12186269364140766,0.5805246909524973,297.44,2.011,0.2099181921813888,Cumulex N.V.
QRF.BR,0.005540613729443302,0.026978543918991103,6.86,0.093,0.20537111810334133,Qrf Comm. VA
CAND.BR,0.13695017061229392,0.7812963677826086,366.55,2.706,0.17528581503709173,Candela Invest SA
SOF.BR,0.011407607054275237,0.07145720097667412,14.58,0.248,0.1596425118582386,Sofina Société Anonyme
GREEN.BR,0.01886186272164026,0.11848869135226223,25.14,0.41,0.1591870287904918,Greenyard NV
HOMI.BR,0.009163954220814561,0.07284289326919001,11.57,0.252,0.12580436895812583,Home Invest Belgium S.A.
XIOR.BR,0.0076016957712028025,0.06081303091416993,9.51,0.211,0.12500110020715224,Xior Student Housing NV
BTLS.BR,0.011245734685946264,0.09591959689536352,14.36,0.332,0.11724126299460971,Biotalys NV
ACCB.BR,0.006014722992255284,0.05474684108747224,7.46,0.19,0.10986429304012643,Accentis N.V.
GBLB.BR,0.003420130070474219,0.03252732154006982,4.18,0.113,0.10514637875304372,Groupe Bruxelles Lambert SA
TESB.BR,0.008536413466584753,0.08717974273702282,10.74,0.302,0.09791739684682019,Tessenderlo Group NV
JEN.BR,0.00467441392777791,0.05980373270587943,5.76,0.207,0.07816257809135646,Jensen-Group NV
PROX.BR,0.006333081846504254,0.08388771773151475,7.87,0.291,0.07549474485375177,Proximus PLC
ELI.BR,0.01016178478925151,0.13534269891051068,12.9,0.469,0.0750818837739488,Elia Group SA/NV
FLUX.BR,0.00869968480774058,0.12057523533162379,10.95,0.418,0.07215150593580369,Fluxys Belgium SA
SMAR.BR,0.00916170584171541,0.13225031465742013,11.57,0.458,0.06927549371393028,Smartphoto Group NV
IEP.BR,0.0042554565148665005,0.06309977429767705,5.23,0.219,0.06744012260315106,"Iep Invest, NV"
CFEB.BR,0.004319432416347666,0.06565795667677884,5.31,0.227,0.06578688456010562,Compagnie d'Entreprises CFE SA
VAN.BR,0.001809702579567895,0.04940529432460591,2.19,0.171,0.03662972975482483,Van de Velde NV
ABI.BR,0.002804057548424188,0.08183415974736921,3.42,0.283,0.03426512298874471,Anheuser-Busch InBev SA/NV
BELYS.BR,0.002282530851601259,0.19402452741342455,2.77,0.672,0.011764135607132168,Belysse Group NV
CENER.BR,0.0002940451560326846,0.07387039052847924,0.35,0.256,0.003980555049581353,Cenergy Holdings SA
RET.BR,5.3521135568395714e-05,0.040727036593077644,0.06,0.141,0.0013141426444342056,Retail Estates N.V.
BAR.BR,-0.0007378369388793063,0.10788939597359136,-0.88,0.374,-0.006838827228765934,Barco NV
CPINV.BR,-0.0015028343062032088,0.06720611136160522,-1.79,0.233,-0.02236157212127849,Care Property Invest NV
BREB.BR,-0.0015161458534309511,0.04328821247222202,-1.8,0.15,-0.035024450464519866,Brederode SA
ABO.BR,-0.005297492707826331,0.10606876959834868,-6.18,0.367,-0.049943944177785624,ABO-Group Environment NV
COLR.BR,-0.004128730102076556,0.07210903564857113,-4.84,0.25,-0.05725676491082527,Colruyt Group N.V.
COMB.BR,-0.00603019095463245,0.08057452124178764,-7.0,0.279,-0.07483992286515835,Compagnie du Bois Sauvage S.A.
SHUR.BR,-0.006003850299541879,0.07158948857809146,-6.97,0.248,-0.08386496982713798,Shurgard Self Storage Ltd
FLOB.BR,-0.009611188815180565,0.08831468854636226,-10.94,0.306,-0.10882888196038887,Floridienne S.A.
VIO.BR,-0.00827483190192639,0.06922459748454145,-9.49,0.24,-0.11953600602407609,Viohalco S.A.
LOTB.BR,-0.01041383010672256,0.07618612918406716,-11.81,0.264,-0.13668931888588992,Lotus Bakeries NV
NYXH.BR,-0.024967656279589887,0.1822220833659174,-26.17,0.631,-0.13701773033432352,Nyxoah SA
NEWT.BR,-0.022328154911046318,0.1564064650417677,-23.74,0.542,-0.14275723772085558,Newtree S.A.
AGFB.BR,-0.019085120241638425,0.10949926859612012,-20.64,0.379,-0.17429449973800706,Agfa-Gevaert NV
KIN.BR,-0.016107434115487082,0.0715197955972553,-17.71,0.248,-0.22521644505518182,Kinepolis Group NV
ONTEX.BR,-0.017824979278209738,0.07913932295702505,-19.41,0.274,-0.2252354280044728,Ontex Group NV
DECB.BR,-0.014544251508416794,0.0634799398472007,-16.12,0.22,-0.22911571030825667,Deceuninck NV
BANI.BR,-0.008385026455927997,0.034994402119433506,-9.61,0.121,-0.23961050762663338,Banimmo SA
WDP.BR,-0.014256469835443519,0.05660487118179402,-15.83,0.196,-0.2518594166508565,Warehouses De Pauw SA
VGP.BR,-0.020760996281762246,0.08039784758683564,-22.26,0.279,-0.2582282598963713,VGP NV
TEXF.BR,-0.00884770285189221,0.03368414930955708,-10.12,0.117,-0.26266665577871323,Texaf S.A.
PAY.BR,-0.010121410001882944,0.03807034315000042,-11.49,0.132,-0.26586075050607555,Payton Planar Magnetics Ltd.
TINC.BR,-0.007324276588961783,0.027054551962839197,-8.44,0.094,-0.2707225238481883,TINC NV
IBAB.BR,-0.024318389642889602,0.08284595861161763,-25.58,0.287,-0.29353742838433877,Ion Beam Applications SA
RECT.BR,-0.021391585909543143,0.060866328205539964,-22.86,0.211,-0.3514518871140992,Recticel SA/NV
QFG.BR,-0.01324114497137795,0.037566723797965836,-14.78,0.13,-0.3524700488280251,Quest for Growth NV
COBH.BR,-0.024485449440651726,0.06788839431975084,-25.73,0.235,-0.3606720955179249,Brouwerij Handelsmaatschappij NV
IMMO.BR,-0.03435108628261185,0.07961988304330475,-34.26,0.276,-0.4314385423541568,Immobel SA
