Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
PLAN.SW,0.019179906182790814,0.00871657103968318,25.61,0.03,2.200395785851123,0.07776832065425586,0.078,Yes,Plazza AG
SLHNE.SW,0.04091588478837645,0.025096452968365303,61.8,0.087,1.6303453256901255,,,,SWISS LIFE HOLDING N 2. LINIE
HIAG.SW,0.028501260288802007,0.023407008155733804,40.11,0.081,1.217637901400069,-0.024239807017553017,0.024,No,HIAG Immobilien Holding AG
ZUBN.SW,0.036283590546592616,0.0313761327919697,53.37,0.109,1.156407349087932,-0.20040146923334073,0.2,No,Züblin Immobilien Holding AG
HELN.SW,0.041587159960282415,0.03920453962268052,63.06,0.136,1.0607740930140526,0.3066377345613974,0.307,Yes,Helvetia Holding AG
CMBN.SW,0.03293971446463202,0.03309855763068429,47.54,0.115,0.9952009036821287,0.589359890355635,0.589,Yes,Cembra Money Bank AG
SPSN.SW,0.03442246964436946,0.03461250346954226,50.1,0.12,0.9945096769628343,0.06605276355733253,0.066,Yes,Swiss Prime Site AG
VZN.SW,0.041002249273885405,0.04183556151803277,61.96,0.145,0.9800812463389986,0.0738240577636467,0.074,Yes,VZ Holding AG
SLHN.SW,0.02512500194200268,0.02678212956928254,34.69,0.093,0.9381256213030766,0.4457161980934586,0.446,Yes,Swiss Life Holding AG
MOBN.SW,0.023022354044140537,0.025358794608744965,31.41,0.088,0.9078646836076858,0.11307677514663247,0.113,Yes,Mobimo Holding AG
PSPN.SW,0.02702685278679556,0.03177603042664962,37.72,0.11,0.8505421358147031,-0.06426114851865,0.064,No,PSP Swiss Property AG
PMI.SW,0.04696798184762029,0.05686344471614698,73.46,0.197,0.8259784837530821,0.3494119833758926,0.349,Yes,Philip Morris International Inc.
SCHN.SW,0.02518765587092914,0.03061512254606051,34.78,0.106,0.8227194202157533,-0.11451425064719623,0.115,No,Schindler Holding AG
CFTE.SW,0.0381648030731854,0.049238971993043806,56.75,0.171,0.7750934174372507,-0.12679113179885407,0.127,No,Compagnie Financière Tradition SA
CFT.SW,0.03957891274680836,0.051611790509354195,59.33,0.179,0.7668579670692692,-0.17603733291935783,0.176,No,Compagnie Financière Tradition SA
SCHP.SW,0.02575469372694372,0.035107465977620794,35.68,0.122,0.7335959178415501,0.0998506292866741,0.1,Yes,Schindler Holding AG
ALLN.SW,0.01970245659413607,0.028016055775893493,26.38,0.097,0.7032559026773895,0.07700597826739258,0.077,Yes,Allreal Holding AG
ZURN.SW,0.024288206419119218,0.03559534689738807,33.37,0.123,0.6823421749234715,0.23358969133541874,0.234,Yes,Zurich Insurance Group AG
TKBP.SW,0.01400023952302436,0.020793283922961123,18.16,0.072,0.6733058411982967,0.13679513544154104,0.137,Yes,Thurgauer Kantonalbank
KURN.SW,0.11490581412320813,0.1822827282079214,268.86,0.631,0.6303713755707037,-1.2930133182406136,1.293,No,Kuros Biosciences AG
ZUGN.SW,0.01879671655094496,0.030974794476129826,25.04,0.107,0.6068391047898741,0.007727926790401768,0.008,Yes,Zug Estates Holding AG
VATN.SW,0.015524569343770488,0.02681597734599145,20.31,0.093,0.5789298351302179,0.07565408441771193,0.076,Yes,Valiant Holding AG
SGKN.SW,0.012649480138744472,0.023543682668154136,16.28,0.082,0.5372770401741153,0.10805147625520431,0.108,Yes,St. Galler Kantonalbank AG
SQN.SW,0.042497088475293605,0.0792646712732013,64.78,0.275,0.5361416100348038,0.3365792995609501,0.337,Yes,Swissquote Group Holding Ltd
RSGN.SW,0.05079651417854669,0.09476985766723364,81.23,0.328,0.5359986332037029,-0.8071551078159507,0.807,No,R&S Group Holding AG
DOKA.SW,0.03512751239964154,0.07233938296362821,51.33,0.251,0.4855931991748317,-0.18278836199917367,0.183,No,dormakaba Holding AG
SREN.SW,0.02987785675323248,0.06186203063863784,42.37,0.214,0.4829756871021842,0.30939385946418024,0.309,Yes,Swiss Re AG
BSKP.SW,0.015350281110205942,0.03185326789963016,20.06,0.11,0.4819060059575291,0.5643744120568516,0.564,Yes,Basler Kantonalbank
ISN.SW,0.01515984290245962,0.03205334319210791,19.79,0.111,0.4729566838504458,0.418683942720176,0.419,Yes,Intershop Holding AG
EPIC.SW,0.011999314629269224,0.027985898773875532,15.39,0.097,0.4287628825582127,-0.5266275242112629,0.527,No,EPIC Suisse AG
