Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
NXTMH.HE,0.11069183173459579,0.17025122823409536,252.47,0.59,0.6501675957508781,-0.3944630926102636,0.394,No,Nexstim Plc
ERIBR.HE,0.07120013022010169,0.11678769365049363,128.27,0.405,0.609654390754387,-1.8804052507199962,1.88,No,Telefonaktiebolaget LM Ericsson (publ)
RAIVV.HE,0.026543508629689735,0.0468920307279193,36.94,0.162,0.566055856776658,0.6327583312834852,0.633,Yes,Raisio plc
ATRAV.HE,0.033082330222522625,0.058914342921933587,47.78,0.204,0.561532702933808,-0.09435530543820458,0.094,No,Atria Oyj
AALLON.HE,0.027363877189996135,0.050361529237972276,38.26,0.174,0.5433488141453009,1.078041617477555,1.078,Yes,Aallon Group Oyj
KESKOA.HE,0.017389308574635998,0.03350338361091221,22.98,0.116,0.5190314141575904,0.25512915899215033,0.255,Yes,Kesko Oyj
KESKOB.HE,0.023406697139845403,0.04512381954138925,32.0,0.156,0.5187215394826209,0.2829261204922012,0.283,Yes,Kesko Oyj
SPRING.HE,0.045117649281028675,0.0876199974815152,69.82,0.304,0.5149241106808631,-0.14670899105297286,0.147,No,Springvest Oyj
ORNBV.HE,0.041546626751942976,0.08147652209328109,62.98,0.282,0.5099214557093754,1.7508811852356216,1.751,Yes,Orion Oyj
ORNAV.HE,0.0391548703648489,0.08019877632444757,58.55,0.278,0.4882227904132378,1.6934074708003908,1.693,Yes,Orion Oyj
TTALO.HE,0.03527300023284013,0.07339505390327952,51.59,0.254,0.4805909711480438,0.43342586223533874,0.433,Yes,Terveystalo Oyj
SANOMA.HE,0.030016153699536075,0.06358350981767869,42.6,0.22,0.47207450148010577,0.25246679116878895,0.252,Yes,Sanoma Oyj
RAIKV.HE,0.018789282614459488,0.04010160983381904,25.03,0.139,0.4685418538637781,0.20878321197770142,0.209,Yes,Raisio plc
HKFOODS.HE,0.061440022427824655,0.134226432830426,104.52,0.465,0.45773415215052654,0.3449216862243738,0.345,Yes,HKFoods Oyj
ARVOSK.HE,0.020419605876896837,0.049434861145220256,27.45,0.171,0.41306085227815315,0.3319404409246593,0.332,Yes,Pohjanmaan Arvo Sijoitusosuuskunta
VIAFIN.HE,0.015045511012942532,0.0373600469012428,19.63,0.129,0.40271659863580195,0.24456931849423613,0.245,Yes,Viafin Service Oyj
HEEROS.HE,0.052614950777530985,0.13189658251742659,85.03,0.457,0.39891064478929417,-0.3431628404652921,0.343,No,Heeros Oyj
