Ticker,mean,std,Return,Risk,sharpe,Name
OTP.BD,0.039811111142374636,0.05121588284260073,59.75,0.177,0.7773196308013313,OTP Bank Nyrt.
ZWACK.BD,0.029564022034801497,0.04049338232284934,41.85,0.14,0.7300951498467271,Zwack Unicum Nyrt.
4IG.BD,0.08445162354735584,0.15235331373146588,164.56,0.528,0.5543143203055508,4iG Nyrt.
OPUS.BD,0.03879615738170405,0.071327718445868,57.89,0.247,0.5439141784851454,OPUS GLOBAL Nyrt.
VVT.BD,0.05510125671676799,0.1102927667534526,90.34,0.382,0.49959084660502545,ViVeTech Nyilvanosan Mukodo Reszvenytarsasag
BET.BD,0.09393218271129251,0.20834191023236848,193.69,0.722,0.450855915674997,Budapesti Értéktozsde Nyilvánosan Muködo Részvénytársaság
ALTEO.BD,0.045545824095014176,0.1296767654000596,70.65,0.449,0.3512257878618651,ALTEO Energy Services Public Limited Company
AKKO.BD,0.015927748705744118,0.052867680992740085,20.88,0.183,0.30127572094435834,AKKO Invest Nyrt.
NUTEX.BD,0.03150223334418884,0.12187124099773197,45.09,0.422,0.2584878359019508,NUTEX Investments Public Limited Company
MOL.BD,0.007457851509921873,0.030110985033385832,9.33,0.104,0.24767876247332696,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság
RABA.BD,0.016100319935796612,0.08607307443280453,21.13,0.298,0.18705408214929978,RÁBA Jármuipari Holding Nyrt.
ENEFI.BD,0.00855198527969407,0.08507016206887522,10.76,0.295,0.10052861158028757,ENEFI Vagyonkezelo Nyrt.
STRT.BD,0.007962138789002364,0.0810658802582041,9.98,0.281,0.09821812535239291,STRT Holding Nyrt.
BASF.BD,-0.003056286191356966,0.06702247965012938,-3.61,0.232,-0.045600911922557705,BASF SE
DMKER.BD,-0.004092379428342134,0.057179322636257406,-4.8,0.198,-0.07157096725988768,DM-KER Nyilvánosan Muködo Részvénytársaság
BAYER.BD,-0.00852772700254415,0.10688861204044982,-9.77,0.37,-0.07978143639209204,Bayer Aktiengesellschaft
BMW.BD,-0.010534066015751076,0.06318687441751313,-11.93,0.219,-0.1667128832191676,Bayerische Motoren Werke Aktiengesellschaft
UBM.BD,-0.01683725413502337,0.0663980936803532,-18.43,0.23,-0.25358038464296173,Ubm Holding Zrt
AMIXA.BD,-0.020284336867191787,0.07952517803869885,-21.8,0.275,-0.2550681100936479,Amixa Holding Nyilvánosan Muködo Részvénytársaság
NAP.BD,-0.015709075290027505,0.059312622414089314,-17.3,0.205,-0.2648521453048402,NAP Nyilvánosan Muködo Részvénytársaság
