Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
9799.T,0.032219706006338215,0.026109232735770278,46.31,0.09,1.2340349612111137,0.10025268417504335,0.1,Yes,"Asahi Intelligence Service Co., Ltd."
256A.T,0.03703275547432241,0.03019605605091209,54.71,0.105,1.2264103435191436,,,,TOBISHIMA HOLDINGS Inc.
9302.T,0.07237914746718896,0.060748037719275685,131.3,0.21,1.1914647811615264,0.3155493492278434,0.316,Yes,"MITSUI-SOKO HOLDINGS Co., Ltd."
3465.T,0.037012013762696715,0.03304853424032511,54.67,0.114,1.1199290562646331,-0.013752244557967683,0.014,No,"Ki-Star Real Estate Co.,Ltd"
276A.T,0.27512674894785155,0.2466914429641214,1747.74,0.855,1.1152666896024672,,,,CCREB ADVISORS INC
4819.T,0.06007519477488241,0.056477906034335,101.39,0.196,1.0636937342960358,-0.9033349379614258,0.903,No,"Digital Garage, Inc."
7013.T,0.10226530809661324,0.10164785544295368,221.69,0.352,1.0060744287321053,1.5448730193342175,1.545,Yes,IHI Corporation
8957.T,0.015301801594546905,0.016362393176412672,19.99,0.057,0.935181145543265,-0.3186878928326841,0.319,No,"Tokyu REIT, Inc."
4718.T,0.0339372776989996,0.03635971619089907,49.26,0.126,0.9333757590631082,0.538655155512511,0.539,Yes,"Waseda Academy Co., Ltd."
1384.T,0.04856903754397066,0.05227502031295132,76.67,0.181,0.9291060482273502,0.22369215686902133,0.224,Yes,"Hokuryo Co., Ltd."
1925.T,0.02097988726862642,0.022681365334289244,28.29,0.079,0.9249834372584897,0.026368569833098945,0.026,Yes,"Daiwa House Industry Co., Ltd."
1803.T,0.05395631603241193,0.06051824853244756,87.88,0.21,0.8915710110725136,0.44116250602726836,0.441,Yes,Shimizu Corporation
3046.T,0.08971248985958867,0.10274712929715125,180.38,0.356,0.8731386509119338,1.592270714425099,1.592,Yes,JINS HOLDINGS Inc.
9790.T,0.04549303970961049,0.052273994275641104,70.55,0.181,0.8702805350921798,-0.1562967556949837,0.156,No,"Fukui Computer Holdings,Inc."
8006.T,0.020921640088258128,0.024695564503417054,28.21,0.086,0.8471820956092444,0.06740367225062152,0.067,Yes,"Yuasa Funashoku Co., Ltd."
8136.T,0.0860159131207113,0.10376395697267447,169.17,0.359,0.8289575265847177,-0.30762771395617494,0.308,No,"Sanrio Company, Ltd."
3930.T,0.052406163883453476,0.06491485745900115,84.59,0.225,0.8073061535497031,-0.4589165555965503,0.459,No,"Hatena Co., Ltd."
3635.T,0.05875317772713276,0.07340260736980325,98.4,0.254,0.8004235793850417,0.24465476744195633,0.245,Yes,"Koei Tecmo Holdings Co., Ltd."
1948.T,0.05693087312915079,0.07124798485174115,94.34,0.247,0.799052397729106,1.10732898461837,1.107,Yes,"The Kodensha Co., Ltd."
9028.T,0.04838669025785076,0.0607788128371838,76.3,0.211,0.7961111446429622,0.0025110075656785413,0.003,Yes,"ZERO Co., Ltd."
9345.T,0.04450097597613792,0.056414375229798024,68.62,0.195,0.7888233414775556,0.254229047409667,0.254,Yes,"Bizmates, Inc."
2975.T,0.04843959371979026,0.061485111662025894,76.41,0.213,0.7878263926079403,0.9002597850044121,0.9,Yes,"Star Mica Holdings Co., Ltd."
6772.T,0.04687745855187582,0.059852539362011334,73.28,0.207,0.783215867723553,0.7157771811388526,0.716,Yes,"Tokyo Cosmos Electric Co., Ltd."
4689.T,0.03638276982440669,0.046492901133909886,53.55,0.161,0.7825446237397884,-0.39093588784968947,0.391,No,LY Corporation
9404.T,0.043705246707335145,0.056422946299915726,67.08,0.195,0.774600576067408,0.9930563720754028,0.993,Yes,"Nippon Television Holdings, Inc."
2326.T,0.0700183148738361,0.0915281279722978,125.27,0.317,0.7649923190281798,0.38213199414845433,0.382,Yes,Digital Arts Inc.
3565.T,0.08102673522956509,0.10656202878574904,154.7,0.369,0.7603715521640023,-0.39036454240842366,0.39,No,Ascentech K.K.
3989.T,0.07526742565180758,0.10042574226176633,138.89,0.348,0.7494833889862428,-1.099159071613193,1.099,No,"Sharingtechnology, Inc."
1961.T,0.051419784838939914,0.06872546968110864,82.52,0.238,0.7481911011671741,-0.44676969179791387,0.447,No,"Sanki Engineering Co., Ltd."
2805.T,0.022399581403058304,0.029995911848082812,30.45,0.104,0.7467544749598927,0.1497687978609358,0.15,Yes,S&B Foods Inc.
5262.T,0.05558360701396487,0.07526303403042987,91.39,0.261,0.7385246652625199,-1.2083918031923726,1.208,No,Nippon Hume Corporation
2991.T,0.06910198408782782,0.09365186912480243,122.96,0.324,0.7378601701557187,2.0305721351610853,2.031,Yes,LANDNET Inc.
208A.T,0.03119549834751142,0.04300397990113855,44.57,0.149,0.7254095648641465,,,,KOZO KEIKAKU ENGINEERING HOLDINGS Inc.
6758.T,0.03649225290535354,0.050487839673627535,53.74,0.175,0.7227929168935182,0.03122119491514963,0.031,Yes,Sony Group Corporation
9435.T,0.04226708591779888,0.058706260926176465,64.34,0.203,0.7199757785792223,0.19089538762847738,0.191,Yes,"Hikari Tsushin, Inc."
7383.T,0.11158408762608579,0.15751189932759418,255.88,0.546,0.708416875819728,1.5183671729303585,1.518,Yes,"Net Protections Holdings, Inc."
9305.T,0.05052812590412574,0.0714949738897851,80.67,0.248,0.7067367558175301,0.19838962715374325,0.198,Yes,Yamatane Corporation
4709.T,0.03461973038975282,0.04958586468743531,50.44,0.172,0.6981774061615831,0.1609484071106342,0.161,Yes,ID Holdings Corporation
1826.T,0.03320040498924179,0.047750793666733314,47.98,0.165,0.695284883031622,-0.3182838353143398,0.318,No,"Sata Construction Co., Ltd."
2726.T,0.08157060605969618,0.11762866633942116,156.25,0.407,0.6934585641251909,1.102230237190771,1.102,Yes,"PAL GROUP Holdings CO., LTD."
4716.T,0.0417109113796825,0.06017699769581637,63.29,0.208,0.6931371284177962,-0.6041746832619277,0.604,No,Oracle Corporation Japan
5929.T,0.04722527071846693,0.06844936182529288,73.97,0.237,0.6899300367328862,-0.4441473753343801,0.444,No,Sanwa Holdings Corporation
9602.T,0.04977803928351818,0.07226707183750411,79.13,0.25,0.6888066448222286,-0.9517548938133594,0.952,No,"Toho Co., Ltd."
8252.T,0.021809399361420855,0.03169178584103477,29.55,0.11,0.6881719910268318,-0.06587902021842237,0.066,No,"Marui Group Co., Ltd."
2493.T,0.01329851922718021,0.019347652365755398,17.18,0.067,0.6873453675815511,0.2347612331362978,0.235,Yes,"E-SUPPORTLINK, Ltd."
9997.T,0.03330338742808118,0.04848525054805028,48.16,0.168,0.6868766697426172,-0.12711111490596666,0.127,No,"Belluna Co., Ltd."
9601.T,0.03324067951621721,0.048801397503820614,48.05,0.169,0.6811419593796434,0.3276678340050414,0.328,Yes,"Shochiku Co., Ltd."
3350.T,0.25541493605058346,0.3758336886523134,1432.67,1.302,0.6795956396736689,7.032661293833553,7.033,Yes,Metaplanet Inc.
3328.T,0.06393174553964331,0.09472040533504492,110.36,0.328,0.6749521955011067,0.6852620415480791,0.685,Yes,BEENOS Inc.
3064.T,0.05023514888560088,0.07464554048485321,80.07,0.259,0.6729825862242153,-0.17432648049198846,0.174,No,"MonotaRO Co., Ltd."
9377.T,0.060774464782539804,0.0908683760212239,102.99,0.315,0.6688186522486642,1.043676585348744,1.044,Yes,AGP Corporation
3486.T,0.05731652250582056,0.0859453991940824,95.19,0.298,0.6668945987019975,-1.8053334470488285,1.805,No,Global Link Management Inc.
5482.T,0.08298066343354149,0.12485398793207904,160.28,0.433,0.6646216497200172,0.5222568367931372,0.522,Yes,Aichi Steel Corporation
278A.T,0.3003955170449918,0.4589354669219933,2238.33,1.59,0.6545484903568174,,,,TERRA DRONE CORPORATION
9069.T,0.04077582034705621,0.06242278821664826,61.54,0.216,0.6532201061820118,0.7220595619734175,0.722,Yes,"SENKO Group Holdings Co., Ltd."
7487.T,0.008451713242723057,0.01300686285191188,10.63,0.045,0.6497887568239207,-0.15157308660425126,0.152,No,Ozu Corporation
6532.T,0.09175562096881264,0.14156815130427214,186.75,0.49,0.6481374526930317,-0.4721735790466487,0.472,No,"Baycurrent, Inc."
2488.T,0.026413805846909964,0.04097849358716809,36.73,0.142,0.6445772778524275,0.34713223755893885,0.347,Yes,"JTP Co.,Ltd."
6445.T,0.05370390673967937,0.0838466742474573,87.34,0.29,0.6405013343902304,-0.5280000519061888,0.528,No,JANOME Corporation
247A.T,0.07805759298168673,0.12223789056532848,146.44,0.423,0.6385711715138755,,,,AI ROBOTICS INC
6898.T,0.0698538902791336,0.11016167715036812,124.85,0.382,0.6341033659444443,0.15625263461760827,0.156,Yes,"Tomita Electric Co.,Ltd."
