Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
7195.KL,0.0550417831881428,0.048662170189108005,90.21,0.169,1.1311000511124498,-0.13329997506949137,0.133,No,Binastra Corporation Berhad
5176.KL,0.024173078873444675,0.022575041198031214,33.19,0.078,1.070787807711856,0.16080538096448063,0.161,Yes,Sunway Real Estate Investment Trust
5227.KL,0.027525787476863482,0.030430686157635087,38.52,0.105,0.9045404804307128,0.4237152698985122,0.424,Yes,IGB Real Estate Investment Trust
0343.KL,0.13551049997855122,0.15235711587256434,359.51,0.528,0.8894267865499365,,,,TechStore Berhad
5235SS.KL,0.017603231953512835,0.02158773169322885,23.29,0.075,0.8154275865413974,0.4016433941312552,0.402,Yes,KLCC Property Holdings Berhad
8648.KL,0.09163291477240237,0.12916426674054984,186.36,0.447,0.7094292956152023,0.41811061392175164,0.418,Yes,Jasa Kita Berhad
0239.KL,0.024097735897045322,0.034486739268850944,33.08,0.119,0.6987536777305833,-0.549769763065223,0.55,No,Ecomate Holdings Berhad
8664PA.KL,0.006745754001080364,0.010663017375412883,8.4,0.037,0.6326308739433298,0.04921737397982537,0.049,Yes,S P Setia Berhad
1066.KL,0.02430982575762987,0.03846811613383278,33.41,0.133,0.6319473943838214,0.044607240718916835,0.045,Yes,RHB Bank Berhad
0074.KL,0.04076864265155023,0.06823896566849103,61.53,0.236,0.5974393405903415,0.45795681967205815,0.458,Yes,Green Ocean Corporation Berhad
2089.KL,0.03275715251366442,0.05607484474331205,47.22,0.194,0.5841684032049204,0.681591472367471,0.682,Yes,United Plantations Berhad
3611.KL,0.10976359087792754,0.19875995236674593,248.95,0.689,0.5522419862296759,-2.6307831530489305,2.631,No,Paragon Globe Berhad
5878.KL,0.04299218177450756,0.07873108903845227,65.72,0.273,0.5460635982503707,-0.0974721234892415,0.097,No,KPJ Healthcare Berhad
0233.KL,0.041753620904486644,0.07810567308091283,63.37,0.271,0.5345785940700156,-0.18909797200660128,0.189,No,Pekat Group Berhad
5299.KL,0.017637742263907973,0.03337599841422794,23.34,0.116,0.5284558695445387,0.45105915854811024,0.451,Yes,IGB Commercial Real Estate Investment Trust
7103.KL,0.016710209106212934,0.0320856105355727,22.0,0.111,0.5208007211733324,-0.12080758245257578,0.121,No,Spritzer Bhd
2755.KL,0.047029996489739295,0.09174673447753982,73.58,0.318,0.5126067620559567,-0.4881969326835188,0.488,No,FCW Holdings Berhad
7197.KL,0.040024787577225836,0.07988765582500568,60.15,0.277,0.5010134189554935,0.5537165449236807,0.554,Yes,GE-Shen Corporation Berhad
2429.KL,0.07604354265641905,0.15780278999993302,140.97,0.547,0.4818897223328645,0.1977149901933391,0.198,Yes,Tanco Holdings Berhad
8621.KL,0.02068598584182003,0.04404676498773167,27.85,0.153,0.46963689268852526,-0.3067549366619049,0.307,No,LPI Capital Bhd
7094.KL,0.050702057399241544,0.10889802628334866,81.03,0.377,0.4655920692934935,-1.4170528633101576,1.417,No,Eurospan Holdings Berhad
0340.KL,0.12843138483711525,0.27591034373042606,326.29,0.956,0.4654823124811774,,,,Northern Solar Holdings Berhad
0236.KL,0.05379423715858931,0.1157611130892087,87.53,0.401,0.4647004138352919,-2.077079099520224,2.077,No,Ramssol Group Berhad
0034.KL,0.08462878530194035,0.1889608342983815,165.08,0.655,0.4478641598729711,-1.2908796829509006,1.291,No,MMAG Holdings Berhad
0293.KL,0.04132577729564093,0.0940695060747514,62.57,0.326,0.4393110904909165,-0.6805005398558224,0.681,No,KJTS
5606.KL,0.010292113006050263,0.02343091549415004,13.07,0.081,0.43925355834345775,0.5447510214330165,0.545,Yes,IGB Berhad
5211PA.KL,0.03295017266309518,0.07566971780545197,47.55,0.262,0.4354472782336865,1.1461039212484332,1.146,Yes,Sunway Berhad
0320.KL,0.18320178964757697,0.42937651729428045,652.85,1.487,0.426669326962789,-4.492147577464737,4.492,No,Steel Hawk Berhad
5306.KL,0.023919192464520497,0.05646229221328461,32.8,0.196,0.42363126835457665,0.25155535138240537,0.252,Yes,Farm Fresh Berhad
6262.KL,0.02477522981001243,0.06005692467906157,34.14,0.208,0.4125291120450952,-0.23329766252197726,0.233,No,Innoprise Plantations Berhad
1015.KL,0.02472257320684207,0.06032720258710826,34.05,0.209,0.4098080492153503,0.7415016772463816,0.742,Yes,AMMB Holdings Berhad
4286.KL,0.039438185780359465,0.09629004562986296,59.07,0.334,0.4095769767516683,0.8133377383301943,0.813,Yes,Seal Incorporated Berhad
5047.KL,0.034922948124443014,0.08733069573276449,50.97,0.303,0.39989316278103026,-1.0243291219002435,1.024,No,NPC Resources Berhad
