Ticker,mean,std,Return,Risk,sharpe,Name
DHBK.QA,0.05718693845274958,0.06640052899876651,94.9,0.23,0.8612422116970169,Doha Bank Q.P.S.C.
ORDS.QA,0.035551167499825516,0.052663674696519426,52.08,0.182,0.6750605176090212,Ooredoo Q.P.S.C.
ZHCD.QA,0.016732470246932814,0.03025261969662692,22.03,0.105,0.5530916137090248,Zad Holding Company Q.P.S.C.
QISI.QA,0.008567867998057338,0.0191127993778912,10.78,0.066,0.44827907354943775,Qatar Islamic Insurance Group Q.P.S.C.
DOHI.QA,0.007571288114963586,0.019678484406499892,9.47,0.068,0.3847495548215469,Doha Insurance Group Q.P.S.C.
BEMA.QA,0.01158102336936487,0.03037125157188101,14.82,0.105,0.38131531530584245,"Damaan Islamic Insurance Company ""Beema"" (Q.P.S.C.)"
AHCS.QA,0.015399958137002852,0.04163710563006802,20.13,0.144,0.3698613989604948,Aamal Company Q.P.S.C.
MCGS.QA,0.017943245770682334,0.0488247203895049,23.79,0.169,0.3675032980739674,Medicare Group Q.P.S.C.
CBQK.QA,0.016663230129299787,0.04759729640694234,21.93,0.165,0.35008774420366784,The Commercial Bank (P.S.Q.C.)
ABQK.QA,0.012090813487141245,0.03970756672358599,15.51,0.138,0.3044964596120516,Ahli Bank Q.P.S.C.
QGTS.QA,0.01764470007763234,0.05922699350664669,23.35,0.205,0.297916524762517,Qatar Gas Transport Company Limited (Nakilat) (QPSC)
QFBQ.QA,0.010159038069460443,0.04019526768728256,12.9,0.139,0.2527421423958989,Lesha Bank LLC
SIIS.QA,0.008083486819478113,0.03351785935517282,10.14,0.116,0.24116954289417014,Salam International Investment Limited Q.P.S.C.
ERES.QA,0.0295102756764315,0.1295946246183587,41.76,0.449,0.22771218916938785,Ezdan Holding Group Q.P.S.C.
QNNS.QA,0.006400700260317771,0.03199066618526081,7.96,0.111,0.2000802428824315,Qatar Navigation Q.P.S.C.
QIMD.QA,0.005156823162239536,0.02784680735759954,6.37,0.096,0.18518543601847454,Qatar Industrial Manufacturing Company Q.P.S.C.
NLCS.QA,0.007482584538923187,0.05064567293786654,9.36,0.175,0.14774380721731195,Alijarah Holding (Q.P.S.C.)
QGRI.QA,0.01648817505422268,0.1122548247720287,21.68,0.389,0.1468816604338164,Qatar General Insurance & Reinsurance Company Q.P.S.C.
DUBK.QA,0.0033036390513920253,0.03247968423864949,4.04,0.113,0.10171401381608355,Dukhan Bank Q.P.S.C.
QIGD.QA,0.0038906038556057354,0.04199555796435314,4.77,0.145,0.0926432233358627,Qatari Investors Group Q.P.S.C.
FALH.QA,0.007870837582905344,0.09413234862264278,9.86,0.326,0.08361458837554253,Al Faleh Educational Holding
MARK.QA,0.0015909468892884493,0.0317136395469453,1.93,0.11,0.05016601411936308,Masraf Al Rayan (Q.P.S.C.)
QAMC.QA,0.0019900452994214084,0.04703865598836383,2.41,0.163,0.042306593536892194,Qatar Aluminium Manufacturing Company Q.P.S.C.
BLDN.QA,-0.001030631654208719,0.04577631180034294,-1.23,0.159,-0.022514519271537248,Baladna Q.P.S.C.
UDCD.QA,-0.004391744143553803,0.03952372601391648,-5.14,0.137,-0.11111665286839227,United Development Company Q.P.S.C.
MRDS.QA,-0.006031561752117998,0.0389049301780909,-7.0,0.135,-0.1550333524442267,Mazaya Real Estate Development Q.P.S.C.
WDAM.QA,-0.014724538115443397,0.08330931941443435,-16.31,0.289,-0.17674538957873412,Widam Food Company Q.P.S.C.
GWCS.QA,-0.00936411200487648,0.043129241749826096,-10.68,0.149,-0.21711747355062735,Gulf Warehousing Company Q.P.S.C.
QGMD.QA,-0.020106169456611676,0.0657627776620086,-21.63,0.228,-0.305737837898947,Qatari German Company for Medical Devices (Q.P.S.C.)
IHGS.QA,-0.014179803183651642,0.04461012349894708,-15.75,0.155,-0.3178606574354434,INMA Holding Company Q.P.S.C.
DBIS.QA,-0.014454436358255657,0.0453250999628191,-16.03,0.157,-0.31890578002283193,Dlala Brokerage and Investment Holding Company Q.P.S.C.
QOIS.QA,-0.021606300794561547,0.05199486654003757,-23.06,0.18,-0.415546807451156,Qatar Oman Investment Company Q.S.C.
MKDM.QA,-0.006990057588853487,0.015371661699348331,-8.07,0.053,-0.4547366267597357,Mekdam Holding Group - Q.P.S.C.
MEZA.QA,-0.01174565561995522,0.02475277420232244,-13.22,0.086,-0.4745187559159805,MEEZA QSTP LLC (Public)
MPHC.QA,-0.014315583225471627,0.02379405003246032,-15.89,0.082,-0.6016455040626553,Mesaieed Petrochemical Holding Company Q.P.S.C.
