Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
1030.SR,0.02041867326161613,0.02287466654131326,27.45,0.079,0.8926326084246329,-0.05316470571757764,0.053,No,The Saudi Investment Bank
1120.SR,0.02446063380546004,0.02754939770769119,33.64,0.095,0.8878827067290537,0.6680279898531558,0.668,Yes,Al Rajhi Banking and Investment Corporation
4322.SR,0.05680200166000373,0.09305908354783929,94.05,0.322,0.6103864286478093,0.49586052989471424,0.496,Yes,Retal Urban Development Company
7010.SR,0.028660628536761202,0.04754707925977616,40.37,0.165,0.6027842084720333,0.645589768711305,0.646,Yes,Saudi Telecom Company
7020.SR,0.03020198854310364,0.0506641806946585,42.91,0.176,0.5961211279646297,-0.4293500989160106,0.429,No,Etihad Etisalat Company
2240.SR,0.065162564791408,0.10986250994954758,113.3,0.381,0.5931283093871855,-0.9374958921148622,0.937,No,Zamil Industrial Investment Company
3092.SR,0.030222986139082288,0.05268298565968948,42.95,0.182,0.5736764110961821,-0.6929901776264102,0.693,No,Riyadh Cement Company
4334.SR,0.01249111066526658,0.022049749948254014,16.06,0.076,0.5664967037984789,-0.05497681209338193,0.055,No,Al Maather Reit Fund
9527.SR,0.07712473770781375,0.14505599172002234,143.89,0.502,0.531689431048632,0.5901349687187558,0.59,Yes,Alf Meem Yaa for Medical Supplies and Equipment Company
8200.SR,0.07026515582302889,0.1351973433566652,125.89,0.468,0.5197229034128417,1.7302755946330795,1.73,Yes,Saudi Reinsurance Company
2110.SR,0.06818248658708433,0.13215926206863873,120.67,0.458,0.5159115261378564,1.1855916650838654,1.186,Yes,Saudi Cable Company
9601.SR,0.1474447520612021,0.29283963611848374,420.93,1.014,0.5034999838667521,7.0722756608795265,7.072,Yes,Mohammed Hadi Al-Rasheed Company
1010.SR,0.024909061886544945,0.04967655737678415,34.35,0.172,0.5014248813100312,0.6931793639320114,0.693,Yes,Riyad Bank
9583.SR,0.05057428375822996,0.10513225122530478,80.77,0.364,0.4810539408106672,-0.7225993108845894,0.723,No,United Mining Industries Company
4191.SR,0.03958651229906052,0.08265361135035741,59.34,0.286,0.4789447387998412,1.0166035895462782,1.017,Yes,Abdullah Saad Mohammed Abo Moati for Bookstores Company
1183.SR,0.02535582454516978,0.05402553229384138,35.05,0.187,0.46933039747320004,-0.21505910170492937,0.215,No,SHL Finance Company
4150.SR,0.048491944277419256,0.10727749171715482,76.51,0.372,0.45202347203709714,2.7792714843359025,2.779,Yes,Arriyadh Development Co.
9534.SR,0.06687091616731997,0.1549641693524594,117.44,0.537,0.4315250192786496,2.0152671079790774,2.015,Yes,Saudi Azm for Communication and Information Technology Company
9545.SR,0.0474027598029969,0.11636646143628121,74.33,0.403,0.4073575772427628,-1.2885114009026566,1.289,No,International Human Resources Company
9597.SR,0.09105709945184563,0.22514615240026076,184.56,0.78,0.40443551213776,,,,Leaf Global Environmental Servi
9569.SR,0.0810359962445162,0.20392973162231293,154.73,0.706,0.39737215167133416,0.4206293623099745,0.421,Yes,"AlMuneef Company for Trade, Industry, Agriculture and Contracting"
4100.SR,0.031426332622555536,0.08019000829007866,44.96,0.278,0.3918983585694889,2.323716200131743,2.324,Yes,Makkah Construction and Development Company
4130.SR,0.10320266316845562,0.2637795524526111,224.99,0.914,0.3912458801634988,-0.5269389906606496,0.527,No,Al-Baha Investment and Development Company
9551.SR,0.09622350643787088,0.2583281290347974,201.15,0.895,0.3724855934094167,1.8164365038611672,1.816,Yes,Knowledge Tower
9528.SR,0.053497101516792184,0.14639576013298417,86.9,0.507,0.3654279431876719,-1.00598281114374,1.006,No,Gas Arabian Services Company
4003.SR,0.01545379504123195,0.0429407668162678,20.2,0.149,0.3598863314983325,0.18438306775615332,0.184,Yes,United Electronics Company
9603.SR,0.04274278954657438,0.11917480361351922,65.24,0.413,0.35865626164728687,,,,Horizon Educational Co.
2320.SR,0.03266226188595701,0.09490417645061404,47.06,0.329,0.34416042694342014,1.4262744836748036,1.426,Yes,Al-Babtain Power and Telecommunications Company
4015.SR,0.030932652023598208,0.09013535503987626,44.13,0.312,0.34318000977433855,0.9631323652384034,0.963,Yes,Jamjoom Pharmaceuticals Factory Company
1833.SR,0.03220554838958376,0.09421903176362091,46.28,0.326,0.3418157434517249,1.350237727872623,1.35,Yes,Almawarid Manpower Company
9521.SR,0.0366391609733832,0.10990048049883851,54.0,0.381,0.3333849024779325,3.054030683716965,3.054,Yes,Enma Al Rawabi Company
1302.SR,0.02547218899639038,0.07707861188630022,35.23,0.267,0.33047026111426053,0.5435168735300694,0.544,Yes,Bawan Company
4142.SR,0.0338654469698796,0.1049958672307343,49.13,0.364,0.32254076148976785,-1.0182040445574305,1.018,No,Riyadh Cables Group Company
4240.SR,0.047624260424870404,0.1481723662576206,74.77,0.513,0.3214112160567663,-0.21751934233682135,0.218,No,Fawaz Abdulaziz Al Hokair & Company
1303.SR,0.033384673554770324,0.10527537538465467,48.3,0.365,0.3171175921509618,0.75639388058882,0.756,Yes,Electrical Industries Company
9598.SR,0.027429133695007536,0.08759806383402875,38.36,0.303,0.31312488535108796,0.6903411145410537,0.69,Yes,Al Mohafaza Company for Educati
9580.SR,0.04058169215282972,0.13188084779555528,61.18,0.457,0.3077148261568684,1.1490693384245554,1.149,Yes,"Al Rashid Industrial Co.,"
7203.SR,0.025600105554301623,0.08687619213930252,35.44,0.301,0.29467343035998717,1.1207015373116493,1.121,Yes,Elm Company
9604.SR,0.04381334231625196,0.1579500803248721,67.29,0.547,0.27738727467650903,-1.1673911030952238,1.167,No,Miral Dental Clinics Co.
4200.SR,0.02391344222812748,0.09247426292547443,32.79,0.32,0.2585956510667132,1.5972580247913344,1.597,Yes,Aldrees Petroleum and Transport Services Company
9539.SR,0.048222146670087195,0.18804079084894135,75.97,0.651,0.2564451385913679,2.9678082605382454,2.968,Yes,Aqaseem Factory for Chemicals and Plastics Co.
3020.SR,0.014743797370109906,0.05911808256187837,19.2,0.205,0.2493957302264955,1.3490689366826225,1.349,Yes,YAMAMA Cement Company
8313.SR,0.02899331628634526,0.11667125716855387,40.91,0.404,0.24850436165660658,,,,Rasan Information Technology Company
1080.SR,0.01310292121804761,0.05364055353485954,16.91,0.186,0.2442726697354526,0.9330474752576985,0.933,Yes,Arab National Bank
4020.SR,0.019496899402579402,0.0799562526319115,26.08,0.277,0.24384458701855113,1.815320616703344,1.815,Yes,Saudi Real Estate Company
9517.SR,0.037216889411568706,0.15269280033745586,55.04,0.529,0.24373702839504036,-1.2597760317095448,1.26,No,MOBI Industry Co.
9607.SR,0.022580048503631406,0.09269389063396116,30.73,0.321,0.24359802301100666,,,,ASG Plastic Factory Co.
4030.SR,0.01774435645140437,0.07354235406208381,23.5,0.255,0.24128077864389194,1.5578976001297813,1.558,Yes,The National Shipping Company of Saudi Arabia
