Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
LUG.ST,0.09145343777057681,0.09886079885674595,185.8,0.342,0.9250728178223325,0.773709924101681,0.774,Yes,Lundin Gold Inc.
INTEA-B.ST,0.0996340996739419,0.11940838673256068,212.59,0.414,0.8343978375412834,,,,Intea Fastigheter AB ser. B
SNX.ST,0.10029478343007853,0.12067526735852313,214.85,0.418,0.8311129995851204,-0.3119688730264878,0.312,No,Premium Snacks Nordic AB (publ)
PLEJD.ST,0.08507587104658451,0.10363936795423125,166.39,0.359,0.8208837310176895,0.27123216401734035,0.271,Yes,Plejd AB
LEA.ST,0.12502417441195943,0.15236460187674256,311.1,0.528,0.8205591907305311,,,,Lea Bank AB
VOLO-PREF.ST,0.007903070727067722,0.009741269660554951,9.91,0.034,0.8112978084437394,0.13371013026749623,0.134,Yes,Volati AB (publ)
CLAS-B.ST,0.059396805745738336,0.07775685344673983,99.85,0.269,0.7638787208181289,0.44340616149972245,0.443,Yes,Clas Ohlson AB (publ)
TEL2-B.ST,0.0339347115289812,0.04508837358959012,49.25,0.156,0.7526266491194961,0.3715026095114584,0.372,Yes,Tele2 AB (publ)
ZZ-B.ST,0.08839431408424356,0.11762502286298654,176.33,0.407,0.7514924285048441,1.5732659647940572,1.573,Yes,Zinzino AB (publ)
TEL2-A.ST,0.03241238513244363,0.043881749430468776,46.64,0.152,0.7386301948558703,0.4748689007945581,0.475,Yes,Tele2 AB (publ)
TINGS-PREF.ST,0.031707737295276546,0.04327342195020843,45.44,0.15,0.7327300653911846,0.3177671709051876,0.318,Yes,Tingsvalvet Fastighets AB ser. 
BIM.ST,0.07092635017131026,0.09958727506518236,127.57,0.345,0.7122029408364391,1.1064310520216978,1.106,Yes,BIMobject AB
CLA-B.ST,0.039361299355725854,0.05578853945818958,58.93,0.193,0.7055445390396887,0.5003838463616295,0.5,Yes,Cloetta AB (publ)
INTEA-D.ST,0.039998127047457366,0.05791214620374604,60.1,0.201,0.6906690507848955,,,,Intea Fastigheter AB ser. D
FRILAN.ST,0.04708471480096505,0.06843837197044508,73.69,0.237,0.687987066981933,0.18571778952705398,0.186,Yes,Frilans
TFBANK.ST,0.0497136354250318,0.07334166985259785,79.0,0.254,0.6778361540573906,0.2846883141888289,0.285,Yes,TF Bank AB (publ)
AMBEA.ST,0.04594618440527442,0.07071207467916753,71.44,0.245,0.6497643381804299,0.05599469618082209,0.056,Yes,Ambea AB (publ)
IDUN-B.ST,0.04360902355173784,0.06782811658466383,66.9,0.235,0.6429343131959822,0.15828481394751148,0.158,Yes,Idun Industrier AB (publ)
DE.ST,0.03374799458978423,0.052520756517943405,48.93,0.182,0.6425648986654339,0.146440235598308,0.146,Yes,Dala Energi AB (publ)
CEDER.ST,0.05648907844675485,0.0905988833937237,93.37,0.314,0.6235074465682452,0.3368460424079676,0.337,Yes,Cedergrenska AB (publ)
BETS-B.ST,0.03326175349562517,0.05513513487666136,48.09,0.191,0.6032769044645039,0.24474745798434927,0.245,Yes,Betsson AB (publ)
SBOK.ST,0.023602048433150016,0.03932746360758351,32.3,0.136,0.6001416381350064,0.3218945269889166,0.322,Yes,ScandBook Holding AB (publ)
SLOTT-B.ST,0.06491745860767101,0.10979876129740095,112.71,0.38,0.5912403549966795,0.01849346574562727,0.018,Yes,Slottsviken Fastighetsaktiebola
COMINT.ST,0.0709642942260992,0.12709560300806222,127.67,0.44,0.5583536530496467,1.193004808251721,1.193,Yes,Comintelli AB
OBSE.ST,0.1206983274105316,0.22208906360433397,292.52,0.769,0.5434681269383146,0.5119295559122872,0.512,Yes,Observit AB
SECU-B.ST,0.0359221497771231,0.06622697225524092,52.73,0.229,0.5424096641271469,0.9405934545510134,0.941,Yes,Securitas AB (publ)
NELLY.ST,0.08906563165374047,0.16484678499774794,178.39,0.571,0.5402934103625815,1.457700029595554,1.458,Yes,Nelly Group AB (publ)
TRUE-B.ST,0.07136695734414923,0.13668357221461613,128.7,0.473,0.5221326615029577,2.3033981510511783,2.303,Yes,Truecaller AB (publ)
SDIP-PREF.ST,0.006302938119018519,0.01217976848362429,7.83,0.042,0.5174924406398057,0.11463558036343634,0.115,Yes,Sdiptech AB (publ)
SYNACT.ST,0.13153872531649327,0.2612861372105322,340.59,0.905,0.5034278768892568,4.519540889097416,4.52,Yes,SynAct Pharma AB
SHB-B.ST,0.04976905183161377,0.09892521075013305,79.11,0.343,0.5030977589456066,1.5087873211994332,1.509,Yes,Svenska Handelsbanken AB (publ)
LIFCO-B.ST,0.02962389790026949,0.06140806858459555,41.95,0.213,0.48241051352168335,1.0033733247631447,1.003,Yes,Lifco AB (publ)
SHB-A.ST,0.03013492852188059,0.06487100297914654,42.8,0.225,0.4645361893289638,0.9327881598467208,0.933,Yes,Svenska Handelsbanken AB (publ)
UNIBAP.ST,0.07224606212283481,0.15820691415863747,130.96,0.548,0.45665552929243114,0.0695957809573476,0.07,Yes,Unibap AB (publ)
RAY-B.ST,0.0599047218279874,0.13145496111385985,101.0,0.455,0.45570529495726575,0.7571536014612603,0.757,Yes,RaySearch Laboratories AB (publ)
DORO.ST,0.047289710327527046,0.10442533333011121,74.1,0.362,0.4528566854369904,0.9822592718401577,0.982,Yes,Doro AB (publ)
INWI.ST,0.0334419273753196,0.07428937959849266,48.4,0.257,0.45015758047867904,0.8747634290138331,0.875,Yes,Inwido AB (publ)
SANION.ST,0.14314696811643968,0.31977652340741797,397.99,1.108,0.44764689599824153,-0.012173014294791229,0.012,No,Saniona AB (publ)
EQL.ST,0.04680249016697166,0.10850183706104823,73.13,0.376,0.4313520529669777,,,,EQL Pharma AB
PAX.ST,0.05157856972671751,0.12012778838061153,82.85,0.416,0.42936418310887864,0.20896764673423057,0.209,Yes,Paxman AB (publ)
ACAD.ST,0.03752541512898011,0.08826223656203103,55.59,0.306,0.4251582170434477,0.4333441979376213,0.433,Yes,AcadeMedia AB (publ)
ITECH.ST,0.0519618653505765,0.12510509139717854,83.65,0.433,0.41534572870108133,0.5135349994130007,0.514,Yes,I-Tech AB
SAFE.ST,0.03665229918299872,0.08972796825761353,54.03,0.311,0.4084824374688627,-0.45611982105806836,0.456,No,Safe at Sea AB (publ)
IVSO.ST,0.039072425080996585,0.0963126147193705,58.4,0.334,0.4056833592862503,0.9398960849350425,0.94,Yes,Invisio AB (publ)
SNM.ST,0.07865917207578542,0.19509065527674657,148.09,0.676,0.4031929256898705,0.6818552252233334,0.682,Yes,ShaMaran Petroleum Corp.
GBK.ST,0.235255530773427,0.5920413020809601,1162.06,2.051,0.397363376417371,7.2440005889700245,7.244,Yes,Goodbye Kansas Group AB (publ)
ALIF-B.ST,0.05116646121955952,0.13169474170477852,81.99,0.456,0.38852319050262396,1.509230976238853,1.509,Yes,AddLife AB (publ)
SWED-A.ST,0.01779738629833645,0.04595923721649006,23.58,0.159,0.3872428564143095,0.8222233993330006,0.822,Yes,Swedbank AB (publ)
SKA-B.ST,0.022858669714796068,0.059116496199581946,31.16,0.205,0.38667159226797543,0.9265300231158262,0.927,Yes,Skanska AB (publ)
BESQAB-PREF-B.ST,0.011707160976682802,0.030333698340650504,14.99,0.105,0.38594571770346625,0.14707459157954417,0.147,Yes,Besqab AB (publ)
CYCLE.ST,0.21793131069389932,0.569278298449247,965.3,1.972,0.38282033811504684,0.508439308411911,0.508,Yes,Cyclezyme AB
OODA.ST,0.6335264997837359,1.6642810106220216,36000.58,5.765,0.3806607752779422,5.6403779006203445,5.64,Yes,oodash Group AB (publ)
PERP-B.ST,0.09140213627967851,0.2424948783727303,185.64,0.84,0.37692398657256393,3.472313670596261,3.472,Yes,Perpetua Medical AB (publ)
NCC-B.ST,0.030381658391295144,0.08106502963632578,43.21,0.281,0.3747813147986678,1.3233650218637338,1.323,Yes,NCC AB (publ)
GENI.ST,0.020159917072066373,0.0537914229119551,27.06,0.186,0.37477939754566053,0.17399082734332455,0.174,Yes,Generic Sweden AB
VPAB-B.ST,0.011739813576154758,0.03159695981566731,15.03,0.109,0.37154883395881605,-0.1869517460057437,0.187,No,Veteranpoolen AB ser. B
SAFETY-B.ST,0.057801676436630166,0.15650230074496738,96.27,0.542,0.3693343558624258,2.6864059293308444,2.686,Yes,Empir Group AB (publ)
CRBX.ST,0.13699492007336656,0.3733157236648773,366.77,1.293,0.36696798819099796,0.9525671611145878,0.953,Yes,Carbiotix AB
BMAX.ST,0.022367355044658158,0.061054088951262867,30.4,0.211,0.36635310474476424,0.5267649092528432,0.527,Yes,Byggmax Group AB (publ)
STORY-B.ST,0.04896833910580352,0.13449210148913185,77.48,0.466,0.3640982523405703,0.8466997089111981,0.847,Yes,Storytel AB (publ)
SDET.ST,0.07087201510496417,0.19665897217689196,127.43,0.681,0.3603802782067619,1.1921521921188578,1.192,Yes,SensoDetect Aktiebolag (publ)
STOR-B.ST,0.05223120990966683,0.1452661302855889,84.22,0.503,0.35955531965353393,1.3602790376752265,1.36,Yes,Storskogen Group AB (publ)
NCC-A.ST,0.02974039410636979,0.08476893350188802,42.15,0.294,0.3508407252252076,1.3871727295067287,1.387,Yes,NCC AB (publ)
ERIC-B.ST,0.027135569649905822,0.07746413957075629,37.89,0.268,0.3502984710121256,0.04065785509280395,0.041,Yes,Telefonaktiebolaget LM Ericsson (publ)
SCST.ST,0.015735182218637997,0.04518573264454161,20.61,0.157,0.348233420102325,0.17592425771287212,0.176,Yes,Scandi Standard AB (publ)
WPAY.ST,0.06230670332279103,0.1856473083903046,106.54,0.643,0.33561867318753424,1.0016210916921096,1.002,Yes,Westpay AB
ERIC-A.ST,0.025324448505214373,0.07590973717466142,35.0,0.263,0.3336126490195206,0.03960407616379846,0.04,Yes,Telefonaktiebolaget LM Ericsson (publ)
LIPI.ST,0.15282944548519334,0.46311820878381976,451.04,1.604,0.3300009427107908,2.831940247528398,2.832,Yes,Lipidor AB (publ)
SHOT.ST,0.02189742488461542,0.06715337902625025,29.68,0.233,0.32608076022586624,1.5320550855650832,1.532,Yes,Scandic Hotels Group AB (publ)
SOLNA.ST,0.016218831127546646,0.05050621380521097,21.3,0.175,0.32112545973250667,-0.010000562995505835,0.01,No,Solnaberg Property AB (publ)
HUNTER.ST,0.17663701695630113,0.5511794861125804,604.22,1.909,0.320470956207217,2.9657646277967293,2.966,Yes,Hunter Capital AB
LAGR-B.ST,0.021747937025308275,0.06815422130122618,29.46,0.236,0.3190988996732474,0.9608890517135298,0.961,Yes,Lagercrantz Group AB (publ)
CARA.ST,0.03269641637045106,0.10309065160018036,47.12,0.357,0.31716179753386925,0.2956210607350011,0.296,Yes,Carasent AB (publ)
BEAMMW-B.ST,0.12577900173634599,0.39964594577886725,314.42,1.384,0.31472607958330756,0.6980960314787127,0.698,Yes,BeammWave AB (publ)
HOFI.ST,0.043884344072022734,0.14129593632432438,67.43,0.489,0.31058461562045614,0.3538590651268965,0.354,Yes,Hoist Finance AB (publ)
FRAG.ST,36.32022222471914,117.62989633153292,7.30013099517429e+20,407.482,0.3087669321951346,-175.8687912097324,175.869,No,Fragbite Group AB (publ)
KBC.ST,0.06111800730059076,0.19892269667728404,103.78,0.689,0.30724501689087613,,,,KB Components AB (publ)
SAVE.ST,0.023578386213624722,0.07674362012097491,32.27,0.266,0.30723578294139503,0.733296272270142,0.733,Yes,Nordnet AB (publ)
SAGA-D.ST,0.009639822117400516,0.03142612875117049,12.2,0.109,0.30674545355961075,0.343364432860245,0.343,Yes,AB Sagax (publ)
