Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
U10.SI,0.02881740201819245,0.022187489134262127,40.62,0.077,1.2988131213861576,0.42634541679505567,0.426,Yes,UOB-Kay Hian Holdings Limited
OU8.SI,0.08631099175672004,0.07644012565835699,170.05,0.265,1.1291319972769287,1.017400044962941,1.017,Yes,Centurion Corporation Limited
HQU.SI,0.1500540969395967,0.17199155571112357,435.33,0.596,0.8724503730382384,1.2826534142886397,1.283,Yes,Oiltek International Limited
BEC.SI,0.044855843424746196,0.05251537238896921,69.31,0.182,0.8541469170685746,0.718627339049799,0.719,Yes,BRC Asia Limited
S35.SI,0.011687173721994161,0.013701463033124962,14.96,0.047,0.8529872827258659,0.23902852979245615,0.239,Yes,Sing Investments & Finance Limited
Q01.SI,0.008230737577483604,0.010151871482758493,10.34,0.035,0.8107606160560976,-0.06138949477649415,0.061,No,QAF Limited
P15.SI,0.03870072148199117,0.05068268364016397,57.72,0.176,0.7635886401903631,-0.12060093023197693,0.121,No,Pacific Century Regional Developments Limited
S68.SI,0.04108889927232767,0.05500589710237494,62.13,0.191,0.746990803474299,0.28411053437995454,0.284,Yes,Singapore Exchange Limited
H02.SI,0.02854068141098516,0.03939613076865905,40.17,0.136,0.7244539210863377,1.0783954436743397,1.078,Yes,Haw Par Corporation Limited
PCT.SI,0.17019896971654214,0.2449395988601402,559.35,0.848,0.6948609800480863,,,,PC Partner Group Limited
OV8.SI,0.017462754929767555,0.025250479377088755,23.09,0.087,0.6915811248166852,-0.2924471324824492,0.292,No,Sheng Siong Group Ltd
HSHD.SI,0.03653053324710092,0.05283309259849021,53.81,0.183,0.6914328018751044,,,,HSBC Holdings plc
P52.SI,0.039251509634657636,0.057889493694788303,58.73,0.201,0.6780420267899386,0.035125878128059146,0.035,Yes,Pan-United Corporation Ltd
BFI.SI,0.03913911353901458,0.06048561805843415,58.52,0.21,0.6470813194171701,0.8065610569849727,0.807,Yes,Tiong Seng Holdings Limited
ICU.SI,0.021779026516297918,0.033689087836132316,29.5,0.117,0.6464712438114579,,,,iShares MSCI Asia ex Japan Climate Action ETF
UD2.SI,0.0700984879807992,0.1110698966354418,125.47,0.385,0.6311204935292175,-0.43770663357755646,0.438,No,Japfa Ltd.
