Ticker,mean,std,Return,Risk,sharpe,Name
DSTKF.IS,0.3824874459432879,0.034354380017255916,4774.55,0.119,11.133586044957518,DESTEK FINANS FAKTORING
VSNMD.IS,0.695341587981333,0.3316090417479483,56275.0,1.149,2.0968716182047085,Visne Madencilik AS
EFORC.IS,0.15358669662979685,0.1109725919716939,455.4,0.384,1.3840056711388038,EFOR CAY SANAYI
BORLS.IS,0.11363440087104172,0.094130339493416,263.84,0.326,1.2072027093771391,Borlease Otomotiv A.S.
ISKPL.IS,0.08279205939949198,0.07196739713995402,159.74,0.249,1.1504106399525245,Isik Plastik Sanayi ve Dis Ticaret Pazarlama Anonim Sirketi
BMSTL.IS,0.09230139982845195,0.09246058614364559,188.48,0.32,0.9982783332679037,Bms Birlesik Metal Sanayi ve Ticaret A.S.
FZLGY.IS,0.09439345795041404,0.10566335498237259,195.18,0.366,0.8933414802715789,Fuzul Gayrimenkul Yatirim Ortakligi Anonim Sirketi
YGGYO.IS,0.0614491050385559,0.07509329459543813,104.55,0.26,0.8183034899402175,Yeni Gimat Gayrimenkul Yatirim Ortakligi A.S.
ASELS.IS,0.08315913346699558,0.10237542329289286,160.8,0.355,0.812295869381462,ASELSAN Elektronik Sanayi ve Ticaret Anonim Sirketi
KRGYO.IS,0.10962146778452007,0.13942150306978363,248.42,0.483,0.7862594031112407,Körfez Gayrimenkul Yatirim Ortakligi A.S.
TBORG.IS,0.06700356721676347,0.09590952480628688,117.77,0.332,0.698612232227131,Türk Tuborg Bira ve Malt Sanayii A.S.
RALYH.IS,0.12792311785202018,0.18596577291666208,323.99,0.644,0.6878852804238719,Ral Yatirim Holding A.S.
ESEN.IS,0.07106422696163413,0.10351373181869106,127.92,0.359,0.6865198047936897,Esenboga Elektrik Üretim A.S.
GRSEL.IS,0.07889061525639668,0.11975391017147721,148.73,0.415,0.6587727711223138,Gür-Sel Turizm Tasimacilik ve Servis Ticaret A.S.
LIDER.IS,0.11409326878649542,0.17896363032995957,265.64,0.62,0.6375220963954459,LDR Turizm A.S.
ZRGYO.IS,0.11899652865448984,0.19793308686145158,285.43,0.686,0.6011957401431554,Ziraat Gayrimenkul Yatirim Ortakligi A.S.
DCTTR.IS,0.11899857477260506,0.21307030669660396,285.44,0.738,0.5584944078672119,DCT TRADING DIS TICARET
GENIL.IS,0.07899660584967987,0.14285230843755695,149.02,0.495,0.5529949548152423,Gen Ilac Ve Saglik Urunleri Sanayi Ve Ticaret Anonim Sirketi
BULGS.IS,0.18014631635030276,0.33064666384882124,629.84,1.145,0.5448302857598755,BULLS GSYO
TCKRC.IS,0.0516666533084654,0.09489075836704329,83.04,0.329,0.5444856190169289,KIRAC GALVANIZ
