Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
LFTS11.SA,0.008889173142701542,0.0009516978538456523,11.2,0.003,9.34033118471569,,,,Investo Teva Tesouro Selic Etf - Fundo De Investimento De Indice
RZLC11.SA,0.010067009890232789,0.0011793644850032065,12.77,0.004,8.535961543903383,,,,FII RZLC    CI
L1NC34.SA,0.06734447138246477,0.009023540354379016,118.6,0.031,7.463198338752185,,,,Lincoln National Corporation
GCDL11.SA,0.008855378582753762,0.0013428020767544864,11.16,0.005,6.5947012862513255,,,,FII GCDL    CI
N1IC34.SA,0.0756578618269621,0.01599730490015239,139.93,0.055,4.729413004201813,,,,NICE Ltd.
EGDB11.SA,0.007115308653454072,0.0015200775036712764,8.88,0.005,4.680885439241912,,,,FII EGDB    CI
G1LL34.SA,0.06853174776830614,0.017859924990745853,121.54,0.062,3.837180044362783,,,,Globe Life Inc.
GLPF11.SA,0.012930725314967764,0.00395967823379362,16.67,0.014,3.2656000188629766,,,,Galapagos Feeder Logistico Fundo De Investimento ImobiliãRio Responsabilidade Limitada
CPOF11.SA,0.012281775020676788,0.004087770355864697,15.78,0.014,3.0045168763103844,,,,Capitania Office Properties FII - Fundo De Investimento Imobiliario
PRIF11.SA,0.009855600474472875,0.003564719242346669,12.49,0.012,2.7647620484088655,,,,INFRA PRIF  CI
NEXG11.SA,0.015215734838817108,0.007374591576061179,19.87,0.026,2.0632647492247886,,,,FIAGRO NEXG CI
PACG11.SA,0.011585531951526376,0.006470936797294664,14.82,0.022,1.7903948554048612,,,,BTG Pactual Ima-B Fundo De Indice
JSAF11.SA,0.10251073625598421,0.06786250510772496,222.55,0.235,1.5105651654512111,0.3095707228522119,0.31,Yes,Js Ativos Financeiros Fundo De Investimento Imobiliario
DEBB11.SA,0.010429496523308672,0.007044582986944417,13.26,0.024,1.480498780784817,,,,BTG Pactual Teva Debentures Di Fundo De Indice
YUMR34.SA,0.05428552057216671,0.038804806685375746,88.58,0.134,1.398938049409872,,,,"Yum! Brands, Inc."
AHEB3.SA,0.10623308168405861,0.07646244101271124,235.86,0.265,1.3893498595787472,,,,São Paulo Turismo S.A.
D1RI34.SA,0.01557331991012598,0.011797626219510205,20.37,0.041,1.3200384230152808,,,,"Darden Restaurants, Inc."
B1BW34.SA,0.14231668400194347,0.13130629804379107,393.67,0.455,1.0838526873591425,,,,"Bath & Body Works, Inc."
C1RR34.SA,0.050931270006690274,0.04966758879806728,81.51,0.172,1.02544277343039,,,,Carrier Global Corporation
