Ticker,mean,std,Return,Risk,sharpe,Name
TLH.SN,0.0032826844547596164,0.00014160913921248185,4.01,0.0,23.181303643361677,iShares Trust - iShares 10-20 Year Treasury Bond ETF
CFIMBD3A-E.SN,0.009024920274239165,0.0005122013479891413,11.38,0.002,17.619868260148532,MBI ADMINISTRADORA GENERAL DE F
CFIFTRLPPI.SN,0.010140203476625415,0.00110134251718915,12.87,0.004,9.207129769678987,Frontal Trust Adm. Gen De Fondos SA - Cordada Rendimiento Con Liquidez FI Fund
CFIFTCLPP.SN,0.008343120785450698,0.0014856536984382848,10.48,0.005,5.615791078513764,Frontal Trust Adm. Gen De Fondos SA - Cordada Rendimiento Con Liquidez FI Fund
CFIADI6FID.SN,0.01117966200321659,0.002026265612943059,14.27,0.007,5.517372417418977,AMERIS CAPITAL ADM GEN DE FDOS 
CFILVFA-L.SN,0.008210098777150183,0.0018862538385486767,10.31,0.007,4.352594867861054,Fondo De Inversion Larrainvial Facturas
CFIFTUFP.SN,0.0072779383774015105,0.0018612405619836158,9.09,0.006,3.9102620725421184,Frontal Trust Adm. Gen De Fondos SA - Cordada Rendimiento Con Liquidez FI Fund
CFIPADIA.SN,0.005733414049720376,0.001492658854440932,7.1,0.005,3.84107462509764,LARRAIN VIAL ACTIVOS SA ADMIN G
CFITODPX-E.SN,0.006769847094841709,0.0021182989408128033,8.43,0.007,3.1958884387885687,TOESCA SA ADM GENERAL DE FONDOS
CFIETFCD.SN,0.006603747631364517,0.00209620784737007,8.22,0.007,3.1503305550781455,Fondo De Inversion ETF Singular Chile Corta Duracion
CFIMBIDA-A.SN,0.008203488279045492,0.002708455114927877,10.3,0.009,3.0288440941226162,MBI Administradora General De Fondo - MBI Deuda Alternativa Fondo De Inversion
CFITODPA-E.SN,0.009646528312351818,0.003687451908704429,12.21,0.013,2.61604179557723,Toesca SA Administrative General De Fondos- Toesca Deuda Privada Fondo De Inversion
CFIFTRLPP.SN,0.008763763657144643,0.0034683990065406344,11.04,0.012,2.5267460983059102,FRONTAL TRUST ADM GEN DE FONDOS
CFIMRCLP.SN,0.009489994971972388,0.004401112052865756,12.0,0.015,2.156272064419046,Moneda Renta CLP Fondo de Inversion
CFIPIONERO.SN,0.03050518904118085,0.019054864557242528,43.42,0.066,1.600913454385389,Pionero Fondo De Inversion
CFINHRFLA.SN,0.006293367507107892,0.003963999314741785,7.82,0.014,1.5876308261970127,Fondo De Inversion Nevasa HMC Renta Fija Local
CFIBVCAP.SN,0.005446515994874718,0.003560834977241637,6.74,0.012,1.5295614735546672,Bice Inversiones Administradora General - BVC Fundo De Inversion UNICA Fund
NEAR.SN,0.006627092831700158,0.004351971857140721,8.25,0.015,1.522779339858647,ISHARES US ETF TRUST BLACKROCK 
CFINVSDPR.SN,0.00840565546145758,0.006262933569226227,10.57,0.022,1.3421275139752253,
SHV.SN,0.00269716181844604,0.0021310513789709385,3.29,0.007,1.2656484236191763,iShares Short Treasury Bond ETF
CFIAMDDA-E.SN,0.008617829707813175,0.0072433066277733235,10.85,0.025,1.189764585523614,Ameris Capital Administradora General de Fondos S.A.- Fundo de Inversion Ameris Deuda Directa Fund
CFIBTGRE.SN,0.02335296715555526,0.02038998323221801,31.92,0.071,1.1453156625776655,Btg Pactual Chile Sa Administradora General De Fon - Cuota Fondos De Inversion
CFIMERPA.SN,0.006159738888697231,0.005386848256506736,7.65,0.019,1.1434773350552294,Larrain Vial Activos Sa Admingral De Fdos - Fondo de Inversion Activa Mercado Pago
MS.SN,0.04901424279792938,0.043967687183138544,77.57,0.152,1.1147787372524378,Morgan Stanley
CFIMBIDT-A.SN,0.010216664903864978,0.009536162826144688,12.97,0.033,1.0713601571330766,MBI Administradora General De Fondo - MBI Deuda Total Fondo De Inversion
CFIETFCC.SN,0.007039285255911886,0.007678661152909183,8.78,0.027,0.9167334142938369,Fondo de Inversión ETF Singular Chile Corporativo
CFIMRCLPR.SN,0.010911977170136205,0.012638829954112892,13.91,0.044,0.8633692525141744,Moneda Renta CLP Fondo de Inversion
ILFCL.SN,0.021850224183854357,0.025896815736059068,29.61,0.09,0.8437417328274,iShares Trust - iShares Latin America 40 ETF
OXIQUIM.SN,0.026339813875623223,0.0315625659291018,36.61,0.109,0.8345270132596216,Oxiquim S.A.
CFIMCUMR.SN,0.006457540316831882,0.007935371776857308,8.03,0.027,0.8137665755830914,Moneda Cumplo Pronto Pago Pymes Fondo de Inversion
ENAEX.SN,0.030950841956193565,0.04047448832054738,44.16,0.14,0.7647000182206375,Enaex S.A.
META.SN,0.0508388129743122,0.06720028589754885,81.31,0.233,0.7565267363864974,"Meta Platforms, Inc."
HIPERMARC.SN,0.1756833780052625,0.23496204732272513,597.4,0.814,0.7477095982397439,Hipermarc S.A.
CFIMDCHI.SN,0.023900758223225068,0.03449605750305117,32.77,0.119,0.6928547768425726,Moneda Deuda Chile Fondo de Inversión
CFIEARFCHA.SN,0.018363177633682722,0.028147920641138812,24.4,0.098,0.6523813203752085,Euroamerica Administradora General De Fondos SA - FI Renta Fija Chile Index Fund
CFIMBIDT-B.SN,0.005929467236106693,0.009385103819965449,7.35,0.033,0.631795593298884,MBI Administradora General De Fondo - MBI Deuda Total Fondo De Inversion
PEHUENCHE.SN,0.04428195198707326,0.07373149990974148,68.2,0.255,0.6005839029625204,Empresa Eléctrica Pehuenche S.A.
NTGCLGAS.SN,0.0633592900085671,0.11030050799592604,109.01,0.382,0.5744242810822529,Naturgy Chile Gas Natural S.A.
