Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
0V5H.L,0.10299414363914851,0.0033125262362248098,224.25,0.011,31.092325401934914,,,,Manulife Financial Corporation
0RFM.L,0.15398061508544342,0.024914185717353692,457.68,0.086,6.180439402367863,,,,Figeac Aero Société Anonyme
0HFP.L,0.06073016616123165,0.017234282097144504,102.89,0.06,3.5238001686936435,,,,"Inmobiliaria del Sur, S.A."
0QNK.L,0.015800581556360972,0.004857316669184043,20.7,0.017,3.252944502589994,,,,Warteck Invest AG
MISL.L,0.05467116724043384,0.024185621443973727,89.41,0.084,2.26048221944928,,,,First Trust Indxx Global Aerospace & Defence UCITS ETF Class A USD Acc
0QZ2.L,0.07003590374592754,0.03441174657444283,125.31,0.119,2.0352324632642254,,,,Silvercorp Metals Inc.
0J8S.L,0.021033872809736592,0.01310859713653665,28.38,0.045,1.604586104115626,,,,Aspo Oyj
0VJA.L,0.06535620424457439,0.053741835535280565,113.77,0.186,1.216114105400609,,,,Sun Life Financial Inc.
0IFM.L,0.09038970101001041,0.08313225495834771,182.48,0.288,1.0873000023312125,,,,eGain Corporation
SOBAD.XC,0.04058583702521666,0.03766371608511242,61.19,0.13,1.0775845095449648,,,,AT&T Inc.
0RHM.L,0.04317579143795628,0.042000307845066705,66.07,0.145,1.027987499454189,,,,TF Bank AB (publ)
0NMO.L,0.126616906377107,0.13115130866145033,318.13,0.454,0.9654261758374957,,,,Corem Property Group AB (publ)
0JOP.L,0.02119575804358879,0.02207326015086424,28.62,0.076,0.9602459219309708,,,,"Ramada Investimentos e Industria, S.A."
0AHJ.L,0.0924725722414668,0.10018762815094936,189.02,0.347,0.9229939259779805,,,,Hudbay Minerals Inc.
0ACT.L,0.08235662054880978,0.0969821702154422,158.49,0.336,0.8491934173658693,,,,AlzChem Group AG
0KBY.L,0.043172376751865554,0.052478060661616706,66.06,0.182,0.8226747750882974,,,,"Renta 4 Banco, S.A."
0NB0.L,0.038459181092626304,0.04746982510384744,57.28,0.164,0.8101816471514487,,,,Gérard Perrier Industrie S.A.
0OJJ.L,0.051185526808768235,0.06348194218044916,82.03,0.22,0.8063005801440665,,,,ACTIA Group S.A.
0ABN.L,0.303174586607245,0.3883475488989955,2299.01,1.345,0.7806785119843695,,,,Norse Atlantic ASA
0OP0.IL,0.005826425784641802,0.007702622316020813,7.22,0.027,0.7564210661768164,0.04800614362889375,0.048,Yes,DMG MORI AKTIENGESELLSCHAFT
0J46.L,0.05149239847737632,0.06985892502682493,82.67,0.242,0.7370911942547627,,,,HEICO Corporation
AGZI.L,0.0017772777983589036,0.0024529057804495527,2.15,0.008,0.7245601573955179,,,,Aberforth Geared Value & Inc ZDP
0M8V.IL,0.004701667648048455,0.006608072499105645,5.79,0.023,0.7115036417479971,-0.06530500582105409,0.065,No,Philip Morris International Inc.
0ERM.L,0.016405736773083608,0.02306312825181421,21.56,0.08,0.7113404822606009,,,,"Iberpapel Gestión, S.A."
0R1G.IL,0.004106454888886645,0.00578889868610676,5.04,0.02,0.7093672063638035,-0.03429788497330513,0.034,No,"The Home Depot, Inc."
0RBL.L,0.027906948892152082,0.03946638560773429,39.14,0.137,0.7071067811865476,,,,Berentzen-Gruppe Aktiengesellschaft
CRWC.L,51.258795845721075,72.4908842759324,4.148707163260228e+22,251.116,0.7071067811865476,,,,Albion Crown VCT C Share
0Y2S.IL,0.0030439791698027917,0.004312113220872622,3.71,0.015,0.7059135541869646,-0.06989511051573113,0.07,No,Trane Technologies plc
0KFE.IL,0.030413171794383638,0.0433077722939309,43.26,0.15,0.7022566662623213,0.28687711174955066,0.287,Yes,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München
0K58.IL,0.0012547621420737481,0.00181683850422445,1.52,0.006,0.6906294308251496,-0.018767914265511252,0.019,No,NOV Inc.
0R4M.L,0.06846565492963022,0.10083770820505622,121.37,0.349,0.6789687721819644,,,,Lundin Gold Inc.
0RL2.L,0.035587816926417666,0.05276023960818831,52.14,0.183,0.6745196229339051,,,,Cenergy Holdings SA
0QYF.IL,0.00160319493395142,0.0024078631503331414,1.94,0.008,0.6658164662429461,0.02308100422693773,0.023,Yes,Comcast Corporation
0JMU.L,0.019646189779120568,0.030200448127354094,26.3,0.105,0.6505264324646232,,,,technotrans SE
RRL.XC,0.0700608547237949,0.10824877988481117,125.37,0.375,0.6472207335578979,1.5105573068341647,1.511,Yes,Rolls-Royce Holdings plc
RR.L,0.06991729340430945,0.10816255876262772,125.01,0.375,0.6464093879079648,1.5287680654362825,1.529,Yes,Rolls-Royce Holdings plc
0A0F.IL,0.004891741716754195,0.007585297089160429,6.03,0.026,0.644897841080557,-0.06798352791866859,0.068,No,Citycon Oyj
0RHR.L,0.11501674732843528,0.17851173830333486,269.3,0.618,0.6443091553620628,,,,Kuros Biosciences AG
0LHW.L,0.10080086870243352,0.15993876657515604,216.6,0.554,0.6302466303881784,,,,U.S. Gold Corp.
0RLS.IL,0.059694757572227884,0.09610112285759372,100.53,0.333,0.6211660779519281,1.3888199605535199,1.389,Yes,UniCredit S.p.A.
0VNO.L,0.17541440824679772,0.28247187681124136,595.49,0.979,0.620997779414396,,,,Vista Gold Corp.
