Ticker,mean,std,Return,Risk,sharpe,Name
DALQANRE.KW,0.08078840876919823,0.08273576889293696,154.03,0.287,0.9764628993022512,Dalqan Real Estate Company K.S.C. (Public)
RASIYAT.KW,0.034843976612758475,0.07788611795055365,50.83,0.27,0.4473708220363394,Rasiyat Holding Company K.P.S.C.
IFA.KW,0.05594472465818173,0.15701525006094053,92.17,0.544,0.3563012168338333,International Financial Advisors Holding - KPSC
IFAHR.KW,0.10005399719060891,0.30032306680191234,214.03,1.04,0.33315455338168454,IFA Hotels and Resorts - KPSC
UNICAP.KW,0.045825130925652144,0.14782968825632148,71.2,0.512,0.3099859809363602,Unicap Investment and Finance Company K.S.C.P.
KRE.KW,0.0271428847047019,0.09154060490926644,37.9,0.317,0.2965119657184425,Kuwait Real Estate Company K.P.S.C.
SOKOUK.KW,0.024207135396766638,0.08165305071080838,33.25,0.283,0.29646333095993377,Sokouk Holding Company K.S.C.P.
MUNSHAAT.KW,0.03047013930015931,0.12450336699807626,43.36,0.431,0.24473345608902378,Munshaat Real Estate Projects Company K.S.C.P.
ALDEERA.KW,0.037590802073418715,0.1555203933160146,55.71,0.539,0.24170979298537967,Al-Deera Holding Company K.P.S.C.
ARZAN.KW,0.023724369306283893,0.09907780063821847,32.49,0.343,0.23945191711424008,Arzan Financial Group for Financing and Investment - KPSC
AINS.KW,0.01885473274395768,0.08092040693912621,25.13,0.28,0.23300343457419193,Al-Ahleia Insurance Company S.A.K.P.
KINS.KW,0.012053404321446668,0.05427013085453028,15.46,0.188,0.22210015217681187,Kuwait Insurance Company S.A.K.P.
ALG.KW,0.014869871114022397,0.0671256117218325,19.38,0.233,0.22152306299483593,Ali Al-Ghanim Sons Automotive Company K.S.C.P.
CGC.KW,0.018968525632492975,0.09115211055510711,25.29,0.316,0.20809749238911285,Combined Group Contracting Company - K.S.C. (Public)
KUWAITRE.KW,0.02060522757116005,0.10153356822612908,27.73,0.352,0.20294005156274428,Kuwait Reinsurance Company K.S.C.P.
ARABREC.KW,0.020409270469512138,0.10108930535654048,27.44,0.35,0.20189346833009628,Al-Arabiya Real Estate Company K.S.C.P.
SANAM.KW,0.05323266006013255,0.26461075901678166,86.33,0.917,0.20117345287822,Sanam Real Estate Company K.S.C.(Public)
PAPCO.KW,0.06920246715030494,0.3608500985171491,123.21,1.25,0.19177621797716135,Palms Agro Production Company K.S.C.P
KFOUC.KW,0.021511633384232242,0.11402403334427531,29.1,0.395,0.18865876564181594,Kuwait Foundry Company K.S.C.P.
MEZZAN.KW,0.016268874618593,0.086920687779383,21.37,0.301,0.18716918876534552,Mezzan Holding Company K.S.C.P.
ALKOUT.KW,0.02539552946959404,0.13840418481237246,35.11,0.479,0.18348816189352565,Al Kout Industrial Projects Company K.S.C.P.
FTI.KW,0.08741208641462173,0.5132262089049373,173.36,1.778,0.1703188280293236,First Takaful Insurance Company - KPSC
ALTIJARIA.KW,0.013689236644799532,0.08551969059532709,17.72,0.296,0.16007116664600668,Commercial Real Estate Company K.P.S.C.
WINSRE.KW,0.014177402250707405,0.09449946995855747,18.4,0.327,0.1500262621253312,Warba Insurance and Reinsurance Company (K.S.C.P.)
TAHSSILAT.KW,0.03015467582305037,0.20517533365107798,42.83,0.711,0.146970277988345,Credit Rating and Collection Company K.S.C. (Public)
