Ticker,mean,std,Return,Risk,sharpe,Name
SONYN.MX,0.07541167186496983,0.08274489377501881,139.27,0.287,0.9113755353896783,
ASMLN.MX,0.09496460365002451,0.13219010674226597,197.03,0.458,0.7183941823663033,ASML Holding N.V.
BRO.MX,0.0378405836407042,0.06294275743786927,56.16,0.218,0.6011904336739077,"Brown & Brown, Inc."
ACTINVRB.MX,0.01827501138707857,0.03263714563346883,24.27,0.113,0.5599451493802773,"Corporación Actinver, S. A. B. de C. V."
NFLX.MX,0.051193920995975035,0.10375701118421608,82.05,0.359,0.49340204012895517,"Netflix, Inc."
VISTAA.MX,0.0535548143466572,0.11689216656873985,87.02,0.405,0.4581557166635597,"Vista Energy, S.A.B. de C.V."
BSX.MX,0.026420613155191917,0.05960891387216806,36.74,0.206,0.4432325878617953,Boston Scientific Corporation
PGR.MX,0.030266781825587362,0.06883571985271851,43.02,0.238,0.43969587142179123,The Progressive Corporation
SAPN.MX,0.030331438852393765,0.07067296321164401,43.13,0.245,0.4291802334870315,SAP SE
NVDA.MX,0.06138106238499576,0.1447636478025783,104.39,0.501,0.42400881241058735,NVIDIA Corporation
ROL.MX,0.02588171292362791,0.06272875119310373,35.88,0.217,0.41259729281002,"Rollins, Inc."
GE.MX,0.04160941645606146,0.10167490855537048,63.1,0.352,0.409239772597402,General Electric Company
HIMS.MX,0.14063349191077198,0.34667384278671937,385.01,1.201,0.40566513694917705,HIMS & HERS HEALTH INC
MCN.MX,0.029363952381740308,0.07251015985498988,41.52,0.251,0.40496328294495676,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne"
BBVA.MX,0.0307682903567358,0.07658308130076753,43.86,0.265,0.40176354664940117,"Banco Bilbao Vizcaya Argentaria, S.A."
AVGO.MX,0.07043416988564276,0.18940027518185198,126.32,0.656,0.37187997651014837,Broadcom Inc.
TJX.MX,0.019951706611058682,0.05409989960107476,26.75,0.187,0.36879378257963197,"The TJX Companies, Inc."
RDDT.MX,0.16233294937492873,0.4410834390000995,508.09,1.528,0.3680322928081916,REDDIT INC
LLY.MX,0.03379797155126388,0.0925217880814516,49.01,0.321,0.3652974315791413,Eli Lilly and Company
KOFUBL.MX,0.019895852908246824,0.05651034140270234,26.67,0.196,0.3520745480276889,"Coca-Cola FEMSA, S.A.B. de C.V."
