Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
TFSF.AS,0.004628353921024318,0.00932009678504251,5.7,0.032,0.49659934094806807,,,,Triodos Fair Share Inc
ASUI.AS,0.217475559945329,0.47366032421145193,960.53,1.641,0.4591382238049631,,,,21Shares Sui Staking ETP
VLK.AS,0.030584563087590746,0.07509624527991744,43.55,0.26,0.4072715349960353,1.0824547550457777,1.082,Yes,Van Lanschot Kempen NV
CCEP.AS,0.01826080622854374,0.0461090660697441,24.25,0.16,0.3960350487455685,0.5338535023134792,0.534,Yes,Coca-Cola Europacific Partners PLC
FER.AS,0.0216930676175677,0.05653250842795652,29.37,0.196,0.3837273140853594,,,,Ferrovial SE
INGA.AS,0.028524918482430283,0.08161874406761464,40.15,0.283,0.34948979928923746,0.9495407783634282,0.95,Yes,ING Groep N.V.
REN.AS,0.016290804995035026,0.049427497132698395,21.4,0.171,0.3295899234245864,0.7644972369406331,0.764,Yes,RELX PLC
LVIDE.AS,0.0548930872757503,0.17385935703935942,89.89,0.602,0.3157327175857624,,,,Lavide Holding N.V.
ABN.AS,0.022833435375008888,0.07698189012509392,31.12,0.267,0.2966078819044979,0.7550229581511092,0.755,Yes,ABN AMRO Bank N.V.
INPST.AS,0.028897097401428803,0.09966586723669509,40.75,0.345,0.2899397577387401,1.0122626944207016,1.012,Yes,InPost S.A.
HAMO.AS,0.05095915456031712,0.17717360998547463,81.56,0.614,0.2876227140401719,,,,Hashdex Crypto Momentum Factor 
UNA.AS,0.009943213613201588,0.036933381719839946,12.61,0.128,0.2692202324884935,0.4594041243103498,0.459,Yes,Unilever PLC
BAMNB.AS,0.0276264651010694,0.10329406058272832,38.68,0.358,0.26745453654562584,0.7327512610138274,0.733,Yes,Koninklijke BAM Groep nv
HYDRA.AS,0.02628445725883563,0.10132262937207254,36.53,0.351,0.25941349352783766,0.6940515366370392,0.694,Yes,Hydratec Industries NV
SHELL.AS,0.012723910368352836,0.05200984292388765,16.38,0.18,0.2446442760262377,0.35642661290629574,0.356,Yes,Shell plc
WKL.AS,0.014304544472890347,0.06074207381269806,18.58,0.21,0.23549647838826337,0.6845445083218752,0.685,Yes,Wolters Kluwer N.V.
ENVI.AS,0.028504500649888232,0.12297695740684977,40.11,0.426,0.23178733033364624,1.4595974010787185,1.46,Yes,Envipco Holding N.V.
KPN.AS,0.008892212364486458,0.03903056429005559,11.21,0.135,0.22782689736187245,0.33568044703615885,0.336,Yes,Koninklijke KPN N.V.
EXO.AS,0.012603747877479572,0.05654584661459419,16.22,0.196,0.2228943173029902,,,,Exor N.V.
ASRNL.AS,0.013247911930423482,0.061625494291319007,17.11,0.213,0.2149745342049074,0.5334216885859849,0.533,Yes,ASR Nederland N.V.
MORE.AS,0.019120902350301238,0.089626846902171,25.52,0.31,0.21333900512166828,,,,Morefield Group N.V.
ECMPA.AS,0.011053287848699373,0.05192950937649032,14.1,0.18,0.212851767355681,0.7405314316421384,0.741,Yes,Eurocommercial Properties N.V.
PREVA.AS,0.009595619896222705,0.045266739213287326,12.14,0.157,0.21197948124803442,,,,Value8 N.V.
VPK.AS,0.018635634517723352,0.0888673825670899,24.8,0.308,0.20970162481892038,0.8806311374244988,0.881,Yes,Koninklijke Vopak N.V.
AD.AS,0.00967220895408326,0.0484637942252886,12.24,0.168,0.19957597436802138,0.3819157450653612,0.382,Yes,Koninklijke Ahold Delhaize N.V.
AGHY.AS,0.006445799461828509,0.032364977510306356,8.02,0.112,0.1991597077358048,,,,AEAM Global High Yield (EUR)
GSENH.AS,0.008384489042780259,0.04345278230777227,10.54,0.151,0.19295632172397278,,,,GS Enh Index Sust NA Equity Fund (NL) P
BESI.AS,0.025965745606370327,0.13596993252811576,36.02,0.471,0.19096681982247177,1.7565665945353266,1.757,Yes,BE Semiconductor Industries N.V.
AGN.AS,0.012664419553691695,0.06980984827933769,16.3,0.242,0.18141307947005106,0.714737343248123,0.715,Yes,Aegon Ltd.
BNPNL.AS,0.008581072446425942,0.048295904429962566,10.8,0.167,0.17767702143087483,,,,Bnp Paribas -  BNP Paribas ESG Netherlands Index Fund
^AEX,0.0076039618992919744,0.0428305109648106,9.52,0.148,0.17753610050413274,1.0,1.0,Yes,AEX-Index
3NFL.AS,1.4206046284289289,8.03528575084721,4046463.06,27.835,0.17679578206402252,-18.506406100811784,18.506,No,Leverage Shares 3x Netflix ETC
NN.AS,0.010672641701630427,0.06209077146623452,13.59,0.215,0.17188772903931945,0.6705549237904007,0.671,Yes,NN Group N.V.
ALX.AS,0.024460288712805603,0.1431985692118914,33.64,0.496,0.17081377870900116,0.3187312793434469,0.319,Yes,Alumexx N.V.
AMZN.AS,0.016488223134321873,0.0971455598638465,21.68,0.337,0.16972698656974952,1.337095072770571,1.337,Yes,LS 1x Amazon Tracker ETP
PORF.AS,0.014954660461684633,0.09570097824132268,19.5,0.332,0.15626444720318824,,,,"B.V. Delftsch Aardewerkfabriek ""De Porceleyne Fles Anno 1653"""
GOOG.AS,0.011897004133617653,0.07964439940349745,15.25,0.276,0.14937653146638225,0.8827272473501042,0.883,Yes,LS 1x Alphabet Tracker ETP
ASM.AS,0.018236157602150298,0.12523548821733863,24.22,0.434,0.1456149360036234,2.009638448471301,2.01,Yes,ASM International NV
ARCAD.AS,0.0085063594123923,0.07087917079972174,10.7,0.246,0.120012118037161,0.8986004010013404,0.899,Yes,Arcadis NV
CTPNV.AS,0.008787945404549516,0.07604205988339875,11.07,0.263,0.11556690360604066,0.9242877399564344,0.924,Yes,CTP N.V.
VVY.AS,0.05824489510433726,0.5115992280932337,97.26,1.772,0.11384867667103425,1.1330698838628175,1.133,Yes,Vivoryon Therapeutics N.V.
NEDAP.AS,0.004497628124042265,0.04031927106610989,5.53,0.14,0.11155033325547192,0.3441732971489496,0.344,Yes,Nedap N.V.
REINA.AS,0.006025968248448297,0.05405636937561814,7.48,0.187,0.11147563771025808,,,,Reinet Investments S.C.A.
UMG.AS,0.008797430367743057,0.07929246815722786,11.08,0.275,0.1109491301279557,1.0633103686577599,1.063,Yes,Universal Music Group N.V.
CVC.AS,0.010896270331457993,0.10043463593978193,13.89,0.348,0.10849116173419616,,,,CVC Capital Partners plc
RWI.AS,0.013767650617552014,0.12715879463469026,17.83,0.44,0.10827132057286781,0.5939169878352896,0.594,Yes,Renewi plc
FUR.AS,0.010504728418938,0.11497336908341473,13.36,0.398,0.09136662257254267,1.1728283953207814,1.173,Yes,Fugro N.V.
MTRK.AS,0.02195450060861077,0.24351428763924826,29.77,0.844,0.09015693009822504,0.5958759636101666,0.596,Yes,MotorK plc
NSE.AS,0.03927310234823956,0.43745776948628906,58.77,1.515,0.08977575685616088,,,,New Sources Energy N.V.
ASML.AS,0.009217095445567881,0.1066593060711996,11.64,0.369,0.08641623300469516,2.042272605127284,2.042,Yes,ASML Holding N.V.
PHIA.AS,0.008501954349526839,0.1105772192790352,10.69,0.383,0.07688703337775794,0.7039054466308465,0.704,Yes,Koninklijke Philips N.V.
