Ticker,mean,std,Return,Risk,sharpe,Name
SFG.RO,0.03671465064650514,0.07581965643950428,54.14,0.263,0.4842365736093698,Sphera Franchise Group S.A.
SNP.RO,0.02880940561926563,0.06297002929420882,40.61,0.218,0.45750980176080613,OMV Petrom S.A.
TSLA.RO,0.04788399508074196,0.11339030229889506,75.29,0.393,0.42229356576297417,Transilvania Leasing IFN SA
DN.RO,0.027157942934515074,0.0688060875850945,37.93,0.238,0.39470261844096355,Dn Agrar Group S.A.
TBM.RO,0.024101876126817807,0.0634723638577515,33.08,0.22,0.37972236516718905,Turbomecanica SA
UNISEM.RO,0.03432478814314086,0.09060640320848927,49.93,0.314,0.37883402196374616,Societatea Comerciala Unisem S.A.
CMF.RO,0.039778890216462616,0.10627503989364602,59.7,0.368,0.3743013435353311,Comelf S.A.
TLV.RO,0.021895676258806562,0.05955174801867497,29.68,0.206,0.36767478684152555,Banca Transilvania S.A.
ATB.RO,0.04994499741072019,0.13737127337181748,79.47,0.476,0.3635767230280818,Antibiotice S.A.
MOIB.RO,0.047010110951650655,0.13196203691351516,73.54,0.457,0.356239658398574,S.C. Moara Cibin S.A.
COKJ.RO,0.03188186689584213,0.09300178308799004,45.73,0.322,0.34280920039649493,
ALU.RO,0.019914314804193402,0.059062849546280036,26.7,0.205,0.33717158852264806,Alumil Rom Industry S.A.
WINE.RO,0.018107672069567957,0.0541667018503087,24.03,0.188,0.3342952672217158,Purcari Wineries Public Company Limited
EBS.RO,0.025917759781526915,0.07878723121296982,35.94,0.273,0.3289588856279084,Erste Group Bank AG
TEL.RO,0.029003580654192004,0.09066415088160419,40.93,0.314,0.31990131018892987,CNTEE Transelectrica SA
EFO.RO,0.031920026755542265,0.09996394378431009,45.8,0.346,0.3193154006049959,"Turism, Hoteluri, Restaurante Marea Neagra S.A."
TGN.RO,0.026699265767547966,0.08680507729554103,37.19,0.301,0.30757723625596545,S.N.T.G.N. Transgaz S.A.
CACU.RO,0.03517956989041061,0.1170769139689689,51.42,0.406,0.3004825520062385,
IPRU.RO,0.03952489731210154,0.13200109091751966,59.23,0.457,0.29942856560782904,S.C. Iproeb S.A.
EVER.RO,0.011309245900990049,0.038619212908008314,14.45,0.134,0.2928398858860455,Evergent Investments SA
CLAIM.RO,0.032098233536413605,0.11063614321000594,46.1,0.383,0.29012429939360573,Air Claim S.A.
H2O.RO,0.010797174875720331,0.03730957172204317,13.75,0.129,0.28939423256207375,S.P.E.E.H. Hidroelectrica S.A.
DIGI.RO,0.017018675532128522,0.059264808516713785,22.45,0.205,0.2871632585690197,Digi Communications N.V.
FOJE.RO,0.03108664013236029,0.10954589350132717,44.39,0.379,0.2837773205253346,S.C. Foraj Sonde S.A.
ELMA.RO,0.01914610356191915,0.06752502939408622,25.56,0.234,0.2835408400961903,Electromagnetica S.A.
AQ.RO,0.024049452094690622,0.08568914819906512,33.0,0.297,0.2806592503267877,Aquila Part Prod Com S.A.
SMTL.RO,0.0250073205226119,0.08988606434683072,34.5,0.311,0.2782113190106941,Simtel Team S.A.
AAG.RO,0.029193333183536715,0.10617974396489437,41.24,0.368,0.27494258408824895,SC Aages SA
SEOM.RO,0.02181979261945861,0.0808333405857656,29.57,0.28,0.2699355545785891,Germina Agribusiness S.A.
SOCP.RO,0.07763121111106792,0.3005307191146054,145.27,1.041,0.2583137302561865,SOCEP S.A.
COTE.RO,0.009846111295160552,0.038324191405763416,12.48,0.133,0.2569163479775293,Conpet S.A.
BCM.RO,0.024147270383706444,0.09638944466703002,33.15,0.334,0.25051778716146095,Casa de Bucovina - Club de Munte S.A.
SNG.RO,0.01442827402870624,0.05797001243047407,18.76,0.201,0.24889202923685225,SNGN Romgaz SA
BRNA.RO,0.03955211544653123,0.15921019208808587,59.28,0.552,0.24842703176093348,S.C. Romnav S.A.
CMVX.RO,0.05391192588488903,0.21724771234134113,87.78,0.753,0.24815877370520814,Comvex S.A.
ARO.RO,0.03706402024915314,0.14977990657216791,54.76,0.519,0.24745655874270903,S.C. Aro-Palace S.A.
MEOY.RO,0.04747599644891355,0.19376698751716642,74.47,0.671,0.2450159186414946,S.C. Mecanica Codlea S.A.
FOSB.RO,0.06367308477540005,0.2628040271772513,109.75,0.91,0.24228352000273945,
SEOL.RO,0.03549765849168267,0.15230077663322383,51.98,0.528,0.2330760175778315,S.C. Semrom Oltenia S.A.
LONG.RO,0.01405168826582034,0.06252557033739015,18.23,0.217,0.22473506742916446,Longshield Investment Group SA
COBL.RO,0.054111862835179075,0.2450920609795337,88.21,0.849,0.22078178550099042,SC Bricomat SA
ASC.RO,0.022484965191185497,0.10417690420322966,30.58,0.361,0.21583445354952702,Ascendia S.A.
RRD.RO,0.06291650305699197,0.2928868145202008,107.96,1.015,0.21481507510012038,Romradiatoare SA
ATRD.RO,0.030735774118154906,0.14435122238642703,43.8,0.5,0.21292354584899525,S.C. Atelierele CFR Grivita S.A
BUCV.RO,0.02238898664740576,0.10642123783708078,30.43,0.369,0.2103808140409045,S.C. Bucur S.A.
BVB.RO,0.017160026377126526,0.08156702857173691,22.65,0.283,0.2103794471565745,Bursa de Valori Bucuresti SA
LION.RO,0.009470846025024958,0.045772169747051866,11.98,0.159,0.2069127611245688,Lion Capital S.A.
ROCE.RO,0.018010075954108543,0.0902850553480289,23.89,0.313,0.19948014524312674,S.C. Romcarbon S.A.
EL.RO,0.015610663458410143,0.08089442869987253,20.43,0.28,0.1929757550588245,Societatea Energetica Electrica S.A.
VAC.RO,0.017633822586795644,0.09343708211949392,23.34,0.324,0.1887240289058285,Prodvinalco SA
ARM.RO,0.0522319330702062,0.2822365690497093,84.22,0.978,0.18506437080804644,Armatura SA
SNO.RO,0.01603236970815349,0.08842923051691651,21.03,0.306,0.18130169870794585,Santierul Naval Orsova S.A.
IORB.RO,0.07266497442564544,0.40821055936518885,132.04,1.414,0.1780085614116579,S.C. IOR S.A.
PTR.RO,0.008759215844413502,0.04961366818742543,11.03,0.172,0.1765484424841121,Rompetrol Well Services SA
ECT.RO,0.020917910387427543,0.1194663321199653,28.2,0.414,0.17509460628976428,SC Grupul Industrial Electrocontact SA
FP.RO,0.021515419820280005,0.12383577856359257,29.1,0.429,0.17374154763545444,Fondul Proprietatea SA
INOX.RO,0.02427618920903198,0.15249609637914013,33.35,0.528,0.15919220088543007,S.C. Inox S.A.
TTS.RO,0.015754418358604694,0.10404960354717194,20.63,0.36,0.15141257459440746,TTS (Transport Trade Services) S.A.
BRD.RO,0.011154676639340336,0.07530076832335758,14.24,0.261,0.14813496445932361,BRD - Groupe Société Générale S.A.
