Ticker,mean,std,Return,Risk,sharpe,beta,Volatility,Follows Market Direction ?,Name
FTK.VI,0.09109144856995655,0.04736064230918832,184.66,0.164,1.9233575418018374,,,,flatexDEGIRO AG
HAG.VI,0.13351721067814576,0.12745326925510858,349.92,0.442,1.0475777628810736,,,,Hensoldt AG
GIL.VI,0.0046657384700485175,0.004912277730019772,5.74,0.017,0.9498116202867337,0.04263747895798133,0.043,Yes,DMG MORI AKTIENGESELLSCHAFT
SPOT.VI,0.077487689905738,0.1044566259939849,144.88,0.362,0.7418168945089237,,,,Spotify Technology S.A.
MUV.VI,0.0310158679078719,0.044699952177795835,44.27,0.155,0.6938680333371511,0.2596941429052063,0.26,Yes,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München
4X0.VI,0.8013253975971416,1.231260046508481,116609.46,4.265,0.6508173475371695,,,,Steyr Motors AG
SCR.VI,0.045959340838499355,0.07423563834537437,71.47,0.257,0.6191007696960564,,,,SCOR SE
OBS.VI,0.010892145512921813,0.017630131109595968,13.88,0.061,0.6178142093902687,-0.07224863847366311,0.072,No,Oberbank AG
UCG.VI,0.05332697012520084,0.0883542337312609,86.53,0.306,0.6035587415924025,1.0422124168194489,1.042,Yes,UniCredit S.p.A.
ALV.VI,0.023536342739857625,0.03951866399684297,32.2,0.137,0.5955753651423508,,,,Allianz SE
ACS.VI,0.027973481912046388,0.05225848310090147,39.25,0.181,0.5352907365878716,0.5468213605109805,0.547,Yes,"ACS, Actividades de Construcción y Servicios, S.A."
DANS.VI,0.07092918587037379,0.13569479379623406,127.58,0.47,0.5227111806285253,1.3814643883089985,1.381,Yes,Danske Bank A/S
TRYG.VI,0.031866494029524885,0.061698893783154796,45.71,0.214,0.5164840416997097,0.21742535355006498,0.217,Yes,Tryg A/S
NFLX.VI,0.05462269749384218,0.10644077258639723,89.31,0.369,0.5131745680397549,0.2894061977183607,0.289,Yes,"Netflix, Inc."
UNI.VI,0.039390060744453205,0.07784497034901514,58.98,0.27,0.5060064968597108,0.5786095859721926,0.579,Yes,Unipol Assicurazioni S.p.A.
BSXC.VI,0.02613979545496469,0.05237607037063511,36.29,0.181,0.49907897385177047,0.18523794673082158,0.185,Yes,Boston Scientific Corporation
TLX.VI,0.03183972886552533,0.0644879725172651,45.66,0.223,0.49373127457218496,0.2928948505000578,0.293,Yes,Talanx AG
HNR1.VI,0.02186469626900969,0.045344063338681816,29.63,0.157,0.4821953450818665,0.14170896696512505,0.142,Yes,Hannover Rück SE
PECN.VI,0.1040856341984496,0.21755282519175495,228.12,0.754,0.4784384395224776,-0.8613664426360291,0.861,No,PetroChina Company Limited
AGEN.VI,0.023483861880740392,0.04988002488252744,32.12,0.173,0.47080693997341194,0.636590129933079,0.637,Yes,Assicurazioni Generali S.p.A.
HOT.VI,0.03515620161047673,0.07478744651965272,51.38,0.259,0.47008158784025805,0.5522843255346079,0.552,Yes,HOCHTIEF Aktiengesellschaft
SAP.VI,0.031939956897151164,0.06802888257909089,45.83,0.236,0.46950582879290326,0.4929419603645402,0.493,Yes,SAP SE
BAMI.VI,0.04162551234658597,0.08899978814085942,63.13,0.308,0.46770349925671206,0.9994251273411457,0.999,Yes,Banco BPM S.p.A.
HERS.VI,0.022196210998908332,0.047555137769200194,30.14,0.165,0.4667468551270615,,,,Hera S.p.A.
ISP.VI,0.03249717913382588,0.07041014777469548,46.78,0.244,0.46154112952316456,1.0928016370869265,1.093,Yes,Intesa Sanpaolo S.p.A.
BTS.VI,0.018132333468014936,0.03933604160331943,24.07,0.136,0.4609597897741905,0.273407295451425,0.273,Yes,Bank für Tirol und Vorarlberg AG
HWM.VI,0.041837890572851234,0.09087424950034277,63.53,0.315,0.46039324454276154,0.764363091909769,0.764,Yes,Howmet Aerospace Inc.
BPE.VI,0.04842849516515957,0.11005581281331382,76.39,0.381,0.4400357775495981,1.1513757246564809,1.151,Yes,BPER Banca SpA
WMT.VI,0.024368880823797307,0.05592719481480717,33.5,0.194,0.4357250690740071,0.13555511612131538,0.136,Yes,Walmart Inc.
SAF.VI,0.027177622676222774,0.06514564720696583,37.96,0.226,0.4171824802028638,0.7568513676277122,0.757,Yes,Safran SA
CS.VI,0.020311838591197194,0.049214570932520234,27.29,0.17,0.4127200177981323,0.692658057174816,0.693,Yes,AXA SA
MB.VI,0.027897323821021874,0.06805703841373636,39.12,0.236,0.40991092870404994,0.9415916904072803,0.942,Yes,Mediobanca Banca di Credito Finanziario S.p.A.
CNCB.VI,0.23082671300680596,0.5643490154321696,1108.82,1.955,0.40901411483821315,-0.3257561368861131,0.326,No,China Construction Bank Corporation
FLU.VI,0.023278569729869532,0.05693126907987067,31.8,0.197,0.4088890008267916,-0.594829344870417,0.595,No,Flughafen Wien Aktiengesellschaft
CABK.VI,0.02844759488700098,0.0700575223915199,40.02,0.243,0.4060605330576808,0.3199134956938908,0.32,Yes,"CaixaBank, S.A."
SAB.VI,0.043211840655325226,0.10908993518437102,66.14,0.378,0.3961120756217669,1.086914346802315,1.087,Yes,"Banco de Sabadell, S.A."
WI4.VI,0.07150777741616628,0.18061875273318656,129.06,0.626,0.3959045023514193,0.5869445851691513,0.587,Yes,"Weichai Power Co., Ltd."
BBVA.VI,0.03431285302957983,0.0870607194313277,49.91,0.302,0.39412553966597225,1.2088903943032532,1.209,Yes,"Banco Bilbao Vizcaya Argentaria, S.A."
NVDA.VI,0.05962175851390389,0.15187342160817893,100.36,0.526,0.39257532939320466,0.5920646055447663,0.592,Yes,NVIDIA Corporation
TJXC.VI,0.021256483370234374,0.05528235918791062,28.71,0.192,0.38450752975250796,0.3490168420472074,0.349,Yes,"The TJX Companies, Inc."
BG.VI,0.030817568868009813,0.0807359254859126,43.94,0.28,0.38170825047874246,1.1732216943080043,1.173,Yes,BAWAG Group AG
ITX.VI,0.025714223857607018,0.067618884359948,35.62,0.234,0.3802816935092478,0.5949052732240931,0.595,Yes,"Industria de Diseño Textil, S.A."
PANW.VI,0.037487471032103196,0.09860540828210786,55.52,0.342,0.38017662200487407,,,,"Palo Alto Networks, Inc."
LLYC.VI,0.03327493391618087,0.08759615556677003,48.11,0.303,0.3798675147428942,-0.30957170697915704,0.31,No,Eli Lilly and Company
CBK.VI,0.038962107635525135,0.10305609492435804,58.2,0.357,0.3780669902553834,,,,Commerzbank AG
BOCN.VI,0.17558615894979654,0.46559212508251674,596.71,1.613,0.3771244174687823,1.7755451372819366,1.776,Yes,Bank of China Limited
TKA.VI,0.021216407353753356,0.05687804218846042,28.65,0.197,0.3730157814408352,0.4891462291478404,0.489,Yes,Telekom Austria AG
BMED.VI,0.02503209262212024,0.06726707488594762,34.54,0.233,0.37212994120173276,0.9569937970922,0.957,Yes,Banca Mediolanum S.p.A.
ADKO.VI,0.02565231984948685,0.07007868088225704,35.52,0.243,0.3660502670218164,-0.03122813874712929,0.031,No,Addiko Bank AG
FTI.VI,0.03985196050439941,0.10938044822045051,59.83,0.379,0.3643426330095109,0.09106518629859284,0.091,Yes,TechnipFMC plc
MOSI.VI,0.02088341789076862,0.05767242154158258,28.15,0.2,0.3621040582752607,0.13544737741320387,0.135,Yes,"Motorola Solutions, Inc."
ORLY.VI,0.023186543648333027,0.06415497253894055,31.66,0.222,0.361414598599654,0.0732886712988988,0.073,Yes,"O'Reilly Automotive, Inc."
CTAS.VI,0.022713264479790846,0.06308913519902286,30.93,0.219,0.3600186372524985,0.16771509843082338,0.168,Yes,Cintas Corporation
COST.VI,0.023351452658176612,0.06540149475781133,31.92,0.227,0.3570476904946824,0.2694447283498149,0.269,Yes,Costco Wholesale Corporation
BZU.VI,0.03160071190890875,0.08958004991618368,45.26,0.31,0.35276506251644446,1.0811334677560969,1.081,Yes,Buzzi S.p.A.
ABC.VI,0.02151677845933889,0.06128874838810301,29.11,0.212,0.35107224450215063,,,,"Cencora, Inc."
SOLB.VI,0.03803831901220181,0.10835832509396404,56.52,0.375,0.35104196174328545,0.9003184955781844,0.9,Yes,Solvay SA
PUB.VI,0.022887637210821384,0.06522496718697689,31.2,0.226,0.3509030084325015,0.7124628968357958,0.712,Yes,Publicis Groupe S.A.
ABN.VI,0.0243062250992341,0.07098481771406193,33.4,0.246,0.34241441877252426,0.7518624782899979,0.752,Yes,ABN AMRO Bank N.V.
APH.VI,0.023677747705807592,0.06951477435122676,32.42,0.241,0.34061460929405635,0.30257127696015634,0.303,Yes,Amphenol Corporation
RACE.VI,0.02642563101947537,0.07787165550189083,36.75,0.27,0.3393485196784306,0.47510545189478026,0.475,Yes,Ferrari N.V.
EBS.VI,0.02762313582379858,0.08271278068856687,38.68,0.287,0.3339645408344595,1.2501353510626603,1.25,Yes,Erste Group Bank AG
AFL.VI,0.018614540516248616,0.05616284556585904,24.77,0.195,0.3314386998860373,0.4362771826089197,0.436,Yes,Aflac Incorporated
BROA.VI,0.04177678603288713,0.12665375580241384,63.42,0.439,0.3298503527843343,0.13615745569927343,0.136,Yes,Broadcom Inc.
UBER.VI,0.04111875361044429,0.12475998327266406,62.18,0.432,0.3295828721023382,0.41144141650322197,0.411,Yes,"Uber Technologies, Inc."
GE.VI,0.029572623042577333,0.09089994459999474,41.87,0.315,0.3253315848839257,0.7584943994289313,0.758,Yes,General Electric Company
SAN.VI,0.026959303612004923,0.08299922393801862,37.61,0.288,0.3248139239487027,1.1085676863720604,1.109,Yes,"Banco Santander, S.A."
DBK.VI,0.028273916355902488,0.08738070324425831,39.74,0.303,0.3235716274435035,1.2863181909271664,1.286,Yes,Deutsche Bank Aktiengesellschaft
BKT.VI,0.023729905948991537,0.07484880337195514,32.5,0.259,0.31703788009899997,0.35440610560095875,0.354,Yes,"Bankinter, S.A."
BN.VI,0.012097260915256682,0.03837906777243198,15.52,0.133,0.315204657574988,0.26131439983303334,0.261,Yes,Danone S.A.
